"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Conseil Régional Poitou-Charentes","Etude prospective sur les impacts potentiels sociaux et économiques du changement climatique sur le territoire de la région Poitou-Charentes","63,357 €","25,342 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"49","Atténuation et adaptation au changement climatique"
"Conseil Régional Poitou-Charentes","Etude sur le haut débit en Poitou-Charentes","157,872 €","157,872 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Conseil Régional Poitou-Charentes","Implantation d'une centrale solaire photovoltaïque et de cogénérations à huile végétale au lycée KYOTO à Poitiers","946,000 €","378,400 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"40","Energie renouvelable: én. solaire"
"Conseil Régional Poitou-Charentes","Implantation d'une chaufferie bois au Lycée Jean-Marie BOULOUX de MONTMORILLON","456,480 €","182,592 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Conseil Régional Poitou-Charentes","Installation de panneaux photovoltaïques dans le lycée Jean MONNET à Cognac","71,954 €","26,400 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"40","Energie renouvelable: én. solaire"
"Conseil Régional Poitou-Charentes","Installation de panneaux photovoltaïques dans le lycée J. HYPPOLITE à Jonzac","124,676 €","27,000 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"40","Energie renouvelable: én. solaire"
"Conseil Régional Poitou-Charentes","Installation de panneaux photovoltaïques dans le lycée Victor HUGO à Poitiers","137,023 €","36,720 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"40","Energie renouvelable: én. solaire"
"Conseil Régional Poitou-Charentes","Mise en oeuvre de la subvention globale FEDER : assistance technique 2007-2008","680,168 €","514,286 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"85","Préparation, mise en oeuvre, suivi et inspection "
"Conseil Régional Poitou-Charentes","Mise en oeuvre de la subvention globale FEDER : assistance technique 2009","491,123 €","257,143 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"85","Préparation, mise en oeuvre, suivi et inspection "
"Conseil Régional Poitou-Charentes","Mise en place d'une chaufferie bois au lycée Les Sicaudières","643,968 €","257,587 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"41","Energie renouvelable: biomasse"
"Conseil Régional Poitou-Charentes","Mise en place d'une chaufferie bois au lycée Les Terres Rouges - Civray","454,840 €","181,936 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Conseil Régional Poitou-Charentes","Mise en place d'une chaufferie bois au lycée Marc GODRIE","475,394 €","190,157 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Conseil Régional Poitou-Charentes","Mise en place d'une installation photovoltaïque raccordée au réseau sur le Lycée Atlantique à Royan","353,130 €","78,000 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"40","Energie renouvelable: én. solaire"
"Conseil Régional Poitou-Charentes","Outils de communication en vue d ela visite de Danuta HÜBNER en Poitou-Charentes",353 €,353 €,"FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"86","Evaluation et études; information et communication"
"Conseil Régional Poitou-Charentes","Réseau de suivi de la qualité des eaux souterraines - Années 2008 - 2010","573,068 €","118,157 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"45","Gestion et distribution d'eau (eau potable)"
"Conseil Régional Poitou-Charentes","Sensibilisation des créateurs d'entreprise à l'Internet","42,000 €","21,000 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"14","Services et applications pour les PME (commerce électronique, éducation et formation, mise en réseau, etc.)"
"Conservatoire d'espaces naturels de Poitou-Charentes","Mise en place du Système d'Informations du conservatoire","91,302 €","28,760 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
"Conservatoire d'espaces naturels de Poitou-Charentes","Plan d'acquisition Marais Poitevin","210,000 €","84,000 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Conservatoire d'espaces naturels de Poitou-Charentes","Plan d'acquisition Marais Poitevin - Tranche 4","234,000 €","93,600 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Conservatoire d'espaces naturels de Poitou-Charentes","Programme d'actions 2007","39,500 €","15,800 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Conservatoire d'espaces naturels de Poitou-Charentes","Programme d'actions 2008","62,900 €","20,825 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Conservatoire d'espaces naturels de Poitou-Charentes","Programme d'actions 2009","111,000 €","29,625 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"COUSIN  Olivier","Centrale photovoltaïque raccordée au réseau de 28 kWc","135,592 €","25,200 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"40","Energie renouvelable: én. solaire"
"CREPS - Centre Régional Education Populaire et Sportive","Mise en place d'une chaudière automatique au bois déchiqueté de 1.2 MW avec son réseau de chaleur","1,041,875 €","439,280 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"41","Energie renouvelable: biomasse"
"CRISTAL PUBLISHING","A0906013T - Développement du logiciel CRISTAL ZIK destiné aux magasins de disque de proximité et aux lieux culturels économiques.","79,703 €","39,000 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"CRITT agro-alimentaire","Déploiement du SPL Aliments et santé","485,633 €","208,133 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"CRITT agro-alimentaire","Projet de nouveaux locaux HQE pour le développement des activités de transfert et d'innovation du CRITT Agro-alimentaire","1,175,264 €","251,710 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"CRITT horticole","Faisabilité de l'incorporation de nouveaux extraits végétaux colorants dans des produits alimentaires","83,774 €","33,510 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"CRITT horticole","Pôle d'étude et de recherche industrielle sur les toitures végétalisées","185,435 €","74,174 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"CRITT horticole","Pôle d'étude et de recherche industrielle sur les toitures végétalisées 2009-2010","184,144 €","92,072 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"CRITT informatique","Pod-scan: développement d'une chaîne numérisation adaptée aux besoins de la podo-orthésie","201,558 €","92,717 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"CRITT informatique","VISAMAP: mise en place d'une plateforme d'aide au pilotage des activités dans les PME","163,624 €","75,000 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
