"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"CLG J. du Bellay","Centre Ressource Allophone - CLG du Bellay",22845.4,10293.4,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","MAINE-ET-LOIRE / CHOLET","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"CLG J. du Bellay","Pôle Insertion - CLG du Bellay",31314.7,5550.7,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","MAINE-ET-LOIRE / CHOLET","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"CLG J. Vilar","Allophone CLG 49 - CLG Vilar",73574.2,36294.2,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","MAINE-ET-LOIRE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"CLG La Ville aux Roses","Pôle Insertion - CLG Ville aux roses",26872.9,6724.9,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE / CHATEAUBRIANT","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"CLG Les Gondoliers","Prévenir le décrochage scolaire dans les CLG 85 - CLG Les Gondoliers",171404,50000,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","VENDEE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"CLG L. Rutigliano","Centre Ressource Allophone - CLG Rutigiano",67459.5,30619.5,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE / NANTES","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"CLG R-G Cadou","Pôle Insertion - CLG Cadou",64362,11352,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE / ANCENIS","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"CLG Sévigné","Allophone CLG 53 - CLG Sévigné",74891,34835,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","MAYENNE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"CLG Val d'Huisne","Centre Ressource Allophone - CLG Val d'Huisne",59216.9,23732.9,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","SARTHE / LE MANS","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Comité de Bassin d'Emploidu pays d'Ancenis","permettre aux actifs du pays dAncenis d'acquérir et de développer de nouvelles compétences...",208286,72900,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE / ANCENIS / ANCENIS","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
