"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"OSEO Haute -Normandie","Assistance technique subvention globale de l'OSEO","180,000 €","90,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"OVERSPEED","PROJET COLLABORATIF GEOCOLIS","203,389 €","61,017 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"1","Activités R&DT dans centres de recherche"
"PLASTIQUES ET TISSAGES DE LUNERAY","Eliminer une étape de production afn de diminuer les couts de formulation et accroitre l'indépendance de la société vis à vis des fournisseurs de compounds.","901,915 €","100,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"POLE MONDIAL DU FLACONNAGE DE LUXE ","LGV - UTC INNOV+","627,200 €","180,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"1","Activités R&DT dans centres de recherche"
"POLYINTELL","Développement d'une méthode de séparation associant la technologie des polymères et des TAG.","311,300 €","120,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"POLYMERS TECHNOLOGIES","ANIMATION DE L'ASSOCIATION POLYMERS TECHNOLOGIES","145,572 €","52,132 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"PORTAFEU","Développement d'une gamme de fermetures et applications spéciales de compartimentage incendie.","976,000 €","90,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"PORTAFEU","Développement dune gamme de portes industrielles de grandes dimensions résistantes au feu","1,088,000 €","90,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"PORT AUTONOME DU HAVRE","Développer les dessertes ferroviaires portuaires : modernisation du réseau ferré portuaire du Havre","20,000,000 €","5,000,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,,
"Préfecture de Haute-Normandie","Budget de fonctionnement courant au titre de l'année 2010 pour la MPCE","65,000 €","65,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,,
"Préfecture de Haute-Normandie","Budget de fonctionnement courant MPCE (juin à décembre 2009)","45,500 €","45,500 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,,
"Préfecture de Haute-Normandie","Création d'un site internet l'Europe s'engage en Haute-Normandie (Agence PIXELE)","11,541 €","11,541 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"86","Evaluation et études; information et communication"
