"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ASSOCIATION REGIE DE QUARTIER DES GLACIS","Aménagement nouveaux locaux Régie de Quartier des Glacis","214,003 €","60,000 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"8","Autres investissements en entreprises"
"ASSOCIATION SAPIN EI","ASSOCIATION SAPIN EI","203,386 €","61,016 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"8","Autres investissements en entreprises"
"Centre de formation d'apprentis agricoles de Châteaufarine","Acquisition de simulateurs de conduite d'engins forestiers avec informatique embarquée","228,950 €","114,475 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"CETIM","ACAMAS FC Multi filières","183,090 €","91,545 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"CETIM","Centre de ressources de la mécanique franc-comtoise Années 1 et 2","298,328 €","149,164 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"CHAMBRE DE METIERS de LA HAUTE-SAONE  (CM70)","Soutien au développement du e.commerce dans l'artisanat","173,750 €","79,113 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"CHAMBRE DE METIERS du DOUBS (CM25)  ","Création d'un club de chefs d'entreprises artisanales","50,322 €","24,658 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"CHAMBRE DE METIERS du JURA (CM39) ","Mise en réseau des entreprises - appui à la mise en place et au démarrage d'une coopérative d'entreprises artisanales  services à la personne ","77,431 €","38,715 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"CHAMBRE DEPARTEMENTALE DE COMMERCE ET D'INDUSTRIE de  BELFORT  (CCI90)","Structuration de la filière  Energie  en Franche-Comté","898,586 €","338,452 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"CHAMBRE DEPARTEMENTALE DE COMMERCE ET D'INDUSTRIE du DOUBS (CCI25)","POSITIONNEMENT STRATEGIQUE ET ACCOMPAGNEMENT","984,726 €","260,400 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"CHAMBRE REGIONALE DE COMMERCE ET D'INDUSTRIE (CRCI)","L'Intelligence Economique au service des entreprises","708,000 €","149,400 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"CHAMBRE REGIONALE DE COMMERCE ET D'INDUSTRIE (CRCI)","PIE AIR","855,000 €","427,500 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"CHAMBRE REGIONALE DE COMMERCE ET D'INDUSTRIE (CRCI)","Rebond","125,000 €","62,500 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"CHAMBRE REGIONALE DE COMMERCE ET D'INDUSTRIE (CRCI)","Volet IE du CAC automobile transport","369,000 €","184,500 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"CHAMBRE REGIONALE DE METIERS (CRM) ","Accompagnement à la transmission-reprise d'entreprises artisanales","229,500 €","100,000 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"CHARM'OSSATURE","CHARM'OSSATURE Aide à l'investissement matériel","1,097,612 €","82,320 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,,
"COMITE INTERPROFESSIONNEL DU GRUYERE DE COMTE (CIGC)","Programme de développement des Routes du Comté 2007","178,550 €","45,173 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"57","Autres outils d'amélioration des services touristiques"
"COMITE REGIONAL DU TOURISME DE FRANCHE-COMTE","Mise en oeuvre du plan marketing de la destination Montagnes du Jura (2007)","518,000 €","179,000 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"57","Autres outils d'amélioration des services touristiques"
"COMITE REGIONAL DU TOURISME DE FRANCHE-COMTE","Mise en oeuvre du plan marketing de la destination Montagnes du Jura 2008","518,000 €","179,000 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"57","Autres outils d'amélioration des services touristiques"
