"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Conseil Régional d'Auvergne","Agent logistique (BENNEJEAN FORGET Formation)","28,742 €","14,371 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MONTLUCON / MONTLUCON / MONTLUCON","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Conseil Régional d'Auvergne","CAP Cuisine (AFORMAC MONTLUCON)","82,029 €","41,014 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MONTLUCON / MONTLUCON / MONTLUCON","Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"Conseil Régional d'Auvergne","Couvreur, zingueur CAP, titre professionnel (AFPA Montluçon)","181,844 €","90,922 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MONTLUCON / MONTLUCON / MONTLUCON","Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"Conseil Régional d'Auvergne","Habilitation soudage tuyautage (AFPI Montluçon)","76,652 €","38,326 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MONTLUCON / MONTLUCON / MONTLUCON","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Conseil Régional d'Auvergne","Métier de pilote de système de production automatisée de l'industrie chimique (GRETA BOURBONNAIS)","70,967 €","35,483 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MONTLUCON / MONTLUCON / MONTLUCON","Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"Conseil Régional d'Auvergne","Mobilisation sociale et professionnelle (AFORMAC de Montluçon)","25,016 €","12,508 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MONTLUCON / MONTLUCON / MONTLUCON","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Conseil Régional d'Auvergne","Mobilisation sociale et professionnelle (Saint Exupéry Formation)","23,944 €","11,972 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MONTLUCON / MONTLUCON / MONTLUCON","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Conseil Régional d'Auvergne","Parcours personnalisés de formation, accompagnement création d'entreprise (CCI de Montluçon)","42,257 €","21,128 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MONTLUCON / MONTLUCON / MONTLUCON","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Conseil Régional d'Auvergne","Mobilisation Sociale et Professionnelle (AFORMAC Montluçon)","25,636 €","12,818 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MONTLUCON / MONTLUCON / MONTLUCON / RESTE DE LA COMMUNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CFA de l'Industrie d'Auvergne","Renforcer les relations entre le CFA, les formateurs, les apprentis, les familles et les entreprises","22,725 €","10,226 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MONTLUCON / MONTLUCON-EST / DESERTINES","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"CFA de l'Industrie d'Auvergne","Soutien aux apprentis afin daugmenter le taux de réussite aux examens et limiter les ruptures de contrat dapprentissage","37,250 €","16,763 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MONTLUCON / MONTLUCON-EST / DESERTINES","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Conseil Régional d'Auvergne","Cariste, agent de manipulation des charges (AFPI Auvergne)","8,873 €","4,437 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MONTLUCON / MONTLUCON-EST / DESERTINES","Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"Conseil Régional d'Auvergne","Pilote de machines/systèmes de production automatisée (AFPI Auvergne)","176,342 €","88,171 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MONTLUCON / MONTLUCON-EST / DESERTINES","Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"Conseil Régional d'Auvergne","Préparation à l'emploi soudage habilitation (AFPI Auvergne)","115,209 €","57,605 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MONTLUCON / MONTLUCON-EST / DESERTINES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASSOCIATION DE DEVELOPPEMENT ECONOMIQUE DU BASSIN DE MONTMARAULT (ADEM)","Chantier Action diagnostics logement","78,065 €","36,065 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MONTLUCON / MONTMARAULT","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASSOCIATION GALATEE","CHANTIER D'INSERTION GALATEE PDI NUTRITION ","70,000 €","32,712 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MOULINS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CENTRE DE FORMATION LAVRIL","Lutte Contre d'Insécurité Routière support de la Lutte contre l'Illettrisme","51,120 €","25,560 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MOULINS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CENTRE DE FORMATION LAVRIL","Lutte contre l'insécurité routière support de la lutte contre l'illettrisme","50,804 €","25,402 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MOULINS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Chambre de métiers de l'Allier","Accompagnement des créateurs ou repreneurs d'activités.","113,429 €","56,713 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MOULINS","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Chambre de métiers de l'Allier","Anticiper et gérer les mutations économiques- Accompagnement des chefs d'entreprise artisanale.","113,443 €","45,377 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MOULINS","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"GALATEE MOULINS","Chantier D'insertion: Création de supports et diffusion d'animations auprès de divers publics sur le thème de la nutrition information sur une consommation dans le respect du développement durable. Mise en place d'ateliers cuisine-Centre de ressource","76,756 €","36,756 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MOULINS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"MISSION LOCALE MOULINS","ACCOMPAGNEMENT RENFORCE DE JEUNES DE BAS NIVEAU DE QUALIFICATION.","154,768 €","76,567 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MOULINS","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"MISSION LOCALE MOULINS","ACCOMPAGNEMENT RENFORCE DES JEUNES DE BAS NIVEAU DE QUALIFICATION.","186,041 €","77,089 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MOULINS","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Ville d'Yzeure","CHANTIER D'INSERTION","431,033 €","135,000 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MOULINS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ISAE INSERTION SOCIOPROFESSIONNELLE PAR L'ACTIVITE ECONOMIQUE","CHANTIER D'INSERTION ISAE","19,675 €","2,175 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MOULINS / BOURBON-L'ARCHAMBAULT","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"COMMUNAUTE DE COMMUNES VAL DE BESBRE SOLOGNE BOURBONNAISE","CHANTIER D'INSERTION","278,388 €","55,000 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MOULINS / DOMPIERRE-SUR-BESBRE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"RAPID'NET SERVICES","AIDE AU POSTES EN ENTREPRISE D'INSERTION","96,810 €","48,405 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MOULINS / DOMPIERRE-SUR-BESBRE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"RAPID'NET SERVICES","Aides aux postes d'insertion","77,448 €","38,724 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MOULINS / DOMPIERRE-SUR-BESBRE / DOMPIERRE-SUR-BESBRE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"LES DÉCIDÉES","LES DÉCIDÉES","24,340 €","20,556 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MOULINS / LURCY-LEVIS","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"CFA Agricole de l'Allier","Atelier de soutien et de remédiation pédagogique pour les apprentis en difficultés","15,585 €","7,013 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MOULINS / MOULINS / MOULINS","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Conseil Régional d'Auvergne","BP REA (CFPPA de Moulins)","297,375 €","148,688 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER / MOULINS / MOULINS / MOULINS","Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
