"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"CRESPY","BP MACONNERIE",2262.75,1018.24,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE / TOULOUSE / TOULOUSE-13E / COLOMIERS","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"CRESPY","CAP MACONNERIE",4525.5,2036.48,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE / TOULOUSE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"C.R.I.C.","Evaluation des capacités professionnelles pour une personne en situation d'handicap psychique",16800,8400,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CRITT BOIS","PRODUCTION AU PLUS JUSTE",110434,55217,"FEDER ","MIDI-PYRENEES",,"FEDER Compétitivité Régionale et Emploi","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"CRITT CAAPI","Intégration d'une nouvelle machine de découpe numérique adaptée à la progression de l'activité de fabrication de pièces prototypes ",83200,30000,"FEDER ","MIDI-PYRENEES","TARN","FEDER Compétitivité Régionale et Emploi","2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"CRITT CAAPI","Plate-forme de démonstration et action collective pour la promotion de la robotique en PME",358900,137000,"FEDER ","MIDI-PYRENEES",,"FEDER Compétitivité Régionale et Emploi","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"C.R.M. (Conception Réalisations Mécaniques)","Contrat d'appui PME destiné à la SAS CONCEPTION REALISATIONS MECANIQUES - CRM - à Carmaux - Blayes les Mines (81)",671942,60000,"FEDER ","MIDI-PYRENEES","TARN / ALBI / CARMAUX-SUD / BLAYE-LES-MINES","FEDER Compétitivité Régionale et Emploi","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"DALKIA FRANCE","réalisation d'une chaufferie bois comprenant une chaudière biomasse et une chaudière gaz et réalisation d'un réseau de chaleur commune de MAZAMET",2242680,399872,"FEDER ","MIDI-PYRENEES","TARN / CASTRES / MAZAMET / MAZAMET","FEDER Compétitivité Régionale et Emploi","41","Energie renouvelable: biomasse"
"DECLIC MOTOMOBILE","Mise à disposition de véhicule pour favoriser la mobilité",36000,18000,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"DECLIC MOTOMOBILE","Recherche dautonomie pour se déplacer : mise a disposition de véhicule en location (deux roues et quatre roues) pour favoriser la mobilité",38000,21065.95,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"DE FEVERI FRERES","CONDUCTEUR DE TRAVAUX BATIMENT",2005.44,902.45,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE / TOULOUSE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"DE FEVERI FRERES","USINAGE BOIS FORMSOLID",3777.8,1700.01,"FONDS SOCIAL EUROPEEN","ILE-DE-FRANCE","ESSONNE / EVRY","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"DE FEVERI FRERES","USINAGE BOIS FORMSOLID",5873.54,2643.09,"FONDS SOCIAL EUROPEEN","ILE-DE-FRANCE","ESSONNE / EVRY","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
