"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Université de Caen ","Acquisition d'un spectromètre de masse MALDI-TOF-TOF","580,114 €","221,093 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"Université de Caen ","Création de l'Institut de recherche en biologie et agro-bioindustrie (ISBIO dernière tranche)","1,300,000 €","500,000 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"Université de Caen ","Equipements lourds destinés à l'un des plateaux techniques de l'IFR - ICORE","1,185,063 €","474,009 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"Université de Caen ","Etape de Pré-Incubation et d'Innovation (EP2I) - Tranche 1","492,851 €","196,920 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Université de Caen ","FLORENIE","146,772 €","39,657 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"1","Activités R&DT dans centres de recherche"
"Université de Caen ","Projet ALGOBANK - ROQUETTE : création de souchiers de microalgues répondant aux objectifs de production de ROQUETTE","400,501 €","108,366 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"1","Activités R&DT dans centres de recherche"
"Université de Caen ","Projet IDEIS","567,151 €","224,826 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Université de Caen ","RAMPAL","166,002 €","62,268 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"1","Activités R&DT dans centres de recherche"
"Ville de Caen","Bâtiment à énergie positive sur le site de la Colline aux Oiseaux.","97,444 €","29,233 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"WEB INTERACTIVE","Faisabilité pour le développement d'une plate-forme informatique de gestion de contenus, désignée par  Interactive , impliquant le recrutement d'un ingénieur.","40,050 €","20,000 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
