"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Association Centre de Cours des Préparateurs en Pharmacie de la Corrèze","Contribuer à l'adaptation des travailleurs-Développement de l'apprentissage",23977.04,10789.67,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Association Centre de Cours des Préparateurs en Pharmacie de la Corrèze","Qualité dans l'apprentissage 2007",22950.84,10327.88,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Association Centre de Cours des Préparateurs en Pharmacie de la Corrèze","Qualité dans l'apprentissage - 2008",24535.56,11041,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Association comité départemental du tourisme de la Corrèze.","Chantier d'insertion- entretien des sentiers inscrits au PRIPR",203729.92,11221.36,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association d'Animation Sociale du Val de l'Aurence","Passeport Travail 2008",138064,10000,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association d'Animation Sociale du Val de l'Aurence","Passeprot Travail",16071,3126,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association de Développement du Pays de Bonnat Châtelus Malvaleix","Encadrement technique et accompagnement socioprofessionnel",51000,25500,"FONDS SOCIAL EUROPEEN","LIMOUSIN","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association de Développement du Pays de Bonnat Châtelus Malvaleix","encadrement technique et accompagnement socioprofessionnel d'un chantier d'insertion",51000,25500,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CREUSE / GUERET / BONNAT / BONNAT","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASSOCIATION DES BIBLIOTHECAIRES DE FRANCE","Fonds Local Formation 2008 : Auxiliaire de bibliothèque",259,259,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASSOCIATION  DES CEMEA DU LIMOUSIN","Fonds Local Formation 2008 : Brevet Professionnel Jeunesse Education Populaire et Sports ",983.22,983.22,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASSOCIATION  DES CEMEA DU LIMOUSIN","Fonds Local Formation : Brevet Professionnel Jeunesse Education Populaire et Sports 2nd semestre 2007",541.38,541.38,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association des Chantiers des Chemins Jacquaires","Chantier d'insertion Les Chantiers des Chemins Jacquaires 2008",417400,30000,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association des Chantiers des Chemins Jacquaires","Chantier d'insertion Les Chemins Jacquaires",200173.69,17500.48,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association FORET Réinsertion environnement du pays de Tulle.","Aide aux postes d'une entreprise d'insertion de Corrèze",50825,21782,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association FORET Réinsertion environnement du pays de Tulle.","Chantier d'insertion environnement",63407,4800,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association FORET Réinsertion environnement du pays de Tulle.","Chantier d'insertion environnement",155438,,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE / TULLE / TULLE / TULLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association FORET Réinsertion environnement du pays de Tulle.","ENTREPRISE D'INSERTION AIDE AUX POSTES",67767,29043,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE / TULLE / TULLE / TULLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Horizon Jeune","Encadrement technique et accompagnement socioprofessionnel des bénéficiaires du chantier d'insertion",37775,18888,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CREUSE / AUBUSSON","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
