"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"A.FOR.PRO.BA de Loir-et-Cher (CFA du Bâtiment de Loir-et-Cher)","PROJET D'ETABLISSEMENT 2009 (CFA BTP de Loir-et-Cher)",371816,167307,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"A.FOR.PRO.BA. D'EURE-ET-LOIR (CFA du Bâtiment d'Eure-et-Loir)","PROJET D'ETABLISSEMENT 2008 (CFA BTP 28)",127603,52960,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"A.FOR.PRO.BA. D'EURE-ET-LOIR (CFA du Bâtiment d'Eure-et-Loir)","PROJET D'ETABLISSEMENT 2009",155275,69873,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"A.FOR.PRO.BA. du Loiret (CFA du Bâtiment du Loiret)","PROJET D'ETABLISSEMENT 2008 (CFA BTP 45)",280404,93467,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"A.FOR.PRO.BA. du Loiret (CFA du Bâtiment du Loiret)","PROJET D'ETABLISSEMENT 2009 (CFA BTP 45)",424890,191197,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AFP de la Ville de Tours (CFA des Douets)","PROJET DE CFA 2008 (CFA AFP Ville de Tours)",347341,129275,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AFP de la Ville de Tours (CFA des Douets)","PROJET DE CFA 2009 AFP Tours",343009,154348,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AGEFOS PME   CENTRE","PASS' FORMATION",339300,147494,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGEFOS PME   CENTRE","PASS' FORMATION",365242,161181,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Agence Française de Sécurité Sanitaire des Aliments","Etat sanitaire des saumons sauvages en Loire-Allier : recherche d'une hypothèse sanitaire expliquant l'augmentation de leur mortalité",93281.28,44775.01,"FEDER ","Multiregion","Multilocalisation","Programme opérationnel plurirégional Loire","1","Activités R&DT dans centres de recherche"
"Agence Nationale pour l'Emploi","Accompagnement des demandeurs d'emploi non indem présentant un risque élevé de chomage longue durée",4200000,2100000,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Agence Nationale pour l'Emploi","Accompagnement des demandeurs d'emploi non indem présentant un risque élevé de chomage longue durée",15799800,7899900,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Agence Nationale pour l'Emploi","Amélioration du développement de l'accès et de la participation durable des femmes au marché du trav",385500,250575,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"AGENCE REGIONALE CENTRE CINEMA AUDIOVISUEL","Etude et réalisation d'un bouquet de chaînes et de services, offre audiovisuelle et multimédia sur la plateforme numérique régionale",400000,100000,"FEDER ","CENTRE","Multilocalisation","PO-FEDER","13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
"AGENCE REGIONALE POUR L INNOVATION ET LE TRANSFERT DE TECHNOLOGIE ","2008-2009 Création d'un centre régional de ressources pour l'innovation",1167968,583984,"FEDER ","CENTRE","LOIRET / ORLEANS / ORLEANS / ORLEANS","PO-FEDER","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"AGENCE REGIONALE POUR L INNOVATION ET LE TRANSFERT DE TECHNOLOGIE ","2009 - Projet de diffusion technologique",1825428,543428,"FEDER ","CENTRE","LOIRET / ORLEANS","PO-FEDER","3","Transfert de technologie et amélioration des réseaux de coopération..."
"AGENCE REGIONALE POUR L INNOVATION ET LE TRANSFERT DE TECHNOLOGIE ","ARCAD'IE",195991,78396,"FEDER ","CENTRE","LOIRET / ORLEANS","PO-FEDER","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"AGENCE REGIONALE POUR L INNOVATION ET LE TRANSFERT DE TECHNOLOGIE ","ARITT 2008 - PROGRAMME DE DIFFUSION DE L'INNOVATION EN REGION CENTRE ",1888874,722254,"FEDER ","CENTRE",,"PO-FEDER","3","Transfert de technologie et amélioration des réseaux de coopération..."
"AGENCE REGIONALE POUR L INNOVATION ET LE TRANSFERT DE TECHNOLOGIE ","BERRINNOV",524533,137518,"FEDER ","CENTRE","Multilocalisation","PO-FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"AGENCE REGIONALE POUR L INNOVATION ET LE TRANSFERT DE TECHNOLOGIE ","nouvelles actions animation territoriales et ingénierie de projets 2007",713541,136684,"FEDER ","CENTRE",,"PO-FEDER","3","Transfert de technologie et amélioration des réseaux de coopération..."
"ALPEJ","Développement des postes d'insertion",732050,87129,"FONDS SOCIAL EUROPEEN","CENTRE","LOIRET","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ALPEJ","Financement aide aux poste en entreprise d'insertion",203301,91485,"FONDS SOCIAL EUROPEEN","CENTRE","LOIRET / MONTARGIS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ALSTEF Automation","Développement  et industrialisation de 4 projets",468740,117185,"FEDER ","CENTRE","LOIRET / ORLEANS / CHECY / BOIGNY-SUR-BIONNE","PO-FEDER","7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"ANERVEDEL","2008 - Actions d'Insertion au profit des bénéficiaires du RMI",33538.8,16769.4,"FONDS SOCIAL EUROPEEN","CENTRE","EURE-ET-LOIR / CHARTRES / CHARTRES-SUD-OUEST / LUISANT","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ANERVEDEL","2009 - Actions d'Insertion au profit des bénéficiaires du RMI",41923.5,20961.75,"FONDS SOCIAL EUROPEEN","CENTRE","EURE-ET-LOIR / CHARTRES / CHARTRES-SUD-OUEST / LUISANT","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ARASEA CENTRE","2008 - Accompagner le renouvellement socio-économique des générations en milieu rural",73084.28,28980.44,"FEDER ","CENTRE","LOIRET / ORLEANS","PO-FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ARASEA CENTRE","2009 - Accompagner le renouvellement socio-économique des générations en milieu rural",82095.5,32838.2,"FEDER ","CENTRE",,"PO-FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ARCNAM CENTRE Association Régionale du Conservatoire National des Arts et Métiers Centre","2008 - VAE PRC - ASSOCIATION ARCNAM",62370,28066.5,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"ARDAN CENTRE, Association Régionale pour le Développement d'Activités Nouvelles en région Centre","2007-DEVELOPPEMENT D'ACTIVITES NOUVELLES DANS LES ENTREPRISES (PME DE MOINS DE 100 PERSONNES)",690809,84700,"FEDER ","CENTRE",,"PO-FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ARDAN CENTRE, Association Régionale pour le Développement d'Activités Nouvelles en région Centre","2008 Développement d'activités nouvelles dans les entreprises",1033140,110800,"FEDER ","CENTRE",,"PO-FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ARDAN CENTRE, Association Régionale pour le Développement d'Activités Nouvelles en région Centre","2009-Développement d' Activités Nouvelles dans les TPE et PME de la Région Centre",858931,104828,"FEDER ","CENTRE","LOIR-ET-CHER / BLOIS","PO-FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ARMINES ","Contribution interdisciplinaire à la gestion équilibrée de la ressource en eau de lhydro-sociosystème ligérien amont dans un contexte de changement climatique",396321.58,129988.8,"FEDER ","RHONE-ALPES","LOIRE","Programme opérationnel plurirégional Loire","1","Activités R&DT dans centres de recherche"
"ASSOCIATION 1001 PATTES","Création, promotion, animation d'un centre d'accueil périscolaire et de loisirs pour jeunes enfants",83351.47,35417.37,"FONDS SOCIAL EUROPEEN","CENTRE","INDRE-ET-LOIRE / CHINON / AZAY-LE-RIDEAU / VILLAINES-LES-ROCHERS","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
