"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Direction Régionale Association nationale pour la Formation Professionnelle des Adultes","Expérimentation relative à l'orientation professionnelle et à la prescription individuelle d'accès à la formation professionnelle pour les publics sans emploi et demandeurs d'emploi",569639,256330,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
"Direction Régionale Association nationale pour la Formation Professionnelle des Adultes","Mise en place de l'espace régional de téléformation et de services ouverts et à distance",1023168,460425,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
"Direction Régionale Association nationale pour la Formation Professionnelle des Adultes","Sécurisation des parcours des demandeurs d'emploi présentant des risques de chômage de longue durée",1713074,856537,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"DIRECTION REGIONALE DE L'ANPE","ACCOMAPGNEMENT DES DEMANDEURS D EMPLOI NON INDEMNISES PRESEN?TANT UN RISQUE ELEVE DE CHOMAGE DE LONGUE DUREE",12129840,5000000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"DIRECTION REGIONALE DE L'ANPE","Accompagnement des demandeurs d'emploi non indemnisés, présentant un risque élevé de chômage longue ",14830120,5000000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"DIRECTION REGIONALE DE L'ANPE","Référent de parcours PLIE",36232,28985.6,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES / GRASSE / CANNES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"DIRECTION REGIONALE DE L'ANPE","renforcement et optimisation des competences seniors",106477,53238.5,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / MARSEILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"DIVA"," Coeur de métier - Découverte des métiers par l'usage des NTIC ",64285,22500,"FEDER ","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES / NICE","Programme Opérationnel FEDER","11","Technologies de l'information et la communication (...)"
"DRTEFP","ASSISTANCE TECHNIQUE ( drtefp ).",5720000,4000000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
"DRTEFP","Marché intérim ( ADECCO)",308028.12,308028.12,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
