"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"LORRAINE COSMETIQUE (LORCOS)","FRIFE","30,955 €","10,834 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE / LUNEVILLE / LUNEVILLE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Mission locale de luneville","accompagnement renforcé des jeunes de 16 à 25 ans","194,882 €","33,000 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE / LUNEVILLE / LUNEVILLE","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Mission locale de luneville","LU-PARCOURS EMPLOI","25,127 €","7,430 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE / LUNEVILLE / LUNEVILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"PFL","FRIFE ","80,203 €","28,071 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE / LUNEVILLE / LUNEVILLE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Conseil du développement du Val de Lorraine","Subvention globale 2008- 2009","1,546,615 €","773,104 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / NANCY","Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
"Direction Régionale du Travail, de l'Emploi et de la Formation Professionnelle","assistance technique 2009","690,500 €","341,700 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / NANCY","Programme opérationnel national Fonds social européen","85","Préparation, mise en oeuvre, suivi et inspection "
"JEUNES ET CITE","CI InfoSEL","205,860 €","14,500 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / NANCY","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Mission locale de Nancy","accompagnement renforcé 2008","336,042 €","92,720 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / NANCY","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Mission locale de Nancy","accompagnement renforcé des jeunes","618,123 €","92,720 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / NANCY","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Mission locale du val de lorraine","accompagnement renforcé 2008","129,678 €","62,318 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / NANCY","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"SOCIETE DE TRAVAUX PUBLICS DE LORRAINE","Plan de formation de l'entreprise","5,921 €","2,368 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / NANCY / DIEULOUARD / DIEULOUARD","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ERIEM","Plan de formation interne","179,158 €","35,832 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / NANCY / JARVILLE-LA-MALGRANGE / HEILLECOURT","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
