"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"AXALYS","AFT / Etude d'un nouveau système de verrouillage multipoints de coulissant alu","60,883 €","15,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"AXALYS","Aide préparatoire à un programme d'innovation concernant la mise au point d'un chariot de coulissants","58,300 €","29,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"BERLIDON SA","Développement innovant de l'outil de production","839,335 €","130,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"8","Autres investissements en entreprises"
"BERTRAN DE BALANDA Laurent","AFC / Projet e-tribArt : Ecole en infographie en ligne pilotée par des outils pédagogiques innovants : les Logiciels Tuteurs Personnalisés","11,999 €","2,999 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"BERTRAN DE BALANDA Laurent","Projet  de développement d'outils pédagogiques numériques innovants les logiciels tuteurs pernonnalisés","26,363 €","6,590 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"BERTRAND JEAN MARC","Installation photovoltaïque de 35.64 kWc sur un hangar de stockage de matériels","144,320 €","15,350 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"40","Energie renouvelable: én. solaire"
"BIEN MANGER SARL","Extension des locaux à La Canourgue","466,344 €","69,951 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"8","Autres investissements en entreprises"
"BIOLUX MEDICAL","Aide à la préparation du développement dun appareil pour le traitement de la douleur temporaire et « anti âge » personnalisé basé sur la technologie des LEDs.","93,650 €","46,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"BIO-RAD SNC","Projet DIATRAL : Diagnostic et traitement de la maladie d'ALZHEIMER","883,992 €","100,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"BIOS DEVELOPPEMENT SARL","Achat et extension d'un bâtiment industriel à Salindres (30)","853,351 €","128,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"8","Autres investissements en entreprises"
"BOIS D'OCCITANIE","AFT : Mise au point de procédés propres d'extraction de molécules d'intérêts pour l'industrie chimique à partir de produits connexes de la filière bois","60,000 €","15,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"BOIS ENERGIE 66","Mission d'animation  Bois Energie  dans les Pyrénées Orientales pour 2009","145,500 €","50,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"41","Energie renouvelable: biomasse"
"BOIS ENERGIE 66","Programme de développement de la filière Bois-Energie sur le département des Pyrénées Orientales","144,600 €","48,090 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"41","Energie renouvelable: biomasse"
"BONICOLI SA","Installation photovoltaïque de 83.28 kWc sur des bâtiments industriels et tertiaires","480,750 €","41,640 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"40","Energie renouvelable: én. solaire"
"BONIFACE Sandrine","AFC : Projet JEIM de valorisation de la filière agricole ","12,443 €","3,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"BONIFACE Sandrine","AFT / Projet JEIM : mise au point de nouveaux produits issus de l'agriculture","48,438 €","12,109 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"BOUISSON Xavier","Installation photovoltaïque de 30.24 kWc sur un bâtiment de stockage agricole","149,704 €","14,960 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"40","Energie renouvelable: én. solaire"
"BOU Stéphane","AFC / Projet OTONOMIA : conception et développement de logiciels adaptés aux personnes en situation de handicap","9,093 €","2,273 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"BREITLER Jean-Christophe","Projet GREENFEEL : culture de végétaux décoratifs in vitro","10,405 €","2,601 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"BRGM - Bureau Recherche Géologique et Minière","Etude régionale sur la qualité de la ressource en eau thermale","379,417 €","124,939 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,,
"BRGM - Bureau Recherche Géologique et Minière","PIERRESUD, système d'information sur les pierres et carrières du patrinoine bâti de Languedoc-Roussillon","272,244 €","108,897 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"12","Technologies de l'information et la communication (RTE-TIC)"
"BRGM - Bureau Recherche Géologique et Minière","Serre expérimentale de Balandran - phases 2 et 3","225,611 €","45,122 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"42","Energie renouvelable: én. hydroélectrique, géothermique et autre"
"BRODU Christophe","Installation photovoltaïque de 35.31 kWc sur une bergerie et un abri à fourrage","230,707 €","44,138 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"40","Energie renouvelable: én. solaire"
"BTP FORMATION 11","Création d'une plate-forme photovoltaïque de formation","65,543 €","32,771 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"40","Energie renouvelable: én. solaire"
"BUREAU INFORMATION JEUNESSE 66","développement du réseau  point cyb  pyrénées orientales","215,600 €","107,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"12","Technologies de l'information et la communication (RTE-TIC)"
"CALZOLARI Charles","AFT / Mise au point d'un lot pilote d'un système de marquage pour la lutte contre la contrefaçon à base de produits végétaux","37,000 €","9,250 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"CALZOLARI Charles","Développement d'étiquettes biologiques extrinsèques","12,000 €","3,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"CAMDIB","Action collective sur le mobilier urbain : Phase 1 : Etude de faisabilité","50,000 €","20,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"CAMPS Fabrice","AFT / Mise au point d'un support de résine adapté à la chaussure du joueur de handball","8,901 €","2,225 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"CAP INVEST HOLDING SARL","Construction de nouveaux locaux pour la sarl CAPELEC à Montpellier","2,380,000 €","80,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"8","Autres investissements en entreprises"
"CAPTELS","Etude préparatoire à un programme d'extension de pesage dynamique","97,930 €",,"FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"CCI  ALES-CEVENNES","Aéropôle de DEAUX -Projet d'atelier relais pour l'émergence de la filière aéronautique","488,000 €","195,200 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"8","Autres investissements en entreprises"
"CCI  ALES-CEVENNES","programme d'appropriation  et de développement économique par l'usage des TIC au travers des plates-","1,279,078 €","385,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"11","Technologies de l'information et la communication (...)"
"CCI Montpellier","Actions de développement de l'export dans la filière viticole","543,416 €","163,025 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"CCI Montpellier","développement des usages innovants des TIC dans les entreprises : les espacespro_cci","208,719 €","89,409 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"11","Technologies de l'information et la communication (...)"
"CCI PERPIGNAN","structuration de l'offre touristique des Pyrénées-Orientales par la mise en place de la vitrine commerciale   Destination Pyrénées-Orientales  www.pyrenees.fr","964,322 €","241,080 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"12","Technologies de l'information et la communication (RTE-TIC)"
"CEA"," MATCOS  : Création d'une plate-forme technologique d'élaboration de matériaux par voie supercritique","3,128,732 €","782,183 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"CEA"," MATCOS  : Création d'une plate-forme technologique d'élaboration de matériaux par voie supercritique","3,128,732 €","782,183 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"C.E.D.R.E (Carrere Etudes Développement Réalisations Economiques)","Construction d'un bâtiment à Trebes (11)","1,502,351 €","150,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"8","Autres investissements en entreprises"
"CEMAGREF","Préfiguration et mise en oeuvre de l'Observatoire Régional de la Biodiversité en LR","126,713 €","36,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
