"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE POINTE -A-PITRE","IMPRIM'VERT","14,497 €","10,873 €","FEDER ","GUADELOUPE","GUADELOUPE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE POINTE -A-PITRE","Infrastructures aéronautique-Augmentation capacités accueil gros porteurs-Parking supplémentaires-1ère tranche : P5","3,800,000 €","1,900,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,"29","Aéroports"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE POINTE -A-PITRE","Infrastructures Régional Caraïbes - Adaptation,mise aux normes et agrandissement parkings avion: Phase Etudes","244,000 €","122,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,"29","Aéroports"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE POINTE -A-PITRE","MISSION COLLECTIVE DE PROSPECTION A SAINTE LUCIE","8,999 €","6,299 €","FEDER ","GUADELOUPE","GUADELOUPE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE POINTE -A-PITRE","PREMIER SALON DES SERVICES A LA PERSONNE  DE GUADELOUPE ET DES ILES DU NORD","170,000 €","85,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE POINTE -A-PITRE","REACH","15,399 €","4,955 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE POINTE -A-PITRE","SALON GUADELOUPE EXPORT","91,103 €","65,693 €","FEDER ","GUADELOUPE","GUADELOUPE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"CHARPENTES INDUSTRIE BOIS ANTILLES (C.I.B.A) ","Acquisition d'une centrale d'usinage SPED-CUT","275,318 €","137,659 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CHOUKASIK","Création d'une Entreprise de fabrication artisanale de produits de confiseries","323,040 €","156,128 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COLLECTIVITE DE SAINT-MARTIN","Création d'une piscine en eau de mer sur la plage de Grand-Case à Saint-Martin","431,599 €","100,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COLLECTIVITE DE SAINT-MARTIN","Programme d'aménagement des voiries à Saint-Martin - la route départementale RD 208 à Sandy Ground ","2,654,516 €","2,123,613 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COLLECTIVITE DE SAINT-MARTIN","Programme d'aménagement des voiries à Saint-Martin - rue de Hollande et route du Gallion","1,746,559 €","876,387 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COLLECTIVITE OUTRE MER SAINT-BARTHELEMY","Réfection du quai du bord de mer à Gustavia","2,598,822 €","1,529,147 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMITE DU TOURISME DES ILES DE GUADELOUPE","Programme d'actions 2008","4,086,000 €","2,083,860 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMITE DU TOURISME DES ILES DE GUADELOUPE","Programme d'actions de promotion 2009","4,097,000 €","2,089,470 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"Comité Régional Guadeloupe de la FFESSM","4ème et 5èmes  journées de nettoyage des fonds sous marins","71,600 €","31,500 €","FEDER ","GUADELOUPE","GUADELOUPE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Comité Régional Guadeloupe de la FFESSM","Installation de mouillages écologiques","86,478 €","38,050 €","FEDER ","GUADELOUPE","GUADELOUPE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Communauté d'agglomération CAP Excellence","Etude de régularisation du captage de Bras David","44,405 €","26,643 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"Communauté d'agglomération CAP Excellence","Travaux de mise en conformité de la station d'épuration des eaux usées de la Pointe-à-Donne - filière  eau ","1,850,000 €","1,110,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNAUTE DE COMMUNES DU SUD BASSE-TERRE","Reconstruction et extension de la station d'épuration de Baillif","8,021,588 €","4,812,953 €","FEDER ","GUADELOUPE","GUADELOUPE",,"46","Traitement de l'eau (eaux usées)"
"COMMUNAUTE DE COMMUNES DU SUD BASSE-TERRE","Travaux de réhabilitation du réseau d'asainissement des eaux usées de Baillif","1,468,992 €","865,457 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNAUTE DES COMMUNES DE MARIE-GALANTE","Festival de Marie-Galante - Terre de Blues","360,000 €","183,600 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNAUTE DES COMMUNES DE MARIE-GALANTE","Transatlantique Belle île en Mer-Marie-Galante - Participation et promotion du Pays MARIE-GALANTE - 5ème Edition du Trophée","600,000 €","290,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNE DE BAIE-MAHAULT","Construction du groupe scolaire de Convenance","2,437,239 €","1,218,620 €","FEDER ","GUADELOUPE","GUADELOUPE",,"84","Soutien visant à compenser les surcoûts liés aux conditions climatiques et aux difficultés du relief"
"COMMUNE DE CAPESTERRE-BELLE-EAU","Aménagement touristique du front de mer de Capesterre Belle-Eau","3,710,668 €","1,892,441 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNE DE CAPESTERRE-BELLE-EAU","Reconstruction et réhabilitation de l'école de Carangaise","1,279,775 €","639,887 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNE DE CAPESTERRE DE MARIE-GALANTE","Etude pour la réhabilitation de la décharge communale","38,833 €","15,533 €","FEDER ","GUADELOUPE","GUADELOUPE",,"44","Gestion des déchets ménagers et industriels"
"Commune de Deshaies","Construction de la station de traitement des eaux de la ZAC de Bas Vent","794,877 €","476,926 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"Commune de Deshaies","Schéma Directeur d'Alimentation en eau potable","200,000 €","120,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNE DE LA DESIRADE","Mise en place du compostage individuel pour 100 foyers de la commune","24,349 €","7,783 €","FEDER ","GUADELOUPE","GUADELOUPE",,"44","Gestion des déchets ménagers et industriels"
"COMMUNE DE POINTE-A-PITRE","Aménagement de la place du marché central et ses abords - RUPAP","6,161,091 €","2,957,323 €","FEDER ","GUADELOUPE","GUADELOUPE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
"COMMUNE DE POINTE-A-PITRE","Aménagement du Centre d'Animation Culturelle et Educative de Bergevin - RUPAP","11,800,000 €","4,686,172 €","FEDER ","GUADELOUPE","GUADELOUPE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
"COMMUNE DE POINTE-A-PITRE","Etudes & Diagnostics pour la réhabilitation et la restructuration du Centre des Arts et de la Culture de POINTE à PITRE (1ére tranche)","890,000 €","453,900 €","FEDER ","GUADELOUPE","GUADELOUPE",,"59","Développement d'infrastructures culturelles"
"COMMUNE DE POINTE-A-PITRE","Reconstruction du groupe scolaire Raphaël JOLIVIERE sur l'îlot du foncier de l'ancien stade - RUPAP","10,270,000 €","3,480,465 €","FEDER ","GUADELOUPE","GUADELOUPE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
"COMMUNE DES ABYMES","Reconstruction du Groupe Scolaire de CARENAGE","1,429,498 €","714,749 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNE DE SAINT-CLAUDE","Aménagement de la Maison DARRACQ ","604,710 €","241,843 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNE DE SAINTE-ROSE","Etude de régularisation de captage d'eau potable","141,900 €","85,140 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNE DE SAINTE-ROSE","Réalisation d'un bassin de stockage d'eau brute à Cacao","640,868 €","339,021 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNE DE SAINTE-ROSE","Schéma Directeur d'Alimentation en Eau potable","184,000 €","110,400 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNE DE SAINT-FRANCOIS ","Aménagement de l'axe commercial de la rue de la liberté - Phase Etudes","150,000 €","76,500 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNE DE SAINT-FRANCOIS ","Aménagement et valorisation de l'espace touristique des Raisins Clairs - Phase Etudes","93,825 €","47,851 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNE DE SAINT-FRANCOIS ","Réalisation d'une déchetterie à Saint-François","600,000 €","236,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,"44","Gestion des déchets ménagers et industriels"
"COMMUNE DE SAINT-FRANCOIS ","Requalification économique et culturelle du marché central de ST FRANCOIS - Phase Etudes","100,000 €","51,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNE DE SAINT-FRANCOIS ","Schéma urbain et touristique de la commune de ST FRANCOIS","46,175 €","23,549 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNE DE TERRE DE HAUT (LES SAINTES)","Mise en place de la collecte sélective en point d'apport volontaire","33,274 €","18,966 €","FEDER ","GUADELOUPE","GUADELOUPE",,"44","Gestion des déchets ménagers et industriels"
"COMMUNE DE TROIS-RIVIERES","Etude sur la faisabilité et la mise en place du tri sélectif sur le territoire de la commune de Trois Rivières","82,299 €","17,885 €","FEDER ","GUADELOUPE","GUADELOUPE",,"44","Gestion des déchets ménagers et industriels"
"COMMUNE DE VIEUX-FORT","Schéma Directeur d'Alimentation en au potable","172,000 €","103,200 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNE DU GOSIER","Gosier Numérique","241,500 €","131,980 €","FEDER ","GUADELOUPE","GUADELOUPE",,"10","Infrastructures téléphoniques (y compris réseaux haut débit)"
"COMMUNE DU LAMENTIN","Mise à jour du Schéma Directeur d'Assainissement ","35,300 €","21,180 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"COMMUNE DU LAMENTIN","Réalisation du Schéma Directeur d'alimentation en eau potable","203,000 €","81,200 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"Conseil d'Architecture d'Urbanisme et de l'Environnement","Création d'un espace information énergie","167,797 €","34,573 €","FEDER ","GUADELOUPE","GUADELOUPE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"CONSEIL GENERAL DE LA GUADELOUPE","CONSTRUCTION D'UN SECOND COLLEGE A SAINTE ROSE- Rose Bois Rada","9,162,000 €","5,222,340 €","FEDER ","GUADELOUPE","GUADELOUPE",,"75","Infrastructures pour l'éducation"
"CONSEIL GENERAL DE LA GUADELOUPE","Déploiement opérationnel du Plan Transport - Tranche 1 - 2009/2011","3,700,000 €","2,775,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,"27","Transport multimodal (RTE-T)"
"CONSEIL GENERAL DE LA GUADELOUPE","Programme de réorganisation des transports interurbains de voyageurs : mise en place de la billettique","1,711,430 €","1,283,573 €","FEDER ","GUADELOUPE","GUADELOUPE",,"27","Transport multimodal (RTE-T)"
"CONSEIL REGIONAL DE LA GUADELOUPE","Budget 01 AT FEDER - subvention globale Conseil Régional 2008 et 2009","1,656,049 €","750,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CONSEIL REGIONAL DE LA GUADELOUPE","Conception-Construction de l'Université des Métiers de l'Artisanat de la Guadeloupe","17,638,767 €","10,054,097 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CONSEIL REGIONAL DE LA GUADELOUPE","Déploiement opérationnel du Plan Transport - Tranche 1 - 2007/2009","358,000 €","268,500 €","FEDER ","GUADELOUPE","GUADELOUPE",,"27","Transport multimodal (RTE-T)"
"CONSEIL REGIONAL DE LA GUADELOUPE","Déploiement opérationnel du Plan Transport - Tranche 2 - 2009/2011","2,000,000 €","1,500,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,"27","Transport multimodal (RTE-T)"
"CONSEIL REGIONAL DE LA GUADELOUPE","Etude d'une stratégie de mise en oeuvre d'une plate-forme mutualisée de dématérialisation des marchés publics","11,400 €","7,296 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CONSEIL REGIONAL DE LA GUADELOUPE","Etude sur le secteur des TIC en Guadeloupe","82,894 €","53,052 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CONSEIL REGIONAL DE LA GUADELOUPE","FONDS D'INVESTISSEMENT DE LA REGION GUADELOUPE (FIRG) - ANNEE 2009","3,500,000 €","2,000,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CONSEIL REGIONAL DE LA GUADELOUPE","Mise en place d'un Système d'Information Géographique (SIG)","141,444 €","90,524 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CONSEIL REGIONAL DE LA GUADELOUPE","Participation d'une délégation d'entreprises guadeloupéennes au Xème forum des entreprises de la grande Caraïbe en Haïti du 19 au 24 octobre 2009","7,408 €","5,556 €","FEDER ","GUADELOUPE","GUADELOUPE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"CONSEIL REGIONAL DE LA GUADELOUPE","Réduction de la fracture numérique dans les lycées de Guadeloupe","6,446,449 €","4,125,727 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CONSEIL REGIONAL DE LA GUADELOUPE","STRATEGIE REGIONALE INNOVATION DE LA GUADELOUPE","320,121 €","227,286 €","FEDER ","GUADELOUPE","GUADELOUPE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Conservatoire du Littoral et des Rivages Lacustres","Aménagement de 3 sites naturels sur la Réserve Naturelle de Saint-Martin","306,310 €","153,155 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"Conservatoire du Littoral et des Rivages Lacustres","Travaux et aménagements des sites du conservatoire du littoral en Guadeloupe","184,690 €","81,263 €","FEDER ","GUADELOUPE","GUADELOUPE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
