"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Communauté de Communes de Montesquieu","ANIMATION ECONOMIQUE DU TERRITOIRE /CCM",38108,38108,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE / BORDEAUX / BREDE / MARTILLAC","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"COMMUNAUTE DE COMMUNES DU CANTON DE GUITRES","2008 - Chargé de Relations Entreprises N°3 - Zone Nord",39800,35820,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE / LIBOURNE / GUITRES / GUITRES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"COMMUNAUTE DE COMMUNES DU CANTON DE GUITRES","2008 - Référent de parcours n°5 - Zone Nord Ouest",42770,32291.35,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE / LIBOURNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"COMMUNAUTE DE COMMUNES DU LIBOURNAIS","2008 - Chargé de Relations Entreprises N°2 - Zone Centre",44688.24,33516.18,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE / LIBOURNE / LIBOURNE / LIBOURNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"COMMUNAUTE DE COMMUNES DU PAYS DE COUTRAS","2008 - Référent de parcours N°3 - Zone Nord Est",46478,34858.5,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE / LIBOURNE / COUTRAS / COUTRAS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Communauté de Communes du Pays Foyen","2008 - Chargé de Relations Entreprises N°1 - Zone Est",12467.5,11220.75,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE / LIBOURNE / SAINTE-FOY-LA-GRANDE / SAINTE-FOY-LA-GRANDE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Communauté de Communes du Pays Foyen","2008 - Référent de parcours N°4 - Zone Est",41705,33364,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE / LIBOURNE / SAINTE-FOY-LA-GRANDE / SAINTE-FOY-LA-GRANDE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"COMMUNAUTE DE COMMUNES DU PAYS THIBERIEN","Création d'une chaudière bois à la MFR de Thiviers",217090,65127.3,"FEDER ","AQUITAINE","DORDOGNE / NONTRON / THIVIERS","Programme Opérationnel FEDER Aquitaine 2007-2013","41","Energie renouvelable: biomasse"
"COMMUNAUTE DE COMMUNES DU PERIGORD NONTRONNAIS","Construction d'une chaufferie bois",351372.22,101467.32,"FEDER ","AQUITAINE","DORDOGNE / NONTRON / NONTRON","Programme Opérationnel FEDER Aquitaine 2007-2013","41","Energie renouvelable: biomasse"
"Communauté de Communes Fumelois-Lemance"," création d'une Plate forme de production Bois-énergie.",575000,115000,"FEDER ","AQUITAINE","LOT-ET-GARONNE","Programme Opérationnel FEDER Aquitaine 2007-2013","41","Energie renouvelable: biomasse"
"Communauté de communes Maremne Adour Côte- Sud","Mise en place d'un réseau très haut débit sur le territoire de la Communauté de communes Maremne Adour Côte-Sud",12684832,2818707,"FEDER ","AQUITAINE","LANDES","Programme Opérationnel FEDER Aquitaine 2007-2013","15","Autres mesures pour améliorer l'accès et l'utilisation efficace des TIC par les PME"
"Communauté de Communes Val de Garonne","Animation du volet énergie  d'un PIG et d'une OPAH",215585,61717,"FEDER ","AQUITAINE","LOT-ET-GARONNE / MARMANDE","Programme Opérationnel FEDER Aquitaine 2007-2013","43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Communauté Urbaine de Bordeaux","Boucle Verte - actions de communication relatives au réseau de cheminements doux de la CUB",77197,23159,"FEDER ","AQUITAINE","GIRONDE / BORDEAUX","Programme Opérationnel FEDER Aquitaine 2007-2013","54","Autres mesures pour protéger l'environnement et prévenir les risques"
"Communauté Urbaine de Bordeaux","Etude stratégique et prospective d'un réseau de haltes nautiques",56300,14075,"FEDER ","AQUITAINE","GIRONDE / BORDEAUX / BORDEAUX / BORDEAUX","Programme Opérationnel FEDER Aquitaine 2007-2013","53","Prévention des risques (...)"
"Communauté Urbaine de Bordeaux","ingénierie et animation de projet de territoire   quartiers sensibles  ",290010,145000,"FEDER ","AQUITAINE","GIRONDE / BORDEAUX / CARBON-BLANC / AMBARES-ET-LAGRAVE","Programme Opérationnel FEDER Aquitaine 2007-2013","61","Projets intégrés de réhabilitation urbaine et rurale"
"Communauté Urbaine de Bordeaux","Thermographie aérienne infrarouge  CUB : sensibilisation aux économies d'énergie,  conseil aux particuliers, aux acteurs locaux",495495,148649,"FEDER ","AQUITAINE","GIRONDE / BORDEAUX / BORDEAUX","Programme Opérationnel FEDER Aquitaine 2007-2013","43","Efficacité énergétique, cogénération, gestion de l'énergie"
"commune DE BASSENS","pôle éducatif de dynamisation sociale",4527229,700000,"FEDER ","AQUITAINE","GIRONDE / BORDEAUX / LORMONT / BASSENS","Programme Opérationnel FEDER Aquitaine 2007-2013","61","Projets intégrés de réhabilitation urbaine et rurale"
"Commune de Bergerac","Amélioration continue et individualisation dans le cadred'un dispositif régional de mutualisation sur la qualité et l'individualisation",100031.11,45014,"FONDS SOCIAL EUROPEEN","AQUITAINE","DORDOGNE","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Commune de Biganos","Réalisation d'une chaufferie bois dans le cadre de la construction d'un groupe scolaire et d'une cui",167720,50316,"FEDER ","AQUITAINE","GIRONDE / BORDEAUX / AUDENGE / BIGANOS","Programme Opérationnel FEDER Aquitaine 2007-2013","6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"commune de CARIGNAN","couverture photovoltaïque de l'école primaire connecté au réseau et intégré au bâti",83664,20916,"FEDER ","AQUITAINE","GIRONDE / BORDEAUX / CREON / CARIGNAN-DE-BORDEAUX","Programme Opérationnel FEDER Aquitaine 2007-2013","40","Energie renouvelable: én. solaire"
"COMMUNE DE GIRONDE SUR DROPT","Projet de réseau de chaleur et chaufferie bois",1925709,567031,"FEDER ","AQUITAINE","GIRONDE / LANGON / REOLE / GIRONDE-SUR-DROPT","Programme Opérationnel FEDER Aquitaine 2007-2013","6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"Commune de LONS","Installation solaire photovoltaïque au centre social du Perlic",199912,29859.84,"FEDER ","AQUITAINE","PYRENEES-ATLANTIQUES / PAU / LESCAR / LONS","Programme Opérationnel FEDER Aquitaine 2007-2013","33","Electricité"
"Commune de Marmande","Améliration continue et individualisation dans lecadre d'un dispositif régional de mutualisation sur la qualité et l'individualisation",122275.56,55024,"FONDS SOCIAL EUROPEEN","AQUITAINE","LOT-ET-GARONNE","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Commune de Marmande","Plateforme régionale qualité et individualisationd'un dispositif régional de mutualisation sur la qualité et l'individualisation",17556.36,9656,"FONDS SOCIAL EUROPEEN","AQUITAINE",,"Programme opérationnel national Fonds social européen","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
"Commune de Mimizan","Installation solaire photovoltaïque sur la halle du marché couvert",197505.76,23175.94,"FEDER ","AQUITAINE","LANDES / MONT-DE-MARSAN / MIMIZAN / MIMIZAN","Programme Opérationnel FEDER Aquitaine 2007-2013","6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"Commune de Moliets et Maâ","Etude plan plage Moliets",23000,6900,"FEDER ","AQUITAINE","LANDES / DAX / SOUSTONS / MOLIETS-ET-MAA","Programme Opérationnel FEDER Aquitaine 2007-2013","56","Protection et valorisation du patrimoine naturel"
"Commune de Morcenx","Création d'une infrastructure de fibre optique d'initiative publique à Morcenx : projet Réseau Optique MorcEnX (ROMEX)",548096.8,127122.64,"FEDER ","AQUITAINE","LANDES / MONT-DE-MARSAN / MORCENX","Programme Opérationnel FEDER Aquitaine 2007-2013","10","Infrastructures téléphoniques (y compris réseaux haut débit)"
"Commune de Morcenx","Rédaction d'un plan communal de sauvegarde pour la commune de Morcenx.",18711.75,9355.88,"FEDER ","AQUITAINE","LANDES / MONT-DE-MARSAN / MORCENX / MORCENX","Programme Opérationnel FEDER Aquitaine 2007-2013","53","Prévention des risques (...)"
"Commune de Pau","Projet intégré de rénovation urbaine du quartier du Hameau - Achat d'un progiciel de suivi opérationnel et financier",54450,8434,"FEDER ","AQUITAINE","PYRENEES-ATLANTIQUES / PAU / PAU / PAU","Programme Opérationnel FEDER Aquitaine 2007-2013","61","Projets intégrés de réhabilitation urbaine et rurale"
"Commune de Pau","Projet intégré de rénovation urbaine du quartier du Hameau à Pau - Mission de conseil pour le suivi urbain et architectural des opérations du projet de rénovation urbaine.",38840,11264,"FEDER ","AQUITAINE","PYRENEES-ATLANTIQUES / PAU / PAU / PAU","Programme Opérationnel FEDER Aquitaine 2007-2013","61","Projets intégrés de réhabilitation urbaine et rurale"
"Commune de Pau","Rénovation urbaine du quartier du Hameau à Pau - Mise en place de la conduite opérationnelle du projet",167238,45000,"FEDER ","AQUITAINE","PYRENEES-ATLANTIQUES / PAU / PAU / PAU","Programme Opérationnel FEDER Aquitaine 2007-2013","61","Projets intégrés de réhabilitation urbaine et rurale"
"commune de Pellegrue","création d'un réseau de chaleur et chaufferie bois déchiqueté",550253,128415.8,"FEDER ","AQUITAINE","GIRONDE / LANGON / PELLEGRUE / PELLEGRUE","Programme Opérationnel FEDER Aquitaine 2007-2013","41","Energie renouvelable: biomasse"
"Commune de Saint Pierre d'Aurillac","réalisation d'une chaufferie bois et d'un réseau de chaleur",504489,158056,"FEDER ","AQUITAINE","GIRONDE / LANGON / SAINT-MACAIRE / SAINT-PIERRE-D'AURILLAC","Programme Opérationnel FEDER Aquitaine 2007-2013","41","Energie renouvelable: biomasse"
"COMMUNE DE SAINT-SEURIN-SUR-L'ISLE","2008 - CONVENTION DE COOPERATION LOCALE AVEC SAINT SEURIN SUR L'ISLE",1500,750,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE / LIBOURNE / COUTRAS / SAINT-SEURIN-SUR-L'ISLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Commune d'Eysus","Installation de panneaux solaires photovoltaïques connectés au réseau et intégrés au bâti sur le toit",265886,55123.2,"FEDER ","AQUITAINE","PYRENEES-ATLANTIQUES / OLORON-SAINTE-MARIE / OLORON-SAINTE-MARIE-EST / EYSUS","Programme Opérationnel FEDER Aquitaine 2007-2013","40","Energie renouvelable: én. solaire"
"COMMUNE DU PASSAGE","Actualisation du Plan Communal de Sauvegarde",29541.2,14770.6,"FEDER ","AQUITAINE","LOT-ET-GARONNE / AGEN / AGEN-OUEST / LE PASSAGE","Programme Opérationnel FEDER Aquitaine 2007-2013","53","Prévention des risques (...)"
"COMMUNE DU PASSAGE","Construction d'une école primaire ( projet photovoltaïque)",93376,14784,"FEDER ","AQUITAINE","LOT-ET-GARONNE / AGEN / AGEN-OUEST / LE PASSAGE","Programme Opérationnel FEDER Aquitaine 2007-2013","40","Energie renouvelable: én. solaire"
"COMMUNE DU PASSAGE","Construction d'une médiathèque avec panneaux photovoltaïque",59070,7182,"FEDER ","AQUITAINE","LOT-ET-GARONNE / AGEN / AGEN-OUEST / LE PASSAGE","Programme Opérationnel FEDER Aquitaine 2007-2013","40","Energie renouvelable: én. solaire"
"Commune d'UZEIN","Installation de panneaux photovoltaïques intégrés à la toiture d'un bâtiment",118972,29743,"FEDER ","AQUITAINE","PYRENEES-ATLANTIQUES / PAU / LESCAR / UZEIN","Programme Opérationnel FEDER Aquitaine 2007-2013","33","Electricité"
"Compagnons Bâtisseurs Aquitaine","Action sociale d'auto-réhabilitation accompagnée Chartrons-Grand Parc 2008",96741,22576,"FEDER ","AQUITAINE","GIRONDE / BORDEAUX / BORDEAUX / BORDEAUX","Programme Opérationnel FEDER Aquitaine 2007-2013","61","Projets intégrés de réhabilitation urbaine et rurale"
"Conseil d'architecture, d'urbanisme et de l'environnement de Lot-et-Garonne","Aide et soutien à l'Espace Info-Energie du CAUE 47 (projet 2009)",78794.49,11000,"FEDER ","AQUITAINE","LOT-ET-GARONNE / AGEN","Programme Opérationnel FEDER Aquitaine 2007-2013","43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Conseil d'architecture, d'urbanisme et de l'environnement de Lot-et-Garonne","Aide et soutien à l'Espace Info-Energie du CAUE de Lot-et-Garonne dans l'accompagnemement de la mise",59426.67,11000,"FEDER ","AQUITAINE","LOT-ET-GARONNE / AGEN","Programme Opérationnel FEDER Aquitaine 2007-2013","43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Conseil des élus du pays basque","Construire une vision partagée de l'aménagement durable du pays basque (volet concertation) ",330000,127000,"FEDER ","AQUITAINE","PYRENEES-ATLANTIQUES / BAYONNE","Programme Opérationnel FEDER Aquitaine 2007-2013","26","Transport multimodal"
"CONSEIL GENERAL DE LA DORDOGNE","24-LES EYZIES DE TAYAC-CREATION D'UN CENTRE D'ACCUEIL DU POLE INTERNATIONAL DE LA PREHISTOIRE",5211683.59,1563505,"FEDER ","AQUITAINE","DORDOGNE / SARLAT-LA-CANEDA / SAINT-CYPRIEN / LES EYZIES-DE-TAYAC-SIREUIL","Programme Opérationnel FEDER Aquitaine 2007-2013","54","Autres mesures pour protéger l'environnement et prévenir les risques"
"CONSEIL GENERAL DE LA DORDOGNE","Accompagnement des bénéficiaires du RMI dans le cadre du Revenu de Solidarité Active",88111.83,44055.91,"FONDS SOCIAL EUROPEEN","AQUITAINE","DORDOGNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
