"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"BOUTIQUE DE GESTION","Session préparatoire au certificat à la gestion associative. Maripasoula (lot 10).","11,155 €","8,366 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Centre de Formation Professionnelle et de Promotion Agricoles de Macouria CFPPA","Brevet professionnel de Responsable d'Exploitation Agricole","130,000 €","97,500 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Centre de Formation Professionnelle et de Promotion Agricoles de Macouria CFPPA","Brevet Professionnelle Responsable d'Exploitation Agricole","130,000 €","97,500 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Centre de Formation Professionnelle et de Promotion Agricoles de Macouria CFPPA","Certificat d'Aptitude Professionnelle Agricole Option   Productions horticoles  ","110,000 €","82,500 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Centre de Formation Professionnelle et de Promotion Agricoles de Macouria CFPPA","Certificat d'Aptitude Professionnelle Agricole Option  Service en milieu Rural ","130,000 €","97,500 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Centre de Formation Professionnelle et de Promotion Agricoles de Macouria CFPPA","Certificat de spécialisation en tourisme vert et accueil du public","50,000 €","37,500 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Centre de Formation Professionnelle et de Promotion Agricoles de Macouria CFPPA","Session préparatoire au certificat de spécialisation   tracteurs et machines agricoles : utilisation et maintenance (LOT 4)","67,283 €","50,462 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"CFAES 'Georges RAPON'","ACCOMPAGNEMENT ET SUIVI INDIVIDUALISE DES FEMMES - année 2008","53,580 €","20,000 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CFAES 'Georges RAPON'"," CENTRE DE RESSOURCES KALEDA- coordination et developpement du PREFOB","183,600 €","79,142 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","70","Actions spécifiques pour renforcer la participation des migrants sur le marché du travail..."
"CFAES 'Georges RAPON'","CFAES 'Georges Rapon' Actions PREFOB  2007 - centre de ressources KALEDA ","80,000 €","23,255 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","70","Actions spécifiques pour renforcer la participation des migrants sur le marché du travail..."
"CFAES 'Georges RAPON'","CFAES 'Georges Rapon' Actions PREFOB  2008 -Centre de Ressources KALEDA 2008","127,500 €","47,500 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","70","Actions spécifiques pour renforcer la participation des migrants sur le marché du travail..."
"COMITE NATIONAL DE LIAISON DES REGIES DE QUARTIER","APPUI AU DEVELOPPEMENT ET A LA PROFESSIONNALISATION DES STRUCTURES D'INSERTION PAR L'INSERTION PAR L'ACTIVITE ECONOMIQUE 2009","191,582 €","80,000 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"Conseil général de la Guyane","Bourses et aides départementales aux étudiants du 1er et 2ème cycle 2008/2009","600,000 €","444,000 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","74","Développer le potentiel humain dans le domaine de la recherche et l'innovation, en particulier par des études de 3ème cycle"
"Conseil Régional de Guyane","Assistance technique 2007-2008","441,905 €","331,429 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","85","Préparation, mise en oeuvre, suivi et inspection "
