"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"AGEFOS PME CHAMPAGNE ARDENNE","PERFORMANCE COMPETENCES EPERNAY - 2009",60075,16821,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","MARNE / EPERNAY / EPERNAY / EPERNAY","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"AGEFOS PME CHAMPAGNE ARDENNE","SIAE 10 - 2009",70000,19600,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","AUBE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGEFOS PME CHAMPAGNE ARDENNE","SIAE 52 - 2008",133312,53325,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","HAUTE-MARNE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGEFOS PME CHAMPAGNE ARDENNE","SIAE 52 - 2009",110000,33000,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","HAUTE-MARNE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGEFOS PME CHAMPAGNE ARDENNE","SUBVENTION GLOBALE AGEFOS PME 2008/2010",6532270,2010741,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
"AGEFOS PME CHAMPAGNE ARDENNE","TECHNOPOLE DE L'AUBE - 2009",50000,14000,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","AUBE / TROYES","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"AGEFOS PME CHAMPAGNE ARDENNE","Technopôle de TROYES - 2008",93298,26916,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","AUBE / TROYES","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"AGEFOS PME CHAMPAGNE ARDENNE","VAE - 2008",125849,50340,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AGEFOS PME CHAMPAGNE ARDENNE","VAE - Valeurs Ajoutés en Entreprise - 2009",51980,18193,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AGENCE INTERDEPARTEMENTALE AUBE MARNE DE L'OFFICE NATIONAL DES FORETS","MISE EN OEUVRE DU PLAN DE GESTION DE LA RESERVE BIOLOGIQUE DIRIGEE DE VAUHALAISE",31512,9454,"FEDER ","CHAMPAGNE-ARDENNE","MARNE / VITRY-LE-FRANCOIS / SOMPUIS","PO FEDER 2007-2013 OBJECTIF 2 CHAMPAGNE-ARDENNE","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"AGENCE INTERDEPARTEMENTALE AUBE MARNE DE L'OFFICE NATIONAL DES FORETS","RESERVE NATURELLE NATIONALE DES PATIS D'OGER ET DE MESNIL SUR OGER / SUIVI TECHNIQUE SCIENTIFIQUE ADMINISTRATIF FINANCIER, TRAVAUX DE GESTION ET RELATION AVEC LES PARTENAIRES ET LES MEDIAS",26969.3,8090.79,"FEDER ","CHAMPAGNE-ARDENNE","Multilocalisation","PO FEDER 2007-2013 OBJECTIF 2 CHAMPAGNE-ARDENNE","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"AGENCE INTERDEPARTEMENTALE AUBE MARNE DE L'OFFICE NATIONAL DES FORETS","RESERVE NATURELLE NATIONALE DES PATIS D'OGER ET DE MESNIL SUR OGER / TRAVAUX DE GESTION ET D'ENTRETI",7166.5,2149.95,"FEDER ","CHAMPAGNE-ARDENNE","Multilocalisation","PO FEDER 2007-2013 OBJECTIF 2 CHAMPAGNE-ARDENNE","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"AGRODOR SARL","AGRODOR 2009",24873,8706,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","MARNE / EPERNAY / DORMANS","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ALTAÏS CONSEIL","Formation action - Développement des compétences des participants",8400,4200,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","ARDENNES / CHARLEVILLE-MEZIERES / GIVET / VIREUX-MOLHAIN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
