"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Communauté Urbaine de Strasbourg","Assistance technique CUS pour la période 2009/2015","370,740 €","185,370 €","FEDER ","ALSACE","ALSACE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"Communauté Urbaine de Strasbourg","Etude pour le transport fluvial des déchets","200,000 €","30,000 €","FEDER ","ALSACE","ALSACE",,"26","Transport multimodal"
"Communauté Urbaine de Strasbourg","Evaluation des potentiels économiques des zones urbaines sensibles de la CUS","28,500 €","14,250 €","FEDER ","ALSACE","ALSACE",,"81","Mécanismes pour améliorer la conception des politiques et des programmes, le suivi et l'évaluation ..."
"Commune de Betschdorf","Construction d'une chaufferie bois à Betschdorf","1,519,758 €","300,000 €","FEDER ","ALSACE","ALSACE",,"41","Energie renouvelable: biomasse"
"Commune de Mulhouse","Axe 4 - Parc public de la ZAC Caserne Lefebvre","3,092,024 €","1,546,012 €","FEDER ","ALSACE","ALSACE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
"Commune de Mulhouse","Axe 4 - Periscolaire Sellier","363,031 €","118,121 €","FEDER ","ALSACE","ALSACE",,"77","Infrastructures pour la petite enfance"
"Commune de Mulhouse","Axe 4 - Restructuration de l'ilôt Vox en commerces","1,035,992 €","258,168 €","FEDER ","ALSACE","ALSACE",,"68","Aide au travail indépendant et à la création d'entreprise"
"Commune de Scherwiller","Construction d'un EHPAD en efficacité énergétique élevée de 46 lits (12 Alzheimer et 6 places d'accueil de jour) à Scherwiller","517,552 €","116,974 €","FEDER ","ALSACE","ALSACE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Commune de SEEBACH","Plantations de haies dans le cadre de la Trame verte","117,262 €","35,179 €","FEDER ","ALSACE","ALSACE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Commune d'Obernai","Aménagement écologique de l'extension du parc d'activités du Thal à Obernai","102,968 €","30,890 €","FEDER ","ALSACE","ALSACE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Commune d'Obernai","Construction d'un périscolaire en efficacité énergétique élevée au groupe scolaire Europe","679,376 €","210,995 €","FEDER ","ALSACE","ALSACE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Conseil Général du Haut-Rhin","Raccordement au très haut débit de zones d'activité économique du Haut-Rhin","4,098,185 €","1,200,768 €","FEDER ","ALSACE","ALSACE",,"10","Infrastructures téléphoniques (y compris réseaux haut débit)"
"Conseil Régional d'Alsace","Animation du programme Energivie pour la période 2007 - 2009","828,000 €","248,400 €","FEDER ","ALSACE","ALSACE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Conseil Régional d'Alsace","Assistance à maîtrise d'ouvrage pour le Diagnostic Régional de l'Innovation","92,018 €","46,009 €","FEDER ","ALSACE","ALSACE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"Conseil Régional d'Alsace","Assistance technique - Programme compétitivité régionale 2007/2013","2,480,777 €","1,240,389 €","FEDER ","ALSACE","ALSACE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"Conseil Régional d'Alsace","Constitution d'une base de données d'occupation du sol en 2007 (BD OCS 2007)","244,398 €","73,319 €","FEDER ","ALSACE","ALSACE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
