"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"UIMM CHAMPAGNE ARDENNE","Plan de progrès pour les fondeurs ardennais - Phase 2","776,799 €","302,468 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ULTRA-RS","EVAPREC","72,400 €","14,480 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"UNIVERSITE DE REIMS CHAMPAGNE-ARDENNE","AQUAL","1,250,100 €","270,900 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"1","Activités R&DT dans centres de recherche"
"UNIVERSITE DE REIMS CHAMPAGNE-ARDENNE","AQUAL 3ème année","643,560 €","262,260 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,,
"UNIVERSITE DE REIMS CHAMPAGNE-ARDENNE","CLASSES EN FAC 2009","22,000 €","10,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,,
"UNIVERSITE DE REIMS CHAMPAGNE-ARDENNE","IUT - COURSE EN COURS","13,219 €","4,500 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"UNIVERSITE DE REIMS CHAMPAGNE-ARDENNE","LOGIC-QSE","46,181 €","18,472 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"UNIVERSITE DE REIMS CHAMPAGNE-ARDENNE","MICROENVIRONNEMENT","2,257,660 €","250,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"1","Activités R&DT dans centres de recherche"
"UNIVERSITE DE REIMS CHAMPAGNE-ARDENNE","MICRO-ENVIRONNEMENT - 2ème année","424,700 €","169,880 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"1","Activités R&DT dans centres de recherche"
"UNIVERSITE DE REIMS CHAMPAGNE-ARDENNE","MICRO-ENVIRONNEMENT - 3ème et 4ème année","885,400 €","355,960 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,,
"UNIVERSITE DE REIMS CHAMPAGNE-ARDENNE","MOSYP - Mesures des performances et optimisation des systèmes de production","389,042 €","46,044 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"1","Activités R&DT dans centres de recherche"
"UNIVERSITE DE REIMS CHAMPAGNE-ARDENNE","MOSYP - Mesures des performances et Optimisation des SYstèmes de Production - années 2 - 3 et 4","1,100,000 €","193,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,,
"UNIVERSITE DE REIMS CHAMPAGNE-ARDENNE","NANO HP CUIVRE","39,696 €","15,878 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
