"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE POINTE -A-PITRE","REACH",15399.22,4955.42,"FEDER ","GUADELOUPE","GUADELOUPE / POINTE-A-PITRE / POINTE-A-PITRE / POINTE-A-PITRE","Programme Opérationnel FEDER 2007-2013",,
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE POINTE -A-PITRE","SALON GUADELOUPE EXPORT",91103,65693,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013",,
"Chambre de métiers et de l'artisanat","Module préparatoire à l'apprentissage",176952,150409,"FONDS SOCIAL EUROPEEN","GUADELOUPE",,"Programme Opérationnel FSE 2007-2013","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"Cité des métiers de Guadeloupe","FONCTIONNEMENT CITE DES METIERS 2008-2009",465420,232710,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","65","Modernisation et renforcement des institutions du marché du travail"
"COLLECTIVITE DE SAINT-MARTIN","Création d'une piscine en eau de mer sur la plage de Grand-Case à Saint-Martin",429645.51,100000,"FEDER ","GUADELOUPE","GUADELOUPE / SAINT-MARTIN-SAINT-BARTHELEMY / SAINT-MARTIN-SAINT-BARTHELEMY / SAINT-MARTIN","Programme Opérationnel FEDER 2007-2013",,
"COLLECTIVITE DE SAINT-MARTIN","Programme d'aménagement des voiries à Saint-Martin",1746558.67,611295.53,"FEDER ","GUADELOUPE","GUADELOUPE / SAINT-MARTIN-SAINT-BARTHELEMY / SAINT-MARTIN-SAINT-BARTHELEMY / SAINT-MARTIN","Programme Opérationnel FEDER 2007-2013",,
"COLLECTIVITE OUTRE MER SAINT-BARTHELEMY","Réfection du quai du bord de mer à Gustavia",2215000,1000000,"FEDER ","GUADELOUPE","GUADELOUPE / SAINT-MARTIN-SAINT-BARTHELEMY / SAINT-BARTHELEMY / SAINT-BARTHELEMY","Programme Opérationnel FEDER 2007-2013",,
"Collège Rémy Nainsouta - Académie de la Guadeloupe","Lutter contre l'échec scolaire et prévenir les sorties prématurées sans qualification",7683987,5762990,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Collège Rémy Nainsouta - Académie de la Guadeloupe","Sections euro-caribéennes - Mobilité et périodes de formation en milieu professionnel en lycées 2008-2011",2248314,1686237,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"COMITE DU TOURISME DES ILES DE GUADELOUPE","Programme d'actions 2008",4086000,2083860,"FEDER ","GUADELOUPE","GUADELOUPE / POINTE-A-PITRE / POINTE-A-PITRE / POINTE-A-PITRE","Programme Opérationnel FEDER 2007-2013",,
