"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"COLLECTIVITE TERRITORIALE DE CORSE","Assistance Technique subvention globale CTC 2009",65000,45500,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","85","Préparation, mise en oeuvre, suivi et inspection "
"COLLECTIVITE TERRITORIALE DE CORSE","Assistance technique - Subventions globales - CTC - années 2007- 2008.",510000,255000,"FEDER ","CORSE",,"PO  FEDER Corse 2007-2013","85","Préparation, mise en oeuvre, suivi et inspection "
"COLLECTIVITE TERRITORIALE DE CORSE","C entre de Promotion Sociale (CPS) 08/SFP/MA/012  Elevage caprin en extensif",12000,6120,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","CFPPA 2A 08/SFP/MA/002  BP REA",109187.34,55685.54,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","CFPPA 2A 08/SFP/MA/006 Brevet Professionnel Travaux Forestiers",72800,37128,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","CFPPA 2A 08/SFP/MA/009   BTSA 2ème année",47850.56,24403.79,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","CFPPA 2A 08/SFP/MA/010  BTSA Multi-options 1ère année",59943.91,30571.39,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","CFPPA 2B  08/SFP/MA/001 BP REA",182070,92855.7,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","CFPPA 2B 08/SFP/MA/007 Certificat d'aptitude professionnelle agricole (CAPA) en travaux paysagers",59500,30345,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","CFPPA 2B 08/SFP/MA/008   CAPA Productions animales et horticulture",59500,30345,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","Chambre de Métiers 2A 08/SFP/MA/015 Certificat d'aptitude à la conduite en securité (CACES)",51480,26254.8,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","Chambre de Métiers 2A 08/SFP/MA/016  Qualification Métiers du BTP",76545,39037.95,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
