"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Commune de Macouria","ZAE de Maillard - Volet Etude","343,499 €","268,499 €","FEDER ","GUYANE","GUYANE",,,
"Commune de Maripasoula","Aménagement de débarcadères sur les villages de Nouveau Wacapou, Elahé, Cayodé, Taluhen et Pidima","651,700 €","391,020 €","FEDER ","GUYANE","GUYANE",,,
"Commune de Maripasoula","Réhabilitation et extension du centre d'hébergement communal de Maripa-Soula","363,600 €","77,500 €","FEDER ","GUYANE","GUYANE",,,
"Commune de Montsinéry Tonnégrande","Construction du groupe scolaire de Tonnégrande - phase 1 (4 classes)","635,320 €","191,456 €","FEDER ","GUYANE","GUYANE",,"75","Infrastructures pour l'éducation"
"Commune de Ouanary","Mise en sécurité des ouvrages fluviaux de Ouanary","1,587,083 €","1,044,433 €","FEDER ","GUYANE","GUYANE",,,
"Commune de Ouanary","Parcours découverte : projet d'aménagement touristique du bourg de Ouanary - commune de Ouanary ","85,407 €","35,871 €","FEDER ","GUYANE","GUYANE",,,
"Commune de Papaïchton","Construction de 2 classes et mise en sécurité du groupe scolaire de Loka","354,000 €","148,680 €","FEDER ","GUYANE","GUYANE",,"75","Infrastructures pour l'éducation"
"Commune de Saint-Georges de l'Oyapock","Mise en sécurité du groupe scolaire communal Castor de Saint-Georges-de-l'Oyapock","62,000 €","19,840 €","FEDER ","GUYANE","GUYANE",,"75","Infrastructures pour l'éducation"
"Commune de Sinnamary","Création d'un hôtel d'entreprises à Sinnamary","1,385,400 €","792,563 €","FEDER ","GUYANE","GUYANE",,,
"COMPAGNIE MINIERE ESPERANCE","DEMANDE D'AIDE AU FRET","43,310 €","21,655 €","FEDER ","GUYANE","GUYANE",,,
"Conseil général de la Guyane","Construction de la 2ème tranche du collège de Camopi","900,000 €","270,000 €","FEDER ","GUYANE","GUYANE",,"75","Infrastructures pour l'éducation"
"Conseil général de la Guyane","Construction de la troisième tranche du collège Mana II (Paule Berthelot)","7,431,738 €","2,615,869 €","FEDER ","GUYANE","GUYANE",,"75","Infrastructures pour l'éducation"
"Conseil général de la Guyane","Construction du collège 600 de Macouria","9,000,000 €","4,100,000 €","FEDER ","GUYANE","GUYANE",,"75","Infrastructures pour l'éducation"
"Conseil général de la Guyane","Extension du collège Elie Castor à Sinnamary","600,000 €","180,000 €","FEDER ","GUYANE","GUYANE",,"75","Infrastructures pour l'éducation"
"Conseil général de la Guyane","Extension du collège Grand Santi","2,200,000 €","660,000 €","FEDER ","GUYANE","GUYANE",,"75","Infrastructures pour l'éducation"
"Conseil général de la Guyane","Extension du collège Just Hyasine - tranche 8 bis","900,000 €","146,800 €","FEDER ","GUYANE","GUYANE",,"75","Infrastructures pour l'éducation"
"Conseil général de la Guyane","mise en place de l'application E-département","492,900 €","300,669 €","FEDER ","GUYANE","GUYANE",,,
"Conseil général de la Guyane","Réalisation du revêtement de la piste de l'aérodrome de GRAND SANTI","3,800,000 €","1,900,000 €","FEDER ","GUYANE","GUYANE",,,
"Conseil Régional de Guyane","Création d'une pépinière d'entreprises innovantes","4,000,000 €","2,400,000 €","FEDER ","GUYANE","GUYANE",,,
"Conseil Régional de Guyane","Fonds d'Investissement de la Guyane n°2","3,000,000 €","2,000,000 €","FEDER ","GUYANE","GUYANE",,,
"Conseil Régional de Guyane","Premier équipement du lycée de Mana","3,632,588 €","544,888 €","FEDER ","GUYANE","GUYANE",,"75","Infrastructures pour l'éducation"
"Conseil Régional de Guyane","Premier équipement du lycée de Rémire Montjoly II","4,951,369 €","742,705 €","FEDER ","GUYANE","GUYANE",,"75","Infrastructures pour l'éducation"
