"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Mission Locale pour les Jeunes de 'lAuxerrois","Accompagnement renforcé des jeunes de faible niveau de qualification pour un accès à la formation et à l'emploi",170542,74961,"FONDS SOCIAL EUROPEEN","BOURGOGNE",,"Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Mission locale rurale de l'arrondissement de Beaune","Accompagnement renforcé des jeunes les plus en difficulté",238790,103651,"FONDS SOCIAL EUROPEEN","BOURGOGNE",,"Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Mission Locale Rurale des Marches de Bourgogne","Accès des jeunes au marché du travail par un renforcement de l'accueil et de l'orientation",121592,55929,"FONDS SOCIAL EUROPEEN","BOURGOGNE",,"Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Mission Locale Rurale du Tonnerrois et de l'Avallonnais","Accompagnement renforcé du public 16/25 ans en difficulté",143274.43,63688,"FONDS SOCIAL EUROPEEN","BOURGOGNE",,"Programme opérationnel national Fonds social européen",,
"MONTCHANIN","Espace Tuilerie chantier d'insertion",95128,8000,"FONDS SOCIAL EUROPEEN","BOURGOGNE","SAONE-ET-LOIRE / CHALON-SUR-SAONE / MONTCHANIN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"MSTCI","Construction d'un bâtiment dans le but d'intégrer de nouveaux locaux plus adaptés",1060000,80000,"FEDER ","BOURGOGNE","SAONE-ET-LOIRE / CHALON-SUR-SAONE / BUXY / BUXY","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","8","Autres investissements en entreprises"
"MUSEUM NATIONAL D'HISTOIRE NATURELLE","Programme 2007 Conservation des espèces et observatoire de la flore et des habitats",127200,31800,"FEDER ","BOURGOGNE",,"PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"MUSEUM NATIONAL D'HISTOIRE NATURELLE","Programme d'actions 2008 du conservatoire botanique national du bassin parisien",110500,43700,"FEDER ","BOURGOGNE",,"PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Mutualité Française Côte-d'Or Yonne","Pôle insertion",118809,40000,"FONDS SOCIAL EUROPEEN","BOURGOGNE",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Mutualité Française Côte-d'Or Yonne","Pôle Insertion",124571,41040,"FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Mutualité Française Côte-d'Or Yonne","Pôle Insertion",185673,40220,"FONDS SOCIAL EUROPEEN","BOURGOGNE","SAONE-ET-LOIRE / AUTUN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Mutualité sociale agricole de Saône-et-Loire","Bio Actes",72104,35000,"FONDS SOCIAL EUROPEEN","BOURGOGNE","SAONE-ET-LOIRE","Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"NEVERS","Construction du centre aquatique de Nevers - AMO",75000,,"FEDER ","BOURGOGNE","NIEVRE / NEVERS / NEVERS / NEVERS","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","43","Efficacité énergétique, cogénération, gestion de l'énergie"
"NEVERS","Travaux de réhabilitation et d'extension du musée F. Blandin - tranche conditionnelle n°1-",1360030,310849,"FEDER ","BOURGOGNE","NIEVRE / NEVERS / NEVERS / NEVERS","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","58","Protection et préservation du patrimoine culturel"
"NEXTIS","FAISABILITE POUR LA FORMULATION D'UNE MATIERE THERMOPLASTIQUE DE HAUTE RIGIDITE TRANSFORMABLE PAR EXTRUSION STANDARD.",56714.35,25000,"FEDER ","BOURGOGNE","SAONE-ET-LOIRE / CHALON-SUR-SAONE","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"OPCA des entreprises artisanales des Métiers et Services","Plan de formation destiné aux salariés de l'artisanat des métiers et services en Bourgogne",376382,169372,"FONDS SOCIAL EUROPEEN","BOURGOGNE",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"OPCALIA BOURGOGNE","Favoriser et soutenir le développement des compétences dans les petites entreprises (moins de 50 salariés)",387344,174305,"FONDS SOCIAL EUROPEEN","BOURGOGNE",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
