Liste des organismes bénéficiaires du Volet national du Fonds social européen en France,,,,,,,,,
"Nota bene : ces données concernent les projets pour lesquels le concours des Fonds européens a été approuvé en comité de programmation
ASMOUNE,Entreprendre Quand Même,"56,006 €","34,150 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,70,Actions spécifiques pour renforcer la participation des migrants sur le marché du travail...
ASMOUNE,Entreprendre Quand Même,"56,006 €","34,150 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,80,"Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
Association de formation continue du massif central (AFORMAC),"TRAM'WAY Station 1: Structuration, qualification de la mobilité entrante et sortante en Europe","191,000 €","105,050 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,72,"Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
Association de formation continue du massif central (AFORMAC),"TRAM'WAY Station 1: Structuration, qualification de la mobilité entrante et sortante en Europe","191,000 €","105,050 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,80,"Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
Association de formation continue du massif central (AFORMAC),TRAM'WAY Station 2 : Vers une certification des bénéficiaires de la mobilité et une labellisation des réseaux,"272,727 €","150,000 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
Association de formation continue du massif central (AFORMAC),TRAM'WAY Station 2 : Vers une certification des bénéficiaires de la mobilité et une labellisation des réseaux,"272,727 €","150,000 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,80,"Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
Association des cités du secours catholique (ACSC),"Découverte et expérimentation croisée de pratiques, méthodes et outils pour favoriser l'autonomisati","87,000 €","45,000 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
Association des cités du secours catholique (ACSC),"Découverte et expérimentation croisée de pratiques, méthodes et outils pour favoriser l'autonomisati","87,000 €","45,000 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,80,"Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
Association Française des Parcs Zoologiques,Formation du personnel des établissements zoologiques à la gestion des programmes européens d'élevage d'espèces en voie de disparition,"28,789 €","15,834 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,56,Protection et valorisation du patrimoine naturel
Association Française des Parcs Zoologiques,Formation du personnel des établissements zoologiques à la gestion des programmes européens d'élevage d'espèces en voie de disparition,"28,789 €","15,834 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,64,"Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
Association Française des Parcs Zoologiques,Formation du personnel des établissements zoologiques à la gestion des programmes européens d'élevage d'espèces en voie de disparition,"28,789 €","15,834 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,80,"Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
Association France Active,Animation,"991,320 €","308,841 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
Association France Active,Assistance Technique,"134,191 €","100,643 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,,
Association France Active,CNAR Financement,"1,438,731 €","518,731 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,80,"Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
Association France Active,Formation,"217,045 €","64,509 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
Association France Active,Sécurisation,"766,553 €","226,650 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
Association France Active,Subvention globale de l'association France Active,"22,294,719 €","7,850,190 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,86,Evaluation et études; information et communication
Association nationale pour la formation professionnelle des adultes,Adapter les systèmes d'orientation et les référentiels de formation et de certification de l'AFPA au,"7,076,000 €","3,891,800 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,72,"Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
Association nationale pour la formation professionnelle des adultes,Adapter les systèmes d'orientation et les référentiels de formation et de certification de l'AFPA au,"14,152,000 €","7,783,600 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,72,"Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
Association nationale pour la formation professionnelle des adultes,Améliorer l'accès à la formation professionnelle et à la qualification des publics en grande difficu,"24,001,180 €","12,000,590 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
Association nationale pour la formation professionnelle des adultes,Améliorer l'accès à la formation professionnelle et à la qualification des publics en grande difficu,"52,633,576 €","26,316,788 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
Association nationale pour la formation professionnelle des adultes,"Le Bâtiment Durable, moteur pour l'insertion des publics spécifiques","205,855 €","111,530 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,72,"Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
Association nationale pour la formation professionnelle des adultes,"Le Bâtiment Durable, moteur pour l'insertion des publics spécifiques","205,855 €","111,530 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,80,"Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
Association pour le droit à l'Initiative économique (ADIE),Conception des méthodologies d'accompagnement de projets de création de micro entreprises pour les publics les plus défavorisés,"6,187,272 €","2,175,654 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
Auvergne Active,"Développement et intégration dans l'économie locale des entreprenariats d'insertion, d'utilité sociale et de solidarité","263,163 €","100,000 €",FONDS SOCIAL EUROPEEN,AUVERGNE,,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
Basse-Normandie Active,"Développement et intégration dans l'économie locale des entreprenariats d'insertion, d'utilité sociale et de solidarité","155,133 €","37,000 €",FONDS SOCIAL EUROPEEN,BASSE-NORMANDIE,,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
