"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"A.PRO.S.E.P.","APROSEP ACI entretien,aménagement et  animation de la Crique MORTHIUM 2008/2009",230850,125800,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / MATOURY / MATOURY","PO FSE GUYANE","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AQUAA","Création d'un centre de ressources  qualité environnementale du cadre bâti ",146000,56800,"FEDER ","GUYANE","GUYANE","PO FEDER GUYANE 2007-2013",,
"ARACT  GUYANE","A R A C T Guyane - Programme d'activités 2008",314119,163663,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","63","Conception et diffusion de modes d'organisation du travail innovateurs et plus productifs"
"ARACT  GUYANE","PROGRAMME D'ACTIVITE DE L'ARACT en 2007",252890,103503,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","63","Conception et diffusion de modes d'organisation du travail innovateurs et plus productifs"
"ARCNAM","Sous-programme 1 : Formation professionalisante diplômante supérieure.",680000,368000,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
"ARCNAM","Sous-Programme n°2 : Formation d'ingénieur",85000,24205.29,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
"ARCNAM","Sous-Programme n°3 : Formation à distance",42500,23000,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
"ARCNAM","Sous-programme n 4: Validation des acquis de l'expérience",42500,23000,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
"ASSOCIATION CONSULAIRE ET INTERPROFESSIONNELLE DE FORMATION DE GUYANE (ACIF GUYANE)","ACIF Prefob 2008 --UFB 1 de Cayenne",100397,44897,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE","PO FSE GUYANE",,
"Association de la Maison Familiale Rurale des Fleuves de l'Est (MFRFE)","SIL professionnalisation des acteurs du tourisme dans l'Est guyanais",65020.55,47311.44,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / APPROUAGUE-KAW / REGINA","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Association de la Maison Familiale Rurale du Littoral Ouest","Mise en place des formations MFR années 2008-2009.",783401.13,225263.15,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"ASSOCIATION DES PETITES ET MOYENNES INDUSTRIES DE LA GUYANE","DECOUVERTE INTERACTIVE DES METIERS DE L'INDUSTRIE EN GUYANE",60930,23500,"FEDER ","GUYANE","GUYANE","PO FEDER GUYANE 2007-2013",,
"Association Educative ROZO","Association ROZO - Chantier d'insertion  Réhabilitation du patrimoine  01/11/2007 au 31/05/2008",145515,28000,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / CAYENNE / CAYENNE","PO FSE GUYANE","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Educative ROZO","Association ROZO Chantier d'insertion réhabilitation et valorisation du patrimoine  2008 (2ème année)",222634,96844,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / REMIRE-MONTJOLY / REMIRE-MONTJOLY","PO FSE GUYANE","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Educative ROZO","Association ROZO - DISPO redynamisation individuelle 2007",124165,69000,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / CAYENNE / CAYENNE","PO FSE GUYANE","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
