Nom ou raison sociale du bénéficiaire,Intitulé du dossier,Montant du projet en coût total,Montant du cofinanceur européen,Fonds européen concerné,Région de localisation du dossier,Localisation,Programme,Catégo- -risation,Libellé catégorisation
ASSOCIATION POUR LE DEVELOPPEMENT INDUSTRIEL DE LA REUNION (ADIR),Les nouveaux défis 2009 ,"265,499 €","94,199 €",FEDER ,REUNION,REUNION,,,
ASSOCIATION POUR LE DEVELOPPEMENT INDUSTRIEL DE LA REUNION (ADIR),"Les nouveaux défis, saison 2008","221,002 €","99,451 €",FEDER ,REUNION,REUNION,,9,"Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
ASSOCIATION POUR LE DEVELOPPEMENT INDUSTRIEL DE LA REUNION (ADIR),Mise en oeuvre d'une démarche de maîtrise des flux de production (supply chain management),"195,700 €","88,065 €",FEDER ,REUNION,REUNION,,8,Autres investissements en entreprises
ASSOCIATION POUR LE DEVELOPPEMENT INDUSTRIEL DE LA REUNION (ADIR),Mise en oeuvre d'un programme d'actions énergie déchets,"206,944 €","49,667 €",FEDER ,REUNION,REUNION,,8,Autres investissements en entreprises
ASSOCIATION REUNION ENTREPRENDRE,Dotation du fonds de prêt d'honneur ,"644,016 €","386,409 €",FEDER ,REUNION,REUNION,,8,Autres investissements en entreprises
ASSOCIATION TECHNOPOLE DE LA REUNION,Création d'un club de  business angels  à la Réunion,"27,535 €","12,391 €",FEDER ,REUNION,REUNION,,,
ASSOCIATION TECHNOPOLE DE LA REUNION,Développement des activités technologiques et innovantes à la Réunion - Programme d'actions 2009 de la Technopole,"200,000 €","120,000 €",FEDER ,REUNION,REUNION,,3,Transfert de technologie et amélioration des réseaux de coopération...
ASSOCIATION TECHNOPOLE DE LA REUNION,Etude sur les modalités d'usages partagés du centre multimédia du PTU par l'université et les entreprises du secteur multimédia,"16,000 €","8,400 €",FEDER ,REUNION,REUNION,,15,Autres mesures pour améliorer l'accès et l'utilisation efficace des TIC par les PME
ASSOCIATION TECHNOPOLE DE LA REUNION,Incubateur régional de la Réunion - Mise en place du projet GEORUN,"73,849 €","44,309 €",FEDER ,REUNION,REUNION,,3,Transfert de technologie et amélioration des réseaux de coopération...
ASSOCIATION TECHNOPOLE DE LA REUNION,Incubateur Régional de la Réunion. Mise en place du projet  KAERES ,"60,419 €","36,251 €",FEDER ,REUNION,REUNION,,3,Transfert de technologie et amélioration des réseaux de coopération...
ASSOCIATION TECHNOPOLE DE LA REUNION,Incubateur Régional de La Réunion. Mise en place du projet RUNTEK,"78,606 €","47,163 €",FEDER ,REUNION,REUNION,,3,Transfert de technologie et amélioration des réseaux de coopération...
