name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung,jahr_der_abschliessenden_restzahlung,gewahrte_betrage,gezahlte_gesamtbetrage
Carsten Döscher,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Landwirtin",2007,2008,,2500
Carsten Ramm Verlag,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Mediengestalterin Digital-Print Fachrichtung Gestaltung /Technik",2007,2009,,2500
CeH4 technologies GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Anlagenmechaniker",2007,2009,,2500
Charisma Ihr Friseur,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Friseurin",2007,2009,,2500
Claus Winkelmann Fahrzeug-Technik,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kfz-Mechatroniker",2008,2009,,2500
Cuxland pur Elke Otto,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fleischer",2007,2009,,2500
D. Lang GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
""Einzelhandelskauffrau""",2007,2009,,2500
Dachdeckerei Andreas Cordes,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Dachdecker",2007,2009,,2500
Dr. Christine Tobinsky,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
medizinische Fachangestellte",2007,2008,,2500
Dr. Reina Frieling,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Tiermedizinische Fachangestellte",2007,2009,,2500
E & W PS-Shop,Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -Zweiradmechaniker Motorradtechnik,2007,2009,,2500
Edeka aktiv Markt,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Verkäuferin im Einzelhandel",2007,2009,,2500
Edeka-Aktiv-Supermarkt,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kaufmann im Einzelhandel",2008,2009,,2500
Edelgard Schulz,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Ausbildung zur Hauswirtschafterin",2007,2008,,2500
Euroquip GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Groß- und Außenhandelskaufmann",2007,2009,,2500
Feddeler Gas-Wasser-Heizung,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Anlagenmechaniker für SHK",2007,2009,,2500
Ferienhausverwaltung Diana Kahl,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Bürokauffrau",2007,2009,,2500
Fernseh-Wölk,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Informationselektroniker",2007,2009,,2500
Foto-creative-Fotostudio,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fotografin",2007,2008,,2500
F(R)ISCH-LOGISTIK Lühmann GmbH & Co. KG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fachlagerist",2007,2009,,2500
FWP Systems GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fachinformatiker (Anwendungsentwicklung)",2007,2009,,2500
Gebrüder Stüben Inh. Peter Witting,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kaufmann im Groß- und Außenhandel",2007,2009,,2500
"Gemeinschaftspraxis Dr. Schwindt, L. Schneider, Dr. Simon","Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Medizinische Fachangestellte",2007,2009,,2500
Gerd Elmers Metallbau,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Metallbauer",2007,2009,,2500
Grosshans Herrn Backhaus,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Anlagenmechaniker für Sanitär-, Heizungs- und Klimatechnik",2007,2008,,2500
H. Warncke GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kraftfahrzeugmechatroniker",2007,2009,,2500
Haarstudio Sie & Er,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Friseurin",2007,2009,,2500
Hair & Beauty Point,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Friseurin",2008,2009,,2500
Hans-Heinrich Fehling,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Anlagenmechaniker für Sanitär, Heizung und Klimatechnik",2008,2009,,2500
Hans-Werner Zahn und Marco Hergaden GbR,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
KFZ - Mechatroniker",2007,2008,,2500
Heinsohn Haustechnik GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Anlagenmechaniker",2007,2009,,2500
Helmut Oellrich Wohnungsvermietung und Verwaltung,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Bürokauffrau",2007,2009,,2500
Herder & Jurk GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Elektroniker",2007,2009,,2500
HHD Verkehrsmittelwerbung Edwin Kriese,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kaufmann für marketing und Kommunikation",2007,2009,,2500
Holiday Mobil GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kaufmann im Einzelhandel",2007,2009,,2500
"Hotel-Restaurant ""Zum grünen Walde"" Jens und Lars Picker
GbR","Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Restaurantfachmann",2007,2009,,2500
India Haus Inh. Ahmad Imifaz,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fachkraft im Gastgewerbe",2007,2009,,2500
Ingenieurbüro für Kältetechnik Jürgen Schmidt,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kauffrau für Bürokommunikation",2007,2009,,2500
Institut für berufliche Bildung GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Bürokauffrau",2007,2008,,2500
J. Kathmeyer GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Tischler",2007,2009,,2500
J. O. Augenoptik GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Augenoptik-Fachverkäufer",2007,2008,,2500
Jet Tankstelle Inh. Jens Hohmann,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Verkäuferin",2007,2009,,2500
Jürgen Möller,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Maler und Lackierer",2007,2009,,2500
Juwelier Flindt,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Verkäuferin",2007,2009,,2500
Kinder-Traum Christel Ritzer,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kauffrau für Bürokommunikation",2007,2009,,2500
Kölln Immobilien GbR,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Immobilienkauffrau",2007,2009,,2500
Konetzke Manthey GbR Gartower Seeterassen,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Köchin",2007,2009,,2500
Kopp Elektroinstallationen,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Elektrotechniker",2007,2009,,2500
Kuhlmann Leitungsbau GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Rohrleitungsbauer",2007,2009,,2500
Land und Gartentechnik Lübberstedt OHG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Landmaschinenmechaniker",2007,2009,,2500
mail-express Elbe-Weser GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kaufmann für Kurier-, Express- und Postdienstleistungen",2007,2009,,2500
Maler Schneider GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Maler",2007,2009,,2500
Maler Schneider GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Maler",2007,2009,,2500
Maler Schneider GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Malerin und Lackiererin",2007,2009,,2500
Maltisse,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Maler und Lackierer",2007,2009,,2500
Maria Hundt,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Friseurin",2007,2008,,2500
Melanie Krause,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Maurer",2007,2008,,2500
mobilcom Shop,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Verkäufer",2007,2009,,2500
Mythos Spiel und Buch Frank Hintemann,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Einzelhandelskaufmann / Betriebswirt (BA)",2007,2008,,2500
NDB Bautechnik GmbH & Co. KG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Trockenbaumonteur",2007,2009,,2500
NL Draht & Drahtseile GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Seiler",2007,2009,,2500
NL Draht & Drahtseile GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Seiler",2007,2009,,2500
nordlanddruck GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Drucker",2007,2009,,2500
Oetzmann Kfz GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kraftfahrzeugmechatroniker",2007,2009,,2500
Piazza San Marco,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fachkraft im Gastgewerbe",2007,2009,,2500
Premper Teppiche GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kaufmann im Einzelhandel",2007,2009,,2500
Rotary Motors Limited,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
KFZ-Mechatroniker",2007,2008,,2500
Scan.it GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Informatik-Kaufmann",2007,2009,,2500
Scholz Raumausstattung GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Verkäufer im Einzelhandel",2007,2009,,2500
Schützen- und Schlemmerhof Enno Sieb,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fachgehilfin im Gastgewerbe",2007,2009,,2500
Seniorenresidenz Herzogin-Agnes GmbH & Co.KG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fachkraft im Gastgewerbe",2007,2009,,2500
Server-Admins,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
""IT-System-Elektroniker""",2007,2008,,2500
Sonnengelb Herrn Lietzow,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Einzelhandelskaufmann",2007,2008,,2500
Spedition Lühmann GmbH & Co.KG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Berufskraftfahrer",2007,2009,,2500
Stephan Scheer,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Anlagenmechaniker",2007,2009,,2500
Strodthoff-Optik GmbH & Co. KG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Augenoptikerin",2007,2009,,2500
Subway Cuxhaven Inh.Bernd Nacke,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fachkraft für Systemgastronomie",2007,2008,,2500
Systempartner Computervertriebs GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen - IT-
System-Kaufmann",2007,2009,,2500
Systempartner IT Vertriebs GmbH & Co. KG Celle,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen - IT
Systemkaufmann",2007,2009,,2500
T. Hilse Reifenhandel und Kfz-Elektrik,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kraftfahrzeugservicemechaniker",2007,2009,,2500
Take-your-car GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kaufmann im Groß- und Außenhandel",2007,2008,,2500
Tino Nitschke Installation + Heizungsbau,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Anlagemechaniker",2007,2008,,2500
Tischlerei Burkhard Fandrey,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Tischler",2007,2009,,2500
Tischlerei Engelmann,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Tischler",2007,2008,,2500
Tischlerei Roland Kaletta,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Tischler",2007,2008,,2500
Tischlerei Tzscheutschler,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Tischler",2007,2008,,2500
Turré KFZ - Meisterbetrieb,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
KFZ-Mechatroniker",2007,2009,,2500
VAP-GRAPHICS Werbetechnik,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Mediengestalter Digital und Print",2007,2009,,2500
Weidner Maritim,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kaufmann im Großhandel",2007,2009,,2500
Wertheimer GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Bauwerksmechaniker",2007,2009,,2500
Willam-Optik Bernd Schmidt,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Augenoptikerin",2007,2009,,2500
Wirbals EDV-Dienstleistungen,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen - IT-
Systemkaufmann",2007,2009,,2500
XXQuell Betriebs GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kaufmann im Einzelhandel",2007,2009,,2500
Zimmerei - Tischlerei (Inh.: Hermann Hinck),"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Zimmerer",2007,2009,,2500
Zimmerei Freiraum,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Zimmerer",2007,2009,,2500
Dr. Andreas Müller,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Zahnmedizinische Fachangestellte",2007,2009,,2312.5
Ebeling Werbetechnik KG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Schilder - und Lichtreklameherstellerin",2007,2008,,2312.5
Ristorante & Pizzeria La Casa Romantika,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Koch",2007,2008,,2312.5
SHR GmbH & Co.KG,"Förderung von Auszubildenden aus Insolvenzbetrieben - Fachfrau
für Systemgastronomie",2008,2009,,2137.1
Klaus Tietje,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Landwirt",2007,2008,,2125
Christian Otto Baugesellschaft mbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Hochbaufacharbeiter",2007,2008,,1937.5
RINGFOTO Schattke,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kaufmann im Einzelhandel",2007,2009,,1937.5
Manuel Heins,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Anlagenmechaniker für Sanitär und Heizungstechnik",2008,2009,,1763.38
Hinrich Olters,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Gärtnerin",2007,2009,,1750
Holst GbR Charlotte Holst,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Hauswirtschafterin",2007,2008,,1750
Forellenzucht Benecke & Wichmann,Förderung von Auszubildenden aus Insolvenzbetrieben - Fischwirt,2008,2008,,1579.41
Coaching & Consulting Rolf Blum,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kauffrau für Bürokommunikation",2007,2008,,1562.5
Grüner Zweig Gartengestaltung Inh. Torsten Barth,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Landschaftsgärtnerin",2007,2009,,1187.5
Koralewski Industrie-Elektronik oHG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Mechatroniker",2008,2009,,1187.5
Hansen & Kutz-Kromnow GbR Restaurant Abthaus,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Köchin",2008,2008,,1000
Janine Geschke,Erstellung eines Businessplanes,2009,2009,,900
S & P GmbH & Co. KG,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Elektroinstallateur",2008,2009,,290.86
S & P GmbH & Co. KG,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Elektroinstallateur",2008,2009,,289.33
Johannes Roschkowski,"Beratung für die Neugründung eines Unternehmens im Bereich
Hande l mit baugewerblichen Produkten und Restauration",2009,,1350,
Tanja Kriele,Beratung zur Neugründung eines Übersetzungsbüros,2009,,1350,
Forellenteichwirtschaft Grevenhof,Förderung von Auszubildenden aus Insolvenzbetrieben - Fischwirt,2008,,1460.2,
Klaus Welzel,Beratung zur Neugründung der Welzel Anlagentechnik UG,2009,,1800,
Michél Hanstein,"Beratung zur Neugründung eines Fabrikverkaufes im Bereich
Food & Non-Food",2009,,2000,
Katharina Lindenstrauß,Beratung zur Neugründung eines Friseurgeschäftes,2009,,2200,
"B&K Schlosserei, Metall & Design GmbH","Förderung von Auszubildenden aus Insolvenzbetrieben -
Metallbauer",2008,,2212.48,
Alexandra von Brill,Förderung von Auszubildenden aus Insolvenzbetrieben - Friseurin,2008,,2317.08,
Bäckerei Mahnke,"Förderung von Auszubildenden aus Insolvenzbetrieben -
Bäckereifachverkäuferin",2009,,2493.89,
Ali's Car-Service KG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kfz-Mechatroniker",2008,,2500
Altstadt-Friseur,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Friseurin",2008,,2500
August Meyer Baugeschäft GmbH & Co. KG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Hochbaufacharbeiter",2008,,2500
Autohaus Brünjes,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
KfZ-Mechatroniker",2008,,2500
Autohaus Dannacker & Laudien GmbH & Co. KG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Bürokauffrau",2008,,2500
Autoteam Giebel,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kraftfahrzeugmachatroniker",2007,,2500
Avides Media AG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fachkraft für Lagerlogistik",2008,,2500
Bäckerei - Konditorei Wilhelm Pippel,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fachverkäuferin im Lebensmittelhandwerk",2008,,2500
Bäckerei - Konditorei Wilhelm Pippel,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fachverkäuferin im Lebensmittelhandwerk",2008,,2500
Bäckerei Enrico Illing,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Bäcker",2007,,2500
Bäckerei/Konditorei (Inh.: Siegfried Völsch),"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Verkäuferin im Nahrungsmittelhandwerk",2007,,2500
Backshop Christel Kruse,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -Fachverkäuferin im Nahrungsmittelhandwerk, Schwerpunkt
Bäckerei",2008,,2500
Bauunternehmen Dipl.-Ing. Matthias Gödecke,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Maurer",2008,,2500
Betonwerk Cuxhaven GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Stahlbetonbauer",2008,,2500
"B&K Schlosserei, Metall & Design GmbH","Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Metallbauer (Konstruktionstechnik)",2008,,2500
Blumen-Zentrum Ch. Hoppe KG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Floristin",2008,,2500
Blumen-Zentrum Ch. Hoppe KG,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Gärtnerin",2008,,2500
Cafe Schraders,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Koch",2008,,2500
Cafète Inh. Lars Janßen,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fachkraft im Gastgewerbe",2008,,2500
Christian Brandt Kfz-Lackiererei,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fahrzeuglackierer",2008,,2500
CLAUS GOEDECKE GMBH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Metallbauer",2008,,2500
Dachdeckerei Markus von Ass GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Dachdecker",2008,,2500
Dachdeckermeister Heiko Wunderlich,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Dachdecker",2008,,2500
Delta Conceptions (Inh.: Carsten Tiebe),"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kaufmann für Bürokommunikation",2007,,2500
Die Maurer Carsten Lapusch Maurermeister,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Maurer",2008,,2500
Die Seglermesse,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Koch",2008,,2500
Dirk Sasse Hydrauliktechnik,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Feinwerkmechaniker",2008,,2500
Dr. Andreas Müller,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
zahnmedizinischen Fachangestellten",2008,,2500
Dr. Andreas Müller,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Zahnmedizinischen Fachangestellten",2008,,2500
Dr. Stephan Meyer Zahnarzt,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
zahnmedizinischen Fachangestellten",2008,,2500
Dr. Stephan Meyer Zahnarzt,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Zahnmedizinischen Fachangestellten",2008,,2500
Dr. Wolfgang Gröger,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Zahnmedizinischen Fachangestellten",2008,,2500
"Dres. med. M. Triebs / W. Schwarz Fachärzte für Innere /
Allg. Medizin","Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
medizinischen Fachangestellten",2008,,2500
EDV-Center Mario Albrecht,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen - IT-
Systemelektroniker",2008,,2500
EDV-Center Mario Albrecht,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen - IT-
Systemelektroniker",2008,,2500
EDV-Center Mario Albrecht,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen - IT-
Systemelektroniker",2008,,2500
Elektro-Technik Schwägerl,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Elektroniker",2008,,2500
Elektro-Technik Schwägerl,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Elektroniker",2008,,2500
Ernst F. H. Sievers GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Berufskraftfahrer",2008,,2500
Fa. Schwanke,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fachkraft Agrarservice",2007,,2500
Fahrradhalle Sascha Schlüer,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fahrradmonteurin",2008,,2500
Fahrschule Joachim Schünke,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kauffrau für Bürokommunikation",2007,,2500
Feinbäckerei Reinhard Rausch,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Bäcker",2008,,2500
"Fischereibetrieb ""Goedeke Michel""","Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fischwirt - Küstenfischerei",2007,,2500
Flader GmbH Informationstechnik,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Informationselektroniker",2008,,2500
Fred von Dölln GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Berufskraftfahrer",2008,,2500
Friseursalon Bianca Kappich,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Friseurin",2008,,2500
Frisörstube Gudrun Butzek,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Friseurin",2008,,2500
funmotorsports Ltd.,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Veranstaltungskaufmann",2008,,2500
Gabel-Schmidt Schmiedetechnik KG (GmbH & Co.),"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Konstruktionsmechaniker",2008,,2500
Gastrotainment GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Koch",2008,,2500
Gastrotainment GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Restaurantfachkraft",2008,,2500
"Gemeinschaftspraxis C. Schicker-Geist G. Carlo Bellosta G.
Bruns-Behrens S. Jonen","Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Medizinischen Fachangestellten",2008,,2500
"Gemeinschaftspraxis Dr. med. Tremper, Dr. med. Dachów-
Siwiec","Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Medizinischen Fachangestellten",2008,,2500
"Gemeinschaftspraxis Dres. Struck, Schröder & Groth","Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Arzthelferin",2008,,2500
Gemeinschaftspraxis Sülze Wolfgang Schulz,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
medizinischen Fachangestellten",2008,,2500
Gieschens Hotel,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Koch",2007,,2500
Gläser Orthopädie-Schuhtechnik,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Schuhmacherin",2008,,2500
