aktion,zuwendungsempfanger,projekt,beginn,ende,projektvolumen,fund_type,uri
C 2,Hamburg Plus gGmbH (gGmbH),Migranten schaffen noch mehr Jobs,01.01.08,31.12.10,728.744,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 4,Hamburger Arbeit - Beschäftigungsgesellschaft m.b.H. (GmbH),Bergedorfer Kompetenz-Netzwerk,01.03.09,28.02.11,289.640,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 2,Hamburger Arbeit - Beschäftigungsgesellschaft m.b.H. (GmbH),Servicecenter Hamburger Modell,01.12.09,30.11.11,604.026,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 1,Hamburger Institut für Personalentwicklung (HIPE) e.V. (e.V.),TechnikMentoring Schülerinnen,01.02.08,31.01.11,331.689,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 3,Handwerkskammer Hamburg (Öffentlich-rechtliche Körperschaft),Außenwirtschaftsberatung,01.01.08,31.12.10,249.175,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 4,Handwerkskammer Hamburg (Öffentlich-rechtliche Körperschaft),Beratungsteam Elbinselhandwerk,01.03.09,28.02.11,360.013,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 4,Handwerkskammer Hamburg (Öffentlich-rechtliche Körperschaft),Inno Werkstatt,01.03.09,28.02.11,149.986,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 3,Handwerkskammer Hamburg (Öffentlich-rechtliche Körperschaft),Innovationsagentur,01.01.08,31.12.10,660.966,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 1,Handwerkskammer Hamburg (Öffentlich-rechtliche Körperschaft),Serviceagentur Anschluss Hamburg,01.12.09,30.11.11,798.324,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 5,Handwerkskammer Hamburg (Öffentlich-rechtliche Körperschaft),Übergabelotse,01.01.08,31.12.09,326.005,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 2,Handwerkskammer Hamburg (Öffentlich-rechtliche Körperschaft),ZEWU mobil,01.02.08,31.01.11,752.417,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 3,Handwerkskammer Hamburg (Öffentlich-rechtliche Körperschaft),Zukunftsmarkt Handwerk 50 plus,01.01.08,31.12.09,376.900,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 3,HKS Handelskammer Hamburg Service GmbH (GmbH),Hamburger Beratershop,01.11.09,31.10.12,3.321.214,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 1,Hochschule für angewandte Wissenschaften (Öffentlich-rechtliche Körperschaft),EnergyContainerLab,01.01.10,31.12.11,391.352,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 3,inab - Ausbildungs- u. Beschäftigungsgesellsch. des bfw mbH (GmbH),Berufsstart und Arbeitsleben - aber sicher!,01.01.10,31.12.11,379.573,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 5,Innovationsstiftung Hamburg (Stiftung),Hamb Mittelstandsförderinstitut MFI,01.01.08,31.12.10,468.197,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 1,Internationale Bauaustellung IBA Hamburg GmbH (GmbH),Agentur Kooperation Schule-Wirtschaft Elbinseln,01.01.10,31.12.12,724.511,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 4,ISH Bildungs- und Beratungsgesellschaft mbH (GmbH),HASKI,01.11.09,31.10.11,1.062.937,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 2,"Johann Daniel Lawaetz -Stiftung, Stiftung des bürgerlichen Rechts (Stiftung)",Qualifizierungsoffensive Hamburg,01.11.09,30.10.12,1.202.318,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 1,Jugend- und Bildungswerk der Arbeiterwohlfahrt Hamburg GmbH (GmbH),Qualifizierungsbausteine für Roma,01.03.09,28.02.11,197.594,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 4,Jugendbildung Hamburg gGmbH (gGmbH),Aufsuchende Aktivierung arbeitsloser Jugendlicher,01.03.09,31.08.10,697.120,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 2,Jugendbildung Hamburg gGmbH (gGmbH),Betriebl. Begl. Ausb. für unversorgte Jugendliche,01.08.08,31.01.12,620.941,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 1,Jugendbildung Hamburg gGmbH (gGmbH),Betriebsnahe Berufsorientierung an Schulen,01.03.09,31.12.10,244.413,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 1,Jugendbildung Hamburg gGmbH (gGmbH),Übergangsmanagement Coaches an Berufsschulen,01.01.08,31.12.10,637.448,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 2,Jugendbildung Hamburg gGmbH (gGmbH),Verbundausbildungsplätze,01.01.08,31.12.10,188.402,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 5,Justizbehörde Hamburg (Öffentlich-rechtliche Körperschaft),Fit auf den Weg,01.01.08,31.12.10,2.191.493,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 5,Justizbehörde Hamburg (Öffentlich-rechtliche Körperschaft),proFit by BASICS,01.01.08,31.12.10,2.885.701,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 5,Justizbehörde Hamburg (Öffentlich-rechtliche Körperschaft),Qua-FiT - Qualifizierung und Arbeit - Frauen,01.01.08,31.12.10,2.168.007,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 1,komm.pass.arbeit GmbH (GmbH),ChallengeMi - Türöffner zu Studium und Ausbildung,01.03.09,31.12.10,423.182,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 2,Koordinierungsstelle Weiterbildung und Beschäftigung e.V. (e.V.),BQM,01.01.08,31.12.10,1.293.276,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 3,Koordinierungsstelle Weiterbildung und Beschäftigung e.V. (e.V.),CeBB Centrum Bildung u. Beruf,01.01.08,31.12.10,828.004,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 1,Koordinierungsstelle Weiterbildung und Beschäftigung e.V. (e.V.),EQUAL PAY ­ Ursachen für Lohnunterschiede angehen,01.01.10,30.06.11,299.957,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 1,Koordinierungsstelle Weiterbildung und Beschäftigung e.V. (e.V.),Hamburger Karriereschmiede,01.01.08,31.12.10,646.351,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
