name_der_begunstigten,vorhaben,zeitraum_der_bewilligung,amount,fund_type,uri
"GSE Gemeinnützige Gesellschaft für Sozialeinrichtungen des ASB mbH, Rathausstr. 2, 66557 Illingen",Qualifizierung Wertstoffhof Illingen,01.03.2008 - 28.02.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Katholische Erwachsenenbildung gGmbH - Arbeit, Bildung, Zukunft, Friedrich-Ebert- Straße 14, 66763 Dillingen/Saar",Qualifizierung Beschäftigung Hauswirtschaft Dillingen,01.06.2008 - 31.05.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Diakonisches Werk an der Saar gGmbH (DWSaar gGmbH), Rembrandtstraße 17 - 19, 66540 Neunkirchen",Wertstoffhof SLS 08,01.05.2008 - 30.04.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Berufsfortbildungswerk Gemeinnützige Bildungseinrichtung des DGB GmbH, Untertürkheimer Str. 27, 66117 Saarbrücken",Metall-Industriemuseum Hüttenweg IV - Qualifizierung und Beschäftigung,01.05.2008 - 30.04.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Ausbildungszentrum Burbach gGmbH, Ernst- Abbe-Straße 10, 66115 Saarbrücken",Mobil Saarbrücken AZB - Kooperation ARGE,01.09.2008 - 31.08.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Berufsfortbildungswerk Gemeinnützige Bildungseinrichtung des DGB GmbH, Untertürkheimer Str. 27, 66117 Saarbrücken",Netzwerk-KV-plus II Qualifizierung und Beschäftigung,01.04.2008 - 31.03.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Diakonisches Werk an der Saar gGmbH (DWSaar gGmbH), Rembrandtstraße 17 - 19, 66540 Neunkirchen",Möbel- und Kleiderbörse Neunkirchen 08,01.05.2008 - 30.04.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"GSE Gemeinnützige Gesellschaft für Sozialeinrichtungen des ASB mbH, Rathausstr. 2, 66557 Illingen Losheimer Arbeitsmarktinitiative e.V., Streifstraße 3, 66679 Losheim am See",Wege zur Arbeit – Alphabetisierung und Berufsorientierung Wertstoffhof Soziale Stadt Losheim,01.02.2008 – 31.01.2009 01.05.2008 - 30.04.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Arbeiterwohlfahrt Landesverband Saarland e.V., Hohenzollernstraße 45, 66117 Saarbrücken",Sprungbrett - Qualifizierung und Beschäftigung,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Arbeit und Qualifizierung im Saar-Pfalz-Kreis gGmbH, Am Forum 1, 66424 Homburg",STABIL Qualifizierungsprojekt für junge Erwachsene U25,01.09.2008 - 31.08.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Saar-Pfalz-Kreis, Am Forum 1, 66424 Homburg","Koordinierungsstelle Frau & Beruf - Coaching, Mentoring, Beratung",15.02.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Neue Arbeit Saar gGmbH, Bertha-von-Suttner-Straße 1, 66123 Saarbrücken",Hilfe zur Arbeit Neunkirchen IQ 2008,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Arbeitslosenselbsthilfe gGmbH Neunkirchen, Saarbrückerstraße 7, 66538 Neunkirchen",Soziale Betreuung für § 16a Kräfte ASH,15.07.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Katholische Erwachsenenbildung gGmbH - Arbeit, Bildung, Zukunft, Friedrich-Ebert- Straße 14, 66763 Dillingen/Saar",Beschäftigungs- und Qualifizierungsprojekt Lebach für Erwachsene,01.01.2008 - 30.09.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Diakonisches Werk an der Saar gGmbH (DWSaar gGmbH), Rembrandtstraße 17 - 19, 66540 Neunkirchen",Qualifizierung Hauswirtschaft/ Gastronomie/Pflege - Völklingen 08,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Diakonisches Werk an der Saar gGmbH (DWSaar gGmbH), Rembrandtstraße 17 - 19, 66540 Neunkirchen",Berufliche Integration von Zugewanderten - DW SB,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Diakonisches Werk an der Saar gGmbH (DWSaar gGmbH), Rembrandtstraße 17 - 19, 66540 Neunkirchen",Berufliche Integration von Zugewanderte - DW NK,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"SOS-Kinderdorf e.V. - Ausbildungs- und Beschäftigungszentrum Saarbrücken, Seilerstraße 6, 66111 Saarbrücken","SOS-Kinderdorf e.V. - Ausbildungs- und Beschäftigungszentrum Saarbrücken, Seilerstraße 6, 66111 Saarbrücken",01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Neue Arbeit Saar gGmbH, Bertha-von-Suttner-Straße 1, 66123 Saarbrücken",Hilfe zur Arbeit Neunkirchen Max 25,14.02.2008 - 13.02.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
