begunstigter,projekt,datum_erstbewilligung,bewilligung_offentlicher_mittel,gesamtauszahlungsbetrag_abgeschlossener_projekte,fund_type,currency,uri
DUDEN PAETEC GmbH,Integrationsprojekt Betreuung Schwerbehinderter IPS Berlin-Süd,31.03.2008,"36.673,77","36.673,77",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DUDEN PAETEC GmbH,Start-M - Modular 3,01.09.2008,"79.728,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DUDEN PAETEC GmbH,Integrationsprojekt für Teilnehmer mit besonderen Vermittlungshemmnissen Jobcenter Treptow-Köpenick,15.09.2008,"59.652,80",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DUDEN PAETEC GmbH,"""Deutsch und mehr"" - Integrationsprojekt in Teilzeit für Migrantinnen zur Verbesserung der Chancen",29.09.2008,"32.406,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DUDEN PAETEC GmbH,Integration von Migranten zur gesellschaflichen Teilhabe u. Chancengleichheit auf dem Arbeitsmarkt 3,01.10.2008,"23.495,40",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DUDEN PAETEC GmbH,Integration von Migranten zur gesellschaflichen Teilhabe u. Chancengleichheit auf dem Arbeitsmarkt 4,01.10.2008,"32.583,44",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DUDEN PAETEC GmbH,Integration von Migranten zur gesellschaflichen Teilhabe u. Chancengleichheit auf dem Arbeitsmarkt 5,01.10.2008,"42.309,84",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DUDEN PAETEC GmbH,Integration von Migranten zur gesellschaflichen Teilhabe u. Chancengleichheit auf dem Arbeitsmarkt 6,01.10.2008,"52.036,24",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DUDEN PAETEC GmbH,Integration von Migranten zur gesellschaflichen Teilhabe u. Chancengleichheit auf dem Arbeitsmarkt 7,01.10.2008,"61.762,64",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DUDEN PAETEC GmbH,Integration von Migranten zur gesellschaflichen Teilhabe u. Chancengleichheit auf dem Arbeitsmarkt 8,10.11.2008,"62.735,28",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DUDEN PAETEC GmbH,MAE Tastaturtraining und Schriftverkehr,17.11.2008,"7.358,40",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DUDEN PAETEC GmbH,Business English für Anfänger (MAE),17.11.2008,"14.175,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DUDEN PAETEC GmbH,Kommunikation im Beruf (MAE),24.11.2008,"8.505,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DW Berlin-Brandenburg-schlesische Oberlausitz e.V.,IH-Organisations- und Qualitätsentwicklung zur interkulturellen Öffnung,01.04.2008,"92.438,80",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
