begunstigter,projekt,datum_erstbewilligung,bewilligung_offentlicher_mittel,gesamtauszahlungsbetrag_abgeschlossener_projekte,fund_type,currency,uri
Förderverein Soziales und Bildung,"Quali-MAE 2N, Kinder-und Jugendbetreuer/-in Grund KiJu 21",04.11.2008,"23.750,13",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Förderverein Soziales und Bildung,"Quali-MAE 2N, Kinder-und Jugendbetreuer Aufbaukurs KiJu-Aufbau 4",06.11.2008,"24.099,40",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Förderverein Soziales und Bildung,"Quali-MAE 2N, Sanitätshelfer/-in Sani 4",17.11.2008,"12.573,60",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Förderverein Soziales und Bildung,"Quali-MAE 2N, Basispflegekurs Pflege 32",08.12.2008,"25.147,20",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Förderverein Soziales und Bildung,Touristikcoach Ziel 2N,01.12.2008,"140.068,44",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FRAU und BERUF e.V.,FRAU und BERUF e.V.,01.01.2008,"133.690,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FrauenComputerZentrumBerlin e.V.,Keine Angst vor Computern,01.01.2008,"151.734,40",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FrauenComputerZentrumBerlin e.V.,"""eniac girls"" - Medienkompetenzen f. drogenabhängige Frauen im Strafvollzug",01.01.2008,"373.746,64",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FrauenComputerZentrumBerlin e.V.,Selbstlernzentrum-IT,01.01.2008,"672.435,20",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FrauenComputerZentrumBerlin e.V.,MmB - SP4) Medienkompetenzen und Gesundheitsförderung (MuG),01.02.2008,"313.114,46",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FrauenComputerZentrumBerlin e.V.,MmB - Medienkompetenzen - Qualifizierungsprojekt 3 f. krebskranke Frauen,01.11.2008,"187.867,67",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FrauenTechnikZentrum Berlin-Hohenschönhausen e.V.,Modulare Qualifizierung für junge Mütter in der Elternzeit,01.03.2008,"60.090,47","60.090,47",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FrauenTechnikZentrum Berlin-Hohenschönhausen e.V.,MS Office,26.05.2008,"20.721,58","20.721,58",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FrauenTechnikZentrum Berlin-Hohenschönhausen e.V.,Englisch im Alltag,09.06.2008,"21.168,00","21.168,00",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FrauenTechnikZentrum Berlin-Hohenschönhausen e.V.,MS Office,14.07.2008,"20.180,42","20.180,42",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FrauenTechnikZentrum Berlin-Hohenschönhausen e.V.,Englisch für den Alltag,29.10.2008,"22.176,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FrauenTechnikZentrum Berlin-Hohenschönhausen e.V.,MS Office,03.11.2008,"23.814,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Frauenzentrum Marie e.V.,Neuer Schwung fürs Unternehmen,01.01.2008,"90.500,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Frauenzentrum Marie e.V.,Weiterbildung und Beratung in Marzahn,01.01.2008,"349.220,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Frauenzentrum Schokoladenfabrik e.V.,Deutsch- und Integrationskurs für Frauen aus der Türkei,01.01.2008,"73.760,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Frauenzukunft e.V.,"Hasa-Kurse 15, 16",01.01.2008,"266.998,60",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Frauenzukunft e.V.,"Biberin 37,38,39,40",01.01.2008,"224.361,40",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FrauSuchtZukunft Verein zur Hilfe suchtmittelabhängiger Frauen e.V.,FrauSuchtZukunft Manufaktur,01.01.2008,"35.971,31","35.971,31",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FrauSuchtZukunft Verein zur Hilfe suchtmittelabhängiger Frauen e.V.,tiebrA- Berufliche Integration,01.10.2008,"48.716,25","48.716,25",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,Handel/Verkauf mit Kassenpass,08.05.2008,"67.781,28",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,Lagerwirtschaft/Logistik mit Gabelstaplerschein,19.05.2008,"61.365,80",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,Wachschutz mit IHK Prüfung § 34 a (2),19.05.2008,"59.366,22",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,Hauswirtschaft 2,19.05.2008,"13.538,99","13.538,99",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,Gesunde Ernährung 2,09.06.2008,"12.906,01","12.906,01",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,Pädagogisch-psychologische Weiterbildung II,21.07.2008,"38.425,49","38.425,49",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,PC-gestützte Büroorganisation/Buchhaltung,21.07.2008,"20.203,47","20.203,47",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,Gesunde Ernährung 3,11.08.2008,"14.022,63","14.022,63",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,Verkaufstraining mit Kassenpass 2 (Z&B),25.08.2008,"22.853,53","22.853,53",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,PC- Anwendungen für die Praxis 3 (Z&B),01.09.2008,"29.469,47","29.469,47",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,Wachschutz mit IHK Prüfung § 34 a (3),01.10.2008,"59.522,02",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,Gesunde Ernährung II,13.10.2008,"19.699,33",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,PC-gestützte Büroorganisation/Buchhaltung - 2,20.10.2008,"11.819,41",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,PC- Anwendungen für die Praxis 4 (Z&B),27.10.2008,"31.519,90",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,Verkaufstraining mit Kassenpass 3 (Z&B),27.10.2008,"29.155,85",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,Hausmeister - Reparaturservice (MAE),27.10.2008,"31.520,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,Pädagogisch-psychologische Weiterbildung III,01.11.2008,"23.640,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
FUBe Fortbildung-Umschulung-Beratung GmbH,Soziale Pflege Basiskurs/Hauswirtschaft - 2,17.11.2008,"26.296,47",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Gangway e.V.,IH - Manne F.,01.04.2008,"154.613,81",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Gangway e.V.,"21156 Beratungsprojekt im Rahmen von ""Ausbildung in Sicht""",01.03.2008,"146.527,70",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Gesellschaft für Arbeitsförderung mbH,BZM-a)Depot für Geschichtsmodelle-b)Grünfläche,15.11.2007,"40.158,79","40.158,79",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Gesellschaft für berufliche Bildung,Ausbildung in Sicht,29.01.2008,"40.040,00","40.040,00",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Gesellschaft für berufliche Bildung,Ausbildung in Sicht,11.02.2008,"41.040,00","41.040,00",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Gesellschaft für berufliche Bildung,Sprachpraxis und Berufspraxis,17.03.2008,"57.771,89","57.771,89",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Gesellschaft für berufliche Bildung,Ausbildung in Sicht,29.09.2008,"85.415,95",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Gesellschaft für berufliche Bildung,Sprachpraxis und Berufspraxis,01.09.2008,"57.583,33",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Gesellschaft für berufliche Bildung,Sprachpraxis und Berufspraxis,15.09.2008,"57.250,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Gesellschaft für berufliche Bildung,Sprachpraxis und Berufspraxis,01.12.2008,"57.250,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Gesellschaft für soziale Unternehmensberatung GSUB,Lokales Soziales Kapital,15.11.2008,"1.336.645,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Gesellschaft für Sport und Jugendsozialarbeit gGmb,KICK School-Team,01.05.2008,"443.400,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,Integrierte Sprachförderung im Fachunterricht - Berufsvorbereitung und -ausbildung (SPAS II),01.01.2008,"626.918,96",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,22256-Sprachkurs 7 - 2008 (Schriftsprachliche Kompetenz),07.07.2008,"52.069,03",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,22257-Sprachkurs 6 - 2008 (B2),07.07.2008,"54.037,71",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,Sprachkurs 8B - 2008 (C1-Prüfungskurs),01.10.2008,"16.448,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,Basisqualifikation Hauspflege 3/08,25.08.2008,"7.255,03","7.255,03",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,ECDL 5- 2008 (MAE),01.09.2008,"17.905,23","17.905,23",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,Wege in den Beruf 4-2008,01.09.2008,"55.777,68",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,Kiezzeit Neukölln,01.09.2008,"38.150,05","38.150,05",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,Schulabschlüsse 3-2008 HSA,15.09.2008,"68.820,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,Schulabschlüsse 3-2008 eHSA,15.09.2008,"68.820,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,Schulabschlüsse 3-2008 MSA,15.09.2008,"68.820,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,Schulabschlüsse 2-2008 HSA FK,01.10.2008,"62.160,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,Pflegebasiskurs 2 - 2008,01.10.2008,"20.348,16",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,ECDL Start 1 - 2008,01.10.2008,"22.243,99","22.243,99",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,Wege in den Beruf 5-2008,01.10.2008,"38.227,45",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,GBM 0222-Sprachkurs 9 - 2008 (Schriftsprachliche Kompetenz),20.10.2008,"30.223,08",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,Schulabschlüsse 5-2008 HSA,17.11.2008,"46.620,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,Schulabschlüsse 4-2008 HSA,08.12.2008,"55.500,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,Schulabschlüsse 5-2008 eHSA,08.12.2008,"33.260,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFBM e.V.,Schulabschlüsse 5-2008 MSA,08.12.2008,"39.423,47",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
"GFS Fachschule für Steuern, Recht und Wirtschaft",234 Stunden Basisqualifizierung-Altenpflege (MAE),25.08.2008,"26.614,84","26.614,84",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
"GFS Fachschule für Steuern, Recht und Wirtschaft",Grundlagen Gerontopsychiatrie,18.08.2008,"16.649,12","16.649,12",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
"GFS Fachschule für Steuern, Recht und Wirtschaft",Sicherheitsfachkraft im Bewachungsgewerbe gem.§34a GeWO (MAE),15.09.2008,"31.497,76",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
"GFS Fachschule für Steuern, Recht und Wirtschaft",234 Stunden Basisqualifizierung-Altenpflege (MAE),27.10.2008,"31.291,47",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
"GFS Fachschule für Steuern, Recht und Wirtschaft",Gerontopsychiatrie Zusatzqualifizierung-Betreuungskraft im Rahmen des §87b SGB XI,06.10.2008,"27.929,43",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
"GFS Fachschule für Steuern, Recht und Wirtschaft",Grundlagen Buchhaltung,03.11.2008,"21.131,03",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
"GFS Fachschule für Steuern, Recht und Wirtschaft",234 Stunden Basisqualifizierung-Altenpflege (MAE),27.10.2008,"28.626,15",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
"GFS Fachschule für Steuern, Recht und Wirtschaft",Gerontopsychiatrie Zusatzqualifizierung-Betreuungskraft im Rahmen des §87b SGB XI,03.11.2008,"46.844,61",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
"GFS Fachschule für Steuern, Recht und Wirtschaft",MAE-Vorbereitungkurs - Übungsleiter Breitensport C,17.11.2008,"15.210,90",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
"GFS Fachschule für Steuern, Recht und Wirtschaft",Qualifizierung Helfertätigkeit Metallbearbeitung,08.12.2008,"23.856,43",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFU Akademie für Bildung und Beratung GmbH,Recht im Alltag - der Behördenführerschein,28.05.2008,"15.264,45","15.264,45",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
GFU Akademie für Bildung und Beratung GmbH,Recht im Alltag - der Behördenführerschein,04.08.2008,"10.730,72","10.730,72",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Goldnetz gGmbH,Begleitsystem Mentoring,01.01.2008,"120.109,99",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Goldnetz gGmbH,Organisation und Durchführung bez. Sozialmärkte Mitte III,09.06.2008,"369.252,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
