"Prioritätsachse","Begünstigte","Maßnahmebezeichnung","Jahr der Bewilligung","Gewahrte Betrage","Bei Abschluss des Vorhabens gezahlte Gesamtbetrage"
"A","Odertraining Frankfurt (Oder) Henrik Knösel","Qualifizierung in kleinen und mittleren Unternehmen - Reha-Trainer, Trainer für Rückenfitness, Koordinationstrainer, Funktionsdiagnostik, Trainer für Osteoporoseprävention, Trainer für Arthroseprävention ",2008,554.40,
"A","Partenheimer&Co. GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Rationalisierung durch EDV-Einsatz",2008,7252.00,
"A","Physiotherapie Angela Böhm ","Qualifizierung in kleinen und mittleren Unternehmen - fachliche Qualifizierung",2008,2888.20,
"A","Physiotherapie Cornelia Dorn","Qualifizierung in kleinen und mittleren Unternehmen - Schulung Manuelle Therapie",2008,770.00,
"A","Physiotherapie Dagmar Krabe","Qualifizierung in kleinen und mittleren Unternehmen - Manuelle Therapie",2008,1540.00,
"A","Physiotherapie Jana Will & Mandy Buggisch","Qualifizierung in kleinen und mittleren Unternehmen - Manuelle Therapie, Radiologiekurs, Klinischer Kurs, Tape-Kurs, Verkaufstraining, Lymphdrainage ",2008,5054.00,
"A","Physiotherapie Karola Birlem","Qualifizierung in kleinen und mittleren Unternehmen - Manuelle Therapie",2008,770.00,
"A","Physiotherapie Kristina Grünert","Qualifizierung in kleinen und mittleren Unternehmen - Manuelle Therapie, Lympfdrainage Refr., Narbenpflege, Mau-Massage, Beckenbodentraining, Fußzonenreflexmassage, Verkaufstraining, Tape-Kurs",2008,1678.60,
"A","Physiotherapie Mario Düvier","Qualifizierung in kleinen und mittleren Unternehmen - Manuelle Therapie, Hand am Fuß, Energie spüren, Aczidose Massage, Bobath, Fußreflexzonenmassage, Microcinese",2008,3555.30,
"A","Physiotherapie Marlis Borchardt","Qualifizierung in kleinen und mittleren Unternehmen - Manuelle Therapie, Rückenschule Refresher, Taping, Radiologie, Trigger Spezial, Craniosacral Einführung",2008,3822.00,
