"Prioritätsachse","Begünstigte","Maßnahmebezeichnung","Jahr der Bewilligung","Gewahrte Betrage","Bei Abschluss des Vorhabens gezahlte Gesamtbetrage"
"B","Europa-Universität Viadrina Frankfurt (O )","Viadrinabotschafter bundesweit und international",2008,166200.00,
"B","Europa-Universität Viadrina Frankfurt (O )","Familiengerechte Hochschule Audit und Zertifikat Familiengerechte Hochschule für die Viadrina",2008,20175.00,
"B","Europa-Universität Viadrina Frankfurt (O )","In Kooperation aller Akteure im Bereich Hochschule und Beruf in Frankfurt (Oder) soll der Bereich Schlüsselqualifikationen weiter ausgebaut, strategisch geschärft und schließlich als überregionales Angebot Brandenburgischen Hochschulen und Unternehmungen zur Verfügung gestellt werden.",2008,373725.00,
"B","Europa-Universität Viadrina Frankfurt (O )","Mentoring für Frauen Gemeinsam Zukunft gestalten",2008,123000.00,
"B","EWG Eberswalder Wurst GmbH ","Verbundausbildung, Herstellung von Kochwurst, Herstellung von Pökelwaren, Prüfungsvorbereitung im handwerklichen Betrieb",2008,2660.00,
"B","Fachhochschule Brandenburg ","Zielsetzung ist die enge Zusammenarbeit der Hochschule mit Unternehmen, um die Berufsfähigkeit und berufliche Orientierung der Studierenden und Absolvent/innen zu 
unterstützen und zu fördern. ",2008,68000.00,
"B","Fachhochschule Brandenburg ","Coaching Center -Verbesserung des hochschulrelevanten Querschnittsziels der potentialorientierten Chancengleichheit für die Ausbildungs-, Berufsübergangs- und erste Berufstätigkeitsphase (Gleichstellungsprofil) sowie Schaffung einer entsprechenden Infrastruktur",2008,167700.00,
"B","Fachhochschule Brandenburg ","Kompetenzzentrum Sicherheit",2008,183750.00,
"B","Fachhochschule Brandenburg ","Master Project & Research Program - Digitale Medien und Konvergenz",2008,67375.00,
"B","Fachhochschule Brandenburg ","Projekt zur Erhöhung der Studierneigung in naturwissenschaftlich- technischen Fächern ; Aufbau von sozialer Kompetenz und Problembewusstsein in der Oberstufe",2008,6600.00,
"B","Fachhochschule Eberswalde ","Mobile Hochschule - Verbesserung der Übergangsquote Schule - Hochschule sowie der Absolventenquote",2008,150750.00,
"B","Fachhochschule Eberswalde ","Partnernetzwerk Ökolandbau und Vermarktung",2008,124875.00,
"B","Fachhochschule Eberswalde ","Verstärkte Entwicklung der Angebote zur Sicherung der Beschäftigungsfähigkeit der Absolventen.",2008,63500.00,
"B","Fachhochschule Lausitz ","Unter der Werbebotschaft Wissenschaft zum Anfassen soll ein rollendes Exploratorium, dass leicht nachvollziehbare Experimente aus Studienangeboten der Fachhochschule in erlebnisorientierter Form präsentiert, die Schülerinnen und Schüler für die Wissenschaft begeistern. ",2008,100000.00,
"B","Fachhochschule Lausitz ","Die Fachhochschule Lausitz gestaltet mit diesem Projekt den Prozess der Studienorientierung aktiv mit. Im Fokus steht die frühzeitige Motivation der Schülerinnen und Schüler für ein Hochschulstudium im Land Brandenburg",2008,45000.00,
"B","Fachhochschule Lausitz ","Integriertes Projekt zur Verzahnung der Hochschulausbildung mit der Brandenburger Wirtschaft",2008,57701.41,
"B","Fachhochschule Lausitz ","Verbundausbildung, Integriertes Projekt zur Verzahnung der Hochschulausbildung mit der Brandenburger Wirtschaft",2008,210000.00,
"B","Fachhochschule Lausitz ","Verbundausbildung, Emissions- und Absorptionsspektrometrie zweiatomiger Moleküle",2008,182636.75,
"B","Fachhochschule Potsdam ","Zur Verbesserung des Übergangs von der Hochschule in die Berufstätigkeit und Erhöhung der Verbleibsquote von Absolvent/innen in Brandenburg beabsichtigt die FH Potsdam eine zentrale Koordinations- und Querschnittstelle einzurichten.",2008,56775.00,
"B","Fachhochschule Potsdam ","""Virtuelles Probe-Studium"" und ""mobile Lehre""",2008,259850.00,
"B","FAPEK-GmbH ","Ausbildung Anlagenmechaniker",2008,11160.00,
"B","FAW gGmbH Akademie Cottbus ","Verbundausbildung, Grundkurs Lexware: Einrichten einer Firma, Hinterlegen von Stammdaten, Arbeiten mit Fakturierung und Buchführung",2008,1200.00,
"B","FAW gGmbH Akademie Cottbus ","Verbundausbildung, Aufbaukurs Lexware (Arbeiten mit der Buchhaltung, Lohn- und Gehaltsbuchung, weitere Arbeiten mit Lexware)",2008,1800.00,
"B","Fels-Werke GmbH ","Kernqualifikation Industriemechaniker, Elektroniker",2008,10440.00,
"B","FGB Fassaden-, Gerüstbau- und Bauarbeiten GmbH","Verbundausbildung, Erstbeschichtung, Instandsetzungsmaßnahmen, Reparaturlackierungen, Objekte gestalten",2008,2500.00,
"B","Förderverein Märkischer Wald e.V. ","Durchführung des Freiwilligen Ökologischen Jahres",2008,81991.00,
"B","Förderverein Märkischer Wald e.V. ","Durchführung des Freiwilligen Ökologischen Jahres",2008,110929.00,
"B","Fürstenwalder Aus- und Weiterbildungszentrum gGmbH","Verbundausbildung Grundlagen Metall",2008,16800.00,
"B","Fürstenwalder Aus- und Weiterbildungszentrum gGmbH","Industriekauffrau - Kaufmännische Ausbildung Beschaffung/Personal/Kommunikation",2008,1500.00,
"B","Fürstenwalder Aus- und Weiterbildungszentrum gGmbH","Verbundausbildung, Grundlagen Metall auf der Basis der geltenden Lehrpläne zur Fachkraft für Abwassertechnik/Wasserversorgungstechnik 1. Lehrjahr",2008,2400.00,
"B","Fürstenwalder Aus- und Weiterbildungszentrum gGmbH","Grundlagen Metall/Pneumatik/Hydraulik/Bearbeiten von Kunststoffen",2008,1800.00,
"B","Fürstenwalder Aus- und Weiterbildungszentrum gGmbH","Verbundausbildung, Grundlagen Metall",2008,1200.00,
"B","Fürstenwalder Aus- und Weiterbildungszentrum gGmbH","Verbundausbildung, Lehrgang: E-Technik/Pneumatik/Hydraulik/Bearbeiten von Kunststoffen für Kunststoff- und Kautschuktechnik",2008,2400.00,
"B","Fürstenwalder Aus- und Weiterbildungszentrum gGmbH","Verbundausbildung, Grundlagen Metall/Pneumatik/Hydraulik/Kunststoffe",2008,1800.00,
"B","Fürstenwalder Aus- und Weiterbildungszentrum gGmbH","Verbundausbildung, Fachspezifische Prüfungsvorbereitung Werkzeugmechaniker",2008,400.00,
"B","FV Garten-, Landschafts- und Sportplatzbau Land Brandenburg e.V.","Lehrgänge zur überbetrieblichen Ausbildung Gärtner - Garten- und Landschaftsbau",2008,59395.00,
"B","G. Fleischhauer Ing.-Büro Cottbus GmbH ","Verbundausbildung - Gestaltungsorientierte Produkte, Digitale Bildbearbeitung, Gestaltung vom Digitalmedien, Gestaltungsgrundlage, Medienintegration",2008,3060.00,
"B","GAAC Commerz GmbH ","Verbundausbildung Warten, Prüfen, Einstellen von Kraftfahrzeugen und Systemen",2008,800.00,
"B","GAF in Hoyerswerda mbH ","Verbundausbildung Papiertechnologe",2008,8400.00,
"B","GAF in Hoyerswerda mbH ","Verbundausbildung  Verpackungsmittelmechaniker/-in",2008,8100.00,
"B","GAF in Hoyerswerda mbH ","Verbundausbildung, Mechatroniker, Zerspanungsmechaniker",2008,18900.00,
"B","GAF in Hoyerswerda mbH ","Verbundausbildung, Industriemechaniker, Mechatroniker, Zerspanungsmechaniker",2008,21600.00,
"B","GBM Gleisbaumechanik Brandenburg/H. GmbH ","Verbundausbildung, Grundausbildung Elektrotechnik",2008,4800.00,
"B","GBM Gleisbaumechanik Brandenburg/H. GmbH ","Verbundausbildung, Grundausbildung Elektrotechnik",2008,2300.00,
"B","Gemeinnütziger Berufsbildungsverein Guben e.V.","Ausbildung Maschinen- und Anlagenführer",2008,21220.00,
"B","Gemeinnütziger Berufsbildungsverein Guben e.V.","Verbundausbildung Anlagenmechaniker, Fachrichtung Versorgungstechnik: Manuelles Spanen, Trennen/Umformen, Maschinelles Spanen, Hydraulik/Pneumatik, Fügen, Prüfen, Konstruieren",2008,2900.00,
"B","Gemeinnütziger Berufsbildungsverein Guben e.V.","Verbundausbildung, Zusatzqualifikation: Ausbildung zum Gabelstaplerfahrer",2008,,1400.00
"B","Gemeinnütziger Verein zur Förderung der beruflichen Bildung e.V.","Verbundausbildung, Teile des Ausbildungsrahmenplanes Holzmechaniker",2008,6600.00,
"B","Gemeinnütziger Verein zur Förderung der beruflichen Bildung e.V.","Verbundausbildung, Ausbildungsrahmenplan Zerspanungsmechaniker",2008,11340.00,
"B","Gesellschaft für Montan- und Bautechnik mbH (GMB)","Ausbildung im 2. Lehrjahr zum Mechatroniker und Aufbereitungsmechaniker",2008,6000.00,
"B","Gesellschaft für Montan- und Bautechnik mbH (GMB)","Ausbildung im 1. Lehrjahr zum Industriemechaniker und zur Fachkraft für Wasserversorgungstechnik",2008,9000.00,
"B","Golem GmbH ","Ausbildung Steuerungstechnische Systeme, Zerspanung Teil 2, Projektarbeit, Prüfungsvorbereitung Teil 2",2008,2040.00,
"B","GOTTSCHALK Handel & Service GmbH ","Verbundausbildung Kaufmann im Einzelhandel",2008,1500.00,
"B","GOTTSCHALK Handel & Service GmbH ","Verbundausbildung Elektroniker für Betriebstechnik",2008,2500.00,
"B","GOTTSCHALK Handel & Service GmbH ","Verbundausbildung Elektroniker für Betriebstechnik",2008,2500.00,
"B","GOTTSCHALK Handel & Service GmbH ","Verbundausbildung Einzelhandelskauffrau",2008,1500.00,
"B","Gut Wilmersdorf GbR ","Verbundausbildung. 1. Sauenhaltung und Ferkelerzeugung, 2. Mutterkuhhaltung",2008,1480.00,
"B","Gut Wilmersdorf GbR ","Verbundausbildung. Chemischer Pflanzenschutz",2008,200.00,
"B","Handwerkskammer Cottbus","Ausbildungsplatzprogramm-Ost 2008                     Kooperatives Modell  ",2008,1185656.40,
"B","Handwerkskammer Cottbus ","Verbundausbildung Inhalte lt. VO zur Berufsausbildung der Tischler",2008,860.00,
"B","Handwerkskammer Cottbus ","Verbundausbildung, Kraftfahrzeugmechatroniker 4. Ausbildungsjahr: Fahrzeugsystemtechnik (CAN-BUS), Diagnose an Motormanagement-, Fahrwerks-, Komfort- und Sicherheitselektroniksystemen",2008,400.00,
"B","Handwerkskammer Cottbus ","Verbundausbildung, Anlagenmechaniker 1. Lehrjahr: Messen, Prüfen, Lehren, Manuelles Spanen, Maschinelles Spanen, Trennen, Umformen, Fügen, Konventionelles Drehen, Konventionelles Fräsen  ",2008,1820.00,
"B","Handwerkskammer Cottbus ","Verbundausbildung, Einführung in das MAG-Dünnblechschweißen",2008,200.00,
"B","Handwerkskammer Frankfurt (Oder)","Ausbildungsplatzprogramm-Ost 2008                     Kooperatives Modell  ",2008,1725964.64,
"B","Handwerkskammer Frankfurt (Oder) Region Ostbrandenburg","Ausbildungsverbünde - Lehrgang K4/05 - Fahrzeugsystemtechnik (CAN-Bus)",2008,100.00,
"B","Handwerkskammer Frankfurt (Oder) Region Ostbrandenburg","Verbundausbildung -Motor-Management-Systeme, Fahrwerks- und Bremstechnik, Diagnose an Motormanagement-, Fahrwerk-, Komfort- und Sicherheitselektroniksystemen, Fahrzeugsystemtechnik",2008,500.00,
"B","Handwerkskammer Frankfurt (Oder) Region Ostbrandenburg","Verbundausbildung Lehrgänge: Systemorientierte Auftragsbearbeitung, Prüfungsvorbereitungskurs sanitärbezogen, Prüfungsvorbereitungskurs Gas-, Öl-, Lüftungs- und Klimatechnik",2008,300.00,
"B","Handwerkskammer Frankfurt (Oder) Region Ostbrandenburg","Verbundausbildung, Lehrgänge: Hydraulik und Pneumatik an Land- und Baumaschinen, Fehlerdiagnose und Instandsetzung an Land- und Baumaschinen usw. ",2008,1100.00,
"B","Handwerkskammer Frankfurt (Oder) Region Ostbrandenburg","Verbundausbildung, Lehrgang BAE 2/05 - Moderne Verfahren zur Herstellung von Backwaren Teil 2",2008,100.00,
"B","Handwerkskammer Frankfurt (Oder) Region Ostbrandenburg","Verbundausbildung, Fehlerdiagnose und Instandsetzung an Land- und Baumaschinen, Antriebs- und Fahrwerkstechnik, Motorentechnik in Land- und Baumaschine, Übergabe von Maschinen, Schweißen, Schutzgas-MAG, Schutzgas-MAG, Fahrzeugelektrik an Land- und Baumaschinen, Einführung in das Gasschweißen und Löten",2008,1900.00,
"B","Handwerkskammer Frankfurt (Oder) Region Ostbrandenburg","Verbundausbildung, Metallbearbeitung, Werkzeugvorbereitung, Steuerungselemente 1 und 2, Steuerungstechnik",2008,2100.00,
"B","Handwerkskammer Frankfurt (Oder) Region Ostbrandenburg","Verbundausbildung, Lehrgänge: Messtechnische Grundlagen für Fahrzeugelektrik/-elektronik, Pneumatik und Hydraulik, Grundlagen der elektrischen und elektronischen Fahrzeugsysteme (Messtechnik II), Motor-Management-Systeme, Fahrwerks- und Bremstechnik",2008,600.00,
"B","Handwerkskammer Frankfurt (Oder) Region Ostbrandenburg","Verbundausbildung, Lehrgänge: Grundlagen der elektrischen und elektronischen Fahrzeugsysteme (Messtechnik II), Motor-Management-Systeme, Fahrwerks- und Bremstechnik",2008,400.00,
"B","Handwerkskammer Frankfurt (Oder) Region Ostbrandenburg","Verbundausbildung, Lehrgänge: Elektro-, Mess-, Steuer- und Regelungstechnik, Kundenorientierte Auftragsbearbeitung, Inbetriebnahme, Instandhaltung,  Systemorientierte Auftragsbearbeitung, Prüfungsvorbereitungskurs sanitärbezogen, Prüfungsvorbereitungskurs Gas-, Öl-, Lüftungs-, Klimatechnik",2008,600.00,
"B","Havelländische Verkehrsgesellschaft mbH","Verbundausbildung, Führerscheinausbildung zur Klasse D",2008,2440.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Berufsfeldbreite Grundausbildung im Berufsfeld Elektrotechnik im 1. Ausbildungsjahr",2008,22400.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Berufsfeldbreite Grundausbildung im Ausbildungsberuf Industriemechaniker - Metalltechnik -",2008,2400.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Berufsfeldbreite Grundausbildung im Berufsfeld Metalltechnik im 1. Ausbildungsjahr",2008,11000.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Berufsfeldbreite Grundausbildung im Berufsfeld Metalltechnik im 1. Ausbildungsjahr",2008,44200.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Verbundausbildung. Fachspezifische Lehrgänge zur Prüfungsvorbereitung im Berufsfeld Elektrotechnik",2008,1600.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Fachspezifische Lehrgänge zur Prüfungsvorbereitung - Elektrotechnik im 4. Lehrjahr",2008,3200.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Berufsfeldbreite Grundausbildung im Berufsfeld Metalltechnik im 1. Ausbildungsjahr",2008,9200.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Berufsfeldbreite Grundausbildung im Berufsfeld Elektronik im 1. Ausbildungsjahr",2008,3000.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Berufsspezifische Fachausbildung im Berufsfeld Elektrotechnik im 3. Ausbildungsjahr",2008,3200.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Berufsspezifische Fachausbildung im Berufsfeld Elektrotechnik im 3. Ausbildungsjahr",2008,2800.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Fachspezifische Berufsausbildung im Berufsfeld Elektrotechnik im 2. Ausbildungsjahr",2008,1300.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Berufsspezifische Fachausbildung im Berufsfeld Elektrotechnik im 2. Ausbildungsjahr",2008,9600.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Berufsspezifische Fachausbildung im Berufsfeld Elektrotechnik im 2. Ausbildungsjahr",2008,10600.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Berufsfeldbreite Grundausbildung im Berufsfeld Metalltechnik im 1. Ausbildungsjahr",2008,3000.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Verbundausbildung, Berufsfeldbreite Grundausbildung im Berufsfeld Elektrotechnik im 1. Ausbildungsjahr",2008,1600.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Verbundausbildung, Fachspezifische Lehrgänge zur Prüfungsvorbereitung im Berufsfeld Metalltechnik im 4. Ausbildungsjahr",2008,4900.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Verbundausbildung, Berufsspezifische Fachausbildung im Berufsfeld Metalltechník im 2. Ausbildungsjahr",2008,1600.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Verbundausbildung, Berufsspezifische Fachausbildung im Berufsfeld Metalltechnik",2008,28900.00,
"B","Hennigsdorfer INO-gemeinnützige Innovations- und Entwicklungsgesellschaft mbH","Verbundausbildung, Berufsspezifische Lehrgänge für den Ausbildungsberuf Fachkraft für Möbel, Küchen und Umzugsservice",2008,4000.00,
"B","Hoffbauer gGmbH","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2008,398268.00,
"B","Hoffmeier Industrieanlagen GmbH + Co. KG","Berufspraktische Ausbildung, Herausbildung von Grundfertigkeiten, Kernqualifikation",2008,20620.00,
"B","Hoffnungstaler Anstalten e.V. Lobetal","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2008,215280.00,
"B","IHK-Projektgesellschaft mbH ","Verbundausbildung, Lernthemen: Sachgerecht Unregelmäßigkeiten der Auftragsabwicklung bearbeiten",2008,3900.00,
"B","IHK-Projektgesellschaft mbH ","Verbundausbildung, Lernthemen: Sachgerecht Unregelmäßigkeiten der Auftragsabwicklung bearbeiten",2008,9100.00,
"B","IHP Microelectronics GmbH ","Sommerschule Mikroelektronik in Frankfurt/Oder",2008,46957.50,
"B","IN VIA Kath. Mädchensozialarbeit für das Erzbistum Berlin e. V.","Durchführung des Freiwilligen Sozialen Jahres",2008,19513.08,
"B","Institut für schulische und berufliche Bildung GbR","Verbundausbildung, Zusatzqualifikation: Kommunikation und Präsentation",2008,,2800.00
"B","Institut für schulische und berufliche Bildung GbR","Verbundausbildung, Personalwesen",2008,,600.00
"B","Institut für schulische und berufliche Bildung GbR","Verbundausbildung, Betriebliches Rechnungswesen",2008,1350.00,
"B","Institut für schulische und berufliche Bildung GbR","Verbundausbildung, Vermittlung praxisbezogenen Wissens unter Berücksichtigung prüfungsrelevanter Bereiche",2008,1575.00,
"B","Internationale Jugendgemeinschaftsdienste, LV Brandenburg e.V.","Jugendbauhütte Brandenburg/Berlin",2008,44847.00,
"B","Internationale Jugendgemeinschaftsdienste, LV Brandenburg e.V.","Durchführung des Freiwilligen Sozialen Jahres in der Denkmalpflege - Jugendbauhütte Brandenburg/Berlin",2008,70473.00,
"B","Internationale Jugendgemeinschaftsdienste, LV Brandenburg e.V.","Durchführung des Freiwilligen Sozialen Jahres in der Kinder- und Jugendhilfe",2008,79200.00,
"B","Internationale Jugendgemeinschaftsdienste, LV Brandenburg e.V.","Durchführung des Freiwilligen Ökologischen Jahres",2008,110929.00,
"B","Internationale Jugendgemeinschaftsdienste, LV Brandenburg e.V.","Durchführung des Freiwilligen Ökologischen Jahres",2008,81991.00,
"B","JUMP Jugend mit Perspektive ","Vernetzung/Qualifizierung in der Weiterbildung von Erwachsenen, LernLaden-Fortführung der Bildungsberatung im Landkreis Dahme Spreewald",2008,30960.00,
"B","K.- H. Straub Metallbau u. Service GmbH ","Vermittlung von Ausbildungsabschnitten Industriemechaniker",2008,2220.00,
"B","KIROW ARDELT AG ","Verbundausbildung Grundlagen der Digitaltechnik, SPS, Leistungselektronik, Pneumatik, Hydraulik",2008,2120.00,
"B","KMG gGmbH","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2008,258336.00,
"B","KSB Service GmbH Schwedt ","Fertigen von Bauteilen, Thermisches Fügen (Gasschweißen), Brennschneiden/Löten, E-Schweißen, WIG-Schweißen, Maschinelle Bauteilfertigung",2008,2900.00,
"B","KSB Service GmbH Schwedt ","Ausbildung Steuerungstechnische Systeme, Zerspanung Teil 2, Projektarbeit, Prüfungsvorbereitung Teil 1",2008,2040.00,
"B","Kultur-,Sport-u.Tourismusbetrieb ","Förderung Netzwerk Kultur, Kulturkonzeption für den Regionalen Wachstumskern",2008,34650.00,
"B","Landesbetrieb Landesvermessung und Geobasisinformation Brandenburg","Verbundausbildung Grundaufbau, Handhabung und Prüfung klassischer und elektronischer Messtechnik",2008,,760.00
"B","Landesbetrieb Landesvermessung und Geobasisinformation Brandenburg","Verbundausbildung Grundaufbau, Handhabung und Prüfung klassischer und elektronischer Messtechnik",2008,,580.00
"B","Landesbetrieb Landesvermessung und Geobasisinformation Brandenburg","Verbundausbildung Geodätische Berechnungen I",2008,300.00,
"B","Landesbetrieb Landesvermessung und Geobasisinformation Brandenburg","Verbundausbildung Geodätische Berechnungen I",2008,600.00,
"B","Landesbetrieb Landesvermessung und Geobasisinformation Brandenburg","Verbundausbildung Grundlagen der Lagemessung",2008,1200.00,
"B","Landesbetrieb Landesvermessung und Geobasisinformation Brandenburg","Verbundausbildung, Grundlegende Kommandos aus dem UNIX-Betriebssystem, Erzeugen eines Verfahrens mit dbwrit, Grundrisserzeugung mit ALK-GIAP
",2008,600.00,
"B","Landesbetrieb Landesvermessung und Geobasisinformation Brandenburg","Verbundausbildung, Geodätische Punktbestimmung",2008,400.00,
"B","Landesbetrieb Landesvermessung und Geobasisinformation Brandenburg","Verbundausbildung, Geodätische Punktbestimmung",2008,600.00,
"B","Landesbetrieb Landesvermessung und Geobasisinformation Brandenburg","Verbundausbildung, Anwendung vermessungstechnischer CAD-Programme",2008,,580.00
"B","Landesbetrieb Landesvermessung und Geobasisinformation Brandenburg","Verbundausbildung, Anwendung vermessungstechnischer CAD-Programme",2008,100.00,
"B","Landesbetrieb Landesvermessung und Geobasisinformation Brandenburg","Verbundausbildung, Rechnergestützte Bearbeitung von Längs- und Querprofilen",2008,600.00,
"B","Landesbetrieb Landesvermessung und Geobasisinformation Brandenburg","Verbundausbildung, Rechnergestützte Bearbeitung von Längs- und Querprofilen",2008,1200.00,
"B","Landesbetrieb Landesvermessung und Geobasisinformation Brandenburg","Verbundausbildung, Rechnergestützte Bearbeitung digitaler Geländemodelle",2008,1800.00,
"B","Landesbetrieb Landesvermessung und Geobasisinformation Brandenburg","Verbundausbildung, Rechnergestützte Bearbeitung digitaler Geländemodelle",2008,400.00,
"B","Landesbetrieb Landesvermessung und Geobasisinformation Brandenburg","Verbundausbildung, Vermessungstechnisches Zeichnen",2008,800.00,
"B","Landesjugendring Brandenburg Trägerwerk e.V.","Durchführung des Freiwilligen ökologischen Jahres.",2008,110929.00,
"B","Landesjugendring Brandenburg Trägerwerk e.V.","Durchführung des Freiwilligen ökologischen Jahres.",2008,81991.00,
"B","Landesjugendring Brandenburg Trägerwerk e.V.","Durchführung des Freiwilligen Sozialen Jahres ",2008,113172.57,
"B","Landesjugendring Brandenburg Trägerwerk e.V.","Durchführung des Freiwilligen Sozialen Jahres ",2008,84879.43,
"B","Landesverband der Musikschulen Brandenburg e.V.","Kita macht Musik - Berufsbegleitender Lehrgang für Erzieherinnen und Erzieher in den Kindertagesstätten",2008,14430.63,
"B","Landesverband der Musikschulen Brandenburg e.V.","Kita macht Musik - berufsbegleitender Lehrgang für Erzieherinnen und Erzieher in den Kindertagesstätten",2008,7337.11,
"B","Landesverband Gartenbau Brandenburg ","Lehrgänge zur überbetrieblichen Ausbildung Gärtner",2008,3552.00,
"B","Landesverband Gartenbau Brandenburg ","Überbetriebliche Ausbildung in der Landwirtschaft - Gärtner (Produktionsgartenbau)",2008,4179.00,
"B","Landesverband Gartenbau Brandenburg ","Lehrgänge zur überbetrieblichen Ausbildung in der Landwirtschaft: Gärtner",2008,6882.00,
"B","Landesverband Gartenbau Brandenburg ","Lehrgänge zur überbetrieblichen Ausbildung in der Landwirtschaft: Gärtner",2008,15762.00,
"B","Landesverband Gartenbau Brandenburg ","Lehrgänge zur überbetrieblichen Ausbildung in der Landwirtschaft: Gärtner - Produktionsgartenbau",2008,2089.00,
"B","Landesverband Gartenbau Brandenburg ","Lehrgänge zur überbetrieblichen Ausbildung in der Landwirtschaft: Gärtner - Produktionsgartenbau",2008,6865.50,
"B","Landesvereinigung Kulturelle Jugendbildung Berlin e.V.","Durchführung des freiwilligen Sozialen Jahres.",2008,34277.93,
"B","Landesvereinigung Kulturelle Jugendbildung Berlin e.V.","Durchführung des freiwilligen Sozialen Jahres.",2008,51246.00,
"B","Lausitzer Rundschau Medienverlag GmbH ","Verbundausbildung, Kundengespräche vorbereiten, durchführen, Aufträge annehmen, Auftragsabwicklung mit Leistungserstellern koordinieren",2008,3900.00,
"B","Lausitzer Rundschau Medienverlag GmbH ","Verbundausbildung, Informationsquellen für die Erschließung von Zielgruppen und Märkten, auswerten und nutzen",2008,2250.00,
"B","Lausitzer Rundschau Medienverlag GmbH ","Verbundausbildung, Marketing, Zielgruppenunterscheidung, Möglichkeiten von Werbekooperationen und Sponsoring",2008,675.00,
"B","Lausitzer Rundschau Medienverlag GmbH ","Verbundausbildung, Daten für medienübergreifende Nutzung erstellen und medienspezifisch konvertieren, Scriptsprachen unterscheiden",2008,2000.00,
"B","Lausitzer VerlagsService GmbH ","Verbundausbildung, Medienspezifische Daten mit Anwendungsprogrammen, bearbeiten, korrigieren, Produktionsworkflow steuern und überwachen",2008,3200.00,
"B","Lausitzer VerlagsService GmbH ","kundenorientierte Marketingmaßnahmen, Verkaufsgespräche durchführen und nachbereiten, Kundenwünsche ermitteln",2008,500.00,
"B","Lausitzer VerlagsService GmbH ","Verbundausbildung, Grundlagen des betrieblichen Personalwesens, Arbeits- und Organisationsmittel, bürowirtschaftliche Abläufe",2008,975.00,
"B","LEIPA Georg Leinfelder GmbH ","Verbundausbildung Mess-/Regelungstechnik, Elektrotechnik/Elektronik, Elektro-/pneumatik, Kleinsteuerung, SPS, Steuerungstechnik",2008,3120.00,
"B","LEIPA Georg Leinfelder GmbH ","(Keine Vorschläge) Digitaltechnik, Regelungstechnik, Elektrotechnik/Elektronik, elektrische Maschinen, Fehlersuche",2008,2160.00,
"B","LEIPA Georg Leinfelder GmbH ","Verbundausbildung Regelungstechnik, Qualitätsmanagement",2008,300.00,
"B","LR Media-Verkaufsgesellschaft mbH ","Verbundausbildung, Medienspezifische Daten mit Anwendungsprogrammen bearbeiten, korrigieren, Produktionsworkflow steuern und überwachen",2008,2500.00,
"B","LR Media-Verkaufsgesellschaft mbH ","Verbundausbildung, Daten für medienübergreifende Nutzung erstellen und medienspezifisch konvertieren, Scriptsprachen unterscheiden",2008,900.00,
"B","Lutz Feller ","Verbundausbildung - Erwerb, Veräußerung und Vermittlung von Immobilien - Betriebskostenabrechnung - WEG-Verwaltung",2008,735.00,
"B","Märkische Plastomer GmbH ","Verbundausbildung Maschinenausbildung, Elektrohydraulik und -pneumatik",2008,6000.00,
"B","Märkische Plastomer GmbH ","Verbundausbildung Metallgrundausbildung",2008,4800.00,
"B","Matthias Kark","Verbundausbildung, Pneumatik, CNC-Technik II",2008,800.00,
"B","MeSo gGmbH","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2008,247572.00,
"B","Metallbau Gerhard Ziem ","Ausbildung Thermisches Trennen, Steuerungstechnik, Funktionskenntnisse von Baugruppen, Maschinen und Produktionsanlagen",2008,3280.00,
"B","Multivision e.V. ","Qualifizierung in der Jugendhilfe u. Weiterbildung Erwachsener - Konfliktklärung in Jugendhilfe und Schule in Brandenburg",2008,44178.00,
