"Type","Name des Begünstigten","Bezeichnung des Vorhabens","Jahr der Bewilligung / Jahr der Restzahlung","Gewährte Beträge","Bei Abschluss des Vorhabens gezahlte Gesamtbeträge"
"Standardvorhaben","DIAS Niederlausitz gGmbH","(250823273B) Mitarbeiter Apothekenmuseum",2008,"86.400,00  EUR",
"Standardvorhaben","DIAS Niederlausitz GmbH","(250823275B) Archivhelfer",2008,"86.400,00  EUR",
"Standardvorhaben","Johanniter-Unfall-Hilfe e. V. -Regionalverband Sﾟdbrandenburg- Hauptgeschﾊftsstelle Cottbus","(250823290A) Begleit-, Betreuungs- und Befﾚrderungspersonal",2008,"382.800,00  EUR",
"Standardvorhaben","LHC Cottbus e. V.","(250823300B) Vereinshelfer",2008,"43.200,00  EUR",
"Standardvorhaben","SV Eiche Branitz","(250823320A) Vereinshelfer",2008,"43.200,00  EUR",
"Standardvorhaben","Selbsthilfeverein ""Futurum"" e. V.","(250823330A) Sozialhelfer",2008,"43.200,00  EUR",
"Standardvorhaben","Selbsthilfeverein Futurum e. V.","(250823331A) Sozialhelfer",2008,"43.200,00  EUR",
"Standardvorhaben","Schﾟtzengilde Cottbus 1471 e.V.","(250823340B) Vereinshelfer",2008,"86.400,00  EUR",
"Standardvorhaben","Regionalwerkstatt Brandenburg e. V.","(250823350B) Mitarbeiterin zur Erkundung und Aufarbeitung regionaler Geschichte des Stadtteils Schmellwitz",2009,"43.200,00  EUR",
"Standardvorhaben","Forum zur Fﾚrderung kommunaler Interaktionen e.V.","(250823360B) Dokumentaristen",2008,"259.200,00  EUR",
"Standardvorhaben","Jﾟdische Gemeinde Cottbus e.V.","(250823370A) Vereinshelfer",2009,"216.000,00  EUR",
"Standardvorhaben","Cottbuser Jugendrechsthaus e. V.","(250823380A) Granzgﾊnger - Vermeidung von Deliquenzverfestigung bei strafunmﾟndigen Kindern",2008,"85.360,00  EUR",
"Standardvorhaben","ESV Lok Cottbus e.V.","(250823390B) Vereinshelfer",2008,"86.400,00  EUR",
"Standardvorhaben","Domowina Regionalverband Niederlausitz e. V.","(250823400B) Mitarbeiter Bibliothek",2008,"56.133,00  EUR",
"Standardvorhaben","Rennklub RK Endspurt 1909 Cottbus e.V.","(250823410B) Mitarbeiter Breitensportangebot",2008,"86.400,00  EUR",
"Standardvorhaben","Landkreis Elbe-Elster","(250824000B) Begleitperson Schﾟlerspezialverkehr",2008,"183.651,84  EUR",
"Standardvorhaben","Landkreis Elbe-Elster","(250824001B) Ma fﾟr Verkehrserziehung",2008,"53.394,12  EUR",
"Standardvorhaben","Landkreis Elbe-Elster","(250824002B) Archivhelfer",2008,"96.109,20  EUR",
"Standardvorhaben","Landkreis Elbe-Elster","(250824004B) Mitarbeiter Museumsarbeiten",2008,"104.466,96  EUR",
"Standardvorhaben","Landkreeis Elbe-Elsster","(250824005B) Helfer Kreismedienzentrum",2008,"144.163,80  EUR",
"Standardvorhaben","Landkreis Elbe-Elster","(250824007A) Helfer kulturelle Weiterbildung ",2008,"144.163,80  EUR",
"Standardvorhaben","Landkreis Elbe-Elster","(250824008B) Helfer Brandschutzerziehung und Nachwuchsarbeit",2008,"104.466,96  EUR",
"Standardvorhaben","Landkreis Elbe-Elster","(250824009B) Helfer Museumsinventarisierung/Kreismuseum Bad Liebenwerda",2008,"85.298,40  EUR",
"Standardvorhaben","Stadt Falkenberg (Elster)","(250824033B) Helfer fﾟr Service und Landschaftspflege",2008,"304.514,64  EUR",
"Standardvorhaben","Stadt Bad Liebenwerda","(250824040C) Bauhofhelfer",2008,"232.977,60  EUR",
"Standardvorhaben","Arbeitsfﾚrderungsgesellschaft ""Elbe-Elster"" mbH","(250824051A) Kindertagesstﾊtten-Helfer",2008,"225.643,99  EUR",
"Standardvorhaben","Arbeitsfﾚrderungsgesellschaft ""Elbe-Elster"" mbH","(250824052B) Mitarbeiter Bibliothek / Museum",2008,"130.529,95  EUR",
"Standardvorhaben","Arbeitsfﾚrderungsgesellschaft ""Elbe-Elster"" mbH","(250824056B) Besucherbetreuer Industriedenkmal",2008,"75.213,33  EUR",
"Standardvorhaben","Landkeis Elbe-Elster","(250824062B) Mitarbeiter Museumsarbeiten",2008,"96.109,20  EUR",
"Standardvorhaben","Landkreis Elbe-Elster Dezernat III","(250824067C) Helfer Naturschutz",2008,"102.507,84  EUR",
"Standardvorhaben","Landkreis Elbe-Elster Dezernat III","(250824068A) Schulbetreuer",2008,"410.031,36  EUR",
"Standardvorhaben","Stadt Herzberg","(250824070C) Grﾟnflﾊchenpfleger",2008,"96.109,92  EUR",
"Standardvorhaben","Gemeinde Rﾟckersdorf im Amt Elsterland","(250824090B) Gartenbauhelfer",2008,"91.226,88  EUR",
"Standardvorhaben","Kreissportbund Elbe-Elster e.V.","(250824100B) Sachbearbeiter Durchfuehrung Sportabzeichenaktion",2008,"39.600,00  EUR",
"Standardvorhaben","Gemeinde Schﾚnborn im Amt Elsterland","(250824110B) Museums-/Gartenhelfer und Kitahelfer",2008,"91.245,60  EUR",
"Standardvorhaben","Gemeinde Heideland im Amt Elsterland","(250824121C) Gemeinde- und Gartenbauhelfer",2008,"92.306,88  EUR",
"Standardvorhaben","Amt Schlieben","(250824130B) Bauhofhelfer",2008,"45.112,32  EUR",
"Standardvorhaben","Arbeitsfﾟrderungsgesellschaft ""Elber-Elster"" mbH","(250824150B) Gaestebetreuer",2008,"188.035,32  EUR",
"Standardvorhaben","Arbeitsfﾚrderungsgesellschaft ""Elbe-Elster"" mbH","(250824151C) Gartenbauhelfer",2008,"112.821,52  EUR",
"Standardvorhaben","Arbeitsfﾟrderungsgesellschaft ""Elbe-Elster"" mbH","(250824152A) Sportbetreuung",2008,"37.604,84  EUR",
"Standardvorhaben","Arbeitsfﾟrderungsgesellschaft ""Elbe-Elster"" mbH","(250824154B) Archivhelfer Ortschronik",2008,"37.604,84  EUR",
"Standardvorhaben","Arbeitsfﾚrderungsgesellschaft Elbe-Elster mbH","(250824156B) Pfarrgarten Saxdorf",2008,"75.213,03  EUR",
"Standardvorhaben","Arbeitsfﾚrderungsgesellschaft ""Elbe-Elster"" mbH","(250824157B) Mitarbeiter Koordination Stadtfest",2008,"43.508,08  EUR",
"Standardvorhaben","Arbeitsfﾚrderungsgesellschaft ""Elbe-Elster"" mbH","(250824158B) Kraftwerk Plessa Archiv",2008,"75.213,03  EUR",
"Standardvorhaben","Entwicklungsgesellschaft Energiepark Lausitz GmbH","(250824161B) Besucherbetreuung Erlebnis- und Miniaturenpark",2008,"72.000,00  EUR",
"Standardvorhaben","Entwicklungsgesellschaft Energiepark Lausitz GmbH","(250824162B) Helfer Ortsteilpflege",2008,"182.160,00  EUR",
"Standardvorhaben","Stadt Schﾚnewalde","(250824171C) Bauhofhelfer ",2008,"51.324,84  EUR",
"Standardvorhaben","Arbeitslosenverband Deutschland, LV Brandenburg e. V.","(250824180A) Helfer Tafel Herzberg und Bad Liebenwerda",2008,"77.922,32  EUR",
"Standardvorhaben","Johanniter-Unfall-Hilfe e. V. Regionalverband Sﾟdbrandenburg","(250824190B) Mitarbeiter Teestube Finsterwalde",2008,"33.848,65  EUR",
"Standardvorhaben","Johanniter Unfall Hilfe e. V. Regionalverband Sﾟdbrandenburg","(250824192A) Mitarbeiter soziale Dienste JOSI",2009,"36.000,00  EUR",
