ID,name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung_restzahlung, gewahrte_betrage , bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage 
95,"IHK Frankfurt am Main, Frankfurt am Main",Au�enwirtschaftsberatung 2008 IHK Frankfurt,2008, -   ,"66,460.00"
96,"IHK Frankfurt am Main, Frankfurt am Main",IHK Frankfurt Au�enwirtschaftsberatungen 2009,2009,"105,000.00", -   
97,"impex-polymer-Service GmbH   - Gesch�ftsf�hrung -,
Reinhardshagen","Verlagerung einer Betriebsst�tte nach 34359 Reinhardshagen, Industriegebiet S�d, Kreis
Kassel",2007,"853,500.00", -   
98,"Industrie- und Handelskammer Darmstadt, Darmstadt","Netzwerk ""Automatisierungsregion Rhein Main Neckar""",2008,"24,000.00", -   
99,"Industrie- und Handelskammer Darmstadt, Darmstadt",Aufbauphase des Software-Cluster Rhein Main Neckar,2009,"345,000.00", -   
100,"Industrie- und Handelskammer Frankfurt am Main, Frankfurt am
Main",Au�enwirtschaftsberatungen durch die IHK Frankfurt 2010,2010,"105,000.00", -   
101,"Initiative Frauen, Leben und Arbeit in Mittelhessen e.V. Frau Dr.
Seitz, Gie�en",Frauen-Mentoring-Programm Mittelhessen <S.E.T>,2008,"66,475.00", -   
102,"Initiative Frauen, Leben und Arbeit in Mittelhessen e.V. Frau Dr.
Seitz, Gie�en",Frauen-Mentoring-Programm Mittelhessen <S.E.T.>,2010,"64,800.00", -   
103,"Institut f�r Freie Berufe an der Friedrich-Alexander-Universit�t
Erlangen-N�rnberg e.V., N�rnberg",Beratungsdienstleistungen f�r Angeh�rige Freier Berufe in Hessen,2008,"22,600.00", -   
104,"Institut f�r Freie Berufe an der Friedrich-Alexander-Universit�t
Erlangen-N�rnberg e.V., N�rnberg","Information, Beratung und Coaching",2009,"45,400.00", -   
105,Institut Wohnen und Umwelt,"Wiss. Begleitung zur energetischen Moderniierung ABG-Geb�ude in Frankfurt; 1. Phase,
Vertrag mit Institut Wohnen und Umwelt 27.05",2008,"118,000.00", -   
106,Institut Wohnen und Umwelt,"Wiss. Begleitung zur energetischen Moderniierung ABG-Geb�ude in Frankfurt; 2. Phase,
Vertrag mit Institut Wohnen und Umwelt 27.05",2008,"90,600.00", -   
107,"Josef  Wiegand Ski und Rodel e.K., Rasdorf",Errichtung einer Betriebsst�tte in Wald-Michelbach,2009,"292,300.00", -   
108,"Jugendwerkstatt Gie�en e.V., Gie�en",Modernisierungsbeschaffungen,2009,"175,000.00", -   
109,Katja Schmidt,,2008,"19,700.00", -   
110,"KIZ gemeinn�tzige Projektgesellschaft mbH, Offenbach am
Main",Gr�ndertage Hessen 2008,2008,"47,700.00", -   
111,"KIZ gemeinnu_tzige Projektgesellschaft mbH, Offenbach am Main",Gr�ndertage Hessen 2009,2009,"46,500.00", -   
112,Klaus Bonadt,Biomasseheizung m. Stirling BHKW,2008,"21,300.00", -   
114,"Kommunale Arbeitsgemeinschaft vertreten durch den Landkreis
Bergstra�e, Heppsnheim",Reaktivierung der �berwaldbahn f�r touristische Nutzung (Draisine) 1. BA,2008,"4,384,200.00", -   
115,"Kompetenznetzwerk Dezentrale Energie- technologien
Nordhessen e. V., Kassel","Cluster ""Dezentrale Energietechnologien - Verstetigungsphase""",2008,"345,000.00", -   
116,"Kompetenzzentrum HessenRohstoffe e. V., Witzenhausen",Holzcluster Hessen: Initiierungsphase,2009,"25,000.00", -   
117,"Kreisausschu� des Landkreises Fulda, Fulda","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen des Landkreises
Fulda",2008,"259,600.00", -   
118,"Kreisausschu� des Landkreises Fulda, Fulda","Modernisierung und Erg�nzung der IUK-Ausstattung der beruflichen Schulen im Landkreis
Fulda",2010,"80,000.00", -   
119,"Kreisausschu� des Landkreises Marburg-Biedenkopf, Marburg","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen des Landkreises
Marburg-Biedenkopf",2008,"302,200.00", -   
120,"Kreisausschu� des Landkreises Marburg-Biedenkopf, Marburg",Gr�ndungsinitiative Marburg-Biedenkopf,2009,"240,000.00", -   
121,"Kreisausschu� des Landkreises Marburg-Biedenkopf, Marburg","F�rderung von erg�nzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen
in Berufsschulen (ViLBe)",2009,"160,000.00", -   
122,"Kreisausschuss des Lahn-Dill-Kreises, Wetzlar",Veranstaltungsreihe zur F�rderung beruflicher Kompetenzen von Frauen,2008,"6,167.00", -   
123,"Kreisausschuss des Lahn-Dill-Kreises, Wetzlar","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen des Lahn-Dill-
Kreises",2008,"417,100.00", -   
124,"Kreisausschuss des Landkreises Bergstra�e, Heppenheim","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen des Landkreises
Bergstra�e",2008,"86,000.00", -   
125,"Kreisausschuss des Landkreises Darmstadt-Dieburg,","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen des Landkreises
Darmstadt-Dieburg",2008,"40,000.00", -   
126,"Kreisausschuss des Landkreises Darmstadt-Dieburg,","F�rderung von erg�nzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen
in Berufsschulen (ViLBe)",2010,"19,900.00", -   
127,"Kreisausschuss des Landkreises Gro�-Gerau FB Schul- und
Geb�udeservice Haus II, Gro�-Gerau","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen des Kreises Gro�-
Gerau",2008,"32,161.00", -   
128,"Kreisausschuss des Landkreises Hersfeld-Rotenburg, Bad
Hersfeld","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen des Landkreises
Hersfeld-Rotenburg",2008,"402,100.00", -   
129,"Kreisausschuss des Landkreises Kassel Amt f�r Schulen und
Bauwesen, Hofgeismar","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen des Landkreises
Kassel",2009,"152,800.00", -   
130,"Kreisausschuss des Landkreises Kassel Amt f�r Schulen und
Bauwesen, Hofgeismar","Modernisierung und Erg�nzung der IuK-Ausstattung der beruflichen Schulen des
Landkreises Kassel",2009,"33,300.00", -   
131,"Kreisausschuss des Landkreises Kassel Amt f�r Schulen und
Bauwesen, Hofgeismar","F�rderung von erg�nzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen
in Berufsschulen (ViLBe)",2010,"70,000.00", -   
132,"Kreisausschuss des Landkreises Kassel, Kassel",Ausbau Flughafen Kassel-Calden Verlegung der B 7,2009,"5,555,900.00", -   
133,"Kreisausschuss des Landkreises Limburg-Weilburg, Limburg","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen des Landkreises
Limburg-Weilburg",2008,"662,000.00", -   
134,"Kreisausschuss des Landkreises Odenwaldkreis, Erbach","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen des
Odenwaldkreises",2008,"264,000.00", -   
135,"Kreisausschuss des Landkreises Offenbach am Main,
Dietzenbach","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen des Landkreises
Offenbach",2008,"80,000.00", -   
136,"Kreisausschuss des Landkreises Offenbach am Main,
Dietzenbach","Modernisierung und Erg�nzung der IuK-Ausstattung der beruflichen Schulen des
Landkreises Offenbach",2009,"34,600.00", -   
137,"Kreisausschuss des Landkreises Waldeck-Frankenberg,",,2008,"150,318.00", -   
138,"Kreisausschuss des Landkreises Waldeck-Frankenberg,","Modernisierung und Erg�nzung der IUK-Ausstattung der beruflichen Schulen im Landkreis
Waldeck-Frankenberg",2010,"254,000.00", -   
140,"Kreisausschuss des Main-Taunus-Kreises, Hofheim am Taunus","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen des Main-Taunus-
Kreises",2008,"47,801.00", -   
141,"Kreisausschuss des Main-Taunus-Kreises, Hofheim am Taunus","F�rderung von erg�nzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen
in Berufsschulen (ViLBe)",2010,"76,100.00", -   
142,"Kreisausschuss des Schwalm-Eder-Kreises, Homberg (Efze)","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen des Schwalm-Eder
-Kreises",2008,"800,000.00", -   
143,"Kreisausschuss des Vogelsbergkreises, Lauterbach","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen des
Vogelsbergkreises",2008,"359,500.00", -   
144,"Kreisausschuss des Vogelsbergkreises, Lauterbach","F�rderung von erg�nzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen
in Berufsschulen (ViLBe)",2009,"80,000.00", -   
145,"Kreisausschuss des Vogelsbergkreises, Lauterbach",Anschubmarketing BahnRadweg Hessen,2009,"166,900.00", -   
146,"Kreishandwerkerschaft des Landkreises Waldeck-Frankenberg,
Korbach",Entwicklung einer �bergabeagentur (Change Agency),2008,"309,500.00", -   
147,"Kreishandwerkerschaft des Landkreises Waldeck-Frankenberg,
Korbach",Modernisierung der Ausstattung im BBZ Korbach,2008,"903,100.00", -   
148,"Kreishandwerkerschaft Waldeck-Frankenberg, Korbach",Machbarkeitsstudie f�r eine Qualifizierung zum Einsatz regenerativer Energietr�ger,2009,"20,000.00", -   
149,"Landesinnung Hessen K�lte-Klima-Technik, Maintal",Technologieiransfer-Stelle,2008,"51,000.00", -   
150,"Landesinnung Hessen K�lte-Klima-Technik, Maintal",Technologie-Transfer-Stelle der Bundesfachschule K�lte-Klima-Technik,2009,"33,000.00", -   
151,"Landesverband der Campingplatzunternehmer in Hessen e. V.,
Kn�llwald",Einf�hrung eines integrierten ECOCAMPING-Management,2008,"75,000.00", -   
152,"Mafex - Marburger F�rderzentrum f�r Existenzgr�nder aus der
Universit�t, Marburg",Pre-Seed-Beratung und Betreuung von akademischen Spinn-Offs,2008,"56,250.00", -   
153,"Magistrat der Kreisstadt Korbach, Korbach","Machbarkeitsstudie f�r das ""Zentrale Geopark-Infozentrum""",2008,"53,600.00", -   
154,"Magistrat der Stadt Bad K�nig, Bad K�nig","Neubau einer Trink- und Wandelhalle mit Cafe und Veranstaltungs- zentrum im Kurgarten
Bad K�nig",2008,"900,000.00", -   
155,"Magistrat der Stadt Bad Wildungen, Bad Wildungen",Fortf�hrung des ARS NATURA in der Gemarkung Bad Wildungen,2008,"44,473.09", -   
156,"Magistrat der Stadt Bensheim, Bensheim",Firmen�bergreifende Personalstrategien im demografischen Wandel (F�PS),2008,"50,000.00", -   
157,"Magistrat der Stadt Butzbach, Butzbach","Entwicklungsstudie ""Roman-Way-Village""",2009,"30,000.00", -   
158,"Magistrat der Stadt Darmstadt Schulamt, Darmstadt","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen der Stadt
Darmstadt",2008,"146,600.00", -   
159,"Magistrat der Stadt Darmstadt Schulamt, Darmstadt","F�rderung von erg�nzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen
in Berufsschulen (ViLBe)",2009,"60,000.00", -   
160,"Magistrat der Stadt Dillenburg, Dillenburg",St�dtebauliche Entwicklung des G�terbahnhofgel�ndes,2009,"6,000,000.00", -   
161,"Magistrat der Stadt Eschwege, Eschwege",Intermediales Labor iLAB,2008,"25,000.00", -   
162,"Magistrat der Stadt Eschwege, Eschwege","Entwicklungsstudie ""Camp Cool""",2009,"25,000.00", -   
163,"Magistrat der Stadt Frankfurt am Main Stadtschulamt, Frankfurt
am Main","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen der Stadt Frankfurt
am Main",2008,"556,700.00", -   
164,"Magistrat der Stadt Friedberg (Hessen), Friedberg (Hessen)","Errichtung eines Kreisverkehrsplatzes an der B3 in Friedberg als Anbindung des
Gewerbegebietes West und der Kasernenfl�che",2008,"471,500.00", -   
165,"Magistrat der Stadt Fulda, Fulda",Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen der Stadt Fulda,2008,"533,900.00", -   
166,"Magistrat der Stadt Fulda, Fulda",Modernisierung und Erg�nzung der IuK-Ausstattung der beruflichen Schulen der Stadt,2009,"58,800.00", -   
167,"Magistrat der Stadt Fulda, Fulda",Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen der Stadt Fulda,2010,"56,000.00", -   
169,"Magistrat der Stadt Gie�en Schulverwaltungsamt, Gie�en",Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen der Stadt Gie�en,2008,"222,200.00", -   
170,"Magistrat der Stadt Hanau Schulverwaltungsamt, Hanau",Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen der Stadt Hanau,2008,"83,100.00", -   
171,"Magistrat der Stadt Hofheim, Hofheim am Taunus",Gr�nderzentrum Hofheim,2008,"13,500.00", -   
172,"Magistrat der Stadt Kassel - Liegenschaftsamt - Herr
Lengemann, Kassel","Machbarkeitsstudie f�r das Interkommunales Gewerbegebiet ""Langes Feld"" in
Niederzwehren",2008,"257,600.00", -   
173,"Magistrat der Stadt Kassel, Kassel",Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen der Stadt Kassel,2008,"575,800.00", -   
174,"Magistrat der Stadt Kassel, Kassel","Aufbau und Entwicklung der Kasseler Kooperation ""Denkmal und Energie""",2009,"280,000.00", -   
