name_des_begunstigten,bezeichnung_des_vorhabens,jahr_bewilligung,jahr_projektende,gewahrte_betrage,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage,fund_type,currency,uri
Berufsfortbildungswerk - Gemeinnützige Bildungseinrichtung des DGB GmbH (bfw),Chance III Vorqualifizierung in handwerklichen Berufen in der JVA,2009,2010,"135.111,97",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Berufsfortbildungswerk - Gemeinnützige Bildungseinrichtung des DGB GmbH (bfw),PAMI,2008,2010,"350.806,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Berufsfortbildungswerk - Gemeinnützige Bildungseinrichtung des DGB GmbH (bfw),CHANCE III EDV HB und Brhv (Männer und Frauen),2008,2010,"828.251,18",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Berufsfortbildungswerk - Gemeinnützige Bildungseinrichtung des DGB GmbH (bfw),Service-Techniker-Wind 2008-2010 -STW-,2008,2010,"364.867,53",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Berufsfortbildungswerk - Gemeinnützige Bildungseinrichtung des DGB GmbH (bfw),Service-Techniker-Wind 2008-2010 -STW-,2008,2010,"2.255.730,77",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Berufsfortbildungswerk - Gemeinnützige Bildungseinrichtung des DGB GmbH (bfw),Kunststoffzentrum Bremerhaven,2008,2010,"1.829.688,89",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bildung für eine Welt e. V.,Deutsch im Beruf,2008,2009,,"10.000,00",ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bildungszentrum der Wirtschaft im Unterwesergebiet e.V,AiBB - PLUS,2008,2012,"479.942,59",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bildungszentrum der Wirtschaft im Unterwesergebiet e.V,Diversity in der Polizei,2008,2009,"189.319,98",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bildungszentrum der Wirtschaft im Unterwesergebiet e.V,Exam - Bremer Ausbildungsbüro (Exam 2009),2009,2009,"41.585,64",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Blaue Karawane e.V.,"Bremen produktiv - integrativ Blaue Karawane e. V. / Integration - kreativ, ein Projekt der Blauen Karawane e. V. (integrativ)",2008,2010,"475.075,20",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Blaue Karawane e.V.,Wohnen-Leben-Arbeiten in der Überseestadt,2008,2009,"7.462,12",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
bras e. V. - arbeiten für bremen,Jugend Informations- und Beratungsstelle Bremen Nord,2008,2010,"216.710,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
bras e. V. - arbeiten für bremen,Bremen produktiv - integrativ BRAS / Bremer Geschichte,2008,2010,"6.072.998,73",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
bras e. V. - arbeiten für bremen,Bremen produktiv - integrativ BRAS / Bremer Geschichte (integrativ),2008,2010,"239.506,28",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
bras e. V. - arbeiten für bremen,Bremen produktiv - integrativ BRAS / Miteinander in Huchting,2008,2010,"1.390.778,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
bras e. V. - arbeiten für bremen,Bremen produktiv - integrativ BRAS / Tenever,2008,2010,"1.176.010,75",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bremen.ru e. V.,IQUAL - Information und Qualifikation für russischsprachige Migranten,2008,2008,,"6.871,08",ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bremer Bootsbau Vegesack gGmbH,Bremen produktiv - integrativ Bremer Bootsbau / Ökologische Anforderungen,2008,2010,"4.059.384,21",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bremer Heimstiftung - Schule für Altenpflege,Schulverbund der Altenpflegeschulen in Bremen,2008,2011,"1.229.027,07",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bremer Sportjugend im Landessportbund e. V.,Schultraining und Hausaufgabenhilfe gegen Schulabbruch,2008,2009,"6.327,60",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bremer Volkshochschule Eigenbetrieb der Stadtgemeinde Bremen,Wege in die Stadt,2009,2010,"6.700,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bremer Volkshochschule Eigenbetrieb der Stadtgemeinde Bremen,Orientierungskurs: Deutsch und gesellschaftliches Grundwissen für Migrantinnen.,2008,2009,"3.222,08",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bremer Volkshochschule Eigenbetrieb der Stadtgemeinde Bremen,Bewerbungstraining für jugendliche Migrantinnen,2008,2009,"3.504,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bremer Volkshochschule Eigenbetrieb der Stadtgemeinde Bremen,Deutschkurs für ausländische Frauen mit Kinderbetreuung,2008,2009,"6.658,90",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bremer Volkshochschule Eigenbetrieb der Stadtgemeinde Bremen,Bewerbungstraining für jugendliche MigrantInnen,2009,2009,"3.504,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bremer Volkshochschule Eigenbetrieb der Stadtgemeinde Bremen,Deutschkurs / Einstieg Deutsch für ausländische Mütter mit Kinderbetreuung,2009,2009,"6.500,92",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bremerhavener Beschäftigungsgesellschaft Unterweser mbH,BBU GT,2008,2010,"2.998.148,30",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bremerhavener Beschäftigungsgesellschaft Unterweser mbH,Fischereihafen,2008,2010,"4.413.287,21",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bremerhavener Beschäftigungsgesellschaft Unterweser mbH,Sprungbrett,2008,2011,"811.330,66",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bürger- und Sozialzentrum Huchting e.V.,Deutschkurs für Frauen,2008,2009,"3.108,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bürgerhaus Oslebshausen e.V.,Tauchprojekt zur Gewaltprävention,2008,2008,,"7.680,00",ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bürgerhaus Oslebshausen e.V.,Tauchprojekt 2009,2009,2009,"7.780,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Bürgerzentrum Neue Vahr,Integration arbeitsloser Menschen,2008,2009,"3.000,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Caritasverband für Bremerhaven und den Landkreis Cuxhaven,Caribiff / Berufliche Integration für Frauen,2008,2009,"9.900,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Caritasverband für Bremerhaven und den Landkreis Cuxhaven,"Auf die Plätze, fertig, los! Frauen gehen an den Start!",2009,2010,"7.394,50",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Caritasverband für das Dekanat Bremen Nord e.V.,Schulmeiderprojekt/Elternarbeit mit Roma-Familien in Bremen Nord / Blumenthal,2009,2010,"2.496,69",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Caritasverband für das Dekanat Bremen Nord e.V.,Schulvermeiderprojekt/Elternarbeit mit Roma-Familien in Bremen-Nord,2008,2009,"19.994,11",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Caritasverband für das Dekanat Bremen Nord e.V.,PC-Kurs für jugendliche und junge erwachsene Migranten/innen,2009,2010,"3.967,47",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Claudia Maurer,Neustart für Powerfrauen,2008,2009,"10.000,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
comeback gmbh,Schulung elterlicher Kompetenz,2008,2009,"9.310,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
comeback gmbh,Berufsorientierung für Jugendliche und junge Erwachsene,2009,2010,"9.310,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
comeback gmbh,Bremen produktiv - integrativ Comeback GmbH / Wilder Westen (integrativ),2008,2010,"843.540,70",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
comeback gmbh,Berufsorientierung für Jugendliche und junge Erwachsene,2008,2009,"9.310,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Competence-Pool e.V.,Neue Wege in Arbeit finden,2008,2009,"9.668,12",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
DEKRA Akademie GmbH,Perspektive Logistik,2008,2010,"81.906,61",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
DEKRA Akademie GmbH,Perspektive Logistik,2008,2010,"412.856,83",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Deutscher Kinderschutzbund LV Bremen e.V.,familiennetz bremen bremerhaven,2008,2010,"564.039,72",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,ProMotion,2008,2010,"1.267.166,19",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,Deutschsprachkurs für Migrantinnen,2008,2009,"2.250,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,Spagat,2008,2011,"228.044,52",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,BeLeM,2008,2011,"725.183,75",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,"BE-Ser, Bremer Albert-Einstein-Schule-Soziales Kompetenztraining und Sport erleben",2008,2009,"12.196,06",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,Aktionsprogramm Kamphofer Damm / Blexer Straße,2008,2009,"5.510,16",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,Quartierszentrum Niedersachsendamm,2008,2009,"7.400,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,KidZ 2009,2009,2011,"506.489,39",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,Anglunipe - Integrationsbegleitung und soziale Betreuung von Roma-Frauen und ihren Familien (Schwellenängste überwinden lernen),2009,2010,"9.980,52",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
ebn - Expertinnen Beratungsnetz Bremen e.V.,Cross-Mentoring,2008,2010,"92.079,61",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
ebn - Expertinnen Beratungsnetz Bremen e.V.,Mentoring für Frauen,2008,2010,"111.000,21",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Ein Haus für unsere Freundschaft e.V.,Hemelinger Allmende,2008,2008,"5.300,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Ein Haus für unsere Freundschaft e.V.,Interkulturelle Nachbarschaften,2008,2009,"5.960,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Ein Haus für unsere Freundschaft e.V.,"Druck Interkulturelle Frauen Kalender ""Hemelinger Allmende"" 2010",2009,2009,"2.155,40",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Ein Haus für unsere Freundschaft e.V.,Hemelinger Allmende 2010,2009,2009,"6.996,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Ein Haus für unsere Freundschaft e.V.,Alphabetisierungskurs für Migrantinen,2009,2009,"7.725,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
EPSYMO - Elternverein für PSYchoMotorische Entwicklungsförderung e. V.,"""Windeln, Schule, Haushaltsbuch""",2009,2009,"5.000,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
EPSYMO - Elternverein für PSYchoMotorische Entwicklungsförderung e. V.,"""Jetzt nicht!""",2008,2009,"7.500,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Erstes Lesumer Fernsehen E.L.F. e. V.,SchülerInnenfirma,2009,2010,"9.420,20",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Ev.-luth. Christopherus Gemeinde Pastor Peters,"""Ich will was werden!"" - Coaching zur Ausbildungsplatzsuche",2008,2009,"7.500,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Ev.-luth. Christopherus Gemeinde Pastor Peters,"""Ich will was werden!"" - Coaching zur Ausbildungsplatzsuche",2008,2009,"9.999,55",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Ev.-luth. Christopherus Gemeinde Pastor Peters,startup-plus,2009,2010,"10.000,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
faden e.V.,Grünhöfe - neue Impulse für mehr Miteinander im Stadtteil,2008,2010,"2.375.765,08",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
faden e.V.,Bremerhaven-Lehe - Unterstützung für einen Stadtteil im Wandel,2008,2010,"3.430.211,39",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
faden e.V.,Ressourcen bündeln - Potentiale nutzen,2009,2010,"1.431.177,24",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
faden e.V.,"""Jugend in Arbeit""",2009,2010,"872.641,61",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Förderwerk Bremen GmbH,"Bremen produktiv - integrativ Förderwerk / BrauchBar - Nachbarschaftshilfeprojekt im Ortsteil Kattenturm, Kattenturmer Kooperationsprojekt Kattenturmer-Mitte.",2008,2009,"61.001,67",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Förderwerk Bremen GmbH,Bremen produktiv - integrativ Förderwerk / Concierge,2008,2010,"2.855.132,10",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Förderwerk Bremen GmbH,Bremen produktiv - integrativ Förderwerk / Hauptberufliche Nachbarschaftshilfe und BewohnerIntreffpunkt Blumenthal,2008,2010,"2.488.924,39",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Förderwerk Bremen GmbH,Bremen produktiv - integrativ Förderwerk / Huchtinger Knoten,2008,2010,"869.400,40",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
