"Name of Beneficiary","Project Name","Total budget (EUR)","Size of grants given (BGN)"
"""МЕТРОМЕДИЯ"" ООД","""Повишаване на конкурентноспособността и качеството на продукта на „МЕТРОМЕДИА” ООД чрез внедряване на система за управление на качеството и подобряване на технологията по управление на процесите""","56,150.00 ","27,513.50 "
"""САВУЛЕН СОКС"" ЕООД","""Покриване на международно признати стандарти""","54,950.00 ","27,475.00 "
"""СТРОИТЕЛНА МЕХАНИЗАЦИЯ"" АД","""Повишаване на конкурентоспособността на ""Строителна механизация"" АД чрез покриване на международно признати стандарти и въвеждане на ИТ система за управление""","54,600.00 ","27,300.00 "
"""КОНКОРДИА БУРГАС"" ООД","""Повишаване на конкурентните предимства на ""Конкордиа Бургас"" ООД, чрез внедряване и сертифициране на Система за управление на качеството"" ","55,000.00 ","27,230.50 "
"""П. ДУСМАН"" ЕООД","""Внедряване и сертифициране на Система за управление на безопасността на храните в дейността предлагане на организирано хранене и кетъринг на ""П. Дусман"" ЕООД""","61,189.00 ","26,923.16 "
"""ИНСТИТУТ ПО ЦЕЛУЛОЗА И ХАРТИЯ"" АД","""Подобряване ефективността на производствените процеси в „Институт по целулоза и хартия” АД""","55,200.00 ","26,496.00 "
"""КОМПЮТЪР ТИИМ 97"" ЕООД","""Внедряване на система за управление на качеството ISO 9001 и автоматизиране на процесите""","52,700.00 ","26,350.00 "
"""ДЕЛЕКТРА"" ЕООД","""ВЪВЕЖДАНЕ НА „СЕ” МАРКИРОВКА В ПРЕДПРИЯТИЕТО""","51,000.00 ","25,500.00 "
"""КОНСУЛ 2001"" ЕООД","""Внедряване на добри практики за управление на качеството и безопасността на храните в хотели Консул""","50,750.00 ","25,339.47 "
"""ЗОРА-М.М.С."" ООД","""Покриване на международно признати стандарти""","50,075.00 ","25,037.50 "
"""МОНБАТ"" АД","""Сертифициране на системата за управление на качеството на Монбат АД по стандарта ISO/TS 16949:2002 за управление на качеството в автомобилната индустрия""","49,496.00 ","24,748.00 "
"""СИМЕКС"" ЕООД","""Симекс” ЕООД - по-конкурентноспособни чрез въвеждане на международни стандарти""","50,500.00 ","24,500.00 "
"""МАРКОЛАНА БЪЛГАРИЯ"" ООД","""Разработване, внедряване и сертифицирне на Система за управление на качеството ISO 9001:2000 в Марколана България ООД""","48,896.00 ","24,448.00 "
