"NUMBER COM","Name of Beneficiary","Project Name","Total budget","Size of grants provided "
105,"""ХРОМ"" АД","""Технологично обновление на производствения процес на ХРОМ АД""","2,025,628.00","973,565.67"
106,"""ХИМИЧЕСКИ ПРОДУКТИ"" ООД","""Конкурентоспособност чрез технологична модернизация в „Химически продукти” ООД""","2,035,056.00","998,503.51"
107,"""ПАЙП ИНДУСТРИАЛ БЪЛГАРИЯ"" ООД","""Въвеждане на линия за производство на трислойни ПВХ тръби с размери 110 – 500 мм""","2,367,231.00","994,237.00"
108,"""О.Р.Т.""  АД","""ОРТ – компания с модерно лице и европейски стандарт""","942,100.00","470,000.00"
109,"""ИНСТИТУТ ПО ЗАВАРЯВАНЕ"" АД","""Конкурентноспособност чрез инвестиции в технологична модернизация в ИЗА АД""","156,871.00","101,766.15"
110,"""ЕФ ХИКС КАМЕРА"" ЕООД","""Повишаване на конкурентноспособността на Еф Хикс Камера ЕООД на медийния пазар чрез обновяване и модернизация на техниката""","975,004.89","633,753.18"
111,"""ХРАНПАК"" ЕООД","""Технологична модернизация в предприятието""","1,212,360.00","788,034.00"
112,"""ОТОРАМ -90"" ООД","""Повишаване конкурентоспособността на ""Оторам-90""ООД","133,360.00","86,684.00"
113,"""ИСКАБУЛ” АД","„Разширяване  дейността и диверсификация на продукцията на Искабул АД чрез инвестиции в   иновативни технологии и оборудване и разработване и прилагане на комплексна бизнес стратегия”","1,194,000.00","774,893.47"
114,"""СОНИКО"" ООД","„Въвеждане  в    производството на нови продукти с висока добавена стойност – системи за окачени фасади от стъкло и алуминий и фасади от алуминий ""","1,423,461.89","854,077.13"
115,"""ЧУКУРОВИ И СИЕ"" СД","                                   „ Повишаване  на конкурентноспособността и производителността в СД „Чукурови и Сие” чрез разширяване на производството на PVC дограма ""","1,785,350.00","999,796.00"
116,"""ПАЛОМИТА"" ЕАД","Автоматична производствена линия за дигитални спирални тампони","1,522,936.00","913,761.60"
117,"""ПИЕЗОКВАРЦ"" ЕООД","„За по-добра конкурентноспособност на „Пиезокварц”” ЕООД","226,000.00","146,554.59"
118,"”ЕКО ПРОЕКТ” ООД","""Разширение на производствената дейност  на „Еко Проект”ООД чрез внедряване на  екструзионна линия  за двуслойни  полиетиленови тръби  с големи диаметри""","1,366,500.00","888,225.00"
119,"ЕТ ""НИКОЛАЙ ЯНКОВ-ВИЛЛАН""","Повишаване на управленския и технологичния капацитет на „ВИЛЛАН” ЕТ","802,181.16","481,308.70"
120,"""СТАНКОВ"" ЕООД","""Технологична модернизация и повишаване на конкурентоспособността на СТАНКОВ ЕООД""","991,610.00","594,966.00"
121,"""ЛЕСИЛМАШ-98"" АД","""Повишаване на конкурентноспособността на “Лесилмаш 98”АД чрез технологична модернизация""","1,486,880.00","891,421.85"
122,"""БЛ СПОРТ"" ООД","""Технологична модернизация в ""БЛ СПОРТ"" ООД","1,493,315.00","970,654.75"
123,"„АСПЕКТ-ІІІ” ООД","""Дооборудване и модернизация  на машинния парк в предприятието за производството на филтри на „АСПЕКТ- ІІІ” ООД""","88,500.00","57,525.00"
124,"""СО - ТО КОЛОР""  ЕООД","""Модернизация и увеличаване на капацитета за производство на експандиран полистирен""","1,028,092.00","616,855.20"
125,"""МОНИ МГ"" ООД","""Технологично обновление и модернизация на фирма “МОНИ МГ” ООД""","1,881,520.00","928,530.12"
126,"""КИС 2005"" ООД","""Инвестиционна подкрепа за модернизация на предприятието и повишаване  конкурентоспособността на „КИС 2005”ООД""","156,620.31","101,803.20"
127,"""ЛЕНОВЕКС"" ООД","""Модернизация на производствена база с Леново""","533,745.22","346,934.39"
128,"""СТРОЙКОМ ПЛАСТ"" ЕООД","""Повишаване на конкурентноспособността на “СТРОЙКОМ ПЛАСТ” ЕООД чрез технологична модернизация на фирмата""","1,381,312.89","897,853.38"
129,"""ТРУД"" АД","""Запазване на българската традиция в огнеупорната индустрия чрез разширяване на производството и модернизация на ТРУД АД – гр Русе""","1,669,100.00","999,700.53"
130,"""АГРОРЕМПРОЕКТ-98"" АД","""Модернизация на техническото оборудване в “АГРОРЕМПРОЕКТ-98” АД  и повишаване на производителността и качеството на произвежданата от дружеството продукция""","456,000.00","296,400.00"
131,"""КРОКАНТИНА"" ООД","""Технологична модернизация в „КРОКАНТИНА” ООД""","94,225.00","61,246.25"
132,"""ДЕЙЗИ ТЕХНОЛОДЖИ""  ООД","""Подобряване на конкурентоспособността на Дейзи Технолоджи на международния пазар""","1,703,763.00","980,172.90"
133,"""ГЕОДЕЗИЧЕСКО ПРОЕКТИРАНЕ"" ООД","""Подобряване на бизнес средата в Шумен и региона и развитие на потенциала на „Геодезическо проектиране” ООД – гр Шумен за конкурентен и ефективен бизнес""","84,171.50","54,711.48"
134,"""УНИСКОРП"" ООД","""Технологична модернизация на “Унискорп”ООД""","1,754,188.00","999,887.16"
135,"""СТРАТОС"" ООД","""Здравословно и гарантирано качество на хляб и хлебни изделия""","1,486,430.80","891,858.48"
136,"""ВЕКТОР""  ООД","„Автоматизация на производството”","89,800.00","58,370.00"
137,"""ЕВЕ"" ЕООД","""Производство на PVC бутилки чрез издуване на преформи в “ЕВЕ” ЕООД""","1,570,060.13","1,000,000.00"
138,"""ЕСЕНС МАРКЕТИНГ"" ЕООД","""Повишаване конкурентноспособноста на “Есенс Маркетинг” ЕООД""","986,608.84","638,533.24"
139,"""ИНЕРТСТРОЙ - КАЛЕТО"" АД","""Технологична модернизация в „Инертстрой-Калето” АД""","1,483,937.00","890,362.20"
140,"""МУЛТИИМПЕКС""  ЕООД","""Стиропор""","1,051,900.00","631,140.00"
141,"""МОДУЛ МОДУС"" ООД","""Технологична модернизация и консултантска подкрепа за повишаване конкурентноспособността на Модул Модус ООД чрез разширяване, диверсифициране и оптимизиране на производствената дейност""","277,500.00","180,375.00"
142,"""ИНЖКОНСУЛТПРОЕКТ"" ООД","""Инвестиции и бизнес консултации за развитие на конкурентноспособнoстта  на „Инжконсултпроект” ООД  на пазара на проектантски услуги""","827,250.00","537,712.50"
143,"""АТМ ЕЛЕКТРОНИКС"" ООД","""Подобряване на технологичния процес и управлението в АТМ Електроникс ООД""","514,404.90","334,363.19"
