nome_beneficiari,denominazione_operazione,codice_operazione,tipo_operazione,anno,importo_impegnato,importo_pagato,fund_type,currency,uri
"Centro per l'Impiego, l'Orientamento e la Formazione di Fabriano",Corso apprendisti 'IMPIEGATI' I^ Annualità II^ Livello,115647,Progetto formativo,2008,"14.594,54","12.779,01",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Fabriano",Corso apprendisti 'IMPIEGATI' I^ Annualità II^ Livello,115650,Progetto formativo,2008,"14.453,32","12.836,95",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Fabriano",Corso apprendisti 'COMMESSI' I^ Annualità II^ Livello,115660,Progetto formativo,2008,"14.183,65","12.682,18",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Fabriano",Corso apprendisti 'COMMESSI' I^ Annualità II^ Livello,115662,Progetto formativo,2008,"14.183,65","12.608,39",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Fabriano",Corso apprendisti 'COMMESSI- TESSILE/CALZATURIERO' I^,121522,Progetto formativo,2008,"17.152,70","475,15",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Fabriano",Annualità I° Livello Corso apprendisti 'CAMERIERI/BARISTI/CUOCHI/PASTI CCERI/PANIFICATORI- PARRUCCHIERI' I^ Annualità I° Livello,121545,Progetto formativo,2008,"16.832,75","681,22",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Fabriano",Corso apprendisti 'IMPIEGATI- MAGAZZINIERI' I^ Annualità II^ Livello,121563,Progetto formativo,2008,"17.051,95","553,17",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Fabriano",Corso apprendisti 'COMMESSI- TESSILE/CALZ.- CAMERIERI/BARISTI/CUOCHI/PASTI CCERI/PANIFICATORI' I^ Annualità II^ Livello,121570,Progetto formativo,2008,"18.844,72","925,13",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Fabriano",CORSO DI INFORMATICA DI BASE,122132,Progetto formativo,2009,"4.363,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Fabriano",CORSO BASE DI OFFICE AUTOMATION,122133,Progetto formativo,2009,"4.363,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Fabriano",CORSO BASE DI INFORMATICA PER IL WEB,122134,Progetto formativo,2009,"2.902,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Fabriano",INGLESE DI BASE,122135,Progetto formativo,2009,"4.363,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Fabriano",INGLESE PER LO STUDIO E IL LAVORO,122166,Progetto formativo,2009,"4.363,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Fabriano",ENGLISH FOR BUSINESS,122168,Progetto formativo,2009,"4.363,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",APPRENDISTATO EDILI I ANNO I LIVELLO,109690,Progetto formativo,2008,"17.202,00","15.319,76",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",PROGETTO ATTUATIVO: APPRENDISTATO MAGAZZINIERI - EDILI,113730,Progetto formativo,2008,"18.660,00","16.200,58",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",OPERATORE AMMINISTRAZIONE DEL PERSONALE (PAGHE E,116209,Progetto formativo,2009,"60.752,40","834,59",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",CONTRIBUTI) PERCORSO MULTIQUALIFICA - ADDETTO VENDITA E VIDEOTERMINALISTA,118742,Progetto formativo,2009,"54.010,00","442,70",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",Informatica di base,120086,Progetto formativo,2009,"3.821,00","251,55",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",Contabilità di base,120091,Progetto formativo,2009,"3.306,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",Esercitare efficacemente la leadership nell'impresa,120135,Progetto formativo,2009,"3.773,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",Dall'idea imprenditoriale al business plain,120137,Progetto formativo,2009,"3.773,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",Contabilità avanzata,120140,Progetto formativo,2009,"3.223,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",Software per l'elaborazione di testi,120145,Progetto formativo,2009,"1.724,00","538,15",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",Data base,120152,Progetto formativo,2009,"2.207,00","51,69",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",Fogli elettronici,120155,Progetto formativo,2009,"1.947,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",Grafica computerizzata,120156,Progetto formativo,2009,"2.790,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",Tecniche CAD 3D,120158,Progetto formativo,2009,"3.223,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",Inglese per lo studio e il lavoro (modulo 1),120164,Progetto formativo,2009,"2.528,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",Inglese per lo studio e il lavoro (modulo 2),120166,Progetto formativo,2009,"2.528,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia","Leggere, scrivere, comunicare in italiano",120216,Progetto formativo,2009,"3.821,00","264,16",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",Corso base di lingua inglese,120219,Progetto formativo,2009,"3.821,00","262,66",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",Regole e comportamenti per un buon inserimento nell'ambiente di lavoro,120223,Progetto formativo,2009,"3.821,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Centro per l'Impiego, l'Orientamento e la Formazione di Senigallia",APPRENDISTATO EDILI- MAGAZZINIERI I ANNO I LIVELLO,121132,Progetto formativo,2008,"19.551,36","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CIDI DI CATOZZI E. & C.s.a.s.,SVILUPPO INTEGRATO DELLA COMUNITÀ MONTANA CATRIA,102812,Progetto formativo,2008,"10.787,25","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CIDI DI CATOZZI E. & C.s.a.s.,CESANO EVOLUZIONE E CRESCITA DELLA MICROIMPRESA,104601,Progetto formativo,2008,"13.143,58","2.295,93",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CIDI DI CATOZZI E. & C.s.a.s.,EVOLUZIONE E CRESCITA DELL'IMPRESA COMMERCIALE E DEI SERVIZI,105137,Progetto formativo,2008,"12.608,71","3.010,75",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CIDI DI CATOZZI E. & C.s.a.s.,"I SISTEMI DI GESTIONE AMBIENTALE AZIENDALE. SEMINARIO SULLA CERTIFICAZIONI ISO14001:2004, LA REGISTRAZIONE EMAS E IL MARCHIO ECOLABEL",111846,Progetto formativo,2008,"5.044,36","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CIDI DI CATOZZI E. & C.s.a.s.,IMPIANTI E SISTEMI PER LA DOMOTICA,111847,Progetto formativo,2008,"12.604,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CIDI DI CATOZZI E. & C.s.a.s.,METODOLOGIE DI INSTALLAZIONE DOMOTICA,111848,Progetto formativo,2008,"8.333,36","3.895,63",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CIDI DI CATOZZI E. & C.s.a.s.,PERCORSI FORMATIVI PER L'APPRENDISTATO ASSISTENTI ALLA PERSONA,114853,Progetto formativo,2008,"15.237,84","14.816,15",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CIDI DI CATOZZI E. & C.s.a.s.,PERCORSI FORMATIVI PER L'APPRENDISTATO ELETTRICISTI/ELETTRONICI,114854,Progetto formativo,2008,"15.633,60","15.370,88",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CIDI DI CATOZZI E. & C.s.a.s.,PERCORSI FORMATIVI PER L'APPRENDISTATO ELETTRICISTI/ELETTRONICI,121623,Progetto formativo,2008,"17.127,60","1.712,41",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CLAR Centro Libero Analisi Ricerche,Risparmio Energetico (Energy Manager),108209,Progetto formativo,2008,"9.120,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CLAR Centro Libero Analisi Ricerche,RISPARMIO ENERGETICO - Energie rinnovabili,109627,Progetto formativo,2008,"10.944,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CLAR Centro Libero Analisi Ricerche,ANIMATORE SOCIALE TEATRALE,116594,Progetto formativo,2009,"32.496,00","538,62",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
COGITO Società Cooperativa Sociale a r.l.,Visual merchandising e concept store,104892,Progetto formativo,2008,"13.444,08","2.173,34",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
COGITO Società Cooperativa Sociale a r.l.,TE 11.1.1.1 OPERATORE SOCIALE (Operatore per Minori),114874,Progetto formativo,2009,"6.452,96","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Comune di Pietrarubbia,Lavorazione artistica dei metalli: TECNICHE ORAFE,102787,Progetto formativo,2008,"51.246,00","44.692,84",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Comune di Sant'Angelo in Vado,Ricerche Storico / Archeologiche (per Guide Turistiche),103115,Progetto formativo,2008,"13.500,00","81,60",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Comunità Montana del Catria e Cesano,"CORSO DI FORMAZIONE TEORICO- PRATICO PER PREPOSTI CON FUNZIONE DI SORVEGLIANZA DEI LAVORI ADDETTI AI SISTEMI DI ACCESSO E POSIZIONAMENTO MEDIANTE FUNI (art. 116, comma 4, D.Lgs. 9 aprile 2008, n. 81)",102917,Progetto formativo,2008,"6.840,00","1.024,03",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Comunità Montana del Catria e Cesano,TECNICO LAVORAZIONE CERAMICA,102919,Progetto formativo,2008,"34.200,00","17.187,05",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Comunità Montana del Catria e Cesano,MANAGER DELLA FILIERA VITIVINICOLA,102920,Progetto formativo,2008,"7.600,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Comunità Montana del Catria e Cesano,RISPARMIO ENERGETICO - IMPIANTI FOTOVOLTAICI,102921,Progetto formativo,2008,"9.440,00","4.887,33",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Comunità Montana del Catria e Cesano,SOMMELIER - 1° LIVELLO,103189,Progetto formativo,2008,"7.200,00","3.418,50",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Comunità Montana del Catria e Cesano,PROPEDEUTICO POLIVALENTE SOCIO EDUCATIVO,103190,Progetto formativo,2008,"65.801,07","25.800,22",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Comunità Montana del Catria e del Nerone,Tecniche di marketing e management per imprenditrici del settore artigiano,104828,Progetto formativo,2008,"14.063,68","229,30",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Comunità Montana del Montefeltro - Carpegna,CUCINA. PIATTI RURALI D'AUTORE.,103075,Progetto formativo,2008,"13.500,00","1.258,38",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Comunità Montana del Montefeltro - Carpegna,TECNICHE DI POTATURA E INNESTO (MANUTENZIONE DEL FRUTTETO E DEL GIARDINO),103127,Progetto formativo,2008,"9.360,00","9.349,97",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Comunità Montana del Montefeltro - Carpegna,EUROPROGETTAZIONE,103204,Progetto formativo,2008,"10.800,00","10.800,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CONFEZIONI EUROPA SRL,INTERNAZIONALIZZARE L'IMPRESA,111240,Progetto formativo,2008,"7.600,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CONSORZIO PER LA GESTIONE DELLA PESCA DEI MOLLUSCHI BIVALVI NEL COMPARTIMENTO DI ANCONA A R.L. - CO.GE.VO.,INFORMAZIONE SULLA SICUREZZA A BORDO E IN MATERIA DI BUONE PRASSI IGIENICHE,115183,Progetto formativo,2009,"13.731,37","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Consorzio Piceni ART for JOB,MANAGEMENT INTERNAZIONALE E COMMERCIO ESTERO,114959,Progetto formativo,2009,"6.412,51","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
COOP. SOCIALE LABIRINTO,CORSO DI QUALIFICAZIONE DEL LAVORO DELLE ASSISTENTI FAMILIARI,102938,Progetto formativo,2008,"14.850,00","3.950,05",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
COOP. SOCIALE LABIRINTO,TECNICO PROBLEMATICHE SOCIO- EDUCATIVE esperto nella progettazione educativa integrata,102993,Progetto formativo,2008,"67.500,00","31.504,60",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
COOP. SOCIALE LABIRINTO,PROGETTO QUADRO PER OPERATORI E RESPONSABILI DI SERVIZI ALLA PERSONA,103057,Progetto formativo,2008,"28.800,00","11.511,71",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
COOP. SOCIALE LABIRINTO,CORSO DI QUALIFICA PER OPERATORE SOCIO SANITARIO,108111,Progetto formativo,2008,"90.000,00","47.233,83",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Coop. Sociale P.A.GE.F.HA. a r.l.,"Operatore portatori handicap (assistenza all'autonomia, alla comunicazione ed alla socializzazione dei disabili nelle scuole)",115012,Progetto formativo,2009,"7.975,06","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Cooperativa Sociale Tiquarantuno ""B""",Formazione per addetti a confezione di stampati destinati alla distribuzione,119756,Progetto formativo,2008,"19.000,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
COPAGRI Ancona,postale L'IMPRESA AGRICOLA MULTIFUNZIONALE PER I SERVIZI AL TERRITORIO,111188,Progetto formativo,2008,"6.466,68","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
COSMETAL SERVIZI srl,organizzazione del lavoro,114928,Progetto formativo,2009,"4.560,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
COSMOB s.p.a,DISEGNATORE PROGETTISTA- PRODUCT DESIGN-,103097,Progetto formativo,2008,"84.600,00","24.863,67",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Creso srl,WEB-DESIGNER ADVANCED,108268,Progetto formativo,2008,"6.587,11","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Creso srl,EMPOWERMENT: STRATEGIE DI SVILUPPO ORGANIZZATIVO CENTRATE SULLA PERSONA,109205,Progetto formativo,2008,"7.320,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CSA Centro Studi Alfieri,English_4U_08,102050,Progetto formativo,2008,"71.640,00","71.636,31",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CSA Centro Studi Alfieri,E4U_09,119976,Progetto formativo,2009,"179.560,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CSA Centro Studi Alfieri,E4U_09 CAE,120510,Progetto formativo,2009,"76.745,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"""Cuochi di Marca"" Soc. Cons. arl","""Cuoco tecnologo"". I nuovi aspetti tecnologici della ristorazione: applicazioni in cucina e trasferimento delle conoscenze in sala.",111968,Progetto formativo,2008,"11.405,70","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Data Service,Operatore Turismo Incoming,103223,Progetto formativo,2008,"61.440,00","33.441,76",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
DOMINGO SALOTTI SRL,Progetto Quadro Aziendale “Innovazione di processo e di prodotto (Informatizzazione dei processi di marketing e dei processi commerciali)”,102550,Progetto formativo,2008,"17.732,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.D.A. - Lucrezia di Cartoceto,LINGUA INGLESE - II Livello,103188,Progetto formativo,2008,"8.078,64","3.498,13",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.D.A. - Lucrezia di Cartoceto,Progetto formativo per alunni stranieri finalizzato all'acquisizione della certificazione della lingua italiana L2 - livello A2,118664,Progetto formativo,2009,"16.704,36","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"E.D.A. ""ITIS VOLTERRA""",Progetto formativo di italiano L2 per stranieri,101753,Progetto formativo,2008,"22.985,86","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.F.O.P. - Ente di Formazione e di Orientamento Professionale,OPERATRICE SETTORE PESCA,104491,Progetto formativo,2008,"9.180,00","180,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.F.O.P. - Ente di Formazione e di Orientamento Professionale,OPERATRICE SETTORE PESCA,104714,Progetto formativo,2008,"9.180,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.F.O.P. - Ente di Formazione e di Orientamento Professionale,OPERATRICE SETTORE PESCA,104717,Progetto formativo,2008,"9.180,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.N.D.O.-F.A.P.,"""GENERATION D. LIVING IN THE DIGITAL ERA""",101973,Progetto formativo,2008,"35.200,00","35.200,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.N.D.O.-F.A.P.,IL PREPOSTO ALLA SICUREZZA: ruolo e responsabilità all'interno dell'impresa.,103079,Progetto formativo,2008,"18.205,00","62,91",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.N.D.O.-F.A.P.,PROGETTISTA DELLA PRODUZIONE: Tecnico per l'innovazione del processo e del prodotto,103110,Progetto formativo,2008,"75.750,00","135,53",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.N.D.O.-F.A.P.,SOSTENIBILITA' AMBIENTALE E CONFORT ABITATIVO,103113,Progetto formativo,2008,"40.248,75","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.N.D.O.-F.A.P.,ADDETTO MACCHINE UTENSILI (secondo anno),103383,Progetto formativo,2008,"67.500,00","67.500,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.N.D.O.-F.A.P.,ELETTROMECCANICO(secondo anno),103384,Progetto formativo,2008,"67.500,00","67.500,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.N.D.O.-F.A.P.,MECCANICO AUTO(secondo anno),103385,Progetto formativo,2008,"67.500,00","67.500,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.N.D.O.-F.A.P.,MECCANICO GENERICO,103386,Progetto formativo,2008,"78.396,00","75.886,96",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.N.D.O.-F.A.P.,ADDETTO IMPIANTI ELETTRICI A BASSA TENSIONE,103387,Progetto formativo,2008,"78.396,00","67.046,32",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.N.D.O.-F.A.P.,RIPARATORE MOTOCICLI,103388,Progetto formativo,2008,"78.396,00","70.809,59",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.N.F.A.P. Marche,CERTIFICAZIONE DI INGLESE - FCE,102042,Progetto formativo,2008,"215.602,00","210.120,47",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.N.F.A.P. Marche,IL MIO SENTIERO,102854,Progetto formativo,2008,"44.997,20","43.815,39",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.N.F.A.P. Marche,OPERATORE SOCIO SANITARIO - Riqualificazione,103259,Progetto formativo,2008,"108.110,00","29.603,37",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.N.F.A.P. Marche,ESPERTO PROBLEMATICHE SOCIO- EDUCATIVE - Operatore di pet therapy,104872,Progetto formativo,2008,"32.964,00","7.726,56",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.N.F.A.P. Marche,ESPERTO WEB MARKETING DELLE ECCELLENZE TERRITORIALI,115060,Progetto formativo,2009,"39.600,00","3.001,34",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.N.F.A.P. Marche,APPR08-01L-01A-SENIG CAMERIERI/ BARISTI/CUOCHI/PASTICCERI/PANI FICATORI PRIMO LIVELLO - PRIMA ANNUALITA,115134,Progetto formativo,2008,"19.500,00","960,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
E.N.F.A.P. Marche,APPR08-02L-01A-SENIG CAMERIERI/ BARISTI/CUOCHI/PASTICCERI/PANI FICATORI SECONDO LIVELLO - PRIMA ANNUALITA,115249,Progetto formativo,2008,"17.376,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
