"BENEFICIARIO","SEDE INTERVENTO","ASSE ATTIVITA","OGGETTO AGEVOLAZIONE","ANNO ASSEGNAZIONE"," AGEVOLAZIONE CONCESSA "," IMPORTO EFFET. PAGATO "
"EUROSTUDIO SERVICES AND CONSULTINGS  DI CERRA TIZIANA & C.","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"15,216.15 €","  "
"EVO DRIVE SNC","CIRIE'","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"275,205.00 €","  "
"EX HOME S.R.L. A SOCIO UNICO","BORGARO TORINESE","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"14,500.00 €","  "
"EXEMPLAR","TORINO","I-3-1"," ICT",2010,"95,850.00 €","  "
"EXEMPLAR","TORINO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"30,030.00 €","  "
"EXEMPLAR","TORINO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"543,830.00 €","163,149.00 €"
"EXEMPLAR","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"107,678.88 €","  "
"EXITONE","PINEROLO","I-3-2"," ADOZIONE TIC",2010,"200,000.00 €","  "
"EXTETICAMENTE DI IANNACONE LAURA","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"22,500.00 €","  "
"E20PROGETTI","BIELLA","I-3-2"," ADOZIONE TIC",2010,"29,550.00 €","  "
"FABER","CAMERI","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"66,020.25 €","  "
"FACEM","TORINO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"103,362.31 €","51,681.15 €"
"Faiveley Transport Italia","PIOSSASCO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"275,983.53 €","137,991.76 €"
"FALCONE SRL","VERZUOLO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"17,037.50 €","  "
"FALPI","TRIVERO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"68,605.24 €","67,151.00 €"
"FAMAS","TRIVERO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"210,656.25 €","  "
"FANTINO COSTRUZIONI","CUNEO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"114,554.15 €","101,250.00 €"
"FARFUI INDUSTRIA DOLCIARIA DI LUIGI LOMBARDO E C. S.A.S.","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"19,866.84 €","  "
"FARMACEUTICI PROCEMSA","NICHELINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"155,400.00 €","  "
"FARMACEUTICI PROCEMSA","NICHELINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"20,000.00 €","  "
"FARMACIA CIGNA DELLA DOTTORESSA BELLONE GIADA & C.","TORINO","I-3-2"," ADOZIONE TIC",2010,"28,700.00 €","  "
"FARMEN INTERNATIONAL COSMETICS DISTRIBUTION","SETTIMO TORINESE","I-Ri3-b","LR34-04 -  TUTELA AMBIENTALE",2008,"19,462.88 €","9,776.25 €"
"FAST - LOC","PIANEZZA","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"11,806.00 €","5,903.00 €"
"FB","PIVERONE","I-3-2"," ADOZIONE TIC",2010,"98,500.00 €","  "
"F.C.A. DI COSTANTINO DONATO","POIRINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2010,"169,215.75 €","  "
"FCR","OMEGNA","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"24,976.86 €","12,488.43 €"
"FEA","SCARNAFIGI","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"91,718.13 €","78,366.22 €"
"FEA","SCARNAFIGI","II-1-2"," ENERGIA - SOSTENIBILITA",2009,"303,362.66 €","258,975.00 €"
"FEBO","GRUGLIASCO","I-Ri1-a","MANUNET 2008",2008,"448,800.00 €","  "
"FERNANDO FOLINI PRODUCTIONS","MILANO","I-Ri3-c","LR34-04 -TECNOLOGIE",2008,"21,500.00 €","  "
"FERRERO","ALBA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"2,792,196.18 €","  "
"Ferrero Ingegneria","CANALE","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"206,377.70 €","  "
"F.G. INDUSTRY SRL","PIOBESI TORINESE","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"825,000.00 €","  "
"F.I.B.E.T.","MONCALIERI","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"20,000.00 €","  "
"FIDA","MILANO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"22,529.74 €","  "
"FIDIA","SAN MAURO TORINESE","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"241,165.11 €","120,582.55 €"
"FILATURA SPAIDER","CERRETO CASTELLO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"848,891.52 €","  "
"FILATURA SPAIDER","CERRETO CASTELLO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"150,000.00 €","75,000.00 €"
"F.I.L.C.A. FABBRICA ITALIANA LAVORAZIONE CARTE E AFFINI SPA","CRESCENTINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"20,000.00 €","  "
"FIL-MASTER S.R.L.","COSSATO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"187,500.00 €","  "
"FILTER  TECHNICS SRL","TORINO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"2,725.44 €","1,362.72 €"
"FIMA CARLO FRATTINI","BRIGA NOVARESE","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"45,572.37 €","22,786.19 €"
"FIN SOFT IN DI ANGELO MONTELEONE & C.","TORINO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"123,568.84 €","  "
"FINELVO S.R.L.","OCCHIEPPO SUPERIORE","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2010,"985,972.50 €","  "
"FINELVO S.R.L.","OCCHIEPPO SUPERIORE","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"19,170.00 €","  "
"FINI.MET. PIEMONTE","VERRUA SAVOIA","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"19,250.00 €","  "
"FINISSAGGIO DI TRIVERO","TRIVERO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"18,781.51 €","  "
"FINISSAGGIO E TINTORIA FERRARIS","GAGLIANICO","II-1-1-3","A ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"275,779.09 €","269,670.70 €"
"FINISSAGGIO E TINTORIA FERRARIS","GAGLIANICO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"19,444.22 €","  "
"FIRCAP","CUORGNE'","I-Ri3-a","LR34-04 -INNOVAZIONI",2008,"15,219.20 €","7,609.60 €"
"FIRST","VALENZA","I-3-2"," ADOZIONE TIC",2010,"46,662.50 €","  "
"FLAINOX","QUAREGNA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"9,622.50 €","9,622.50 €"
"FLAINOX","QUAREGNA","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"179,392.52 €","  "
"FLEXILAN 2000 S.R.L.","TORINO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"55,377.64 €","27,688.82 €"
"F.LLI CASALEGNO","CAMBIANO","I-3-2","ADOZIONE TIC",2010,"27,432.00 €","  "
"F.LLI GRAZIANO FU SEVERINO SPA","MONGRANDO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"10,912.50 €","  "
"F.LLI MANFREDI - SAED -","SAN SECONDO DI PINEROLO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"18,710.50 €","  "
"F.LLI PAPA DI PAPA PASQUALE & C.","GRUGLIASCO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"98,329.19 €","93,603.75 €"
"FLOMA","TORINO","I-3-1"," ICT",2009,"66,674.50 €","  "
"FLUODY SRL","TORINO","I-1-1","BIOTECNOLOGIE",2009,"69,300.00 €","  "
"FMT","TORINO","I-Ri7-a","LR34-04 -AEREOSPAZIO",2008,"293,750.00 €","  "
"FMT","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"422,211.40 €","  "
"FN  NUOVE TECNOLOGIE E SERVIZI AVANZATI","BOSCO MARENGO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"296,215.40 €","148,107.70 €"
"FONDALPRESS","CASTELL'ALFERO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"150,000.00 €","75,000.00 €"
"FONDAZIONE PIEMONTESE PER LA RICERCA SUL CANCRO-ONLUS","CANDIOLO","I-1-1","BIOTECNOLOGIE",2009,"831,740.00 €","  "
"FONDAZIONE PIEMONTESE PER LA RICERCA SUL CANCRO-ONLUS","CANDIOLO","I-1-1","BIOTECNOLOGIE",2009,"470,000.02 €","  "
"FONDAZIONE PIEMONTESE PER LA RICERCA SUL CANCRO-ONLUS","CANDIOLO","I-1-1","BIOTECNOLOGIE",2009,"396,708.69 €","  "
"FONDAZIONE PIEMONTESE PER LA RICERCA SUL CANCRO-ONLUS","CANDIOLO","I-1-1","BIOTECNOLOGIE",2009,"634,402.89 €","  "
"FONDERIA ARTISTICA DI PIERO DE CARLI & C.","VOLVERA","I-Ri1-a","MANUNET 2008",2008,"175,000.00 €","  "
"FONDERIE 2A","TORINO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"150,000.00 €","75,000.00 €"
"FOND-STAMP","ROCCA DE' BALDI","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"107,835.74 €","53,917.87 €"
"FORMAZIONE CONTINUA ED EDITORIA","PIOSSASCO","I-3-2"," ADOZIONE TIC",2010,"36,700.00 €","  "
"FORNACE BALLATORE GIUSEPPE","VILLANOVA D'ASTI","I-3-2","ADOZIONE TIC",2010,"50,052.00 €","  "
"FORNACE CALANDRA","OTTIGLIO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"680,040.00 €","  "
"FORNACE CALANDRA","OTTIGLIO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"54,405.00 €","27,202.50 €"
"FORNACE PERETTI","ASSAGO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"315,695.65 €","273,750.00 €"
"FORNO DELL'ANTICA RICETTA","NOVI LIGURE","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"247,359.07 €","216,160.26 €"
"FOTORECUPERI","GRUGLIASCO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"11,350.00 €","11,350.00 €"
"F.P. BETON","CHERASCO","I-Ri3-b","LR34-04 - TUTELA AMBIENTALE",2008,"17,556.41 €","8,778.20 €"
"FRA PRODUCTION","CISTERNA D'ASTI","I-3-2"," ADOZIONE TIC",2010,"40,015.50 €","  "
"FRACCHIA & C SNC DI FRACCHIA BRUNO","IVREA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"9,000.00 €","  "
"FRANCO EUGENIO SPA","SAN DAMIANO D'ASTI","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"3,868.00 €","  "
"FRATELLI BATTAGLIOTTI","VENARIA","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"30,344.99 €","15,172.49 €"
"FRATELLI CREOLA S.R.L.","GOZZANO","I-Ri3-b","LR34-04 -  TUTELA AMBIENTALE",2008,"26,164.32 €","13,082.16 €"
"FRATELLI FRANCOLI  CANTINE VINI DISTILLERIE","GHEMME","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"269,219.67 €","238,927.50 €"
"FRATELLI FRANCOLI  CANTINE VINI DISTILLERIE","GHEMME","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"26,749.50 €","13,374.75 €"
"FRATELLI GUAZZONI SRL","CASTELLETTO SOPRA TICINO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"78,100.00 €","  "
"FRATELLI VERGNANO","CHIERI","I-Ri1-a","MANUNET 2008",2008,"300,000.00 €","240,000.00 €"
"FREEDATA","MILANO","I-3-2"," ADOZIONE TIC",2010,"150,000.00 €","  "
"FREEPATH","TORINO","I-3-1"," ICT",2009,"71,375.00 €","  "
"FRENCIA BRUNO","BARGE","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"17,730.35 €","8,865.17 €"
"F.T PROFILI ALLUMINIO INDUSTRIALI SRL","TORINO","II-1-2","ENERGIA - SOSTENIBILITA",2008,"299,228.53 €","266,875.00 €"
"F.T PROFILI ALLUMINIO INDUSTRIALI SRL","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2009,"5,950.00 €","  "
"FUSTEL MONDIAL SRL","ALPIGNANO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"18,306.73 €","9,153.36 €"
"GAI GIACOMO","VILLARBASSE","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"131,646.48 €","131,646.48 €"
"GAI SPA","CERESOLE ALBA","I-Ri3-a","LR34-04 -INNOVAZIONI",2008,"150,000.00 €","75,000.00 €"
"GALLAZZINI","VARALLO SESIA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"180,831.94 €","157,500.00 €"
"GALLAZZINI","VARALLO SESIA","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"50,925.00 €","25,462.50 €"
"GALLOPPINI LEGNAMI","BORGOSESIA","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"44,139.01 €","44,139.01 €"
"GARLANDO","POZZOLO FORMIGARO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"711,004.67 €","711,004.67 €"
"GARRISONPOP","TORINO","I-3-1","ICT",2009,"75,650.00 €","  "
"GATTA S.R.L.","COLLERETTO GIACOSA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"96,361.65 €","  "
"G.&B. FISSAGGI","VILLASTELLONE","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"20,000.00 €","  "
"GEAL CARNI S.P.A.","MOMO","I-3-2","ADOZIONE TIC",2010,"61,316.33 €","  "
"GE.CON. DI PRUDENTE GIUSEPPE & RICALDONE ALESSANDRO","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"14,795.44 €","7,397.72 €"
"GEDA","NICHELINO","I-3-2"," ADOZIONE TIC",2010,"63,998.76 €","  "
"GENERAL FUSTI","TORINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"475,200.08 €","415,425.00 €"
"GENERALPLASTIK","BRUINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"419,312.64 €","410,450.11 €"
"GENOVAX","COLLERETTO GIACOSA","I-1-1","BIOTECNOLOGIE",2009,"225,380.40 €","  "
"GESIN SRL","VERCELLI","I-1-2","GESTORI DEI POLI D'INNOVAZIONE",2009,"150,000.00 €","  "
"GESTIONE AMBIENTALE INTEGRATA DELL'ASTIGIANO","ASTI","II-1-1","ENERGIA - DISCARICHE",2009,"4,275,000.00 €","  "
"GESTIONE AMBIENTALE INTEGRATA DELL'ASTIGIANO","ASTI","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2010,"684,506.49 €","  "
"GETTI SPECIALI","TORINO","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"66,000.00 €","  "
"GHIBAUDI MARIO","TORINO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"9,855.07 €","4,927.54 €"
"GHISALBA","RIVOLI","I-3-2","ADOZIONE TIC",2010,"74,810.69 €","  "
"GIEMME INFORMATICA","FOSSANO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"93,814.28 €","91,098.85 €"
"GIOBERT","RIVOLI","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"66,965.33 €","33,482.66 €"
"GISA SRL","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"10,250.00 €","  "
"GIUGGIA COSTRUZIONI","VILLANOVA MONDOVI'","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"15,375.00 €","15,375.00 €"
"G.L. STAMP","GIAVENO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"32,507.90 €","16,253.95 €"
"G.M.P.H. S.R.L.","RIVOLI","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"71,280.00 €","  "
"GO PLAST","VARESE","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"428,243.84 €","407,775.00 €"
"GODI GAUDENZIO DI GODI FRATELLI","GOZZANO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"152,307.69 €","149,329.90 €"
"GODINO SCAVI","BRICHERASIO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"19,151.11 €","9,575.55 €"
"GOMA ELETTRONICA","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"20,150.00 €","  "
"GOZZO IMPIANTI S.P.A.","PIANEZZA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"414,856.06 €","373,935.00 €"
"GPM","TORINO","I-3-2"," ADOZIONE TIC",2010,"63,214.50 €","  "
"GPM","TORINO","I-Ri3-c","LR34-04 -TECNOLOGIE",2008,"22,535.00 €","  "
"GREEN BIT","GRUGLIASCO","I-Ri3-a","LR34-04 - - INNOVAZIONI",2008,"7,815.68 €","3,907.84 €"
"GREENERGY","AVIGLIANA","I-3-2"," ADOZIONE TIC",2010,"55,740.00 €","  "
"GRINP","TORINO","I-Ri1-a","MANUNET 2008",2008,"108,500.00 €","  "
"GRISSITALIA","ALESSANDRIA","I-3-2"," ADOZIONE TIC",2010,"30,600.00 €","  "
"GRUNER","VISCHE","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"220,557.60 €","210,187.50 €"
"GRUPPO ELETTRONICO","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"11,520.00 €","  "
"GRUPPO PIOVANO","TORINO","I-3-2"," ADOZIONE TIC",2010,"28,337.05 €","  "
"GSTRAMANDINOLI","RIVALTA DI TORINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"65,082.00 €","  "
"GUARINI 05","TORINO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"1,075,094.16 €","983,051.45 €"
"HAMMER","MONTEGROSSO D'ASTI","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"104,094.93 €","95,287.20 €"
"HERTZ DI MELONI & C.","MONCALIERI","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"8,851.00 €","  "
"HI-TECH ENGINEERING","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"3,550.00 €","3,550.00 €"
"HMGBIOTECH SRL","MILANO","I-1-1","BIOTECNOLOGIE",2009,"203,269.04 €","  "
"HORIZON DISCOVERY","TORINO","I-1-1","BIOTECNOLOGIE",2009,"127,960.00 €","  "
"HSW systems","CAMBIANO","I-Ri1-a","MANUNET 2008",2008,"179,000.00 €","143,200.00 €"
"HYSYTECH","TORINO","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"59,996.30 €","6,929.57 €"
"ICOS DI GARBOLINO MARCO & C.","PINEROLO","I-3-2","ADOZIONE TIC",2010,"137,373.61 €","  "
"I.CO.S. ECOLOGIA SRL","NICHELINO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"21,415.97 €","21,415.97 €"
"ICOSTECH","SCALENGHE","I-3-2","ADOZIONE TIC",2010,"200,000.00 €","  "
"I.D.E.A. IMPIANTI","ROSTA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"53,277.16 €","48,480.00 €"
"IDEMWORKS","TORINO","I-3-1"," ICT",2009,"78,300.00 €","  "
"IDEST","TORINO","I-3-2"," ADOZIONE TIC",2010,"39,750.00 €","  "
"IDREG PIEMONTE","ALESSANDRIA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"316,563.26 €","269,639.25 €"
"IDROTECNICA","NIZZA MONFERRATO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"72,504.69 €","71,002.71 €"
"IDROWELD","DOMODOSSOLA","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"10,775.00 €","  "
"ILGARZONE S.R.L.","TORINO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"67,710.00 €","  "
"ILLUMINA SRL","TORINO","II-1-2"," ENERGIA - SOSTENIBILITA",2009,"1,000,000.00 €","  "
"ILMED LOGISTICS","AVIGLIANA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"130,060.18 €","  "
"ILTI LUCE S.R.L.","TORINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"208,452.51 €","  "
"IMA CUSCINETTI SPA","TORINO","I-Ri3-c","LR34-04  - TECNOLOGIE",2008,"18,683.10 €","  "
"I.M.C. INDUSTRIA METALLURGICA CARMAGNOLESE","CARMAGNOLA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"765,045.92 €","651,643.55 €"
"IMMOBILIARE C.V.B.","CAVAGLIA'","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"302,461.30 €","296,250.00 €"
"IMPREDIL","VILLADOSSOLA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"44,681.06 €","41,580.00 €"
"IMPREGNOTECNICA","RIVALTA DI TORINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"275,486.81 €","273,639.44 €"
"IMPRESA CAVE DI CORCONIO","ORTA SAN GIULIO","I-Ri3-b","LR34-04 -TUTELA AMBIENTALE",2008,"31,547.76 €","31,547.76 €"
"IMPRESA DELMASTRO DI DELMASTRO RICCARDO & C.","LOZZOLO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"203,716.53 €","181,382.50 €"
"IMPRESA DELMASTRO DI DELMASTRO RICCARDO & C.","LOZZOLO","I-Ri3-c","LR34-04 -  - TECNOLOGIE",2008,"12,362.85 €","  "
"IMPRESA F.LLI SOGNO & FIGLI","GREGGIO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"91,070.70 €","84,750.00 €"
"IMS DI APRA' ALBERTO ANTONIO DOMENICO & C.","SOMMARIVA DEL BOSCO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"91,869.44 €","45,934.72 €"
"IM3D","TORINO","I-3-1","ICT",2010,"242,000.55 €","  "
"IM3D","TORINO","I-1-1","BIOTECNOLOGIE",2009,"139,014.79 €","  "
"IM3D","TORINO","I-1-1","BIOTECNOLOGIE",2009,"519,794.80 €","  "
"INDEX","DOMODOSSOLA","I-3-2","ADOZIONE TIC",2010,"46,075.00 €","  "
"INDUSTRIE LISA S.R.L.","CASELETTE","I-Ri3-a","LR34-04  - INNOVAZIONI",2008,"35,250.00 €","17,625.00 €"
"INDUSTRIE TOSCANINI","BORGOSESIA","I-3-2"," ADOZIONE TIC",2010,"74,824.04 €","  "
"INDUSTRIE TOSCANINI","BORGOSESIA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"50,772.53 €","45,402.50 €"
"INFOMEDICA","TORINO","I-3-1","ICT",2009,"200,000.00 €","  "
"INFOMEDICA","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"21,425.05 €","  "
"ING. DAVIS S.A.I.D. DI DO GIUSEPPE & C.","TORINO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"63,569.05 €","63,569.05 €"
"INPECO","SEGRATE","I-Ri1-a","MANUNET 2008",2008,"120,000.00 €","  "
"INTECO","SETTIMO TORINESE","I-Ri1-a","MANUNET 2008",2008,"330,000.00 €","264,000.00 €"
"INTEGRA renewable energies","MILANO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"834,506.60 €","400,000.00 €"
"INTELLIGENCE FOCUS","TORINO","I-3-1","ICT",2010,"472,284.37 €","  "
"INTELSINT S.R.L.","VILLARBASSE","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"16,396.95 €","  "
"INTERNO3","TORINO","I-3-2","ADOZIONE TIC",2010,"48,675.00 €","  "
"INTRAUMA","RIVOLI","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"688,986.10 €","344,493.05 €"
"INVENTO SRL","TORINO","I-1-1","BIOTECNOLOGIE",2009,"68,465.40 €","  "
"I.P.M. INDUSTRIA PLASTICA MONREGALESE","MONDOVI'","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"150,000.00 €","75,000.00 €"
"ISAGRO RICERCA SRL","NOVARA","I-1-2","GESTORI DEI POLI D'INNOVAZIONE",2009,"150,000.00 €","  "
"ISIWAFER","CERANO","II-1-2"," ENERGIA - SOSTENIBILITA",2008,"1,877,966.62 €","  "
"ISTITUTO NAZIONALE DI RICERCA METROLOGICA (INRIM)","TORINO","I-1-1","BIOTECNOLOGIE",2009,"177,855.70 €","  "
"ISTITUTO NAZIONALE DI RICERCA METROLOGICA (INRIM)","TORINO","I-Ri7-a","LR34-04 AEREOSPAZIO",2008,"80,010.00 €","32,004.00 €"
"ISTITUTO NAZIONALE DI RICERCA METROLOGICA (INRIM)","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"81,732.76 €","  "
"ISTITUTO NAZIONALE DI RICERCA METROLOGICA (INRIM)","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"222,613.56 €","111,306.78 €"
"ISTITUTO PROFILATTICO E FARMACEUTICO CANDIOLI","BEINASCO","I-3-2"," ADOZIONE TIC",2010,"39,283.00 €","  "
"ISTITUTO SUPERIORE MARIO BOELLA","TORINO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"164,900.00 €","49,470.00 €"
"ISTITUTO SUPERIORE MARIO BOELLA","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"260,120.00 €","130,060.00 €"
"ISTITUTO SUPERIORE MARIO BOELLA","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"404,227.76 €","  "
"I.T. SERVICE S.N.C. DI SCHIFANO OLGA","CALUSO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"18,975.00 €","  "
"ITALCO","ASTI","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"23,715.00 €","  "
"ITALFIL","BIELLA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"801,346.25 €","746,396.25 €"
