"BENEFICIARIO","SEDE INTERVENTO","ASSE ATTIVITA","OGGETTO AGEVOLAZIONE","ANNO ASSEGNAZIONE"," AGEVOLAZIONE CONCESSA "," IMPORTO EFFET. PAGATO "
"BENSI","CARBONARA SCRIVIA","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"94,323.61 €","47,161.80 €"
"BERGSSON","TORINO","I-3-1"," ICT",2009,"154,450.64 €","  "
"BERTA FRANCO & C.","CALAMANDRANA","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"16,041.03 €","16,041.03 €"
"BERTOLA","MARENE","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"46,446.11 €","46,446.11 €"
"BERTOLOTTO PORTE S.P.A.","TORRE SAN GIORGIO","I-Ri3-a","LR34-04 -INNOVAZIONI",2008,"106,235.03 €","53,117.51 €"
"BIELETTRICA DI BANDERE' & C.","COSSATO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2010,"40,657.72 €","  "
"BIGLIA","DOMODOSSOLA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"83,794.87 €","82,059.00 €"
"BIOCLARMA SNC DI MARCO ITALIANO E C.","TORINO","I-1-1","BIOTECNOLOGIE",2009,"61,959.57 €","  "
"BIODIVERSITY","BRESCIA","I-Ri1-a","MANUNET 2008",2008,"150,000.00 €","120,000.00 €"
"BIONDUSTRY PARK DEL CANAVESE SPA","COLLERETTO GIACOSA","I-1-2","GESTORI DEI POLI D'INNOVAZIONE",2009,"150,000.00 €","  "
"BIOS MANAGEMENT S.R.L.","ALBA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"17,494.15 €","  "
"BIRRIFICIO BALADIN","PIOZZO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2010,"370,254.68 €","  "
"BISCOTTIFICIO CAMPORELLI SNC DI GIOVANNI FASOLA & C.","NOVARA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"19,394.69 €","  "
"BISCOTTIFICIO MAUTINO","TORINO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"960,693.31 €","923,879.17 €"
"BISCOTTIFICIO MAUTINO","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"16,500.00 €","  "
"BISER SRL","TERZO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"19,575.00 €","  "
"BISIACH & CARRU'","VENARIA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"365,633.62 €","322,087.50 €"
"BI.VI.","TORINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"97,354.25 €","97,354.25 €"
"B.L. S.A.S. DI LANTERI ANTONELLO","BORGO SAN DALMAZZO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"15,344.69 €","  "
"BLACKBIRDS","TORINO","I-Ri3-c","LR34-04 -TECNOLOGIE",2008,"14,885.75 €","  "
"BLUA STEFANO EREDI OFFICINA MECCANICA DI BLUA MANLIO & C.","CARMAGNOLA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"94,140.39 €","81,246.38 €"
"BLUE ENGINEERING","RIVOLI","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"119,980.00 €","  "
"BLUE ENGINEERING","RIVOLI","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"110,250.00 €","  "
"BLUE ENGINEERING","RIVOLI","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"202,300.00 €","  "
"BN CONSULTING INTERNATIONAL S.R.L.","VENARIA","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"23,825.00 €","  "
"BOEMA","NEIVE","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"77,448.00 €","  "
"BONGIOANNI CALDAIE","CERVASCA","II-1-2"," ENERGIA - SOSTENIBILITA",2008,"514,875.04 €","493,494.37 €"
"BONGIOANNI MACCHINE","FOSSANO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"106,113.50 €","106,113.50 €"
"BOX","TROFARELLO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"25,442.00 €","  "
"B&P COMMUNICATION  DI BARBARA PICOLLO E PAOLO CAGLIERO","TORINO","I-3-2","ADOZIONE TIC",2010,"24,444.00 €","  "
"B&R AUTOMOTIVE  DI BALDI GISELLA & C.","MONCALIERI","I-Ri3-c","LR34-04 -TECNOLOGIE",2008,"11,637.50 €","  "
"BRACCO IMAGING SPA","MILANO","I-1-1","BIOTECNOLOGIE",2009,"520,000.00 €","  "
"BRAINER","TORINO","I-3-1"," ICT",2009,"55,500.00 €","  "
"BRAINER","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"20,000.00 €","  "
"BRANDONI","ROMAGNANO SESIA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"512,287.55 €","461,820.00 €"
"BRUSA DI MASSIMO BRUSA","COSSATO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"6,050.98 €","3,025.49 €"
"B.S.P. VETRARIA","VERDUNO","II-1-2"," ENERGIA - SOSTENIBILITA",2009,"221,440.94 €","191,250.00 €"
"B.S.P. VETRARIA","VERDUNO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"12,652.50 €","12,652.50 €"
"BUCCI DI BUCCI P. & C.","TORINO","I-Ri1-a","MANUNET 2007",2007,"300,000.00 €","90,000.00 €"
"BYLOGIX","ROMA","I-3-1"," ICT",2010,"137,700.00 €","  "
"BYTEST SRL","VOLPIANO","I-Ri7-a","LR34-04 -AEREOSPAZIO",2008,"294,000.00 €","  "
"C SYSTEM","STRAMBINO","I-3-1"," ICT",2009,"181,944.60 €","  "
"CABI OFFICINA MECCANICA","VAUDA CANAVESE","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"86,922.94 €","43,461.47 €"
"CAD.ABLE","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"20,000.00 €","10,000.00 €"
"CADIR LAB","QUARGNENTO","I-3-2"," ADOZIONE TIC",2010,"46,987.50 €","  "
"CAFASSO DI CAFASSO GIORGIO & C. SNC","CASTELNUOVO DON BOSCO","I-Ri3-b","LR34-04 -TUTELA AMBIENTALE",2008,"10,972.23 €","5,486.11 €"
"CAGE CHEMICALS","TORINO","I-1-1","BIOTECNOLOGIE",2009,"68,600.00 €","  "
"CAGNASSO FRIGORIFERI DI CAGNASSO FRATELLI","GUARENE","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"89,684.79 €","75,000.00 €"
"CAMELTECH","CERESETO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"601,425.00 €","601,425.00 €"
"CAMI","VOLPIANO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"22,837.70 €","  "
"CAMPIA IMBALLAGGI","BALDICHIERI D'ASTI","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"12,807.97 €","6,403.98 €"
"CAMPIA IMBALLAGGI","BALDICHIERI D'ASTI","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"190,736.50 €","95,368.25 €"
"CAMPING CUSIO LYONS EDDA DI ANGELERI GIORGIO E RENZO","ORTA SAN GIULIO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"91,419.06 €","81,750.00 €"
"C.A.M.S. S.R.L.","CERESOLE ALBA","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"8,754.30 €","  "
"CANGINI","GRUGLIASCO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"81,476.26 €","71,874.00 €"
"CANUTO SERGIO, PICCO VINCENZO, DETADDEI MONICA E BOTTA LUCA","BORGOSESIA","I-3-2"," ADOZIONE TIC",2010,"30,960.00 €","  "
"CAPETTI ELETTRONICA","CASTIGLIONE TORINESE","I-3-2"," ADOZIONE TIC",2010,"75,000.00 €","  "
"CAPTHA SYSTEMS SAS DI THA PAOLO E C.","POLLONE","I-3-1"," ICT",2009,"169,390.00 €","  "
"CARBOCALCIO CUNEESE SPA","VALDIERI","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"78,943.77 €","39,471.88 €"
"CARCERANO","PIANEZZA","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"140,003.00 €","  "
"CARCERANO","PIANEZZA","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"84,007.70 €","  "
"Carl Zeiss Quality Services Srl","NOVARA","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"58,103.00 €","  "
"CARLO BARBERA & C. S.P.A.","MILANO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"50,000.00 €","  "
