descrizione_bt,obiettivo_operativo,titolo,costo_totale_intervento,anno_di_assegnazione_dei_fondi,fund_type,currency,uri
Regione Campania,1.9,Piattaforma web per la comunicazione,"3.500.000,00",2008,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Regione Campania,2.2,U.S. - UNLIMITED SOFTWARE S.R.L.,"15.332.444,00",2008,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Regione Campania,2.4,FONDO JEREMIE,"80.000.000,00",2009,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Regione Campania,4.6,Completamento Stazione di Montesanto,"5.242.585,75",2009,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Regione Campania,5.1,Lavori di adeguamento della sala calcolo del CRED,"3.607.000,00",2008,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Regione Campania,7.1,AT Controllo ordinario alle misure cofinanziate dal FESR,"928.732,80",2008,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Regione Campania,7.1,At servizi complementari controlli II livello,"388.800,00",2008,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Regione Campania,7.1,AT Ob.Op. 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 Cons. Spec. Incarichi col. A.b2,"1.000.000,00",2009,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Regione Campania,7.1,"Progettazione e stampa di materiale grafico, allest. stand per 3 manifestazioni","248.459,14",2008,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Regione Campania,7.2,Realizzazione Piano strategico triennale progr. 2007-2013,"700.000,00",2009,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Soprintendenza archeologica di Pompei,1.9,Itinerario delle Emozioni: tra Archeologia e Natura lungo la Costa della Baia di,"240.000,00",2009,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Soprintendenza BAPPSAD di Caserta-Benevento,1.9,"Mostre ""Gli arredi sacri della Cappella di Palazzo""","112.154,89",2008,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Soprintendenza BAPPSAD di Napoli e provincia,1.9,Restauro e riq compl. Borbonico Fusaro: banchina borbonica,"1.304.205,48",2001,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Soprintendenza BAPPSAD di Salerno-Avellino,1.9,Conservazione e valorizzazione del Castello,"221.288,93",2006,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Soprintendenza Beni Archeologici Province Napo,1.9,Museo Arch. naz. Napoli risttrutturazione Braccio Nuovo,"6.217.918,22",2008,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Soprintendenza Speciale per il Polo Museale Nap,1.9,Mostra di Louise Bourgeois a Capodimonte,"480.000,00",2008,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Soprintendenza Speciale per il Polo Museale Nap,1.9,Mostra Vincenzo Gemito Napoli Museo Pignatelli,"600.000,00",2009,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Soprintendenza Speciale per il Polo Museale Nap,1.9,Mostra Candida Hofer,"40.000,00",2009,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
