RAGIONE SOCIALE,DENOMINAZIONE,"ANNO FINANZIAMENTO 
PAGAMENTO",PROV,€,amount
ECOGLOBAL S.R.L.,"INNOVATIVO PROCESSO-SERVIZIO DI CONTROLLO ULTRASONORO 
PHASED ARRAY DI SALDATURE IN ACCIAIO INOSSIDABILE, MATERIALI 
COMPOSITI PER IMBARCAZIONI E DIMENSIONAMENTO MICROMETRICO.",2009,RE,€,"140.000,00"
ELCOS AUTOMAZIONE S.R.L.,"SAUGASME – Sistema di AUtomazione per stazioni di rifornimento a GAS 
Metano",2009,FC,€,"189.800,00"
Elektrica S.R.L.,SAMONCEB - Sistema di Automazione e MONitoraggio CEntrali a Biomasse,2009,FC,€,"183.400,00"
ELENOS S.R.L.,"Studio, progettazione e prototipazione di trasmettitore da 10 KW compatto per 
radiodiffusione in FM ad elevata efficienza elettrica, con possibilità di 
raffreddamento ad aria ed a liquido, predisposto per le trasmissioni in tecnica 
digitale",2009,BO,€,"170.000,00"
ELETTRICA 77 AUTOMATION SRL,"Gestione della Filiera CERAMICA dalla fase Progettuale del Campione fino al 
controllo della produzione Industriale del campione",2009,RE,€,"188.000,00"
Elettromeccanica Muccioli Marco S.r.l.,"Gestione dei fondali marini con tecnologia ad alta efficienza e ad impatto 
ambientale nullo",2009,RN,€,"212.500,00"
EMMEPI S.R.L.,"“FLAWLESS ITALIAN MAJAP”_
Fiber laser welding of stainless steel sheets in Italian major appliances",2009,PC,€,"126.000,00"
EMMETI SpA,"RICERCA E SVILUPPO DI UN INNOVATIVO SISTEMA INTEGRATO 
FINALIZZATO ALLA TRACCIABILITA’,  BASATO SU TECNOLOGIA DI 
IDENTIFICAZIONE E LOCALIZZAZIONE RADIOFREQUENZA (RFID)",2009,RE,€,"105.705,00"
ERATECH S.R.L.,"NUOVE FORMULAZIONI DI MELATONINA INIETTABILE PER LA 
PREVENZIONE ED IL TRATTAMENTO DELLA PARALISI CEREBRALE NEL 
NEONATO DURANTE IL PERIODO PERINATALE",2009,MI,€,"163.500,00"
ERRETIESSE POWER S.R.L.,LaBiRinSi – Lane Bio Riciclate in Situ,2009,TA,€,"93.160,00"
ESSENTIA S.P.A,"Sviluppo di una Rete Outdoor Wireless MIMO per l’Erogazione di Servizi IP 
Evoluti a Larga Banda",2009,RE,€,"226.750,00"
ETHERIA S.R.L.,"Nuova piattaforma di gestione e comunicazione per veicoli di sicurezza, con 
integrazione di vettori informativi differenziati",2009,MO,€,"64.500,00"
eurhema srl,"Sviluppo di nuovi nano-composti polimerici e ibridi per applicazioni nel settore 
zootecnico",2009,RE,€,"119.500,00"
EUROBEARINGS SRL,"NUOVI MATERIALI DI RIVESTIMENTO PER SUPPORTI A 
SOSTENTAMENTO IDRODINAMICO DI TURBOGENERATORI E/O TURBINE 
IDRAULICHE PER PRODUZIONE ENERGIA ELETTRICA",2009,PC,€,"166.000,00"
Euroelettra Sistemi,"SISTEMI DI MISURA E CONTROLLO NEI PROCESSI PRODUTTIVI 
CERAMICI DI ESSICCAZIONE E ATOMIZZAZIONE VOLTI 
ALL’OTTIMIZZAZIONE DEI CONUSMI ENEREGETICI (IMPATTO 
AMBIENTALI) E RIDUZIONE DEGLI SCARTI (OTTIMIZZAZIONE PRODOTTO)",2009,RE,€,"184.700,00"
Euroglass S.r.l.,"Deposizione e co-deposizione di particelle nanostrutturate su ceramica e vetro 
mediante tecnologie di deposizione da vapori in alto vuoto per ottenere 
superfici funzionalizzate",2009,RE,€,"125.900,00"
Euromac Spa,"Ricerca e sviluppo   di una nuova macchina  presso piegatrice  orizzontale a 
sistemi di controllo evoluti, dotata di postazioni di lavoro    versatili e  
multifunzionali.",2009,MO,€,"169.400,00"
EUTECTIC SYSTEM S.R.L.,"NUOVO SISTEMA PER LA PRODUZIONE DI PARTICOLARI ED ELEMENTI 
DI CARROZZERIE ISOTERMICHE PER IL TRASPORTO DI PRODOTTI 
ALIMENTARI DEGRADABILI",2009,FC,€,"71.100,00"
Expert System Solutions S.r.l,"Nuovi strumenti ottici senza contatto per la misura contemporanea di 
variazione di massa e di lunghezza fino a 2000°C in atmosfera controllata e 
sotto vuoto.",2009,MO,€,"120.250,00"
Expert System Spa,DIGIMEC,2009,MO,€,"209.950,00"
F.M. S.r.l.,"Ricerca, sviluppo e sperimentazione di un dispositivo innovativo per la 
smaltatura industriale delle piastrelle in grado di abbattere l’impatto ambientale, 
ridurre il consumo energetico e consentire il riciclo dei materiali.",2009,RE,€,"144.000,00"
FAVA GIORGIO AXEL S.r.l.,Sviluppo di una nuova macchina siringatrice ad elevata efficienza e flessibilità,2009,PR,€,"154.800,00"
FELSILAB SRL,"EFFICIENTAMENTO ENERGETICO - AMBIENTALE DEL TRATTAMENTO 
DEI FANGHI DA DEPURAZIONE DI REFLUI CIVILI",2009,BO,€,"195.500,00"
FERRARI & CIGARINI S.R.L.,"Progettazione, sperimentazione e realizzazione di un impianto automatico di 
taglio tramite laser per piastrelle ceramiche e pietre naturali (marmo, granito) - 
LASERCUT",2009,MO,€,"161.875,00"
FILI&FORME SRL,Fibre sintetiche per calcestruzzi fibrorinforzati per strutture ed infrastrutture.,2009,MO,€,"99.200,00"
FOMET spa,"Sviluppo di telai in alluminio ad uso veicolistico di innovativa concezione sotto il 
profilo della sicurezza del mezzo e dell’uso di un sistema di produzione per 
fusione ed incollaggio dei semilavorati",2009,BO,€,"175.000,00"
