Nome del Beneficiario,Nome dell’operazione,Importo impegnato,Importi totali pagati alla fine del progetto
BREFIOCART S.R.L.,POR FESR 2007-2013 - Bando PIA 2007," 117.389,00"
ITALIANA KELLER GRIGLIATI,POR FESR 2007-2013 - Bando PIA 2007," 141.000,00"
GENIKEM SRL,POR FESR 2007-2013 - Bando PIA 2007," 67.500,00"
R. & S. SRL,POR FESR 2007-2013 - Bando PIA 2007," 109.750,00"
BOLLETTA CANNE FUMARIE SRL,POR FESR 2007-2013 - Bando PIA 2007," 135.130,00"
KABER SRL**,POR FESR 2007-2013 - Bando PIA 2007," 134.556,00"
FALEGNAMERIA CARDESI DI CARDESI C.,POR FESR 2007-2013 - Bando PIA 2007," 162.846,00"
RENZINI SERVIZI ECOLOGICI,POR FESR 2007-2013 - Bando PIA 2007," 42.750,00"
CHRISTIAN MANIFATTURE SRL,POR FESR 2007-2013 - Bando PIA 2007," 205.120,00"
BOTTEGA DEI CORSI SRL,POR FESR 2007-2013 - Bando PIA 2007," 93.300,00"
