"nome_dei_beneficiari","titolo_progetto","asse","linea_di_intervento","anno_di_assegnazione_finanziamento","anno_di_pagamento_finale","ammontare_assegnato","totale_importo_pagato_alla_fine_dell_operazione","fund_type","currency","uri"
"REGIONE BASILICATA","71/2009/12 - CONVENZIONE CON EURO-NET,CENTRO EUROPE DIRECT PER LA BASILICATA, PER LA REALIZZAZIONE DI UN PROGETTO FINALIZZATO ALLA PROMOZIONE DELLE PRIORITÀ E DEGLI OBIETTIVI DEL PO FESR NELL'AMBITO DEGLI OPEN DAYS 2009","VIII","VIII.1.4.A",2009,2009,"20.000,00","20.000,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","71/2009/14 - SERVIZI DI RISTORAZIONE IN OCCASIONE DEGLI OPEN DAYS 2009","VIII","VIII.1.4.A",2009,2009,"16.135,00","16.135,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","75/2009/6 - SERVIZIO DI INTERPRETARIATO PER CONFERENZA INTERNAZIONALE ""CITTÀ INNOVATIVE PER IMPRESE ALL'AVANGUARDIA: INVESTIMENTI SOSTENIBILI PER PICCOLE E MEDIE CITTÀ"" . VII EDIZIONE OPEN DAYS 2009","VIII","VIII.1.4.A",2009,2009,"11.400,00","11.400,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","71/2009/15 - SERVIZIO DI ALLESTIMENTO, STAMPA INVITI, MANIFESTI E ALTRE SPESE FUNZIONALI ALL'ORGANIZZAZIONE DEGLI OPEN DAYS 2009","VIII","VIII.1.4.A",2009,2009,"46.108,80","46.108,80","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","71/2009/13 - AFFIDAMENTO A AMBIENTE ITALIA SRL DEL SERVIZIO DI KEYNOTE SPEAKER DELLA DOTT.SSA MARIA BERRINI NELL'AMBITO DEGLI OPEN DAYS 2009","VIII","VIII.1.4.A",2009,2009,"4.800,00","4.800,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","71/2009/11 - AFFIDAMENTO A MENS TECNICA SRL PER L'ACQUISTO DEL GADGET I-MEMO","VIII","VIII.1.4.A",2009,,"18.000,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","71/2009/9 - ACQUISTO RIPRESE VIDEO E AUDIO INTEGRALI DELL'EVENTO DI LANCIO DEL PO FESR 2007/2013 E REALIZZAZIONE DI UNO SPECIALE","VIII","VIII.1.4.A",2009,2009,"22.200,00","22.200,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","81/2009/10 - SERVIZIO DI COMUNICAZIONE E ORGANIZZAZIONE DELL'EVENTO DI LANCIO DEL PO FESR 2007/2013","VIII","VIII.1.4.A",2009,2009,"23.880,00","23.880,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","71/2009/7 - PUBBLICAZIONE SU REGIONAL REVIEW - OTTOBRE 2009","VIII","VIII.1.4.A",2009,2009,"3.900,00","3.900,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","81/2009/12 - SERVIZIO DI REALIZZAZIONE GADGET","VIII","VIII.1.4.A",2009,2009,"17.400,00","17.400,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","81/2009/11 - SERVIZIO DI STAMPA DOCUMENTI E ALTRO MATERIALE RELATIVO AL PO FESR 2007/2013","VIII","VIII.1.4.A",2009,2009,"8.025,20","8.025,20","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","71/2009/8 - ACQUISTO BORSE SERIGRAFATE","VIII","VIII.1.4.A",2009,2009,"6.000,00","6.000,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","81/2009/7 - ORGANIZZAZIONE CONVEGNO ""9 MAGGIO GIORNATA DELL'EUROPA - RIFLESSIONI PER UN'ECONOMIA PIÙ COMPETITIVA"" NELL'AMBITO DEL TREND EXPO","VIII","VIII.1.4.A",2009,2009,"5.836,90","5.836,90","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","81/2009/6 - FIRMA PROTOCOLLO REGIONE BASILICATA - REPUBBLICA AUTONOMA DI ZILINA. MISSIONE DELEGAZIONE REGIONALE","VIII","VIII.1.3.A",2009,,"5.870,42",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","81/2009/1 - SERVIZIO DI ASSISTENZA SISTEMISTICA E SUPPORTO OPERATIVO PER IL SISTEMA INFORMATIVO","VIII","VIII.1.1.D",2009,,"444.600,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","81/2009/4 - CONTRATTI DI COLLABORAZIONE PER LA CHIUSURA DELLA MISURA V.2 DEL POR BASILICATA 2000/2006 - PROROGA AL 31/12/2009","VIII","VIII.1.1.C",2009,,"281.943,25",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","71/2009/5 - INCONTRO TRA I SERVIZI DELLA COMMISSIONE EUROPEA E L'AUTORITÀ DI GESTIONE DEL PO FESR BASILICATA 2007-2013 DEL 18/09/2009","VIII","VIII.1.1.C",2009,2009,"2.466,00","2.466,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","71/2009/6 - SERVIZI DI AGENZIA VIAGGI PER MISSIONI A BRUXELLES - OTTOBRE 2009","VIII","VIII.1.1.C",2009,2009,"5.194,00","5.194,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","71/2009/16 - IMPEGNO E LIQUIDAZIONE FATTURA PER PARTECIPAZIONE WORKSHOP ORGANIZZATO DA EUROPEAN ACCADEMY FOR TAXES ECONOMICS & LAW","VIII","VIII.1.1.C",2009,2009,"2.353,82","2.353,82","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","81/2009/5 - REDAZIONE LONG LIST DI CUI AL BANDO PUBBLICATO SUL BUR N. 2 DEL 16-01-2009","VIII","VIII.1.1.C",2009,2009,"13.223,18","13.223,18","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","81/2009/3 - CONTRATTI DI COLLABORAZIONE PER LA CHIUSURA DEL POR BASILICATA 2000-2006 - PROROGA AL 31/12/2009","VIII","VIII.1.1.C",2009,,"1.352.848,98",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","81/2009/2 - ORGANIZZAZIONE DELLA SECONDA SEDUTA DEL COMITATO DI SORVEGLIANZA DEL 18 GIUGNO 2009","VIII","VIII.1.1.A",2009,2009,"6.101,50","6.101,50","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","81/2008/2 - PROROGA CONTRATTI DI COLLABORAZIONE PER LA CHIUSURA DEL POR BASILICATA 2000/2006 FONDO FESR.","VIII","VIII.1.1.C",2008,,"1.596.842,60",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","81/2008/3 - PROROGA CONTRATTI DI COLLABORAZIONE PER LA CHIUSURA DEL POR BASILICATA 2000/2006 MISURA V.2 FONDO FESR","VIII","VIII.1.1.C",2008,,"232.811,04",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","81/2008/5 - SEGRETERIA TECNICA DEL COMITATO DI SORVEGLIANZA DEL PO FESR 2007/2013","VIII","VIII.1.1.A",2008,,"1.309.000,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","81/2008/1 - PRIMA SEDUTA DEL COMITATO DI SORVEGLIANZA DEL PO FESR 2007/2013 - 4 APRILE 2008.","VIII","VIII.1.1.A",2008,2009,"7.088,44","7.088,44","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","81/2007/1 - INCONTRO SULLA NUOVA PROGRAMMAZIONE COMUNITARIA 2007/2013.","VIII","VIII.1.4.A",2007,2009,"4.490,00","4.490,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
