Asse,Attivita,Beneficiario,Titolo Intervento,Provincia,Anno Finanziamento,"Contributo
Ammesso
(Totale)","Contributo
Ammesso (FESR)","Contributo
Liquidato (Totale)","Contributo
Liquidato (FESR)"
2,2.1.c.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Intervento di sistemazione
idraulica e rinaturalizzazione del
fiume Fella",UD,2009,"1.645.392,00","403.121,04","1.629.442,92","399.213,51"
2,2.1.c.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Intervento regimazione idraulica
affluenti principali torrente Aupa
per messa in sicurezza",UD,2009,"1.981.092,31","485.367,61","1.969.476,34","482.521,69"
2,2.1.c.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Intervento ripristino e messa in
sicurezza viabilità per Studena
Bassa e regimazione rio
Pontebbana",UD,2009,"1.510.066,21","369.966,22","1.236.377,69","302.912,53"
2,2.1.c.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Intervento ripristino regime
idraulico Rio Gravon di Gleris e
opere lungo rio Studena",UD,2009,"1.658.547,41","406.344,11","1.658.547,41","406.344,10"
2,2.1.c.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Intervento urgente di protezione
civile di sistemazione idraulica di
un tratto del torrente Torre",UD,2009,"1.454.373,26","356.321,44","1.454.373,26","356.321,44"
2,2.1.c.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Intervento urgente messa in
sicurezza abitato di Casso e
relativa strada comunale",PN,2009,"490.009,40","120.052,30","463.050,00","113.447,24"
2,2.1.c.3,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA",SISTEMA RDS,"Regione
FVG",2009,"400.000,00","98.000,00",,
2,2.1.c.4,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","INTERVENTI DI SALVAGUARDIA
MIOZZA 2 LOTTO",UD,2009,"1.800.000,00","441.000,00",,
2,2.1.c.4,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Interventi di salvaguardia torrente
Moscardo",UD,2009,"900.000,00","220.500,00",,
2,2.1.c.4,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","interventi salvaguardia torrente
auza",UD,2009,"500.000,00","122.500,00",,
3,3.1.b.1,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA",S.E.C. (safe and efficient cargo),"Regione
FVG",2009,"5.000.000,00","1.225.000,00",,
6,6.1.a.1,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","ORGANIZZAZIONE DEL
COMITATO DI SORVEGLIANZA","Regione
FVG",2009,"100.000,00","23.130,00","5.457,00","1.262,19"
6,6.1.a.1,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","SERVIZI DI ASSISTENZA TECNICA
AL POR FESR FVG 2007-2013","Regione
FVG",2009,"4.440.000,00","1.026.972,00","631.667,26","146.104,62"
6,6.1.a.1,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","VALUTAZIONE ON GOING DEL
POR FESR 2007-2013","Regione
FVG",2009,"1.056.000,00","244.252,80",,
6,6.2.a.1,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","ASSISTENZA TECNICA
ALL'ATTUAZIONE DEL PIANO DI
COMUNICAZIONE","Regione
FVG",2009,"966.000,00","223.435,80","68.850,00","15.925,00"
6,6.2.a.1,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Attività di comunicazione e
divulgazione del POR","Regione
FVG",2009,"400.000,00","92.520,00","6.139,20","1.419,97"
6,6.2.a.1,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","EVENTO DI LANCIO NUOVA
PROGRAMMAZIONE POR FESR
2007-2013 FVG","Regione
FVG",2009,"13.242,00","3.062,87","13.242,00","3.062,87"
6,6.2.a.1,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Organizzazione eventi informativi
annuali di cui al'art. 7 comma 2","Regione
FVG",2009,"200.000,00","46.260,00",,
6,6.2.a.1,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Pubblicazione bandi e avvisi sui
giornali","Regione
FVG",2009,"350.000,00","80.955,00","7.231,20","1.672,55"
