ASSE,"OBIETTIVO
SPECIFICO",BENEFICIARIO,AVVISO,OPERAZIONE,"ANNO
FINANZIAMENTO","IMP FINANZIAMENTO
PUBBLICO",IMPORTO PAGATO
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
CERABONA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG5 - REIN- VERDI - AMO IL TERRITORIO,2008,"16.615,31"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
CERABONA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG2 - DAL VIGNETO AL VINO,2008,"17.786,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
CERABONA""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"24.768,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
CERABONA""","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - LA SCUOLA PROGETTA IL SUO FUTURO,2008,"25.400,00"
IV,i1,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
CERABONA""","Rafforzamento e qualificazione offerta
formativa scolastica","CS3 - COLTIVAZIONE E COMPOSIZIONE DI PIANTE
GRASSE E SUCCULENTI",2008,"19.500,00"
IV,i1,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
CERABONA""","Rafforzamento e qualificazione offerta
formativa scolastica",CS7 - ORIENTA LAVORO,2008,"14.838,10"
IV,i1,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
CERABONA""","Rafforzamento e qualificazione offerta
formativa scolastica",CS6 - VIOLENZA? NO GRAZIE!,2008,"15.536,09"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
CERABONA""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - INFORMIAMOCI & WEB,2008,"20.100,00"
IV,i1,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS2 - PROMO,2008,"30.000,00"
IV,i1,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica","CS3 - MULTILAB: PROGETTO UNITARIO PER
L'INTEGRAZIONE DEI DIVERSABILI",2008,"40.000,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica","QP2 - RICERCA E DEVULGAZIONE DELLE BUONE
PRATICHE",2008,"17.000,00"
IV,i1,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS7 - TRA VALORI E DISVALORI L'OMBRA DI DIO,2008,"20.000,00"
IV,i1,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica","CS5 - NEI MONDI VIRTUALI MA FUORI DALLE
DIPENDENZE",2008,"19.471,74"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - ZAPPING : GIORNALE ON LINE,2008,"24.000,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - COMPETENZE DIGITALI,2008,"10.355,40"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"57.600,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica",CG1 - COMPETENZE PER L'INNOVAZIONE,2008,"9.192,86"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica",CG3 - C'ERA UNA VOLTA L'ILLEGALITA',2008,"16.810,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica","CG4 - IDENTITA', SOCIALITA' , COMPETENZE
LINGUISTICHE",2008,"43.579,80"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica","CG5 - EDUCAZIONE ALLA PACE, ALLA SOLIDARIETA'
AI DIRITTI E ALLA LEGALITA'",2008,"20.000,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE
""GIUSTINO FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica",CG1 - UN CICERONE TRA I BANCHI,2008,"17.999,30"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE
""GIUSTINO FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica","CG5 - LE COMPETENZE MULTIMEDIALI PER
L'OPERATORE ELETTRICO",2008,"12.506,95"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE
""GIUSTINO FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - ORIENTAMENTO : ISTRUZIONI PER L'USO,2008,"25.325,50"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE
""GIUSTINO FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica",QP2 - KALAI PREXEIS,2008,"19.992,92"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE
""GIUSTINO FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"24.960,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE
""GIUSTINO FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica","CS4 - FORMAZIONE DELL'INDIVIDUO: LE
COMPETENZE DIGITALI",2008,"14.573,75"
IV,i1,"ISTITUTO D'ISTRUZIONE SUPERIORE ""N.
MIRAGLIA""","Rafforzamento e qualificazione offerta
formativa scolastica","CS3 - IMPARARE FACENDO: LABORATORIO DI
CERAMICA",2008,"13.992,42"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""N.
MIRAGLIA""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - PERCORSO INFORMATICO ECDL,2008,"18.229,14"
IV,i1,"ISTITUTO D'ISTRUZIONE SUPERIORE ""N.
MIRAGLIA""","Rafforzamento e qualificazione offerta
formativa scolastica",CS6 - NOI CONTRO LA VIOLENZA,2008,"9.840,24"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""N.
MIRAGLIA""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"60.654,89"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""N.
MIRAGLIA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG1 - MUSICA ANTICA,2008,"13.426,19"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""N.
MIRAGLIA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG2 - CREAZIONE D'IMPRESA,2008,"9.640,24"
IV,h,"ISTITUTO ISTRUZIONE SUPERIORE ""TEN. R.
RIGHETTI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG2 - ALLE PRESE CON L'IMPRESA,2008,"14.588,00"
IV,h,"ISTITUTO ISTRUZIONE SUPERIORE ""TEN. R.
RIGHETTI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG4 - ITALIAN DESIGN: MODELLIZZAZIONE
GRAFICA CAD TRIDIMENSIONALE",2008,"13.184,00"
IV,h,"ISTITUTO ISTRUZIONE SUPERIORE ""TEN. R.
RIGHETTI""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"103.680,00"
IV,h,"ISTITUTO ISTRUZIONE SUPERIORE ""TEN. R.
RIGHETTI""","Rafforzamento e qualificazione offerta
formativa scolastica","CS4 - OLTRE L'ECDL BASE - PERCORSO SU
COMPETENZE INFORMATICHE AVANZATE E
SPECIALISTICHE",2008,"11.997,80"
IV,i1,"ISTITUTO ISTRUZIONE SUPERIORE ""TEN. R.
RIGHETTI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS7 - UNA RETE DI CONOSCENZE,2008,"14.272,00"
IV,h,"ISTITUTO MAGISTRALE STATALE ""E.
GIANTURCO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - APPRENDERE CON LE TIC,2008,"19.500,00"
IV,h,"ISTITUTO MAGISTRALE STATALE ""E.
GIANTURCO""","Rafforzamento e qualificazione offerta
formativa scolastica",QP1 - LABORATORIO DELLE COMPETENZE,2008,"59.900,00"
IV,i1,"ISTITUTO MAGISTRALE STATALE ""E.
GIANTURCO""","Rafforzamento e qualificazione offerta
formativa scolastica","CS5 - NEI MONDI VIRTUALI MA FUORI DALLE
DIPENDENZE",2008,"20.000,00"
IV,h,"ISTITUTO MAGISTRALE STATALE ""E.
GIANTURCO""","Rafforzamento e qualificazione offerta
formativa scolastica","CG4 - INTERNATIONAL DIMENSION FOR THE
BASILICATA REGION",2008,"60.591,85"
IV,h,"ISTITUTO MAGISTRALE STATALE ""E.
GIANTURCO""","Rafforzamento e qualificazione offerta
formativa scolastica","CG5 - UN MEETING SPORTIVO PER LA
CONOSCENZA, L'AMICIZIA E LA FRATELLANZA FRA I
POPOLI",2008,"20.000,00"
IV,h,"ISTITUTO MAGISTRALE STATALE
""TOMMASO STIGLIANI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG2 - SEGNI PARTICOLARI: IMPRENDITRICE,2008,"17.995,50"
IV,h,"ISTITUTO MAGISTRALE STATALE
""TOMMASO STIGLIANI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG4 - UN PERCORSO FORMATIVO PER STUDIARE E
CRESCERE INSIEME",2008,"45.145,00"
IV,h,"ISTITUTO MAGISTRALE STATALE
""TOMMASO STIGLIANI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - FUORICLASSE,2008,"16.188,70"
IV,i1,"ISTITUTO MAGISTRALE STATALE
""TOMMASO STIGLIANI""","Rafforzamento e qualificazione offerta
formativa scolastica","CS3 - START: ARTIGIANATO E MULTIMEDIALITA'
PER L'INCLUSIONE",2008,"29.807,70"
IV,i1,"ISTITUTO MAGISTRALE STATALE
""TOMMASO STIGLIANI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS2 - LA SCUOLA PER I GIOVANI,2008,"21.365,80"
IV,h,"ISTITUTO MAGISTRALE STATALE
""TOMMASO STIGLIANI""","Rafforzamento e qualificazione offerta
formativa scolastica","QP1 - QUALIFICAZIONE DIDATTICA E
PROFESSIONALITA' DOCENTE",2008,"14.031,72"
IV,h,"ISTITUTO MAGISTRALE STATALE
""TOMMASO STIGLIANI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - COMPETENZE DIGITALI,2008,"17.326,50"
IV,i1,"ISTITUTO PROFESSIONALE DI STATO PER I
SERVIZI ALBERGHIERI E DELLA
RISTORZIONE","Rafforzamento e qualificazione offerta
formativa scolastica",CS2 - LA BOTTEGA DEI SAPERI,2008,"18.000,00"
IV,h,"ISTITUTO PROFESSIONALE DI STATO PER I
SERVIZI ALBERGHIERI E DELLA
RISTORZIONE","Rafforzamento e qualificazione offerta
formativa scolastica",QP2 - LA VETRINA DELLE BUONE PRATICHE,2008,"14.950,00"
IV,h,"ISTITUTO PROFESSIONALE DI STATO PER I
SERVIZI ALBERGHIERI E DELLA
RISTORZIONE","Rafforzamento e qualificazione offerta
formativa scolastica","CS4 - PASSPARTOUT PER LA CREATIVITA': IL WEB
DESIGN E IL WEB MARKETING",2008,"11.713,00"
IV,h,"ISTITUTO PROFESSIONALE DI STATO PER I
SERVIZI ALBERGHIERI E DELLA
RISTORZIONE","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"66.432,00"
IV,h,"ISTITUTO PROFESSIONALE DI STATO PER
L'INDUSTRIA E L'ARTIGIANATO","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"111.323,85"
IV,h,"ISTITUTO PROFESSIONALE DI STATO PER
L'INDUSTRIA E L'ARTIGIANATO ""G. GIORGI""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"96.346,52"
IV,i1,"ISTITUTO PROFESSIONALE DI STATO PER
L'INDUSTRIA E L'ARTIGIANATO ""G. GIORGI""","Rafforzamento e qualificazione offerta
formativa scolastica","CS2 - NON UNO DI MENO - PER UNA SCUOLA
DELL'ACCOGLIENZA E DELL'INTEGRAZIONE
CONTRO IL DISAGIO E LA DISPERSIONE
SCOLASTICA",2008,"20.000,00"
