ASSE,"OBIETTIVO
SPECIFICO",BENEFICIARIO,AVVISO,OPERAZIONE,"ANNO
FINANZIAMENTO","IMP FINANZIAMENTO
PUBBLICO",IMPORTO PAGATO
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI "" G.
GASPARRINI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG5 - VITE, VITE.. ALLONS!",2008,"19.962,50"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""C.
D'ERRICO""","Rafforzamento e qualificazione offerta
formativa scolastica",CG1 - LE TERRE DI BASILICATA: BENI DA SCOPRIRE,2008,"17.931,36"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""C.
D'ERRICO""","Rafforzamento e qualificazione offerta
formativa scolastica",CG2 - ALLE PRESE CON L'IMPRESA,2008,"14.400,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""C.
D'ERRICO""","Rafforzamento e qualificazione offerta
formativa scolastica","CG3 - I GIOVANI E LA LEGALITA': PROTAGONISTI
PERSCELTA",2008,"13.500,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""C.
D'ERRICO""","Rafforzamento e qualificazione offerta
formativa scolastica",CG5 - SPORTELLO DIDATTICO ON-LINE,2008,"11.611,50"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""C.
D'ERRICO""","Rafforzamento e qualificazione offerta
formativa scolastica","CS1 - USA LA BUSSOLA SCEGLI OGGI IL TUO
DOMANI",2008,"19.306,43"
IV,i1,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""C.
D'ERRICO""","Rafforzamento e qualificazione offerta
formativa scolastica","CS5 - NEI MONDI VIRTUALI MA FUORI DALLE
DIPENDENZE",2008,"19.971,22"
IV,i1,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""C.
D'ERRICO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS3 - IL LABORATORIO DI ARCHIMEDE,2008,"20.000,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""C.
D'ERRICO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - NON SOLO ECDL,2008,"15.257,32"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""C.
D'ERRICO""","Rafforzamento e qualificazione offerta
formativa scolastica","QP2 - RICERCA E DIVULGAZIONE DELLE BUONE
PRATICHE",2008,"19.772,50"
IV,i1,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""C.
D'ERRICO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS7 - UNA STRADA PER LA VITA,2008,"3.067,20"
IV,i1,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""C.
D'ERRICO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS6 - C'ERA UNA VOLTA SCUGNIZZI,2008,"13.500,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI
""FERDINANDO PETRUCCELLI DELLA
GATTINA""","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - ORIENTA MENTI,2008,"8.640,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI
""FERDINANDO PETRUCCELLI DELLA
GATTINA""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"38.400,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""FERDINANDO PETRUCCELLI DELLA
GATTINA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG1 - SPACE LAB,2008,"15.750,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI
""FERDINANDO PETRUCCELLI DELLA
GATTINA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG3 - TELECAMERE PER LA LEGALITA',2008,"18.000,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI
""FERDINANDO PETRUCCELLI DELLA
GATTINA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG4 - LET'S STUDY TOGHETER,2008,"64.500,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI
""FERDINANDO PETRUCCELLI DELLA
GATTINA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG5 - CORTOMETRAGGI LUNGIMIRANTI,2008,"20.000,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""M.
CAPITOLO""","Rafforzamento e qualificazione offerta
formativa scolastica",CG1 - VIAGGIATORI DI IERI E TURISTI DI OGGI,2008,"13.440,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""M.
CAPITOLO""","Rafforzamento e qualificazione offerta
formativa scolastica","CG2 - L'ALBERO DIFFUSO. OPPORTUNITA' PER LO
SVILUPPO ECONOMICO TERRITORIALE",2008,"15.681,50"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""M.
CAPITOLO""","Rafforzamento e qualificazione offerta
formativa scolastica",CG4 - EXCHANGE CLASSES (SCAMBIO CLASSI),2008,"56.888,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""M.
CAPITOLO""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"22.400,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""M.
CAPITOLO""","Rafforzamento e qualificazione offerta
formativa scolastica","CS1 - FORUM DELLE SCELTE UNIVERSITARIE,
DELLE PROFESSIONI E DELLA MOBILITA' SCUOLA
LAVORO IN EUROPA",2008,"13.919,80"
IV,i1,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""M.
CAPITOLO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS7 - DISEGNO CAD,2008,"17.354,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI ""M.
CAPITOLO""","Rafforzamento e qualificazione offerta
formativa scolastica","CS4 - COMPETENZE DIGITALI: UNA PATENTE PER
L'INFORMAZIONE E LA FORMAZIONE",2008,"18.863,75"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER PERITI AZIENDALI E
CORRISPONDENTI IN LINGUE ESTERE ""A.
LO","Rafforzamento e qualificazione offerta
formativa scolastica","CS4 - LA PATENTE EUROPEA DEL COMPUTER
(ECDL) E REALIZZAZIONE DI UN SITO WEB",2008,"19.200,00"
IV,i1,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER PERITI AZIENDALI E
CORRISPONDENTI IN LINGUE ESTERE ""A.
LO","Rafforzamento e qualificazione offerta
formativa scolastica","CS5 - EDUCAZIONE E PREVENZIONE "" IL RISCHIO
ACCETTABILE""",2008,"19.992,48"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER PERITI AZIENDALI E
CORRISPONDENTI IN LINGUE ESTERE ""A.
LO","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"30.720,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER PERITI AZIENDALI E
CORRISPONDENTI IN LINGUE ESTERE ""A.
LO","Rafforzamento e qualificazione offerta
formativa scolastica",CG4 - APPRENDERE EN SE PROMENANT,2008,"54.082,25"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER PERITI AZIENDALI E CORRISPONDENTI IN LINGUE ESTERE ""A.
LO","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - PER UNA SCELTA LIBERA E CONSAPEVOLE,2008,"25.993,20"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER PROGRAMMATORI
""Francesco Saverio Nitti""","Rafforzamento e qualificazione offerta
formativa scolastica",CG2 - IMPRENDITORIA E RISORSE DEL TERRITORIO,2008,"18.000,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER PROGRAMMATORI
""Francesco Saverio Nitti""","Rafforzamento e qualificazione offerta
formativa scolastica","CG3 - BELLO E' IMPEDIRE AGLI ALTRI DI
COMMETTERE INGIUSTIZIA; SE NON SI RIESCE A
QUESTO, ALMENO NON AIUTARE A COMPIERLA",2008,"17.957,84"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER PROGRAMMATORI
""Francesco Saverio Nitti""","Rafforzamento e qualificazione offerta
formativa scolastica","CG4 - BASILICATATOUR - ""LUCANIA VIEW""",2008,"55.000,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER PROGRAMMATORI
""Francesco Saverio Nitti""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"28.800,00"
IV,i1,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER PROGRAMMATORI
""Francesco Saverio Nitti""","Rafforzamento e qualificazione offerta
formativa scolastica",CS2 - NON PERDIAMOCI DI VISTA,2008,"24.000,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE ""GIOVANNI FALCONE""","Rafforzamento e qualificazione offerta
formativa scolastica","CS1 - IMPLEMENTAZIONE DEL CORSO
PROFESSIONALIZZANTE DI POST QUALIFICA -
ANIMATORE POLIVALENTE",2008,"13.874,00"
IV,i1,"ISTITUTO TECNICO STATALE
COMMERCIALE ""GIOVANNI FALCONE""","Rafforzamento e qualificazione offerta
formativa scolastica",CS2 - NON UNO DI MENO,2008,"30.000,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE ""GIOVANNI FALCONE""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"71.250,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE ""GIOVANNI FALCONE""","Rafforzamento e qualificazione offerta
formativa scolastica","CG2 - IMPARIAMO A VALORIZZARE E PROMUOVERE
IL NOSTRO TERRITORIO",2008,"14.142,40"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE ""GIOVANNI FALCONE""","Rafforzamento e qualificazione offerta
formativa scolastica","CG4 - ORIENTEERING, CULTURA ED AMBIENTE
LOCALE COME FONTI INNOVATIVE DI SVILUPPO",2008,"48.375,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE ""LEONARDO DA VINCI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG2 - CREARE IMPRESA,2008,"18.000,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE ""LEONARDO DA VINCI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG3 - LEGALITA' A SCUOLA,2008,"18.000,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE ""LEONARDO DA VINCI""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"24.000,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE ""LEONARDO DA VINCI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - A SCUOLA CON LE I.T.C. - NON SOLO ECDL,2008,"24.000,00"
IV,i1,"ISTITUTO TECNICO STATALE
COMMERCIALE ""LEONARDO DA VINCI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS5 - FUORI DALLE DIPENDENZE,2008,"20.000,00"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE ""LEONARDO DA VINCI""","Rafforzamento e qualificazione offerta
formativa scolastica",QP1 - LABORATORIO DELLE COMPETENZE,2008,"19.041,80"
IV,h,"ISTRUZIONE D'ISTRUZIONE SUPERIORE ""F.
ALDERISIO""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"49.920,00"
IV,h,LICEO ARTISTICO STATALE,"Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"16.743,00"
IV,h,LICEO ARTISTICO STATALE,"Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - LA SCUOLA CHE ORIENTA,2008,"26.950,50"
IV,h,LICEO ARTISTICO STATALE,"Rafforzamento e qualificazione offerta
formativa scolastica","QP1 - LABORATORIO DELLE COMPETENZE,
PROGETTAZIONE DIDATTICA E VALUTAZIONE",2008,"14.031,72"
IV,i1,LICEO ARTISTICO STATALE,"Rafforzamento e qualificazione offerta
formativa scolastica","CS7 - PATRIMONIO NEGATO: LA CHIESA DEI PADRI
CAPPUCCINI MATERA",2008,"19.920,00"
IV,h,LICEO ARTISTICO STATALE,"Rafforzamento e qualificazione offerta
formativa scolastica","CG1 - SVILUPPO COMPETENZE DIGITALI NEI BENI
CULTURALI",2008,"17.928,00"
IV,h,"LICEO CLASSICO STATALE ""Quinto Orazio
Flacco""","Rafforzamento e qualificazione offerta
formativa scolastica",CG1 - PERCORSO DI COOPERATIVE LEARNING,2008,"10.396,61"
IV,h,"LICEO CLASSICO STATALE ""Quinto Orazio
Flacco""","Rafforzamento e qualificazione offerta
formativa scolastica",CG3 - A SCUOLA DI LEGALITA',2008,"10.396,61"
IV,h,"LICEO CLASSICO STATALE ""Quinto Orazio
Flacco""","Rafforzamento e qualificazione offerta
formativa scolastica","CG5 - GIOVANI, SCUOLA E CULTURA DELLA
LEGALITA'",2008,"10.230,42"
IV,h,"LICEO CLASSICO STATALE ""Quinto Orazio
Flacco""","Rafforzamento e qualificazione offerta
formativa scolastica",CG4 - LET'S STUDY TOGHETER,2008,"47.898,78"
IV,h,"LICEO CLASSICO STATALE ""Quinto Orazio
Flacco""","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - PERCORSI DI ORIENTAMENTO,2008,"15.176,00"
IV,h,"LICEO CLASSICO STATALE ""Quinto Orazio
Flacco""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - SVILUPPO DI COMPETENZE DIGITALI,2008,"19.181,88"
IV,h,"LICEO CLASSICO STATALE ""Quinto Orazio
Flacco""","Rafforzamento e qualificazione offerta
formativa scolastica","QP1 - LABORATORIO DELLE COMPETENZE,
PROGETTAZIONE DIDATTICA E VALUTAZIONE",2008,"30.038,96"
IV,h,"LICEO GINNASIO STATALE ""E. DUNI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - OLTRE L'ECDL,2008,"17.377,28"
IV,h,"LICEO GINNASIO STATALE ""E. DUNI""","Rafforzamento e qualificazione offerta
formativa scolastica","QP2 - RICERCA E DIVULGAZIONE DELLE BUONE
PRATICHE",2008,"19.321,60"
IV,i1,"LICEO GINNASIO STATALE ""E. DUNI""","Rafforzamento e qualificazione offerta
formativa scolastica","CS7 - REGALA UN ASPERANZA - PROGETTO DI
SOLIDARIETA' A FAVORE DEL REPARTO DI
PEDIATRIA DELL'OSPEDALE MADONNA DELLE
GRAZIE DI MATERA",2008,"19.327,00"
IV,h,"LICEO GINNASIO STATALE ""E. DUNI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG1 - MOL - MATERA ONLINE NEWSPAPER:
COMUNICARE CON IL MONDO",2008,"17.601,16"
IV,h,"LICEO GINNASIO STATALE ""E. DUNI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG2 - GIOVANI IMPRENDITORI DEL PROPRIO
FUTURO",2008,"16.390,32"
IV,h,"LICEO GINNASIO STATALE ""E. DUNI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG5 - ALFABETI MEDITERRANEI - LABORATORI
INTERCULTURALI DI TEATRO E MUSICA",2008,"19.071,80"
IV,h,"LICEO GINNASIO STATALE ""E. DUNI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG4 - MATERA MEETS ANGELHOLM (SVAZIA),2008,"57.942,46"
IV,h,"LICEO SCIENTIFICO ""E. FERMI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG2 - MARKETING DELLO SPORT,2008,"17.447,79"
IV,h,"LICEO SCIENTIFICO ""E. FERMI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG3 - DECLINARE LA LEGALITA',2008,"13.374,58"
IV,h,"LICEO SCIENTIFICO ""E. FERMI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG5 - IL MIO CANTO LIBERO  - LABORATORIO DI
PRATICA VOCALE E STRUMENTALE PER LA MUSICA
LEGGERA E POPOLARE",2008,"17.172,41"
IV,h,"LICEO SCIENTIFICO ""E. FERMI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG4 - TOURISM, CULTURE, CROSS-CULTURE",2008,"48.439,05"
IV,i1,"LICEO SCIENTIFICO ""E. FERMI""","Rafforzamento e qualificazione offerta
formativa scolastica","CS5 - NEI MONDI VIRTUALI MA FUORI DALLE
DIPENDENZE",2008,"19.996,02"
IV,i1,"LICEO SCIENTIFICO ""PIER PAOLO PASOLINI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS2 - RIMOTIVARE AD APPRENDERE,2008,"8.838,17"
IV,h,"LICEO SCIENTIFICO ""PIER PAOLO PASOLINI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - ECDL A SCUOLA,2008,"13.605,00"
IV,i1,"LICEO SCIENTIFICO ""PIER PAOLO PASOLINI""","Rafforzamento e qualificazione offerta
formativa scolastica","CS6 - PROGETTO FUORI SCHEMA - GLI
ADOLESCENTI E LA VIOLENZA",2008,"11.000,00"
IV,h,"LICEO SCIENTIFICO ""PIER PAOLO PASOLINI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG2 - FARE IMPRESA,2008,"14.080,20"
IV,h,"LICEO SCIENTIFICO ""PIER PAOLO PASOLINI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG3 - GLI ADOLESCENTI E LA LEGALITA',2008,"11.000,00"
IV,h,"LICEO SCIENTIFICO ""PIER PAOLO PASOLINI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG5 - NOTEVOLMENTE,2008,"12.514,00"
IV,h,"LICEO SCIENTIFICO ""PIER PAOLO PASOLINI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG4 - IDENTITA', SOCIALITA', COMPETENZE
LINGUISTICHE",2008,"32.042,00"
IV,h,"LICEO SCIENTIFICO STATALE  ""DANTE
ALIGHIERI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG1 - VERSIONE MULTIMEDIALE DI UN ROMANZO
SCIENTIFICO",2008,"15.294,00"
IV,h,"LICEO SCIENTIFICO STATALE  ""DANTE
ALIGHIERI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG5 - LABORATORIO DIDATTICO SULL'ECOSISTEMA
DI UN TORRENTE",2008,"16.097,00"
IV,h,"LICEO SCIENTIFICO STATALE  ""DANTE
ALIGHIERI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG4 - ESPLORARE E VALORIZZARE IL TERRITORIO,2008,"62.236,28"
IV,h,"LICEO SCIENTIFICO STATALE  ""DANTE
ALIGHIERI""","Rafforzamento e qualificazione offerta
formativa scolastica","CS1 - CONOSCERSI E CONOSCERE PER
SCEGLIERE IL FUTURO",2008,"26.602,00"
IV,h,"LICEO SCIENTIFICO STATALE  ""DANTE
ALIGHIERI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - NON SOLO ECDL,2008,"19.477,00"
IV,h,"LICEO SCIENTIFICO STATALE  ""DANTE
ALIGHIERI""","Rafforzamento e qualificazione offerta
formativa scolastica","QP1 - QUALIFICAZIONE DIDATTICA E
PROFESSIONALITA' DOCENTE",2008,"37.768,70"
IV,h,"LICEO SCIENTIFICO STATALE ""E. FERMI""","Rafforzamento e qualificazione offerta
formativa scolastica","CS4 - INFORMATION AND COMUNICATION
TECHNOLOGY",2008,"22.000,00"
IV,i1,"LICEO SCIENTIFICO STATALE ""E. FERMI""","Rafforzamento e qualificazione offerta
formativa scolastica","CS5 - NEI MONDI VIRTUALI MA FUORI DALLE
DIPENDENZE",2008,"19.883,94"
IV,h,"LICEO SCIENTIFICO STATALE ""E. FERMI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG1 - TRA SCIENZA ED ETICA: QUALE
SOSTENIBILITA' AMBIENTALE NELLA RICERCA DI
NUOVE TECNOLOGIE PER L'UOMO",2008,"17.374,86"
IV,h,"LICEO SCIENTIFICO STATALE ""E. FERMI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG2 - IDE@AZIONE (IDEE IN AZIONE),2008,"16.000,00"
IV,h,"LICEO SCIENTIFICO STATALE ""E. FERMI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG3 - EDUCARE ALLA LEGALITA' PER TUTELARE
LA'MBENTE",2008,"16.004,00"
IV,h,"LICEO SCIENTIFICO STATALE ""E. FERMI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG4 - LET'S STUDY TOGETHER: DIDATTICA E
TRANSNAZIONALITA'",2008,"40.770,00"
IV,h,"LICEO SCIENTIFICO STATALE ""E. FERMI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG5 - WEB TV: LA SCUOLA VA IN ONDA,2008,"19.600,00"
IV,h,"LICEO SCIENTIFICO STATALE ""E. FERMI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - IL FILO DI ARIANNA,2008,"24.000,00"
IV,h,"LICEO SCIENTIFICO STATALE ""FEDERICO II
DI SVEVIA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG1 - ACCADUEO,2008,"16.936,08"
IV,h,"LICEO SCIENTIFICO STATALE ""FEDERICO II
DI SVEVIA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG3 - L'ETICA NEI RAPPORTI ECONOMICI,2008,"12.655,91"
IV,h,"LICEO SCIENTIFICO STATALE ""FEDERICO II
DI SVEVIA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG4 - LO SPAZIO DELLE CULTURE,2008,"45.898,78"
IV,h,"LICEO SCIENTIFICO STATALE ""FEDERICO II
DI SVEVIA""","Rafforzamento e qualificazione offerta
formativa scolastica","CG5 - L'ATTIMO FUGGENTE: RENDI LA TUA VITA
STRAORDINARIA",2008,"18.813,23"
IV,h,"LICEO SCIENTIFICO STATALE ""FEDERICO II
DI SVEVIA""","Rafforzamento e qualificazione offerta
formativa scolastica","CS4 - JAVA: ESEMPI ED APPLICAZIONI DI UN
LINGUAGGIO DI PROGRAMMAZIONE ORIENTATO
AGLI OGGETTI",2008,"17.717,20"
IV,i1,"LICEO SCIENTIFICO STATALE ""FEDERICO II
DI SVEVIA""","Rafforzamento e qualificazione offerta
formativa scolastica",CS6 - VIOLENZA? NO GRAZIE,2008,"10.246,40"
IV,i1,"LICEO SCIENTIFICO STATALE ""FEDERICO II
DI SVEVIA""","Rafforzamento e qualificazione offerta
formativa scolastica",CS5 - INFORMARE PER PREVENIRE,2008,"17.374,35"
IV,h,"LICEO SCIENTIFICO STATALE ""G. PEANO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - AMBIENTE E TECNOLOGIE,2008,"19.086,92"
IV,h,"LICEO SCIENTIFICO STATALE ""G. PEANO""","Rafforzamento e qualificazione offerta
formativa scolastica",QP1 - LABORATORIO DELLE COMPETENZE,2008,"19.920,20"
IV,h,"LICEO SCIENTIFICO STATALE ""G. PEANO""","Rafforzamento e qualificazione offerta
formativa scolastica",CG3 - A SCUOLA DI LEGALITA',2008,"15.372,65"
IV,h,"LICEO SCIENTIFICO STATALE ""G. PEANO""","Rafforzamento e qualificazione offerta
formativa scolastica",CG5 - NUOVE DIMENSIONI CULTURALI,2008,"19.384,00"
IV,h,"LICEO SCIENTIFICO STATALE ""G. PEANO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - ORIENTARSI,2008,"19.554,42"
IV,h,"LICEO SCIENTIFICO STATALE ""G. PEANO""","Rafforzamento e qualificazione offerta
formativa scolastica","CG4 - INTERNATIONAL DIMENSIONS FOR THE
BASILICATA REGION",2008,"60.301,93"
IV,h,"LICEO SCIENTIFICO STATALE ""GALILEO
GALILEI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG1 - ENERGYEDUCATION,2008,"17.994,24"
IV,h,"LICEO SCIENTIFICO STATALE ""GALILEO
GALILEI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG4 - DUE REALTA' A CONFRONTO,2008,"64.487,60"
IV,h,"LICEO SCIENTIFICO STATALE ""GALILEO
GALILEI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG3 - LEGALITA' E TERRITORIO,2008,"17.979,00"
IV,h,"LICEO SCIENTIFICO STATALE ""GALILEO
GALILEI""","Rafforzamento e qualificazione offerta
formativa scolastica","CS4 - VIAGGIO NELLA STORIA DELLA BASILICATA:
DALLA PREISTORIA AL MEDIOEVO",2008,"18.359,10"
IV,h,"LICEO SCIENTIFICO STATALE ""GALILEO
GALILEI""","Rafforzamento e qualificazione offerta
formativa scolastica","QP2 - RICERCA E DIVULGAZIONE DELLE BUONE
PRATICHE",2008,"20.000,00"
IV,h,"LICEO SCIENTIFICO STATALE ""GALILEO
GALILEI""","Rafforzamento e qualificazione offerta
formativa scolastica",QP1 - LABORATORIO DELLE COMPETENZE,2008,"31.038,00"
IV,i1,"LICEO SCIENTIFICO STATALE ""SALVATOR
ROSA""","Rafforzamento e qualificazione offerta
formativa scolastica","CS5 - NEI MONDI VIRTUALI MA FUORI DALLE
DIPENDENZE",2008,"19.813,00"
IV,h,LINK CONSULTING,"Percorsi formativi integrati per la filiera
culturale turistica della Basilicata","Responsabile della fruizione e dello sviluppo del
patrimonio culturale",2008,"161.250,00"
IV,h,PRAGMA GROUP SRL,"Percorsi formativi integrati per la filiera
culturale turistica della Basilicata","Responsabile della fruizione e dello sviluppo del
patrimonio culturale",2008,"161.000,00"
IV,h,QUALIISUD SRL,"Percorsi formativi integrati per la filiera
culturale turistica della Basilicata","Responsabile della fruizione e dello sviluppo del
patrimonio culturale",2008,"161.250,00"
IV,h,RISORSE,"Percorsi formativi integrati per la filiera
culturale turistica della Basilicata","Responsabile dell'organizzazione e comunicazione di
eventi per lo sviluppo del patrimonio culturale",2008,"161.250,00"
IV,h,SISTEMA TURISMO SRL,"Percorsi formativi integrati per la filiera
culturale turistica della Basilicata","Responsabile della fruizione e dello sviluppo del
patrimonio culturale",2008,"161.244,60"
IV,h,TRACCIA,"Percorsi formativi integrati per la filiera
culturale turistica della Basilicata","Responsabile della fruizione e dello sviluppo del
patrimonio culturale",2008,"161.249,00"
IV,h,VOCATIONAL TRAINING SRL,"Percorsi formativi integrati per la filiera
culturale turistica della Basilicata","Responsabile dell'organizzazione e comunicazione di
eventi per lo sviluppo del patrimonio culturale",2008,"161.250,00"
