Nome Beneficiario,Asse,Denominazione dell'operazione,Anno del Finanziam ento,Costo Totale,Costo del Progetto (Quota a valere sul P.O.),Totale,Quota FESR
Regione Siciliana,4,"BANCHE DATI REGIONALI PER LA GESTIONE DEL PERSONALE E PER IL MONITORAGGIO DEI CONTRATTI 
INTEGRATIVI BD-ARAN",2009,"2.502.504,00","2.502.504,00","957.376,00","478.688,00"
Regione Siciliana,4,SISTEMA DI SUPPORTO ALLA DECISIONI PER LA GESTIONE AMBIENTALE INTEGRATA DSS-DTA,2009,"536.484,00","536.484,00","214.593,60","107.296,80"
Regione Siciliana,4,ADESIONE ICAR,2009,"239.055,00","239.055,00","239.055,00","119.527,50"
Regione Siciliana,4,SISTEMA INFORMATIVO MUSEALE PER IL CENSIMENTO E LA CATALOGAZIONE - SIMUCC,2009,"5.553.510,00","5.553.510,00","2.221.404,00","1.110.702,00"
Comune Centuripe,5,Comune Centuripe - Realizzazione e Completamento Aree Artigianali,2009,"4.000.000,00","4.000.000,00",,
"Comune di 
Castelvetrano",5,Comune di Castelvetrano Centro Servizi integrato in area PIP,2009,"1.164.143,50","1.164.143,50",,
Comune di Resuttano,5,Comune di Resuttano completamento opere di urbanizzazione primaria nell'area PIP,2009,"1.633.000,00","1.633.000,00",,
"Comune di S. Caterina 
Villarmosa",5,"Comune di Santa Caterina Villarmosa - Opere infrastrutturali del PIP 2^ intervento di completamento C.da 
Piraino",2009,"3.767.000,00","3.767.000,00",,
"Comune di Chiusa 
Sclafani",5,Comune di Chiusa Sclafani completamento opere di urbanizzazione area artigianale I stralcio,2009,"1.257.749,67","1.257.749,67",,
Comune di Salemi,5,Comune di Salemi completamento dell'area artigianale,2009,"1.925.000,00","1.925.000,00",,
Comune di Santa Ninfa,5,Comune di Santa Ninfa completamento dell'area artigianale,2009,"1.960.000,00","1.960.000,00",,
Comune di Vita,5,Comune di Vita completamento dell'area artigianale,2009,"1.950.000,00","1.950.000,00",,
Comune di Vizzini,5,Comune di Vizzini - Completamento Centro Servizi nell'area PIP,2009,"1.199.999,00","1.199.999,00","14.436,67","7.218,34"
Comune di Prizzi (PA),5,Comune di Prizzi - Opere di urbanizzazione primaria 1^ stralcio isolato A,2009,"2.350.000,00","2.350.000,00",,
"Comune di Militello Val 
di Catania",5,Comune di Militello Val di Catania  completamento area artigianale,2009,"3.870.000,00","3.870.000,00",,
"comune di Sambuca di 
Sicilia (AG)",5,"Comune di Sambuca di Sicilia (AG) - completamento delle opere di urbanizzazione primaria nell'area PIP - 
depuratore - fondi FAS imputati al PO Fesr",2009,"1.168.430,71","1.168.430,71","1.168.430,71","584.215,36"
Comune di cesar˜,5,Comune di Cesar˜ terzo lotto di completamento dell'area artigianale,2009,"2.800.000,00","2.800.000,00",,
Comune di Partanna,5,Comune di Partanna - Urbanizzazione area PIP Fondi FAS imputati al PO Fesr,2009,"853.700,92","853.700,92","853.700,92","426.850,46"
Comune di Menfi,5,"Comune di Menfi realizzazione Centro Servizi Progetto  finanziato con fondi regionali imputato al PO Fesr 
2007-2013",2009,"439.621,39","439.621,39","200.621,58","100.310,79"
Comune di Menfi,5,"Comune di Menfi completamento delle opere di urbanizzazione del Pip. Progetto da imputare al PO Fesr 
2007-2013 Fondi Fas ",2009,"2.065.879,00","2.065.879,00","709.166,89","354.583,45"
"Comune di Motta 
Camastra",5,"Comune di Motta Camastra  realizzazione dei lavori di urbanizzazione primaria del PIP. Fondi FAS imputati al 
PO Fesr",2009,"373.115,18","373.115,18","373.115,18","186.557,59"
Comune di Aidone,5,Comune di Aidone (EN) Opere di urbanizzazione area artigianale C/da Montagna,2009,"1.899.511,77","1.899.511,77",,
Comune di Rosolini,5,Comune di Rosolini realizzazione del 1¡ stralcio funzionale del Piano degli insediamenti produttivi,2009,"3.995.000,00","3.995.000,00",,
Comune di Niscemi (CL),5,Comune di Niscemi realizzazione dell'area artigianale ,2009,"4.000.000,00","4.000.000,00",,
Regione Siciliana,5,Conferimento Fondo Jeremie,2009,"5.000.000,00","5.000.000,00","5.000.000,00","2.500.000,00"
Regione Siciliana,5,Conferimento fondo Jeremie,2009,"5.000.000,00","5.000.000,00","5.000.000,00","2.500.000,00"
Regione Siciliana,5,Conferimento Holding Fund JEREMIE SICILIA,2009,"50.000.000,00","50.000.000,00","50.000.000,00","25.000.000,00"
Regione Siciliana,5,Progetto missione incoming EAU,2009,"121.296,00","121.296,00","42.453,60","21.226,80"
Regione Siciliana,5,Progetto missione incoming Canada,2009,"119.508,00","119.508,00","41.827,80","20.913,90"
Regione Siciliana,5,Progetto missione incoming Kaliningrad,2009,"111.414,00","111.414,00","38.994,90","19.497,45"
Regione Siciliana,5,Progetto missione incoming Norvegia,2009,"107.160,00","107.160,00","37.506,00","18.753,00"
Regione Siciliana,5,Progetto missione Svizzera,2009,"81.475,20","81.475,20","28.516,32","14.258,16"
Regione Siciliana,6,conferimento fondo jessica,2009,"10.000.000,00","10.000.000,00","10.000.000,00","5.000.000,00"
Regione Siciliana,6,conferimento fondo jessica,2009,"9.000.000,00","9.000.000,00","9.000.000,00","4.500.000,00"
Regione Siciliana,6,CONFERIMENTO AL FONDO JESSICA,2009,"8.600.000,00","8.600.000,00","8.600.000,00","4.300.000,00"
Regione Siciliana,6,conferimento fondo jessica,2009,"1.000.000,00","1.000.000,00","1.000.000,00","500.000,00"
Regione Siciliana,7,"Servizio di assistenza tecnica a supporto delle attivitˆ di programmazione, gestione, controllo, monitoraggio 
e comunicazione per l'attuazione del PO FESR 2007-2013",2009,"7.800.500,00","7.800.500,00",,
Regione Siciliana,7,Pubblicazione sulla GURI del bando di affidamento del servizio di assistenza tecnica PO FESR 2007-2013,2008,"647,68","647,68","627,44","313,72"
Regione Siciliana,7,"Servizio di registrazione e sbobinatura degli interventi effettuati alla conferenza di servizi del 04/06/2009 - 
Raddoppio passante ferroviario Palermo",2009,"914,40","914,40","914,40","457,20"
Regione Siciliana,7,"Pubblicazione sul quotidiano La Repubblica dell'avviso di affidamento del servizio di assistenza tecnica PO 
FESR 2007/2013",2009,"4.200,00","4.200,00","4.200,00","2.100,00"
Regione Siciliana,7,"Pubblicazione sul quotidiano La Repubblica dell'avviso riguardante la sospensione della procedura di 
affidamento del servizio di assistenza tecnica PO FESR 2007/2013.",2009,"3.000,00","3.000,00","3.000,00","1.500,00"
Regione Siciliana,7,"Pubblicazione sui quotidiani La Sicilia ed Il Giornale di Sicilia dell'avviso riguardante l' affidamento del 
servizio di assistenza tecnica PO FESR 2007/2013.",2009,"8.400,00","8.400,00","8.400,00","4.200,00"
Regione Siciliana,7,"Pubblicazione sul quotidiano ""Il sole 24 ore"" dell'avviso riguardante la sospensione della procedura di 
affidamento del servizio di assistenza tecnica PO FESR 2007/2013.",2009,"4.176,00","4.176,00","4.176,00","2.088,00"
Regione Siciliana,7,"Pubblicazione sulla GURI dell'avviso riguardante la sospensione della procedura di affidamento del servizio di 
assistenza tecnica PO FESR 2007/2013.",2009,"404,80","404,80","404,80","202,40"
Regione Siciliana,7,"Pubblicazione sul quotidiano ""La Repubblica""avviso nuovo bando per l'affidamento del servizio di assistenza 
tecnica al Po Fesr 2007/2013 ",2009,"4.200,00","4.200,00","4.200,00","2.100,00"
Regione Siciliana,7,Pubblicazione su Gds e La Sicilia nuovo bando di gara affidamento assistenza tecnica Po Fesr 2007/2013,2009,"10.239,00","10.239,00","10.239,00","5.119,50"
Regione Siciliana,7,Pubblicazione su Sole 24 ore nuovo bando di gara affidamento assistenza tecnica Po Fesr 2007/2013,2009,"4.176,00","4.176,00","4.176,00","2.088,00"
Regione Siciliana,7,Pubblicazione su GURI nuovo bando di gara per affidamento servizio assistenza tecnica Po Fesr 2007/2013,2009,"627,44","627,44","627,44","313,72"
Regione Siciliana,7,Servizi logistici organizzativi in occasione del Cds 27 e 28 novembre 2008 Po Fesr 2007/2013,2009,"5.088,00","5.088,00","5.088,00","2.544,00"
Regione Siciliana,7,"Servizio di Welcome Coffee e Lunch Buffet reso in occasione del Cds del 27 e 28 novembre 2008 Po Fesr 
2007/2013",2009,"6.600,00","6.600,00","6.600,00","3.300,00"
Regione Siciliana,7,"Servizi logistici e organizzativi per Seminario strumenti di pianificazione integrata e organismo intermedio 
2007/2013",2009,"2.568,00","2.568,00","2.568,00","1.284,00"
Regione Siciliana,7,"Servizi logistici e organizzativi per Workshop Nuovo sistema di monitoraggio gestionale programmazione 
unitaria Po Fesr 2007/2013",2009,"840,00","840,00","840,00","420,00"
Regione Siciliana,7,Servizio di ristorazione  per seminario strumenti di pianificazione integrata tenuto in data 20/06/2008,2009,"412,50","412,50","412,50","206,25"
Regione Siciliana,7,Servizio di ristorazione Cds 20/05/2009,2009,"3.465,00","3.465,00","3.465,00","1.732,50"
Regione Siciliana,7,Servizio di ristorazione Workshop 02/07/2008 Po Fesr 2007/2013,2009,"330,00","330,00","330,00","165,00"
Regione Siciliana,7,"Concorso di idee per l'ideazione e la progettazione del logo e della linea grafica coordinata per la 
promozione delle azioni di comunicazione, informazione e pubblicitˆ del PO FESR Sicilia 2007-2013",2008,"10.000,00","10.000,00","10.000,00","5.000,00"
Regione Siciliana,7,Gemmellaro S. Incarico assistenca tecnica Po Fesr Sicilia 2007/2013,2009,"18.010,98","18.010,98","11.794,75","5.897,38"
Regione Siciliana,7,Giacalone E. Incarico assistenca tecnica Po Fesr Sicilia 2007/2013,2009,"20.499,58","20.499,58","12.837,05","6.418,53"
Regione Siciliana,7,Guastella J. Incarico assistenca tecnica Po Fesr Sicilia 2007/2013,2009,"20.499,58","20.499,58","10.582,56","5.291,28"
Regione Siciliana,7,Longo B.Incarico assistenca tecnica Po Fesr Sicilia 2007/2013,2009,"20.499,58","20.499,58","13.146,55","6.573,28"
Regione Siciliana,7,Luglio A.Incarico assistenca tecnica Po Fesr Sicilia 2007/2013,2009,"21.420,01","21.420,01","13.141,32","6.570,66"
Regione Siciliana,7,Moscadini F.Incarico assistenca tecnica Po Fesr Sicilia 2007/2013,2009,"20.499,58","20.499,58","12.662,48","6.331,24"
Regione Siciliana,7,Parlato Ilva M.Incarico assistenca tecnica Po Fesr Sicilia 2007/2013,2009,"22.076,44","22.076,44","5.018,44","2.509,22"
Regione Siciliana,7,Petrucci M.Incarico assistenca tecnica Po Fesr Sicilia 2007/2013,2009,"19.500,02","19.500,02","11.916,63","5.958,32"
Regione Siciliana,7,Virga S.Incarico assistenca tecnica Po Fesr Sicilia 2007/2013,2009,"20.280,06","20.280,06","12.488,69","6.244,35"
Regione Siciliana,7,Servizio di Hosting del Dipartimento Programmazione,2009,"21.600,00","21.600,00",,
Regione Siciliana,7,Proroga servizio di accesso internet a mezzo di consip Fastweb ,2009,"6.881,76","6.881,76",,
Regione Siciliana,7,Acquisto n. 3 Pc ultraportatili (netbook),2009,"1.242,00","1.242,00","1.242,00","621,00"
Regione Siciliana,7,Acquisto attrezzature hardware e software a mezzo Consip Dip. Programmazione,2009,"5.888,99","5.888,99",,
Regione Siciliana,7,Acquisto attrezzature hardware e software  Dip. Programmazione,2009,"39.600,00","39.600,00",,
