"ragione_sociale_impresa","prov","descrizione_intervento","anno_finanziamento_o_pagamento","contributo_totale_concesso","contributo_quota_fesr","contributo_quota_mezzi_stato","contributo_quota_regione_cap","quota_liquidata","fund_type","currency","uri"
"MECCANICA SRL ROSSI CARLO","MO","Interventi per il risparmio energetico nello stabilimento di produzione (riduzione dei consumi per la climatizzazione e illuminazione nonché produzione di acqua calda attraverso installazione impianto ad utilizzazione dell'energia solare). Interventi per il risparmio energetico nei processi produttivi (impianto di recupero calore dai fumi di aspirazione. Impianto di recupero delle emulsioni e fanghi oleosi. Impianto di gestione e telecontrollo dei consumi energetici)",2009,89250,"32957,57","56292,43","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"ESCAVAZIONE INERTI S.E.I. SOCIETA'","FE","Interventi per la riduzione dei consumi energetici nei processi produttivi (installazione forno di essicazione)",2009,200000,"-","-",200000,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"INDUSTRIALE ARTICOLI S.I.A.T. SPAZZOLIFICIO","BO","Impianto fotovoltaico da 4,424 KWp",2009,"21557,6","7960,63","13596,97","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"S.I.L.P. SRL","PR","Impianto fotovoltaico da 212 KWp",2009,119370,"44080,05","75289,95","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"S.T.A. SRL","BO","Impianto di recupero in cogenerazione di energia termica dal processo di stampaggio e imbottitura delle lamiere",2009,67500,"24925,89","42574,11","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"SALUMIFICIO LA PERLA DI LANFRANCHI CARLO","PR","Interventi per il risparmio energetico nello stabilimento di produzione (sostituzione caldaia con nuova caldaia a condensazione). Installazione di impianto fotovoltaico da 19,2 KWp",2009,"28509,06","10527,61","17981,45","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"SALUMIFICIO MAGNONI","FE","Impianto di cogenerazione ad alto rendimento a gas metano",2009,50000,"18463,62","31536,38","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"SALUMIFICIO SAN MICHELE SPA","CR","Interventi di risparmio energetico nei processi produttivi (Installazione di macchine di unità di trattamento aria con metodologia free-cooling)",2009,120040,"44327,46","75712,54","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"SALUMIFICIO VITALI","BO","Impianto forovoltaico da 97,44 KWp",2009,68000,"25110,53","42889,47","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"PROSCIUTTI SPA SAN MARCO","PR","Interventi per la riduzione dei consumi energetici nei processi produttivi (Installazione di impianto di recupero di calore prodotto dalla condensazione dei gruppi frigoriferi)",2009,87720,"-","-",87720,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
