Beneficiario Finale,Denominazione Progetto,Asse,Codice Obiettivo Operativo,Codice Progetto,Regione,Totale impegnato,Totale erogato (pagamenti monitorati al 31/12/2009)
CONSORZIO CETMA - CENTRO DI PROGETTAZIONE DESIGN & TECNOLOGIE DEI MATERIALI,Net.P.P. - Sviluppo del Network Part Program,I,I.1,63/1,Puglia,"318,500.00","95,550.00"
CONSORZIO INTERUNIVERSITARIO NAZIONALE PER L'INFORMATICA  C.I.N.I.,Imaging non invasivo per diagnostica morfo-funzionale avanzata,I,I.3,DM18604/4 ,Campania,"922,300.00","276,690.00"
CONSORZIO INTERUNIVERSITARIO NAZIONALE PER L'INFORMATICA  C.I.N.I.,Formazione di ricercatori altamente qualificati nell'area delle tecniche e processi software per imaging medicale diagnostico funzionale,I,I.3,DM18604/F4,Campania,"78,698.00","23,609.40"
Consorzio Interuniversitario Nazionale per l'Informatica - C.I.N.I.,COSMIC: Centro di ricerca sui sistemi Open Source per le applicazioni ed i Servizi MIssion Critical,I,I.3,DM23318/1,Campania,"1,023,800.00","365,039.67"
Consorzio Interuniversitario Nazionale per l'Informatica - C.I.N.I.,cosmic farm formazione e attività di trasferimento per la ricerca multi tecnologica,I,I.3,DM23318/F1,Campania,"88,299.00","26,489.70"
Consorzio Mediterraneo Universitaro per lo Spin-Off nelle Alte Tecnologie,Laboratorio pubblico-privato per lo sviluppo di tecnologie di processo e dimostratori di circuiti elettronici ad alte prestazioni a basso costo di fabbricazione realizzati su substrati plastici,I,I.3,DM17767/F3,Sicilia,"288,000.00","86,400.00"
COOPERATIVA ALLEVATORI PUTIGNANO,Bioinnovazioni per il fiordilatte tipico pugliese,I,I.3,DM29221/1,Puglia,"483,400.00", -   
COOPERATIVA ALLEVATORI PUTIGNANO,Bioinnovazioni per il fiordilatte tipico pugliese,I,I.3,DM29221/F1,Puglia,"15,000.00", -   
COPAIM S.P.A.,Ortobiotici pugliesi: alimenti vegetali probiotici. Applicazioni biotecnologiche per la realizzazione di nuovi alimenti probiotici di alta qualità e l’innovazione nei processi di conservazione e trasformazione dei prodotti vegetali.,I,I.3,DM28830/2     ,Puglia,"353,715.80", -   
COPAIM S.P.A.,Ortobiotici pugliesi: alimenti vegetali probiotici. Applicazioni biotecnologiche per la realizzazione di nuovi alimenti probiotici di alta qualità e l’innovazione nei processi di conservazione e trasformazione dei prodotti vegetali.,I,I.3,DM28830/F2,Puglia,"2,000.00", -   
CORITEL- Consorzio di ricerca sulle telecomunicazioni,PRESTO,I,I.1,9882,Campania,"949,600.00","401,100.00"
COS.ECO srl,STUDIO E SVILUPPO DI UN NUOVO…,I,I.1,2632,Puglia,"824,976.00","348,048.00"
COSMO SPA,Valutazione attività antiandrogena,I,I.1,6287,Sicilia,"1,936,480.00","670,963.51"
CRES - CENTRO PER LA RICERCA ELETTRONICA IN SICILIA,Siriprofo,I,I.1,8127/3,Sicilia,"340,000.00","48,000.00"
CRIAI ,COSMIC: Centro di ricerca sui sistemi Open Source per le applicazioni ed i Servizi MIssion Critical,I,I.3,DM23318/2,Campania,"515,600.00","172,718.38"
CRIAI ,cosmic farm formazione e attività di trasferimento per la ricerca multi tecnologica,I,I.3,DM23318/F2,Campania,"228,104.00","78,076.19"
CSM tecno srl,Messa a punto metodologie e tecnol. Gestione informazione simulazione impianti,I,I.1,7791,Campania,"8,216,000.00","994,499.27"
CULTURA E INNOVAZIONE S.C.A R.L.,"MESSIAH - MEtodologie, Strumenti e Servizi Innovativi per l’ArcHeologia subacquea""",I,I.3,DM28157,Calabria,"6,375,000.00","4,701,038.46"
DHITECH (Distretto Tecnologico High-Tech S.c.a.r.l.),X @ Work-eXperience at Work - Ambiente di lavoro collaborativo a supporto dello sviluppo nuovo prodotto in ambito aerospaziale,I,I.3,DM28485,Puglia,"4,342,752.00", -   
DHITECH (Distretto Tecnologico High-Tech S.c.a.r.l.),"Processi di micro e nano-fabbricazione avanzati per la realizzazione di dispositivi o apparati funzionali nel campo dell’elettronica, della fotonica, della micromeccanica e della biosensoristica",I,I.3,DM28486,Puglia,"4,294,500.00","1,752,417.81"
DHITECH (Distretto Tecnologico High-Tech S.c.a.r.l.),Nuove sorgenti OLEDs per illuminazione,I,I.3,DM28487,Puglia,"4,453,400.00","2,410,723.94"
DHITECH (Distretto Tecnologico High-Tech S.c.a.r.l.),GrinFin: Grid for Finance,I,I.3,DM28488,Puglia,"1,460,020.00","399,468.21"
DHITECH Distretto Tecnologico High Tech s.c.a.r.l.,IDesign Foundation –Metodologie e tecnologie a supporto dell'innovazione nello sviluppo nuovo prodotto in un Value Network del settore aeronautico,I,I.3,DM48339,Puglia,"2,856,000.00", -   
DHITECH Distretto Tecnologico High Tech s.c.a.r.l.,IDesign Foundation –Metodologie e tecnologie a supporto dell'innovazione nello sviluppo nuovo prodotto in un Value Network del settore aeronautico,I,I.3,DM48339/F,Puglia,"1,000,000.00","300,000.00"
DHITECH Distretto Tecnologico High Tech s.c.a.r.l.,“AEROCOMP - Studio Preliminare di Materiali Nanocompositi per Applicazioni Aeronautiche”,I,I.3,DM48391,Puglia,"2,880,400.00", -   
Dr. Franco Pignataro srl,Biotecnologie per la produzione di uva da tavola di IV gamma,I,I.3,DM 29223/F1,Puglia,"12,500.00", -   
Dr. Franco Pignataro srl,Biotecnologie per la produzione di uva da tavola di IV gamma,I,I.3,DM29223/1,Puglia,"280,288.00", -   
E.STANCAPIANO SpA,S.A.I.M.E. Sistemi Analitici Innovativi,I,I.1,8637/2,Campania,"1,664,280.00","146,882.20"
Edinform SpA,GENESIS-D,I,I.1,13581,Puglia,"1,390,165.09","573,530.46"
ELASIS,Evoluzione CFD ad approccio cinetico applicata la veicolo per la predizione del comportamento acustico,I,I.1,1070,Campania,"2,101,200.00","928,900.00"
ELASIS Scpa,Strutture automobilistiche innovative ad aelevata modularità,I,I.1,1072,Campania,"1,951,600.00","632,960.12"
ELESTA S.r.l.,Imaging non invasivo per diagnostica morfo-funzionale avanzata,I,I.3,DM18604/7,Campania,"1,647,560.00","196,173.00"
ELESTA S.r.l.,Formazione di ricercatori altamente qualificati nell'area delle tecniche e processi software per imaging medicale diagnostico funzionale,I,I.3,DM18604/F7,Campania,"341,140.00","102,342.00"
Elfim Srl,SILA-STAMPI,I,I.1,6409/1,Puglia,"1,691,620.00","726,301.75"
