N∞ZEV P_íJEMC_,OBLAST PODPORY ROPJZ,N∞ZEV OPERACE,ROK ALOKACE/ ROK FIN∞LNí PLATBY,ALOKOVAN∞ _∞STKA,CELKOV∞ _∞STKA VYPLACEN∞ PO SKON_ENí PROJEKTU
M_sto Hol_àov,1.5,V_stavba m√stn√ch komunikac√ v obytnª zÄn_ V_hledy,2008/2009,"5 657 380,04",Bude dopln_no po ukon_en√ projektu
M_sto Hol_àov,2.3,Revitalizace n_m_st√ 5. kv_tna v_etn_ ob_anskª vybavenosti,2008/2010,"19 688 674,03",Bude dopln_no po ukon_en√ projektu
M_STO CHıNOV,1.5,Dostavba m√stn√ komunikace ve m_st_ Ch_nov,2008/2009,"5 432 396,32","5 057 389,81 K_"
M_STO CHıNOV,2.3,Rekonstrukce Kulturn√ho domu v Ch_nov_,2008/2009,"3 913 700,00","3 485 399,51"
M_sto Kaplice,1.5,Rekonstrukce komunikac√ v Kaplici,2008/2009,"14 402 113,99",Bude dopln_no po ukon_en√ projektu
M_sto Kaplice,2.2,Revitalizace m_stskªho parku Kaplice,2008/2010,"9 541 930,00","8 532 496,87 K_"
M_sto Kaplice,2.4,Stavebn√ _pravy a modernizace gymn_zia v Kaplici,2008/2008,"9 260 595,01","8 117 108,13 K_"
M_sto Kardaàova _e_ice,2.4,Efektivn_jà√ v_uka v Z_kladn√ àkole Kardaàova _e_ice,2008/2010,"14 495 325,00","13 509 194,41 K_"
M_sto Kasejovice,2.3,SPOLE_ENSKO-KULTURNí CENTRUM M_STA KASEJOVICE,2008/2010,"10 637 298,99","10 637 298,99 K_"
M_sto Kaàperskª Hory,2.3,Revitalizace n_m_st√ Kaàperskª Hory,2008/2010,"11 941 299,44",Bude dopln_no po ukon_en√ projektu
M_sto Kdyn_,3.1,Centrum vodn√ z_bavy Kdyn_,2008/2010,"113 403 407,99",Bude dopln_no po ukon_en√ projektu
M_sto Klatovy,1.5,V_stavba m√stn√ komunikace Pod Borem,2008/2009,"18 500 000,00",Bude dopln_no po ukon_en√ projektu
M_sto Kr_lovice,2.3,Revitalizace m_stskªho centra Kr_lovice - p_√stavba knihovny a _prava vnitrobloku,2008/2010,"16 793 337,00",Bude dopln_no po ukon_en√ projektu
M_sto Lomnice nad Lu_nic√,2.3,Rekonstrukce ve_ejnªho centra m_sta Lomnice nad Lu_nic√,2008/2009,"13 003 977,00","12 927 270,53 K_"
M_sto Miroàov,1.5,Rekonstrukce mostu p_es P_√kosick_ potok na m√stn√ komunikaci - ul. Politick_ch v_z__ v Mi rosov_,2008/2008,"2 097 005,50","2 063 983,02 K_"
M_STO MLAD∞ VO»ICE,2.3,"Revitalizace Zi_kova n_m_st√ Mlad_ Vo_ice, I. etapa",2008/2009,"7 789 465,62",Bude dopln_no po ukon_en√ projektu
M_sto M_to,1.5,V_stavba komunikace v osad_ Ka_√zek,2008/2009,"5 928 811,00","5 928 811,00 K_"
M_sto Nepomuk,1.5,"Nepomuk - modernizace m√stn√ komunikace pro napojen√ pr_myslovª zÄny Dvorec I., Nepomuk-Dvorec",2008/2009,"8 996 420,89","8 996 420,88 K_"
M_sto Nov_ Byst_ice,1.5,Modernizace m√stn√ch komunikac√ v Novª Byst_ici,2008/2008,"3 520 000,00","3 520 000,00 K_"
M_sto NOV÷ HRADY,2.3,Investice pro integrovan_ rozvoj kultury a kvality slu_eb ve_ejnª spr_vy v Nov_ch Hradech,2008/2009,"7 397 595,00",Bude dopln_no po ukon_en√ projektu
M_sto NOV÷ HRADY,2.5,Zv_àen√ dostupnosti a kvality slu_eb Mâ Novª Hrady,2008/2008,"5 142 882,01","4 996 328,69 K_"
M_sto N_rsko,2.2,Architektonickª _eàen√ m_stskªho centra a zkvalitn_n√ slu_eb ob_anskª vybavenosti,2008/2010,"34 898 022,60",Bude dopln_no po ukon_en√ projektu
M_sto N__any,1.5,Rekonstrukce m√stn√ch komunikac√ - N__any,2008/2008,"18 496 125,70","18 485 117,02 K_"
M_sto P√sek,1.2,V_stavba autobusovª zast_vky v Bud_jovickª ulici v P√sku,2008/2009,"1 992 450,00",Bude dopln_no po ukon_en√ projektu
M_sto P√sek,2.2,"Rekonstrukce ploch Na V_staviàti v P√sku, I. etapa- 2. __st",2008/2009,"26 254 539,99",Bude dopln_no po ukon_en√ projektu
M_sto Protiv√n,3.2,Rekonstrukce pam_tkov_ chr_n_nªho objektu v are_lu kostela Sv. Al_b_ty Portugalskª v Protiv√ne _p.37,2008/2009,"8 255 076,47",Bude dopln_no po ukon_en√ projektu
M_STO SOB_SLAV rozpo_tov_ organizace,2.2,Spole_enskª centrum Sob_slavsk_,2008/2009,"22 401 324,00",Bude dopln_no po ukon_en√ projektu
M_STO SOB_SLAV rozpo_tov_ organizace,3.2,Z_chrana gotickªho hradu -Sob_slav,2008/2010,"36 264 364,99",Bude dopln_no po ukon_en√ projektu
M_sto Sp_lenª Po_√_√,2.4,Interaktivn√ u_ebny - nov_ zp_sob v_uky v Z_kladn√ àkole Sp_lenª Po_√_√,2008/2008,"7 442 342,00","7 442 342,00 K_"
M_sto Strakonice,1.5,Obytn_ zÄna Na Muàk_ch -komunikace,2008/2010,"19 921 261,56",Bude dopln_no po ukon_en√ projektu
M_sto Strakonice,1.5,Tisov_ - z_sadn√ komunikace pro dopravn√ obsluhu na m√stn√ _rovni,2008/2009,"5 533 957,01","4 033 833,54 K_"
M_sto Strakonice,3.2,REVITALIZACE STRAKONICK÷HO HRADU,2008/2010,"11 744 142,00",Bude dopln_no po ukon_en√ projektu
M_sto Suàice,2.2,Suàice - Revitalizace hern√ch ploch,2008/2009,"5 450 878,00","5 372 843,99 K_"
M_sto Suàice,3.1,Otavsk_ cyklistick_ stezka Suàice -putov_n√ krajem Karla Klostermanna,2008/2010,"30 246 732,00",Bude dopln_no po ukon_en√ projektu
M_STO T∞BOR,1.2,V_stavba a obnova autobusov_ch zast_vek v T_bo_e - Zavadilsk_,2008/2009,"888 606,99",Bude dopln_no po ukon_en√ projektu
M_STO T∞BOR,1.2,V_stavba a obnova autobusov_ch zast_vek v T_bo_e - _ekanice Silo,2008/2009,"1 409 216,00",Bude dopln_no po ukon_en√ projektu
M_STO T∞BOR,3.2,Park u Popraviàt_ - 5. a 6. etapa,2008/2009,"13 033 838,99",Bude dopln_no po ukon_en√ projektu
M_STO T∞BOR,3.2,Odpo_inkov_ zÄna Jord_n I. etapa,2008/2009,"22 267 085,37",Bude dopln_no po ukon_en√ projektu
M_STO T∞BOR,3.3,Marketingov_ strategie cestovn√ho ruchu a kultury,2008/2009,"888 000,00",Bude dopln_no po ukon_en√ projektu
M_STO T∞BOR,3.3,Multimedi_ln√ DVD Encyklopedie husitsv√,2008/2010,"1 526 250,00",Bude dopln_no po ukon_en√ projektu
M_sto Tachov,1.2,V_stavba z_chytnªho parkoviàt_ pro p_estup na ve_ejnou dopravu v Tachov_,2008/2010,"9 250 000,00",Bude dopln_no po ukon_en√ projektu
M_sto Tachov,2.2,"Sanace a revitalizace are_lu ""RYBENA"" v centru m_sta Tachov",2008/2010,"23 059 259,01",Bude dopln_no po ukon_en√ projektu
M_sto Touàkov,2.4,Rekonstrukce a modernizace ZS M_sto Touàkov,2008/2010,"30 959 369,96","30 664 099,48 K_"
M_sto TRHOV÷ SVINY,1.5,Stavebn√ _pravy horn√ __sti »i_kova n_m_st√ v Trhov_ch Svinech,2008/2009,"5 073 414,00","5 040 676,48 K_"
M_sto T_ebo_,2.2,Sanace a revitalizace are_lu b_val_ch kas_ren v T_eboni pro pot_eby ve_ejnª spr_vy,2008/2009,"55 500 000,00","54 906 444,19 K_"
MESTOTYNNAD VLTAVOU,2.2,Rekonstrukce Sokolovny v T_n_ nad Vltavou,2008/2009,"51 002 500,15",Bude dopln_no po ukon_en√ projektu
M_STO VIMPERK,2.5,Modernizace Mate_eskª àkoly Klostermannova,2008/2010,"5 244 662,01",Bude dopln_no po ukon_en√ projektu
M_sto Vod_any,2.2,Rozà√_en√ sportoviàt_ v√ce__elovª haly,2008/2008,"1 480 552,01","1 480 552,01 K_"
M_sto Vod_any,3.2,Oprava m_stsk_ch hradeb ve Vod_anech,2008/2009,"4 745 732,21",Bude dopln_no po ukon_en√ projektu
M_sto Zbiroh,1.5,Zbiroh Vl_√ j_ma.dopravn√ infrastruktura,2008/2009,"10 223 318,30","10 145 991,81 K_"
M_stsk_ n_rodn√ v_bor,3.2,Revitalizace z_mku v Borovanech pro podporu cestovn√ho ruchu,2008/2010,"24 523 372,45",Bude dopln_no po ukon_en√ projektu
M_stys _estice,3.2,Regenerace p_√stupovªho schodiàt_ k region_ln√mu muzeu _estice,2008/2009,"1 070 367,00","1 065 242,50 K_"
M_stys Doln√ Bukovsko,1.5,Rekonstrukce m√stn√ch komunikac√ v Doln√m Bukovsku,2008/2008,"17 927 469,00","16 529 690,37 K_"
M_stys Frymburk,2.3,Frymburk - stavebn√ _pravy a p_√stavba domu _. p. 5,2008/2010,"11 834 672,93",Bude dopln_no po ukon_en√ projektu
M_stys Zinkov_,1.5,Rekonstrukce m√stn√ch komunikac√ v katastrech obc√ B_ez√ a Koko_ov,2008/2008,"4 585 721,01","2 905 488,72 K_"
M_stys Zinkov_,2.3,Vybudov_n√ t_√ are_l_ tr_ven√ volnªho _asu - pos√len√ ob_anskª vybavenosti m_styse Zinkov_,2008/2009,"7 618 316,00","6 670 292,36 K_"
M√stn√ ak_n√ skupina Hlubocko - Liàovsko o.p.s.,3.3,Podpora cestovn√ho ruchu na Hlubocko - Liàovsku,2008/2010,"4 035 216,00",Bude dopln_no po ukon_en√ projektu
Muzeum Jind_ichohradeck_,3.2,Rekonstrukce kostela sv. Jana K_titele a kl_àtera minoritu v Jind_ichov_ Hradci - V. etapa,2008/2009,"5 550 000,00",Bude dopln_no po ukon_en√ projektu
"Nemocnice T_bor, a.s.",2.6,P_√stavba pavilonu akutn√ medic√ny a porodnice,2008/2009,"67 339 930,10","67 339 930,10 K_"
Obec ADAMOV,1.5,"Z_kladn√ komunika_n√ systªm Rudolfov - Adamov-H_ry, _sek I",2008/2010,"15 485 278,00","15 483 354,94 K_"
