N∞ZEV P_íJEMC_,OBLAST PODPORY ROPJZ,N∞ZEV OPERACE,ROK ALOKACE/ ROK FIN∞LNí PLATBY,ALOKOVAN∞ _∞STKA,CELKOV∞ _∞STKA VYPLACEN∞ PO SKON_ENí PROJEKTU
Obec Tlu_n_,1.2,V_stavba parkovac√ch ploch pro p_estup na ve_ejnou dopravu v Tlu_nª v n_vaznosti na IDS Plzn_,2008/2009,"6 971 025,00",Bude dopln_no po ukon_en√ projektu
OBEC VâEMYSLICE,2.3,Vybudov_n√ infrastruktury pro voln_ _as v Bohunic√ch,2008/2009,"7 826 302,00","7 826 302,00 K_"
Obec Zru_-Senec,1.5,Komplexn√ rekonstrukce m√stn√ch komunikac√ v obci Zru_ - Senec -II. etapa,2008/2009,"13 502 805,53","13 498 081,45 K_"
OFTA s.r.o.,2.6,Centrum modern√ diagnostiky a ambulantn√ chirurgie oka,2008/2009,"4 547 100,00","4 547 100,00 K_"
Petr Oukropec,3.1,Dv_r T_chonice - m√sto pro aktivn√ turistiku,2008/2010,"2 945 255,49",0 K_ Projekt nebyl proplacen. S p_√jemcem podeps_na Dohoda o ukon_en√ smlouvy.
Plze_sk_ kraj,3.3,Zkvalitn_n√ turistickªho port_lu Plze_skªho kraje,2008/2010,"4 062 000,00",0 K_ Projekt nebyl proplacen. S p_√jemcem podeps_na Dohoda o ukon_en√ smlouvy.
POLPRODUCTION s.r.o.,3.1,D_m poh_dek,2008/2011,"25 732 000,00",Bude dopln_no po ukon_en√ projektu
"Production Brothers, s.r.o.",3.1,Novostavba Hotelu Ann√n,2008/2010,"32 320 261,00",Bude dopln_no po ukon_en√ projektu
Region_ln√ muzeum v _eskªm Krumlov_,3.2,Rekonstrukce budovy Region_ln√ho muzea v _eskªm Krumlov_,2008/2011,"14 000 000,00",Bude dopln_no po ukon_en√ projektu
Region_ln√ technickª muzeum o.p.s.,3.2,Techmania science center -Restaurov_n√ region_ln√ch pr_myslov_ch expon_t_,2008/2010,"9 332 984,16",Bude dopln_no po ukon_en√ projektu
Region_ln√ technickª muzeum o.p.s.,3.3,Medi_ln√ podpora Techmania science center,2008/2009,"5 212 757,25",Bude dopln_no po ukon_en√ projektu
"Rokycansk_ nemocnice, a.s.",2.6,"N_kup a modernizace vybaven√ zdravotnickªho za_√zen√ Rokycanskª nemocnice, a.s.",2008/2010,"19 999 137,00",Bude dopln_no po ukon_en√ projektu
_√mskokatolick_ farnost Plasy,3.2,Sv. Jakub v »ebnici,2008/2010,"3 717 404,73",Bude dopln_no po ukon_en√ projektu
Sarus a.s.,2.6,"Rekonstrukce, p_√stavba a n_stavba Polikliniky Vltava v _esk_ch Bud_jovic√ch",2008/2010,"25 704 223,00",0 K_ Projekt nebyl proplacen. S p_√jemcem nebyla podeps_na smlouva
Sdru_en√ pro obnovu rozhledny na Sedle,3.1,Obnova rozhledny na Sedle,2008/2009,"5 591 274,24",Bude dopln_no po ukon_en√ projektu
Selan s.r.o.,3.1,Penzion H_jovna Brann_ -P_√stavba a stavebn√ _pravy budovy _.p. 58 - vybudov_n√ àkolic√ch kapacit,2008/2009,"1 574 960,00",Bude dopln_no po ukon_en√ projektu
Snowhill a.s.,3.1,Optimalizace zasn__ovac√ho systªmu Skiarealu Kaàperskª Hory,2008/2009,"1 288 000,00",Bude dopln_no po ukon_en√ projektu
Spr_va a _dr_ba silnic Klatovy,1.1,"IM/0228 P_elo_ka Klatovy, Pod Borem - Tajanov (severoz_padn√ obchvat Klatovy)",2008/2011,"216 764 820,00",0 K_ Projekt nebyl proplacen. S p_√jemcem nebyla podeps_na smlouva.
Spr_va a _dr_ba silnic Kr_lovice,1.1,Obchvat Vàerub,2008/2011,"155 258 922,00",Projekt nebyl proplacen. S p_√jemcem nebyla podeps_na smlouva.
Statut_rn√ m_sto _eskª Bud_jovice,1.5,_eskª Bud_jovice - rekonstrukce infrastruktury - Kn__skodvorsk_ ulice,2008/2010,"13 855 027,00",Bude dopln_no po ukon_en√ projektu
Statut_rn√ m_sto _eskª Bud_jovice,1.5,Lannova t_√da - 3. etapa (ât√tnªho -N_dra_n√),2008/2010,"30 000 000,01",Bude dopln_no po ukon_en√ projektu
Statut_rn√ m_sto _eskª Bud_jovice,2.5,"Rekonstrukce, modernizace a vybaven√ objektu Centrum soci_ln√ch slu_eb Starom_stsk_",2008/2012,"40 269 782,50",Bude dopln_no po ukon_en√ projektu
Statut_rn√ m_sto _eskª Bud_jovice,3.3,_eskª Bud_jovice - m_sto sportu,2008/2010,"4 716 575,00",Bude dopln_no po ukon_en√ projektu
statut_rn√ m_sto Plze_,2.4,Rozà√_en√ a modernizace 2. ZS v Plzni - p_dn√ vestavba,2008/2010,"33 170 500,00",Bude dopln_no po ukon_en√ projektu
statut_rn√ m_sto Plze_,2.4,Rozà√_en√ a modernizace 25. ZS v Plzni - n_stavba,2008/2011,"65 000 000,00",Bude dopln_no po ukon_en√ projektu
STAVINVEST T_bor s.r.o.,3.1,Rekonstrukce hotelu MAS***,2008/2009,"5 360 000,00","5 180 969,93 K_"
STINGOs.r.o.,3.3,Hotel P_edn√ ml_n - informa_n√ systªm a propagace komplexn√ nab√dky cestovn√ho ruchu Jiho_esk. kraje,2008/2010,"2 574 678,20",Bude dopln_no po ukon_en√ projektu
STOMAMED s.r.o.,2.6,Vybudov_n√ stomatologickªho centra v T_bo_e,2008/2010,"8 852 244,00",Bude dopln_no po ukon_en√ projektu
"St_edn√ odborn_ àkola veterin_rn√, mechaniza_n√ a zahradnick_ a Jazykov_ àkola s pr_vem st_tn√ jazykovª zkouàky, _eskª Bud_jovice, Rudolfovsk_ 92",2.4,Modernizace a zkvalitn_n√ odborn_ch p_edm_t_ -mechanizace a slu_by,2008/2010,"16 775 525,00",Bude dopln_no po ukon_en√ projektu
"St_edn√ odbornª u_iliàt_ ryb__skª, T_ebo_, T_boritsk_ 941",2.4,Modernizace a zlepàen√ technick_ch a materi_ln√ch podm√nek pro praktickou v_uku v SOU ryb__skªm,2008/2009,"4 199 261,00","3 735 322,43 K_"
"âkola v p_√rod_ Skl_rna, s.r.o.",3.1,Hotel Skl_rna,2008/2012,"4 471 600,00",Bude dopln_no po ukon_en√ projektu
TEXPO-CZs.r.o.,3.1,Rozvoj cestovn√ho ruchu ve m_st_ Da_ice - n_stavba pro n_jemn_ apartm_,2008/2009,"2 436 185,27",0 K_ Projekt nebyl proplacen. S p_√jemcem nebyla podeps_na smlouva.
Vlastiv_dnª muzeum Dr. Hostaàe v Klatovech,3.2,Expozice lidovª architektury v Chanovic√ch - _prava ve_ejnªho prostranstv√ a jeho odvodn_n√,2008/2010,"815 786,61",Bude dopln_no po ukon_en√ projektu
Vlastiv_dnª muzeum Dr. Hostaàe v Klatovech,3.2,Expozice lidovª architektury v Chanovic√ch - transfer a rekonstrukce roubenª obytnª chalupy T_àetiny,2008/2010,"1 000 000,00",Bude dopln_no po ukon_en√ projektu
"VT Development, s.r.o.",3.1,Penzion Kvilda,2008/2010,"10 626 917,00",Bude dopln_no po ukon_en√ projektu
"Z∞KLADNí âKOLA MARTINA LUTHERA, s.r.o.",2.4,Rozà√_en√ a rozvoj Z_kladn√ àkoly Martina Luthera v Plzni,2008/2010,"25 218 568,20",Bude dopln_no po ukon_en√ projektu
Z_kladn√ àkola Volary,2.4,Modernizace Z_kladn√ àkoly Volary,2008/2009,"6 879 459,00","6 256 596,46 K_"
Zden_k Kutil,3.2,Rekonstrukce hotelu Zlat_ hv_zda ve Vimperku,2008/2010,"12 752 263,58",Bude dopln_no po ukon_en√ projektu
"Zdravotnick_ z_chrann_ slu_ba Plze_skªho kraje, p_√sp_vkov_ organizace",2.6,Modern√ ZZS,2008/2009,"14 978 582,00","13 424 112,70 K_"
_eskª sdru_en√ C√rkve adventist_ sedmªho dne,2.1,Kulturn√ volno_asovª a k_es_anskª centrum Plze_ - Skvr_any,2009/2010,"15 839 758,00",Bude dopln_no po ukon_en√ projektu
Statut_rn√ m_sto Plze_,2.1,"Trolejbusov_ tra_ Borsk_ pole, _sek N_mejcova - Panasonic",2009/2010,"120 187 630,95",Bude dopln_no po ukon_en√ projektu
Statut_rn√ m_sto _eskª Bud_jovice,2.1,"Rekonstrukce ve_ejn_ch prostranstv√ a ploch komunikac√ v oblasti (28. _√jna, K. Weisse, Skuherskªho, Kosteln√, Baarova, Nerudova)",2009/2011,"73 159 982,00",Bude dopln_no po ukon_en√ projektu
Statut_rn√ m_sto _eskª Bud_jovice,2.1,Rekonstrukce letn√ plov_rny,2009/2010,"57 142 826,00",Bude dopln_no po ukon_en√ projektu
Statut_rn√ m_sto _eskª Bud_jovice,2.1,Person_ln√ a technickª zajiàt_n√ managementu IPRM,2009/2011,"3 459 292,00",Bude dopln_no po ukon_en√ projektu
Statut_rn√ m_sto _eskª Bud_jovice,2.1,"_√zen√, monitorov_n√, hodnocen√ a publicita IPRM",2009/2011,"4 157 594,00",Bude dopln_no po ukon_en√ projektu
"""Arpida, centrum pro rehabilitaci osob se zdravotn√m posti_en√m, o.s.""",2.5,Terapeutickª h_iàt_ pro d_ti se zdravotn√m posti_en√m,2009/2010,"866 622,00",Bude dopln_no po ukon_en√ projektu
"""Hlubok_ baseball & softball clubo.s.:",3.3,Vybudov_n√ webovªho a informa_n√ho systªmu CR pro sportovn_ rekrea_n√ are_l Hlubok_ nad Vltavou,2009/2011,"1 782 013,34",Bude dopln_no po ukon_en√ projektu
ABC Trepka.s.r.o.,3.1 A,Penzion U kostela v Kun_aku,2009/2010,"6 249 038,00",Bude dopln_no po ukon_en√ projektu
Agentura T_ebo_sko o.p.s.,3.3,Spole_n_ propagace T_ebo_ska,2009/2010,"859 690,00",Bude dopln_no po ukon_en√ projektu
ALBATROS Prachatice s.r.o.,3.1 A,Hotel s volno_asov_mi aktivitami,2009/2011,"19 018 182,00",Bude dopln_no po ukon_en√ projektu
"Ark_da - soci_ln_ psychologickª centrum, o.s.",2.5,Rekonstrukce prostor pro slu_by soci_ln√ integrace,2009/2010,"5 910 919,00",Bude dopln_no po ukon_en√ projektu
ARKO Clinical Research Organisation spol. s r.o.,3.1 A,Rodinn_ penzion TEDDY,2009/2012,"8 897 365,26",Bude dopln_no po ukon_en√ projektu
Blanko projekt s.r.o.,3.1 A,ZKVALITN_NI A ROZâí_ENI SLU»EB - VILA A APARTM∞NY BLANKO,2009/2010,"3 058 042,73",Bude dopln_no po ukon_en√ projektu
"Bohemia JazzFest, o.p.s.",3.3,Mezin_rodn√ hudebn√ festival Bohemia JazzFest 2009,2009/2010,"5 650 650,00",Bude dopln_no po ukon_en√ projektu Ve VRR schv_len jako n_hradn√ projekt
"CB ELECTRIC s. r. o., zkr_cen_ CBE",3.1 A,ubytovac√ za_√zen√ PRO rekrea_n√ a kongresovou turistiku _eskª bud_jovice - I. ETAPA,2009/2012,"8 500 139,39",Bude dopln_no po ukon_en√ projektu
C√rkevn√ gymn_zium Plze_,2.4,S nov_mi laborato_emi k modern√mu vzd_l_v_n√,2009/2012,"6 929 550,00",Bude dopln_no po ukon_en√ projektu
"C√rkevn√ mate_sk_ àkola _eskª Bud_jovice, Lipensk_ 3",2.5,"Modernizace C√rkevn√ mate_skª àkoly, Lipensk_",2009/2010,"2 364 566,00",Bude dopln_no po ukon_en√ projektu
"Coating CZ, s.r.o.",3.1 A,Modernizace a rozà√_en√ vyu_itelnosti kulturn√ho domu Cihelna ve Vimperku,2009/2010,"3 753 574,08",Bude dopln_no po ukon_en√ projektu
CONDUCO a.s.,3.1 A,JUNIORCENTRUM SLUPE_N∞,2009/2011,"50 000 000,00",Bude dopln_no po ukon_en√ projektu
"_ESKOKRUMLOVSKı ROZVOJOVı FOND, spol. s r.o.",3.2,Revitalizace objekt_ Synagogy a Ateliªru E.Schieleho v _.Krumlov_ _ Kulturn_ hist. centrum lll.meand,2009/2012,"22 292 984,70",Bude dopln_no po ukon_en√ projektu
_SAD AUTOBUSY _eskª Bud_jovice a.s.,1.2,Rekonstrukce autobusov_ch n_dra_√ ve Vimperku a P√sku,2009/2010,"4 302 336,08",Bude dopln_no po ukon_en√ projektu
_SAD autobusy Plze_ a.s.,1.2,Rekonstrukce CAN Plze_,2009/2011,"2 518 859,16",Bude dopln_no po ukon_en√ projektu
"D_tsk_ domov, Mate_sk_ àkola, Z_kladn√ àkola, Praktick_ àkola, âkoln√ j√delna, âkoln√ dru_ina, âkoln√ klub a P_√pravn_ stupe_ z_kladn√ àkoly speci_ln√, P√sek, âobrova 111",2.5,Zlepàen√ kvality za_√zen√ a soc. slu_eb p_√stavbou v_tahu v_etn_ bezbariªrovªho soc. za_√zen√,2009/2010,"4 683 500,00",Bude dopln_no po ukon_en√ projektu
Diecªzn√ Charita Plze_,2.5,Centrum soci_ln√ rehabilitace Sv. Vav_ince a soci_ln_ terapeutickª d√lny sv. Josefa,2009/2011,"18640 111,00",Bude dopln_no po ukon_en√ projektu
"Doma_lick_ nemocnice, a.s.",2.6,Modernizace zdravotnickª p_√strojovª techniky v_etn_ digitalizace,2009/2010,"21 569 160,00",Bude dopln_no po ukon_en√ projektu
DOPRAVA Z∞RUBAM& K s.r.o.,1.2,Stavebn√ _pravy a modernizace autobusovªho n_dra_√ Vod_any,2009/2011,"3 294 000,00",Bude dopln_no po ukon_en√ projektu Ve VRR schv_len jako n_hradn√ projekt
"ESSA, spol. s r.o.",3.1 A,ESSA-HIPPO Farma Holkov,2009/2011,"3 903 436,00",Bude dopln_no po ukon_en√ projektu
FITTcz s.r.o.,3.1 A,"Stavebn√ _pravy, p_√stavba objektu-Penzion v Chotovin_ch",2009/2011,"18 981 377,00",Bude dopln_no po ukon_en√ projektu
FOND OHRO»ENıCH D_Tí,2.5,Rekonstrukce azylovªho domu FOD Klok_nek v Jind_ichov_ Hradci,2009/2011,"19 838 680,00",Bude dopln_no po ukon_en√ projektu
Hoda - nemovitosti a stavby s.r.o.,3.1 A,Penzion Dominik,2009/2012,"16 691 848,00",Bude dopln_no po ukon_en√ projektu
Hospic sv. Jana N. Neumanna,2.5,Domov Matky Vojt_chy,2009/2011,"34 693 679,00",Bude dopln_no po ukon_en√ projektu
CHENEN a.s.,3.1 A,Rekrea_n√ are_l ORSINO,2009/2011,"25 062 422,00",Bude dopln_no po ukon_en√ projektu
INEKO BM spol. s r.o.,3.1 A,Sportovn_ ubytovac√ komplex Jir_skovo n_b_e_√ _eskª Bud_jovice,2009/2011,"33 021 084,00",Bude dopln_no po ukon_en√ projektu
Ing. Vladim√r Bo_ek,3.1 A,Hotel Na V_ze,2009/2012,"31 816 919,95",Bude dopln_no po ukon_en√ projektu
Ivan Fousek - pr_ce HSV aPSV,3.1 A,Zlepàen√ infrastruktury a kvality slu_eb rekrea_n√ho are_lu Dr_chov,2009/2011,"12 002 666,00",Bude dopln_no po ukon_en√ projektu
Jan Boh__,3.2,Rekonstrukce historickªho objektu s c√lem rozà√_en√ ubytovac√ch kapacit hotelu Bes√dka,2009/2010,"3 348 963,00",Bude dopln_no po ukon_en√ projektu
Jan Pokorn_,3.3,Virtu_ln√ br_na do ji_n√ch _ech,2009/2010,"1 487 150,00",Bude dopln_no po ukon_en√ projektu
Jana âulkov_,3.1 A,H_jenka hrab_te Buqouye - vstupn√ br_na do Novohradsk_ch hor,2009/2011,"7 350 985,60",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ centr_la cestovn√ho ruchu,3.3,Podpora dom_c√ho cestovn√ho ruchu,2009/2012,"13 556 303,00",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ kraj,1.1,Program modernizace komunikac√ II. a III. t_√dy (P3),2009/2010,"354 357 850,40",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ kraj,1.1,"P_elo_ka silnic M/156 a 11/157 v C. Bud_jovic√ch -1. etapa, __st 1.1 a 1.2",2009/2011,"195 594 487,50",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ kraj,1.2,IDS Ji_n√ _echy a Jiho_esk_ karta -Vybudov_n√ kartovªho centra (technickª vybaven√),2009/2012,"4 625 000,00",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ kraj,3.3,Tvorba tiskov_ch materi_l_ v_. el. verz√ pro propagaci Jiho_eskªho kraje v _R i zahrani_√ - 2.__st,2009/2011,"9 247 739,00",Bude dopln_no po ukon_en√ projektu
Ji_√ Brautferger,3.1 A,V_stavba ubytovac√ho za_√zen√ pro agroturistiku - Kl_àterec,2009/2012,"4 736 217,46",Bude dopln_no po ukon_en√ projektu
Josef B_loch,3.1 A,Rozvoj are_lu ubytovac√ho za_√zen√ v Petrovic√ch u Suàice,2009/2010,"3 092 880,00",Bude dopln_no po ukon_en√ projektu
Kamila _echov_,3.1 A,V_stavba a certifikace ubytovac√ho za_√zen√ se zam__en√m na cykloturistiku a kongresovou turistiku,2009/2011,"4 784 284,95",Bude dopln_no po ukon_en√ projektu
Klatovskª katakomby,3.2,Klatovskª katakomby 2010,2009/2010,"19 951 563,00",Bude dopln_no po ukon_en√ projektu
Klika J. s.r.o.,3.1 A,Rozà√_en√ ubytovac√ch kapacit hotelu Klika,2009/2010,"8 591 666,00",Bude dopln_no po ukon_en√ projektu
KOVANDOVI s.r.o.,3.2,Vybudov_n√ Muzea _okol_dy a marcip_nu v T_bo_e,2009/2011,"30 191 415,12",Bude dopln_no po ukon_en√ projektu
Kr_lovsk_ kanonie premonstr_t_ na Strahov_,3.2,Z_√zen√ novªho s√dla Milevskªho muzea (rekonstrukce domu _.p. 557 v milevskªm kl_àte_e),2009/2011,"21 394 733,76",Bude dopln_no po ukon_en√ projektu
LAWN TENNIS CLUB TONSTAV- SERVICE _eskª Bud_jovice,3.1 A,Modernizace Lawn Tennis Clubu a vybudov_n√ odpov√daj√c√ho z_zem√ pro vyu_it√ v cestovn√m ruchu,2009/2010,"5 282 200,00",Bude dopln_no po ukon_en√ projektu
Martin Lyer,3.1 A,Sportovn_ relaxa_n√ centrum Rybn√k,2009/2010,"3 057 298,00",Bude dopln_no po ukon_en√ projektu
M_sto Borovany,1.5,Rekonstrukce Vod_renskª ulice a komunikace Pad_lky v Borovanech,2009/2011,"24 268 599,05",Bude dopln_no po ukon_en√ projektu
M_sto _esk_ Krumlov,1.2,Autobusovª zast_vky ve m_st_ _esk_ Krumlov -1.etapa,2009/2010,"2 678 164,00",Bude dopln_no po ukon_en√ projektu
M_sto _esk_ Krumlov,1.5,Rekonstrukce mostu MUK u kina v _eskªm Krumlov_,2009/2010,"13 207 500,08",Bude dopln_no po ukon_en√ projektu
M_sto Hlubok_ nad Vltavou,3.1 B,Cyklistick_ stezka Hlubok_ nad Vltavou - Pon_àice _sek II a III,2009/2010,"10 974 310,65",Bude dopln_no po ukon_en√ projektu
M_sto Hora__ovice,1.5,Stavebn√ _pravy m√stn√ komunikace Okru_n√ II v Hora__ovic√ch,2009/2011,"10 333 713,49",Bude dopln_no po ukon_en√ projektu
M_sto Horn√ B_√za,1.5,Obytn_ zÄna V J_m_,2009/2010,"13 852 176,55",Bude dopln_no po ukon_en√ projektu
M_sto Horn√ Plan_,3.3,Horn√ Plan_ - m√sto Vaà√ celoro_n√ dovolenª,2009/2010,"462 500,00",Bude dopln_no po ukon_en√ projektu
M_sto Jind_ich_v Hradec,1.5,Most p_es _eku Ne__rku v m√stn√ __sti Horn√ »__r,2009/2011,"10 335 795,05",Bude dopln_no po ukon_en√ projektu
M_sto Jind_ich_v Hradec,3.1 B,Cyklostezka Jind_ich_v Hradec -Doln√ Skr_chov,2009/2010,"5 184 634,25",Bude dopln_no po ukon_en√ projektu
M_sto Kaplice,1.5,Rekonstrukce Pob_e_n√ ulice,2009/2010,"15 913 414,00",Bude dopln_no po ukon_en√ projektu
M_sto Kaplice,1.5,Rekonstrukce komunikace _eskobud_jovick_ v Kaplici,2009/2010,"5 695 884,52",Bude dopln_no po ukon_en√ projektu
M_sto Kaplice,2.5,Modernizace mate_sk_ch àkol v Kaplici,2009/2010,"5 936 872,00",Bude dopln_no po ukon_en√ projektu
M_sto Kaplice,3.2,Revitalizace b_valªho pivovaru B_lidlo na multifunk_n√ komplex,2009/2011,"16 930 316,00",Bude dopln_no po ukon_en√ projektu
M_sto Kazn_jov,1.5,Rekonstrukce komunikace Ke âk_le v Kazn_jov_,2009/2010,"19 039 240,00",Bude dopln_no po ukon_en√ projektu
M_sto Klatovy,3.1 B,"V_stavba cyklostezky Pod Borem, Klatovy",2009/2010,"2 248 343,00",Bude dopln_no po ukon_en√ projektu
M_sto Liàov,1.5,Celkov_ rekonstrukce m√stn√ komunikace P_√vorka,2009/2011,"4 580 661,00",Bude dopln_no po ukon_en√ projektu
M_sto Milevsko,1.5,M√stn√ komunikace Pod Zv√kovcem,2009/2010,"11 573 054,25",Bude dopln_no po ukon_en√ projektu
M_sto Mirotice,2.4,Modernizace objektu z_kladn√ àkoly v Mirotic√ch,2009/2011,"9 717 306,30",Bude dopln_no po ukon_en√ projektu
M_sto NOV÷ HRADY,1.5,NOV÷ HRADY- VıSTAVBA A MODERNIZACE MíSTNíCH KOMUNIKACí,2009/2010,"10 448 738,95",Bude dopln_no po ukon_en√ projektu
M_sto NOV÷ HRADY,3.3,Novª Hrady-v√tejte u n_s,2009/2011,"2 781 475,00",Bude dopln_no po ukon_en√ projektu
M_sto P√sek,2.5,Rekonstrukce a modernizace objektu Pe_ovatelskª slu_by a jesl√ m_sta P√sku,2009/2011,"33 053 400,55",Bude dopln_no po ukon_en√ projektu
M_sto P√sek,3.2,P√sek - zp_√stupn_n√ v__e d_kanskªho kostela,2009/2009,"2 462 675,00",Bude dopln_no po ukon_en√ projektu
M_sto P√sek,3.3,Navàtivte P√sek,2009/2012,"6 475 000,00",Bude dopln_no po ukon_en√ projektu
M_sto Plan_,2.4,"Zkvalitn_n√ podm√nek v_uky na ZS Plan_, n_m_st√ Svobody",2009/2010,"4 921 266,40",Bude dopln_no po ukon_en√ projektu
M_sto Protiv√n,2.4,Modernizace z_kladn√ àkoly v Protiv√ne,2009/2010,"9 802 202,00",Bude dopln_no po ukon_en√ projektu
M_sto Radnice,2.5,"N_stavba, p_√stavba a stavebn√ _pravy Mate_skª àkoly Radnice",2009/2011,"12 420 268,22",Bude dopln_no po ukon_en√ projektu
M_sto Rokycany,1.5,Rekonstrukce m√stn√ komunikace -ulice B. N_mcovª Rokycany,2009/2011,"25 000 000,00",Bude dopln_no po ukon_en√ projektu
M_sto Rokycany,3.3,Podpora cestovn√ho ruchu v Rokycanech - 900. v_ro_√,2009/2011,"1 618 750,00",Bude dopln_no po ukon_en√ projektu
M_STO RUDOLFOV,1.5,Dokon_en√ modernizace komunikac√ zajià_uj√c√ napojen√ obce na nad_azenou komunika_n√ s√_,2009/2010,"7 971 541,00",Bude dopln_no po ukon_en√ projektu
M_STO SEZIMOVO _STí,2.4,Modernizace Z_kladn√ àkoly âkoln√ n_m_st√ 628,2009/2011,"17 451 100,19",Bude dopln_no po ukon_en√ projektu
M_STO SOB_SLAV,3.1 A,Rekrea_n√ a relaxa_n√ are_l v Sob_slavi,2009/2010,"23 191 385,83",Bude dopln_no po ukon_en√ projektu
M_sto Strakonice,1.5,Komunika_n√ napojen√ pr_myslovª zÄny U Blatenskªho mostu ve Strakonic√ch,2009/2011,"15 535 097,00",Bude dopln_no po ukon_en√ projektu
M_sto Strakonice,2.4,"MODERNIZACE ZS F.L._ELAKOVSK÷HO, STRAKONICE",2009/2011,"20 905 000,00",Bude dopln_no po ukon_en√ projektu
M_sto Strakonice,2.5,N√zkoprahovª centrum pro d_ti a ml_de_ Strakonice,2009/2011,"28 830 460,00",Bude dopln_no po ukon_en√ projektu
M_sto St_√bro,1.5,V_stavba m√stn√ komunikace ve St_√b_e (Propojen√ ul. Sob_slavova a ul. Nerudova),2009/2011,"8 151 985,00",Bude dopln_no po ukon_en√ projektu
M_sto Suàice,3.1 C,Suàick_ pavu_ina,2009/2010,"5 016 669,38",Bude dopln_no po ukon_en√ projektu
M_sto Tachov,1.5,V_stavba m√stn√ komunikace pro zlepàen√ dostupnosti sportovn_ rekrea_n√ho are_lu Tachov -v_chod,2009/2011,"15 378 962,00",Bude dopln_no po ukon_en√ projektu
M_sto Tachov,2.6,Poliklinika Tachov - n_kup mamografu,2009/2010,"9 571 067,50",Bude dopln_no po ukon_en√ projektu
M_sto T_ebo_,3.1 B,"Stezka pro p_à√ a cyklisty T_ebo_, Jir_skova ulice",2009/2010,"6 133 323,89",Bude dopln_no po ukon_en√ projektu
M_sto T_ebo_,3.2,Revitalizace are_lu Beseda v T_eboni pro pot_eby rozvoje cestovn√ho ruchu,2009/2010,"31 580 030,88",Bude dopln_no po ukon_en√ projektu
M_sto Veleà√n,3.2,Stavebn√ _pravy a novª vyu_it√ b_valªho kostela sv. Filipa a Jakuba ve Veleà√n_,2009/2010,"25 496 202,34",Bude dopln_no po ukon_en√ projektu
M_STO VESELí NAD LU»NICí,2.5,Rekonstrukce a modernizace za_√zen√ p_edàkoln√ pª_e o d_ti m_sta Vesel√ nad Lu_nic√-Mâ Blatskª s√dl.,2009/2012,"15 785 738,27",Bude dopln_no po ukon_en√ projektu
M_sto Vlachovo B_ez√,1.5,I.etapa-rekonstrukce m√stn√ch komunikac√-revitalizace S√dliàt_ ve Vlachov_ B_ez√,2009/2010,"18 798 613,00",Bude dopln_no po ukon_en√ projektu
M_sto Vod_any,3.1 B,Cyklistick_ stezka Po Trub_ch,2009/2010,"4 449 629,21",Bude dopln_no po ukon_en√ projektu
M_sto ZLIV,1.5,Rekonstrukce m√stn√ komunikace Zliv - Zah_j√,2009/2010,"3 767 302,00",Bude dopln_no po ukon_en√ projektu
Michal Ko_an-MIKO,3.3,Gastronomickª p_ehl√dky: Prachatice,2009/2010,"650 842,92",Bude dopln_no po ukon_en√ projektu
Mikroregion âumava -z_pad,3.3,Marketingov_ strategie a propagace âumavy,2009/2011,"10 856 522,00",Bude dopln_no po ukon_en√ projektu
Milan Mrk__ek,3.1 A,Rozà√_en√ Sportcentra Mrk__ek pro rozvoj kultury a kongresovª turistiky v Liàov_,2009/2010,"5 352 200,00",Bude dopln_no po ukon_en√ projektu
MK»OFíNs.r.o.,3.1 A,Rozvoj ubytovac√ch a àkolic√ch kapacit a z_zem√ are_lu »of√n,2009/2012,"9 100 000,00",Bude dopln_no po ukon_en√ projektu
MUDr. Mario Nov_k,2.6,Modernizace p_√strojovªho vybaven√ o_n√ ambulance Da_ice,2009/2010,"616 830,00",Bude dopln_no po ukon_en√ projektu
Mula_ova nemocnice s.r.o.,2.6,P_√strojovª vybaven√ Mula_ovy nemocnice,2009/2010,"24 325 157,00",Bude dopln_no po ukon_en√ projektu
Muzeum _eskªho lesa v Tachov_,3.2,Zahrada otev_en_ - Rozà√_en√ a zkvalitn_n√ nab√dky pro cestovn√ ruch v muzeu v Tachov_,2009/2010,"5 735 000,00",Bude dopln_no po ukon_en√ projektu
Muzeum dr. Bohuslava Hor_ka Rokycany,3.2,"St_l_ muzejn√ expozice ""P_√roda pro budoucnost""",2009/2011,"2 978 262,00",Bude dopln_no po ukon_en√ projektu
Nadace Jiho_eskª cyklostezky,3.3,Dovolen_ na kole krajem Ne__rky a Lu_nice,2009/2011,"2 184 918,00",Bude dopln_no po ukon_en√ projektu
Nadace Jiho_eskª cyklostezky,3.3,Cykloport_l Jiho_eskªho kraje,2009/2010,"754 116,00",Bude dopln_no po ukon_en√ projektu
Nadace Tomistoma,3.1 A,Rekonstrukce hospod__skªho staven√ na krokod_l√ zoo,2009/2011,"34 600 934,00",Bude dopln_no po ukon_en√ projektu
"Nemocnice _eskª Bud_jovice, a.s.",2.6,Modernizace vybaven√ Centr_ln√ laborato_e,2009/2011,"53 213 400,00",Bude dopln_no po ukon_en√ projektu
