"Name of beneficiary","ident","Project Title","Operational Programme","EU Fund","Date of allocation","Amounts allocated","Date of interim payment","Total Amounts paid from the start of the Project","Status"
"""Přístav dětství, o.s.""",26996383,"Přístav pro ženy - snadné proplouvání trhem
práce","OP Lidské zdroje a zaměstnanost","ESF","31.07.2009",4464469,02/07/10,2678682,"Ongoing"
"""SAK spol. s r.o.""",14495198,"Příprava zóny pro výstavbu nového výrobního
areálu firmy SAK Vimperk s.r.o.","OP Podnikání a inovace","ERDF",04/05/09,3530900,"24.07.2009",1285825,"Ongoing"
"""SOZE""",44994249,"Systémová podpora pracovního uplatnění cizinců
a azylantů žijících na území Olomouckého kraje","OP Lidské zdroje a zaměstnanost","ESF","30.04.2009",7016247,"26.04.2010",1830266,"Ongoing"
"""STROS-Sedlčanské strojírny a. s.""",26183595,"Inovace stavebních výtahů","OP Podnikání a inovace","ERDF",11/08/08,14025000,"22.10.2008",14025000,"Finalized"
"""STROS-Sedlčanské strojírny, a. s.""",26183595,"Komplexní IS STROS-Sedlčanské strojírny a.s.","OP Podnikání a inovace","ERDF",08/12/08,1812200,,0,"Ongoing"
"""STROS-Sedlčanské strojírny, a.s.""",26183595,"Inovace výroby dílu stožáru stavebních a
osobních výtahů","OP Podnikání a inovace","ERDF",03/08/09,4632500,07/08/09,4632500,"Finalized"
"""STROS-Sedlčanské strojírny, a.s.""",26183595,"Zlepšování tepelně technických vlastností budov","OP Podnikání a inovace","ERDF","24.09.2008",9520000,"17.10.2008",9520000,"Finalized"
"""Salesiánská asociace Dona Boska, o.
s.""",27006131,"Vzdělávání dobrovolníků ke kvalitnější sociální
službě","OP Lidské zdroje a zaměstnanost","ESF","29.06.2009",2220141,"26.03.2010",1086739,"Ongoing"
"""Slévárna hliníku s.r.o.""",46708146,"Nákup technologií ke zvýšení
konkurenceschopnosti společnosti","OP Podnikání a inovace","ERDF","20.04.2010",4674150,,0,"Ongoing"
"""Spolek Přátelé Vrbenska""",26612186,"Tradice-pouta přátelství","OP ČR - Polsko","ERDF","25.06.2009",5165,,0,"Ongoing"
"""Společenství vlastníků jednotek
domu V.Volfa č. 43 ČB""",26056569,"V.Volfa 43 - modernizace výtahu","Integrovaný operační program","ERDF",09/06/10,679854,,0,"Ongoing"
"""Společenství vlastníků jednotek
Školní 697, 698, Karlovy Vary""",70974101,"Stavební úpravy bytového panelového domu
Školní 697, 698","Integrovaný operační program","ERDF",07/05/10,1175105,,0,"Ongoing"
"""Společenství vlastníků jednotek
Školní 699, Karlovy Vary""",70974098,"Stavební úpravy bytového panelového domu
Školní 699/20","Integrovaný operační program","ERDF",07/05/10,706846,,0,"Ongoing"
"""Sportovní akademie, o.s.""",26983788,"Ať to frčí nám i vám!","OP ČR - Polsko","ERDF","19.10.2009",14908,,0,"Ongoing"
"""Svaz zpracovatelského průmyslu""",26569329,"Rozvojem lidských zdrojů zpracovatelského
průmyslu ke zvýšení efektivity a k překonání
ekonomické a finanční krize","OP Lidské zdroje a zaměstnanost","ESF",08/12/09,19039432,06/04/10,7615773,"Ongoing"
"""Svazek vodovodů a kanalizací""
měst a obcí",49468952,"Splašková kanalizační síť a ochrana vod
Žďárského potoka","OP Životní prostředí","CF","16.06.2010",34748598,"27.07.2010",6368106,"Ongoing"
"""TIPA, spol. s r.o.""",42864208,"Komplexní projekt vzdělávání zaměstnanců  firmy
""TIPA, spol. s r.o.""","OP Lidské zdroje a zaměstnanost","ESF","15.02.2010",2486263,"26.03.2010",497253,"Ongoing"
"""TRINITAS"" občanské sdružení",26584328,"Prohlubující vzdělávání v oblasti zavádění
standardů kvality a zvyšování kvality služeb","OP Lidské zdroje a zaměstnanost","ESF","26.05.2009",1852060,12/04/10,875650,"Ongoing"
"""TŠ BONIFÁC"" o.s.",26638347,"Jak děti dělají muzikál","OP ČR - Polsko","ERDF","22.04.2009",18700,,0,"Cancelled"
"""Zlatý vrch""",71210024,"Integrovaný systém nakládání s biologicky
rozložitelnými odpady v regionu DSO Zlatý Vrch","OP Životní prostředí","CF","23.06.2010",2686371,,0,"Ongoing"
"""Zlatý vrch""",71210024,"ROK NA ZLATÉM VRCHU","ROP NUTS II Jihozápad","ERDF",05/09/08,3269213,"26.05.2010",3243460,"Finalized"
"""Základní škola Velké Bílovice,okres
Břeclav,příspěvková organizace""",70933219,"LEGO ve výuce informatiky a fyziky","OP Vzdělávání pro
konkurenceschopnost","ESF","18.02.2010",4960600,02/03/10,1240150,"Ongoing"
"""o.s. Inventura""",27012808,"Developmental: mediální gramotnost a veřejná
komunikace lidí s mentálním hendikepem a
poskytovatelů sociálních služeb","OP Lidské zdroje a zaměstnanost","ESF","29.05.2009",4553973,"23.10.2009",1821589,"Ongoing"
"""o.s. Inventura""",27012808,"NETRADIČNĚ - Zaměstnávání lidí s mentálním
hendikepem v oblastech event managementu,
produkce a marketingu","OP Praha Adaptabilita","ESF",05/03/10,2290665,02/07/10,1531247,"Ongoing"
"""Československá obec legionářská
o.s.""",45247455,"Podpora veteránů při návratu do práce po
ukončení mise","OP Lidské zdroje a zaměstnanost","ESF","27.01.2010",4516391,"20.05.2010",1806556,"Ongoing"
"""Česká technologická platforma
STROJÍRENSTVÍ, o.s.""",22689982,"Rozvoj Technologické platformy Strojírenství","OP Podnikání a inovace","ERDF","29.06.2009",4250000,04/06/10,1041403,"Ongoing"
"""Člověk hledá člověka, o.s.""",68381280,"Využití zkušeností z Velké Británie při rozvoji
vzdělávání v oblasti náhradní rodinné péče a
práce s ohroženou rodinou","OP Lidské zdroje a zaměstnanost","ESF","29.05.2009",4234300,"18.12.2009",1693720,"Ongoing"
"""Člověk hledá člověka, o.s.""",68381280,"Vzdělávací program pro pracovníky školských
zařízení ve Středočeském kraji","OP Vzdělávání pro
konkurenceschopnost","ESF","15.01.2010",2050293,,0,"Ongoing"
".A.S.A. EKO Znojmo, s.r.o.",63472341,"Vzděláváním k efektivitě ve společnosti .A.S.A.
EKO Znojmo, s.r.o.","OP Lidské zdroje a zaměstnanost","ESF","15.01.2010",5048174,"13.05.2010",2019270,"Ongoing"
".A.S.A. České Budějovice, s.r.o.",25171941,"Realizace vzdělávacích aktivit pro zaměstnance
.A.S.A. České Budějovice, s.r.o.","OP Lidské zdroje a zaměstnanost","ESF","29.01.2010",5659273,11/06/10,2263709,"Ongoing"
".A.S.A., spol. s r.o.",45809712,"Systém pro shromažďování, svoz a přepravu
bioodpadů s nižším obsahem sušiny za pomocí
speciálního svozového automobilu","OP Životní prostředí","CF",03/06/10,4187549,,0,"Ongoing"
"1. MATEŘSKÁ ŠKOLA",63531054,"Zateplení obvodových stěn a střechy objektu
mateřské školy v zahradní ulici č.p.385, Kynšperk
nad Ohří","OP Životní prostředí","CF","27.03.2009",1612272,"23.11.2009",1612272,"Ongoing"
"1. Mariánská CZ, s.r.o.",25554280,"Zlepšení tepelnětechnických vlastností objektu
Protzkarova","OP Podnikání a inovace","ERDF","27.01.2010",2506650,,0,"Ongoing"
"1. Třinecká sportovní, s.r.o.",25399420,"Relax centrum Třinec","ROP NUTS II Moravskoslezsko","ERDF",06/11/08,24751069,"14.04.2010",8057351,"Ongoing"
"1. VOX a.s.",27204987,"E-learningové kurzy soft skills nositelem
efektivnějšího vzdělávání","OP Vzdělávání pro
konkurenceschopnost","ESF",10/05/10,3306712,10/06/10,661342,"Ongoing"
"1. Základní škola Holešov",70879389,"Rozvoj tvůrčího myšlení žáků pomocí informačních
technologií","OP Vzdělávání pro
konkurenceschopnost","ESF","27.11.2008",3093129,02/04/10,2719230,"Ongoing"
"1. základní škola T.G. Masaryka
Milevsko, Jeřábkova 690, okres
Písek",71000381,"Další vzdělávání pedagogických pracovníků s
využitím multimediální technicky a e-learningu","OP Vzdělávání pro
konkurenceschopnost","ESF","25.02.2009",909493,"23.06.2010",648908,"Ongoing"
"1shop.cz s.r.o.",27187373,"Vývoj nových ICT řešení","OP Podnikání a inovace","ERDF","23.06.2010",3093150,,0,"Ongoing"
"2 ES, spol. s r.o.",60068116,"Vybudování kongresové infrastruktury k motelu
Dačice","ROP NUTS II Jihozápad","ERDF",06/10/08,3997816,"20.04.2010",2633838,"Ongoing"
"2 JCP a.s.",47286393,"Zavedení výroby nové filtrace a sání spalovacího
vzduchu pro turbíny","OP Podnikání a inovace","ERDF",09/06/10,19094400,,0,"Ongoing"
"2.ZÁKLADNÍ ŠKOLA - ŠKOLA
PROPOJENÍ",48954004,"Rozvoj programů pro žáky se speciálními
vzdělávacími potřebami","OP Vzdělávání pro
konkurenceschopnost","ESF","31.12.2008",5926757,,0,"Ongoing"
"24SNAiLS a.s.",25978781,"Získání nového trhu","OP Podnikání a inovace","ERDF",08/08/08,510000,"22.01.2010",341604,"Finalized"
"24U s.r.o.",26152584,"DevCon 2007","OP Podnikání a inovace","ERDF","15.10.2008",531250,"16.12.2008",480771,"Finalized"
"28. říjen, s. r. o.",27264378,"Profesní a kreativní rozvoj osobnosti pedagoga","OP Vzdělávání pro
konkurenceschopnost","ESF","17.12.2008",10351725,"13.04.2010",4767520,"Ongoing"
"2G-spol. s r.o. - Přikrývky a polštáře",63478633,"Výrobní linka na plnění nábytkářských výplní ve
firmě 2G","OP Podnikání a inovace","ERDF","20.05.2010",892500,,0,"Ongoing"
"2G-spol. s r.o. - Přikrývky a polštáře",63478633,"export-strategický prvek rozvoje společnosti","OP Podnikání a inovace","ERDF",01/08/08,527000,,0,"Cancelled"
"2VV s.r.o.",62065467,"Analýza a zdokonalení procesu marketingového
průzkumu trhu a zavádění nových výrobků na trh
HVAC v Evropě","OP Podnikání a inovace","ERDF",12/02/10,425000,,0,"Ongoing"
"2VV s.r.o.",62065467,"Rekuperátor světové třídy a jeho využití v
rekuperačních větracích jednotkách","OP Podnikání a inovace","ERDF","31.07.2008",8585000,,0,"Ongoing"
