"Name of beneficiary","ident","Project Title","Operational Programme","EU Fund","Date of allocation","Amounts allocated","Date of interim payment","Total Amounts paid from the start of the Project","Status"
"Bělohradská mateřská škola",71011544,"Chirofonetika na pomoc dětem, předcházení
vývojovým poruchám učení a chování u dětí ve
věku 3 - 9 let","OP Vzdělávání pro
konkurenceschopnost","ESF",06/08/09,623752,02/04/10,323371,"Ongoing"
"Bílý nosorožec, o.p.s.",26863901,"Cesta ke zvýšení uplatnitelnosti na trhu práce","OP Lidské zdroje a zaměstnanost","ESF","30.11.2009",3935170,"23.03.2010",1574068,"Ongoing"
"Břízky s.r.o.",63144361,"Rozšíření areálu Hotel Břízky pro zajištění
komplexních služeb cestovního ruchu","ROP NUTS II Severovýchod","ERDF","14.10.2008",10140276,06/08/09,10140276,"Finalized"
"BüroKomplet, s.r.o.",25820761,"BüroKomplet - outsourcingové středisko pro
sdílené služby v Prostějově","OP Podnikání a inovace","ERDF",02/06/09,9279450,01/04/10,5087652,"Ongoing"
"BüroKomplet, s.r.o.",25820761,"Přístavba školícího střediska BüroKomplet","OP Podnikání a inovace","ERDF","15.07.2009",2216800,04/08/09,561197,"Ongoing"
"C & C PLAST s.r.o.",25467085,"Příprava podnikatelské zóny pro výstavbu
výrobní haly v Jirkově","OP Podnikání a inovace","ERDF","14.08.2009",5430650,"14.12.2009",5430650,"Finalized"
"C & C PLAST s.r.o.",25467085,"Technologie výroby plastových dílů
vysokotlakým vstřikováním","OP Podnikání a inovace","ERDF",03/07/08,6077500,,0,"Cancelled"
"C A M P  B Í T O V spol. s r.o.",16325737,"Výstavba bungalovů v Campu Bítov","ROP NUTS II Jihovýchod","ERDF",05/02/09,4492435,,0,"Ongoing"
"C SYSTEM CZ a.s.",27675645,"Centrum oprav high-tech výrobků a technologií
společnosti C SYSTEM CZ a.s.","OP Podnikání a inovace","ERDF",07/08/09,10199150,,0,"Ongoing"
"C SYSTEM CZ a.s.",27675645,"Rozvoj kvalifikační úrovně zaměstnanců firemní
skupiny C SYSTEM","OP Lidské zdroje a zaměstnanost","ESF",01/04/10,6327290,07/05/10,1265458,"Ongoing"
"C SYSTEM CZ a.s.",27675645,"Školící středisko - C SYSTEM CZ","OP Podnikání a inovace","ERDF","28.06.2010",6799150,,0,"Ongoing"
"C SYSTEM GROUP s.r.o.",26249979,"Marketingové aktivity společnosti CSYSTEM
GROUP v roce 2008","OP Podnikání a inovace","ERDF","20.10.2008",1105000,"24.09.2009",466077,"Finalized"
"C-KLIMA s.r.o.",60469897,"Zvýšení adaptability a konkurenceschopnosti
zaměstnanců společnosti C-KLIMA s.r.o.
prostřednictvím investic do jejich vzdělávání","OP Praha Adaptabilita","ESF","20.01.2009",1026101,04/11/09,1026101,"Ongoing"
"C.B.G. IMPEX s.r.o.",25839187,"Školící a vzdělávací centrum společnosti
C.B.G.IMPEX s.r.o.","OP Podnikání a inovace","ERDF","20.07.2010",255000,,0,"Ongoing"
"C.B.G.IMPEX s.r.o.",25839187,"Rekonstrukce objektu č.p. 1367 v areálu
bývalých kasáren na podnikatelský objekt
společnosti C.B.G. IMPEX s.r.o.","OP Podnikání a inovace","ERDF","23.03.2009",11458850,"22.10.2009",11458850,"Finalized"
"C.T.S.E. Servis, s.r.o.",25833553,"Rozvoj exportu společnosti C.T.S.E. Servis, s.r.o.","OP Podnikání a inovace","ERDF","29.07.2008",578000,11/02/09,485817,"Finalized"
"CAESAR CRYSTAL BOHEMIAE,
a.s.",25276581,"IT CAESAR","OP Podnikání a inovace","ERDF","23.12.2008",1062500,,0,"Cancelled"
"CAESAR CRYSTAL BOHEMIAE,
a.s.",25276581,"Katalogy a webová prezentace CAESAR","OP Podnikání a inovace","ERDF","30.07.2008",736950,"19.05.2009",502181,"Finalized"
"CAESAR CRYSTAL BOHEMIAE,
a.s.",25276581,"Technologie tavných pecí","OP Podnikání a inovace","ERDF",09/09/09,1721250,,0,"Ongoing"
"CAG s.r.o.",25686925,"Tvorba a integrace informačního systému CAG","OP Podnikání a inovace","ERDF","21.05.2010",1422900,,0,"Ongoing"
"CAMEA, spol. s r.o.",60746220,"IS Camea Brno","OP Podnikání a inovace","ERDF","26.03.2010",1530000,,0,"Ongoing"
"CAMEA, spol. s r.o.",60746220,"Výstavba nového školícího střediska firmy
CAMEA, spol. s r.o.","OP Podnikání a inovace","ERDF",03/11/09,8364000,,0,"Ongoing"
"CAN SUPERCONDUCTORS, s.r.o.",25620312,"Prezentace společnosti na zahraničních trzích","OP Podnikání a inovace","ERDF",08/08/08,191250,,0,"Cancelled"
"CANARD s.r.o.",26359189,"Canard export","OP Podnikání a inovace","ERDF","17.07.2008",331500,,0,"Cancelled"
"CANIS SAFETY a.s.",26816121,"Marketingová podpora exportu CANIS","OP Podnikání a inovace","ERDF","14.08.2008",930750,,0,"Cancelled"
"CANIS SAFETY a.s.",26816121,"Vzdělávání zaměstnanců firmy CANIS SAFETY
a.s. pro zvýšení jejich konkurenceschopnosti","OP Lidské zdroje a zaměstnanost","ESF","30.11.2009",3605253,"19.03.2010",1442101,"Ongoing"
"CARITAS - Vyšší odborná škola
sociální Olomouc",64627233,"Kvalita a inovace pro lepší uplatnění absolventů
na trhu práce","OP Vzdělávání pro
konkurenceschopnost","ESF","21.01.2010",3936259,"16.03.2010",1968129,"Ongoing"
"CARITAS - Vyšší odborná škola
sociální Olomouc",64627233,"Vzdělávání poskytovatelů a zadavatelů sociálních
služeb II.","OP Lidské zdroje a zaměstnanost","ESF","14.06.2010",5447192,"19.07.2010",817079,"Ongoing"
"CARLA spol. s r. o.",48150134,"Rekonstrukce textilního závodu na výrobní závod
potravinářských výrobků","OP Podnikání a inovace","ERDF",09/07/10,24259850,,0,"Ongoing"
"CARLA spol. s r. o.",48150134,"Zvýšení efektivnosti procesu výroby robotizací
vkládání čokoládových pralinek","OP Podnikání a inovace","ERDF",12/05/10,6799150,,0,"Ongoing"
"CARMAN,a.s.",26138891,"CARMAN, a.s. - Nákup nové technologie a
inovace výrobní linky ke zvýšení produktivity
práce","OP Podnikání a inovace","ERDF","22.07.2008",11781000,,0,"Ongoing"
"CARMAN-DOORS, s.r.o.",27764460,"Modernizace výrobního procesu
CARMAN-DOORS, s.r.o.","OP Podnikání a inovace","ERDF","14.07.2010",8287500,,0,"Ongoing"
"CARPO CZ s.r.o.",26919516,"Rekonstrukce Carpo","OP Podnikání a inovace","ERDF","20.07.2010",3366850,,0,"Ongoing"
"CARTHAMUS a. s.",27062970,"Rekonstrukce tepelného zdroje v Českém
Krumlově - Domoradicích","OP Podnikání a inovace","ERDF","17.12.2008",105900650,,0,"Ongoing"
"CARent, a.s.",63485885,"Zvýšení konkurenceschopnosti zaměstnanců se
zaměřením na informační technologie","OP Lidské zdroje a zaměstnanost","ESF",01/09/09,2516935,"15.03.2010",1006774,"Ongoing"
"CASIA spol. s r.o.",25968424,"Rozvoj ifnormačního systému ve společnosti
CASIA","OP Podnikání a inovace","ERDF",12/11/09,2014500,,0,"Ongoing"
"CAT CUT s.r.o.",27670210,"Systémová integrace I","OP Podnikání a inovace","ERDF","19.11.2009",1295400,,0,"Ongoing"
"CATHEDRAL Software, s.r.o.",27742482,"Systém pro zpracování zakázek variabilních
výrobků","OP Podnikání a inovace","ERDF",04/05/10,2261000,,0,"Ongoing"
"CAZER s.r.o.",26857219,"Rozvoj centra průmyslového výzkumu, vývoje a
inovace","OP Podnikání a inovace","ERDF","27.03.2009",10191500,,0,"Ongoing"
"CC Systems a.s.",25589881,"Maminky, využijte čas!","OP Lidské zdroje a zaměstnanost","ESF","15.07.2009",3437176,"19.08.2009",687435,"Ongoing"
"CC Systems a.s.",25589881,"Pracovat se dá i po 50","OP Lidské zdroje a zaměstnanost","ESF","31.07.2009",1004200,"28.08.2009",236991,"Ongoing"
"CC Systems a.s.",25589881,"Rodina a dobrá práce? Jde to!","OP Lidské zdroje a zaměstnanost","ESF",01/08/09,2246405,01/09/09,449281,"Ongoing"
"CC Systems a.s.",25589881,"Rodinný a profesní život v harmonii","OP Lidské zdroje a zaměstnanost","ESF","31.07.2009",2420930,"24.08.2009",484186,"Ongoing"
"CC Systems a.s.",25589881,"S dítětem se nenudím","OP Lidské zdroje a zaměstnanost","ESF","31.07.2009",2798503,01/09/09,559701,"Ongoing"
"CCA Group a.s.",25695312,"Podnikatelský objekt Krátká 3, Plzeň","OP Podnikání a inovace","ERDF","15.01.2010",7402650,,0,"Ongoing"
"CCA Group a.s.",25695312,"Podpora vstupu produktů a služeb CCA Group
a.s. na evropský trh v oblasti informačních
technologií","OP Podnikání a inovace","ERDF","22.09.2008",212500,"28.01.2009",124060,"Finalized"
"CCA Group a.s.",25695312,"Rozvoj vzdělávacích programů CCA Akademie","OP Vzdělávání pro
konkurenceschopnost","ESF",10/05/10,1614543,10/06/10,322909,"Ongoing"
"CCA Group a.s.",25695312,"Specifické vzdělávání odborníků společnosti CCA
Group a.s.","OP Lidské zdroje a zaměstnanost","ESF",09/03/10,1109089,,0,"Ongoing"
"CCA Group a.s.",25695312,"Vývojové centrum CCA Group a.s. pro tvorbu
SW řešení podpory vzdělávání","OP Podnikání a inovace","ERDF","14.04.2009",5003100,"15.04.2010",1578850,"Ongoing"
"CCA Group a.s.",25695312,"Školící středisko CCA Group, a.s.","OP Podnikání a inovace","ERDF",04/05/09,558450,08/04/10,515350,"Finalized"
"CCV, s.r.o.",46963740,"Vzdělávací akademie společnosti CCV","OP Lidské zdroje a zaměstnanost","ESF","15.01.2010",1827585,"15.07.2010",731034,"Ongoing"
"CEBES a.s.",25568345,"Modernizace a rozšíření výroby součástek pro
větrné elektrárny","OP Podnikání a inovace","ERDF","30.06.2008",7453650,"29.10.2008",7406180,"Finalized"
"CEBES a.s.",25568345,"Rekonstrukce výrobní haly","OP Podnikání a inovace","ERDF","27.05.2009",8980250,06/10/09,8980250,"Finalized"
"CEBES a.s.",25568345,"Rozšíření vývojové a inovační základny žadatele","OP Podnikání a inovace","ERDF",04/06/08,7779200,,0,"Cancelled"
"CEBES a.s.",25568345,"Zvýšení exportních aktivit firmy","OP Podnikání a inovace","ERDF",10/07/08,97750,01/08/08,92809,"Finalized"
"CECHO - BOHUMIL CEMPÍREK
s.r.o.",27680703,"Unikátní výroba forem s horkým vtokem","OP Podnikání a inovace","ERDF",01/08/08,6273000,07/09/09,6273000,"Finalized"
"CEDR - komunitní centrum, občanské
sdružení",26590735,"Mám práci","OP Lidské zdroje a zaměstnanost","ESF","26.04.2010",2851078,"26.07.2010",1140431,"Ongoing"
"CEET Liberec s.r.o.",25468561,"Moderní metodické materiály a metody výuky
angličtiny pro 1. a 2. třídy základních škol","OP Vzdělávání pro
konkurenceschopnost","ESF","30.09.2008",8455453,"26.04.2010",7607550,"Ongoing"
"CEET s.r.o.",27279987,"Metodická a jazyková podpora zavádění
moderních metod výuky angličtiny a vytvoření
inovativních metodických materiálů pro získávání
nových poznatků prostřednictvím angličtiny napříč
předměty 2. stupně ZŠ a nižšího stupně víceletých
gymnázií","OP Vzdělávání pro
konkurenceschopnost","ESF","30.09.2009",7594982,"13.04.2010",2703539,"Ongoing"
"CEGEDIM CZ s.r.o.",25716212,"Vzdělávání - cesta k rozvoji","OP Praha Adaptabilita","ESF","16.12.2008",2039597,"18.05.2010",2039597,"Ongoing"
"CELTIMA s.r.o.",25422774,"Nasazení ERP a CRM systému pro zvýšení
produktivity","OP Podnikání a inovace","ERDF",05/01/10,3011550,,0,"Ongoing"
"CELTIMA s.r.o.",25422774,"Zavedení CRM do podniku","OP Podnikání a inovace","ERDF",10/02/10,340000,,0,"Ongoing"
"CELogis a.s.",47975857,"Modernizace technologickeho vybaveni skladu -
příjmu zboží","OP Podnikání a inovace","ERDF","22.07.2008",15425800,"23.10.2009",15074878,"Finalized"
"CELogis a.s.",47975857,"Optimalizace procesu na oddělení administrativy
(inovace podpůrných činností)","OP Podnikání a inovace","ERDF",01/03/10,403750,,0,"Ongoing"
"CELogis a.s.",47975857,"Vzdělávání zaměstnanců jako východisko růstu
konkurenceschopnosti firmy","OP Lidské zdroje a zaměstnanost","ESF",01/04/10,2362209,04/05/10,472442,"Ongoing"
"CEMEX Czech Republic, k.s.",25821903,"Zmírnění dopadu ekonomické krize vzděláváním
zaměstnanců CEMEX Czech Republic, k.s.","OP Lidské zdroje a zaměstnanost","ESF","30.10.2009",3675925,"29.03.2010",1470370,"Ongoing"
"CENIA, česká informační agentura
životního prostředí",45249130,"Komplexní profesní vzdělávání zaměstnanců
CENIA pro zvýšení profesní mobility a
adaptability pracovníků","OP Praha Adaptabilita","ESF","22.02.2010",3646869,"18.05.2010",1559750,"Ongoing"
"CENIA, česká informační agentura
životního prostředí",45249130,"Národní inventarizace starých ekologických zátěží","OP Životní prostředí","CF","16.06.2009",85552785,"28.04.2010",53683640,"Ongoing"
"CENTES, spol. s r. o.",15769097,"Implementace ERP/ERPM ve společnosti
Centes,spol.s r.o.","OP Podnikání a inovace","ERDF",02/02/10,781150,,0,"Ongoing"
"CENTRAL Klatovy spol. s r. o.",48365220,"VÝSTAVBA WELLNESS CENTRA - II ETAPA A
ZKVALITNĚNÍ  UBYTOVACÍ  A
GASTRONOMICKÉ ČÁSTI  HOTELU
CENTRÁL","ROP NUTS II Jihozápad","ERDF","28.01.2009",1675826,"13.07.2010",1464188,"Finalized"
"CENTRAL Klatovy spol. s r. o.",48365220,"společný integrovaný produkt ""Klatovy - ANO""","ROP NUTS II Jihozápad","ERDF",03/09/08,479757,"17.05.2010",270293,"Finalized"
"CENTRAL STICKS s.r.o.",63220113,"Zavedení přímého vysekávání a broušení hran
dřívek do mražených krémů Mag 93 mm","OP Podnikání a inovace","ERDF",07/05/09,16986400,,0,"Ongoing"
"CENTROMAT s.r.o.",60774096,"Centromat s.r.o. - Rozvoj 2007","OP Podnikání a inovace","ERDF","21.07.2008",7854000,04/05/09,7456144,"Finalized"
"CENTROPROJEKT a.s.",26907241,"Vzdělávání zaměstnanců CENTROPROJEKT a.s.
pro zvýšení jejich adaptability","OP Lidské zdroje a zaměstnanost","ESF","31.07.2009",2353217,05/03/10,941287,"Ongoing"
"CENTRUM BABYLON, a.s.",25022962,"Vzdělávací program pro zaměstnance společností
CENTRUM BABYLON, a.s. a BABYLON
SERVIS, s.r.o.","OP Lidské zdroje a zaměstnanost","ESF",01/07/10,4179383,,0,"Ongoing"
"CENTRUM DOHODY,s.r.o.",25089391,"Trénink manažerských a personálních dovedností
pro řídící pracovníky škol a školských zařízení","OP Vzdělávání pro
konkurenceschopnost","ESF","22.10.2008",4601234,,0,"Ongoing"
"CENTRUM KARDIOVASKULÁRNÍ
A TRANSPLANTAČNÍ CHIRURGIE",209775,"Vybavení Centra kardiovaskulární a
transplantační chirurgie  Brno přístroji","Integrovaný operační program","ERDF","15.06.2010",67999499,,0,"Ongoing"
"CENTRUM PODNIKÁNÍ A
ROZVOJE, s.r.o.",25357948,"TECHNO 2012 - start technické kariéry","OP Vzdělávání pro
konkurenceschopnost","ESF","19.11.2009",7627960,01/12/09,1525592,"Ongoing"
"CENTRUM PRO RODINU
HODONÍN",69722595,"Rozšíření kapacity Centra pro rodinu Hodonín","ROP NUTS II Jihovýchod","ERDF",08/06/09,18209283,11/05/10,2221773,"Ongoing"
"CEREBRUM - Sdružení osob po
poranění mozku a jejich rodin",22665421,"Přenos dobré praxe a zkušeností v sociálním
začleňování osob po poranění mozku","OP Lidské zdroje a zaměstnanost","ESF","29.05.2009",5321790,"25.01.2010",2128716,"Ongoing"
"CERPOS",27007537,"Dům na půli cesty","ROP NUTS II Střední Čechy","ERDF","16.12.2009",4354062,"29.06.2010",2087922,"Ongoing"
"CEVRO Institut, o.p.s.",27590101,"Modernizace vzdělávacích programů Vysoké
školy CEVRO Institut pro zkvalitnění výuky
studentů a zvýšení adabtability absolventů školy
na trhu práce","OP Praha Adaptabilita","ESF","18.02.2010",2890810,"24.03.2010",2418739,"Ongoing"
"CF sociální firma, s.r.o.",28701488,"CF_sociální firma","OP Lidské zdroje a zaměstnanost","ESF",01/06/10,2072377,,0,"Ongoing"
"CGMC, družstvo",28094468,"Klastr obecného strojírenství","OP Podnikání a inovace","ERDF","13.10.2009",67996600,,0,"Ongoing"
"CH-PLAST spol. s r.o.",43371744,"Nákup technologie pro vstřikování plastů","OP Podnikání a inovace","ERDF",07/07/08,3251250,"16.06.2009",2386635,"Finalized"
"CHEDOS,s.r.o.",60739681,"Implementace informačního systému za účelem
zvýšení vnitřní efektivity vnitropodnikových
procesů ve firmě CHEDOS","OP Podnikání a inovace","ERDF",10/11/09,942650,,0,"Ongoing"
"CHEIRÓN a.s.",27094987,"CHEIRÓN ICT 2007","OP Podnikání a inovace","ERDF",03/11/08,1953300,,0,"Ongoing"
"CHEMOTEX Děčín a.s.",62240471,"Modernizace a intenzifikace výroby kyseliny
fenolsulfonové včetně navazujících činností","OP Podnikání a inovace","ERDF","22.02.2010",2969900,,0,"Ongoing"
"CHEPO plus s.r.o.",26479591,"Výstavba penzionu Harmonie","ROP NUTS II Severozápad","ERDF","16.09.2009",31667787,"22.03.2010",10860236,"Ongoing"
"CHMELA - STAV s. r.o.",26960826,"Rekonstrukce a přístavba nemovitosti pro výrobu
elektro a datových rozvaděčů a počítačů","OP Podnikání a inovace","ERDF",10/11/09,10196600,,0,"Ongoing"
"CHMELAŘSTVÍ, družstvo Žatec",212229,"Pořízení CNC obráběcího centra ke zefektivnění
výroby závodu Mechanizace","OP Podnikání a inovace","ERDF","29.01.2010",2125000,,0,"Ongoing"
"CHOC TECHNOLOGY, spol. s.r.o.",25596322,"Zvýšení výrobní kapacity a zefektivnění
výrobních procesů","OP Podnikání a inovace","ERDF","18.06.2008",3740000,03/11/08,3290363,"Finalized"
"CHOV RYB JISTEBNÍK s. r. o.",47972181,"Modernizace strojního vybavení","OP Rybářství","EFF","15.07.2009",219375,"23.03.2010",184228,"Ongoing"
"CHOV RYB JISTEBNÍK s. r. o.",47972181,"nákup dopravního prostředku do 3,5 t","OP Rybářství","EFF","14.07.2010",292500,,0,"Ongoing"
"CHOV RYB JISTEBNÍK s. r. o.",47972181,"nákup kolového rypadla","OP Rybářství","EFF","14.07.2010",899550,,0,"Ongoing"
"CHOV RYB JISTEBNÍK s. r. o.",47972181,"nákup traktoru","OP Rybářství","EFF","14.07.2010",360000,,0,"Ongoing"
"CHOVSERVIS  a.s.",46505008,"Zvyšování adaptability zaměstnanců společnosti
CHOVSERVIS a.s. pomocí programu
kontinuálního vzdělávání pracovníků jako nástroje
konkurenceschopnosti","OP Lidské zdroje a zaměstnanost","ESF","30.07.2009",1651051,08/03/10,660419,"Ongoing"
"CHVALIS s. r. o.",25433971,"Dodávka, implementace IT technologií s cílem
zajistit zefektivnění podnikových procesů ve
společnosti CHVALIS s.r.o.","OP Podnikání a inovace","ERDF",12/12/08,2136050,"17.07.2009",2034633,"Finalized"
"CHVALIS s.r.o.",25433971,"CHVALIS - Rozvoj II Technické vybavení","OP Podnikání a inovace","ERDF","16.07.2010",1892950,,0,"Ongoing"
"CICERO Stapro Group s.r.o.",27523586,"Cicero","OP Podnikání a inovace","ERDF","22.09.2008",191250,"15.12.2008",190496,"Finalized"
"CICERO Stapro Group s.r.o.",27523586,"EISIS CICERO","OP Podnikání a inovace","ERDF","21.09.2009",2757400,04/02/10,1472548,"Ongoing"
"CICERO Stapro Group s.r.o.",27523586,"Vzdělávání - krok k úspěchu","OP Lidské zdroje a zaměstnanost","ESF","30.04.2010",1485228,07/06/10,297046,"Ongoing"
"CID International, a.s.",25057421,"Aplikace ""CID""","OP Podnikání a inovace","ERDF","13.01.2009",3855600,01/04/09,837866,"Ongoing"
"CID International, a.s.",25057421,"Inovace aplikací pro řízení logistických skladů a
kontejnerových terminálů","OP Podnikání a inovace","ERDF",11/11/09,408000,08/03/10,343187,"Finalized"
"CIDEM Hranice, a.s.",14617081,"Inovace cementotřískové desky - CETRIS?
AKUSTIC s  povrchovou úpravou","OP Podnikání a inovace","ERDF","20.05.2009",8534000,,0,"Ongoing"
"CIDEM Hranice, a.s.",14617081,"Zvýšení účinnosti výroby páry a využití
odpadního tepla ve společnosti CIDEM Hranice,
a.s. - divize CETRIS","OP Podnikání a inovace","ERDF","21.01.2010",6575600,,0,"Ongoing"
"CINK Hydro - Energy k.s.",26398273,"Modernizace technologického vybavení firmy","OP Podnikání a inovace","ERDF","18.02.2010",10200000,,0,"Ongoing"
"CINK Hydro - Energy k.s.",26398273,"STRATEGIE VSTUPU NA SRBSKÝ TRH","OP Podnikání a inovace","ERDF",11/06/08,374000,,0,"Cancelled"
"CITYPLAN  spol. s r.o.",47307218,"Zavedení a ověření firemního systému vzdělávání
pomocí realizace a vyhodnocení prvního období","OP Praha Adaptabilita","ESF",02/12/08,1056176,"17.06.2009",1056176,"Ongoing"
"CLEAR SERVIS, o.p.s.",28585241,"CLEAR SERVIS- vznik a rozvoj služby praní,
žehlení a oprav prádla","OP Lidské zdroje a zaměstnanost","ESF","27.01.2010",1658461,"21.05.2010",580462,"Ongoing"
"CLEAR SERVIS, o.p.s.",28585241,"CLEAR SERVIS- vznik a rozvoj služby praní,
žehlení a oprav prádla","Integrovaný operační program","ERDF",12/04/10,1139000,,0,"Ongoing"
"CLITIA, a.s.",26510103,"Obchodní a obytné centrum Pasáž","ROP NUTS II Severovýchod","ERDF","21.04.2010",18198396,,0,"Ongoing"
"CLUTEX - klastr technické textilie,
o.s.",27031641,"CLUTEX - klastr technické textilie","OP Podnikání a inovace","ERDF","30.10.2009",22887100,"14.01.2010",3612664,"Ongoing"
"CN Resources International (CZ) a.s.",60193646,"Vzdělávání zaměstnanců ve společnosti CN
Resources International (CZ) a.s.","OP Praha Adaptabilita","ESF",02/12/08,3716835,"29.03.2010",2984322,"Ongoing"
"CNC TVAR s.r.o.",27331661,"Inovace procesu výroby velkých a složitých
tvarových strojních součástí","OP Podnikání a inovace","ERDF","30.06.2010",25573100,,0,"Ongoing"
"CNS a.s.",26129558,"Zvyšování adaptability zaměstnanců a
konkurenceschopnosti společnosti CNS a.s.","OP Lidské zdroje a zaměstnanost","ESF","15.01.2010",2201412,"31.05.2010",880565,"Ongoing"
"CODACO ELECTRONIC s.r.o.",25365312,"Pořízení technologie nanášení pájecí pasty a
osazování SMD součástek","OP Podnikání a inovace","ERDF",05/02/10,4335000,03/03/10,1452709,"Ongoing"
"CODUM s.r.o.",64940870,"Digitalizace rtg pracovišť Polikliniky Modřany","OP Praha Konkurenceschopnost","ERDF",08/10/08,4031918,,0,"Finalized"
"COFET, a.s.",60916621,"Vytvoření systému vzdělávání finanční
gramotnosti pro dětské domovy","OP Vzdělávání pro
konkurenceschopnost","ESF",08/04/10,10395000,04/05/10,4157999,"Ongoing"
"COLORLAK, a.s.",49444964,"Snížení spotřeby tepelné energie rekonstrukcí
výměníkové stanice ve výrobním objektu SO101","OP Podnikání a inovace","ERDF","25.01.2010",1173850,,0,"Ongoing"
"COM PLUS CZ a.s.",25772104,"Vzdělávání zaměstnanců společnosti COM PLUS
CZ, a.s.","OP Lidské zdroje a zaměstnanost","ESF","31.05.2010",4618943,"22.07.2010",923789,"Ongoing"
"COMAC CAL s.r.o.",61974170,"Ověřovací stanice bateriových průtokoměrů","OP Podnikání a inovace","ERDF","16.10.2009",1762900,,0,"Ongoing"
"COMETT PLUS, spol. s r.o.",60071397,"Nákup 5 nízkopodlažních plynových autobusů pro
MHD","ROP NUTS II Jihozápad","ERDF","28.05.2010",9012023,,0,"Ongoing"
"COMIMPEX spol. s r.o.",46972439,"Specifická školení - cesta k udržení pracovních
míst a posílení konkurenceschopnosti společnosti
COMIMPEX","OP Lidské zdroje a zaměstnanost","ESF",03/02/10,1392389,,0,"Ongoing"
"COMIMPEX spol. s r.o.",46972439,"Čelme krizi vzděláváním aneb posilujme naši
konkurenceschopnost!","OP Lidské zdroje a zaměstnanost","ESF",01/09/09,2815651,"26.02.2010",1126260,"Ongoing"
"COMINFO, a.s.",63482576,"Branou vzdělávání k vyšší výkonnosti","OP Lidské zdroje a zaměstnanost","ESF","30.10.2009",5486805,"29.04.2010",2194722,"Ongoing"
"COMP NET SYSTEMS, s.r.o.",63144379,"Profesní rozvoj zaměstnanců v IT - COMP NET
SYSTEMS, s.r.o.","OP Podnikání a inovace","ERDF","29.04.2010",1773100,,0,"Ongoing"
"COMPOSIT AIRPLANES spol. s r.o.",25951009,"Propagace ultralehkého kluzáku, včetně
propagace firmy.","OP Podnikání a inovace","ERDF","24.10.2008",1377000,"30.04.2009",250898,"Finalized"
"COMPUPLAST INTERNATIONAL
a.s.",13690680,"Zvyšování konkurenceschopnosti na zahraničních
trzích","OP Podnikání a inovace","ERDF","14.07.2008",484500,,0,"Cancelled"
"COMP`S, spol. s r.o.",46709576,"Zvýšení efektivity dodavatelsko-odběratelských
vztahů prostřednictvím využití IS firmy","OP Podnikání a inovace","ERDF",09/04/10,765000,,0,"Ongoing"
"COMTES FHT a.s.",26316919,"Výroba nanostrukturních materiálů pro medicínské
aplikace","OP Podnikání a inovace","ERDF",07/01/10,7140000,,0,"Ongoing"
"COMTES FHT a.s.",26316919,"Výzkumný ústav tvářecích technologií","OP Podnikání a inovace","ERDF","20.06.2008",34673200,08/09/09,29122801,"Ongoing"
"CONEO, s.r.o.",25574990,"Školící středisko Coneo","OP Podnikání a inovace","ERDF",03/09/09,18258850,,0,"Ongoing"
"CONSTRUCT A & D, a.s.",26233177,"Zvyšování adaptability zaměstnanců společnosti
CONSTRUCT","OP Lidské zdroje a zaměstnanost","ESF","31.08.2009",1503459,"18.12.2009",601384,"Ongoing"
"CONSTRUCT A&D, a.s.",26233177,"Podpora implementace IT ve společnosti
CONSTRUCT","OP Podnikání a inovace","ERDF","18.11.2008",1558050,,0,"Ongoing"
"CONTEG, spol. s r.o.",25701843,"Podpora exportu společnosti CONTEG, spol. s r.o.","OP Podnikání a inovace","ERDF","25.06.2008",1700000,,0,"Cancelled"
"COPY GENERAL s.r.o.",45280436,"Systém interního vzdělávání Copy General","OP Praha Adaptabilita","ESF",10/03/10,4293162,11/06/10,2028578,"Ongoing"
"CORESO, spol. s r.o.",27750345,"Revitalizace bývalých vojenských kasáren na
občanskou vybavenost","ROP NUTS II Severovýchod","ERDF","24.06.2010",20193130,,0,"Ongoing"
"CORK  JANOSA  s.r.o.",26275333,"Zvýšení prodeje výrobků v teritoriu Anglie a
Polska","OP Podnikání a inovace","ERDF","21.07.2008",212500,"26.03.2009",212500,"Finalized"
"CORMEN s.r.o.",25547593,"Technologie pro zavedení systému vratných obalů","OP Podnikání a inovace","ERDF","20.04.2010",5358400,,0,"Ongoing"
"CORMEN s.r.o.",25547593,"Výstava Berlín","OP Podnikání a inovace","ERDF",05/08/08,384200,10/09/08,324700,"Finalized"
"CORMEN s.r.o.",25547593,"Zvýšení výrobní kapacity plnění obalů do 1 litru","OP Podnikání a inovace","ERDF",03/07/08,2571250,"27.04.2009",2571250,"Finalized"
"CORTIS Consulting s.r.o.",26397668,"Tvorba sady aplikací pro zvýšení kvality a
efektivity řízení organizací poskytujících služby
včetně související metodiky","OP Podnikání a inovace","ERDF",04/12/08,8564600,07/05/10,3544028,"Ongoing"
"CPN spol. s r.o.",25281844,"Biotechnologická výroba polysacharidů a
speciálních peptidů pro aplikace v kosmetice,
medicíně a nanobiotechnologiích","OP Podnikání a inovace","ERDF","31.07.2008",14450000,,0,"Ongoing"
"CPN spol. s r.o.",25281844,"Propagace firmy v konkurenčním prostředí -
předpoklad úspěchu","OP Podnikání a inovace","ERDF",12/08/08,680000,06/02/09,619245,"Finalized"
"CPN spol. s r.o.",25281844,"Výzkumné a vývojové centrum pro lékařské
nanobiotechnologie","OP Podnikání a inovace","ERDF",07/08/08,49725000,"17.08.2009",8127295,"Ongoing"
