Registra_n√ _√slo projektu,»adatel,N_zev projektu,"Celkovª,zp_sobilª,v_daje,(K_)","Dotace,RR,(K_)","Z,toho,dotace,EU,(K_)",Datum ukon_en√ projektu,"Celkem,vyplaceno,ze,SF,po,ukon_en√,projektu,(K_)"
CZ.1.13/2.2.00/09.00533,M_sto Semily,Semily - Revitalizace centra m_sta (Jit_enka a Riegrovo n_m_st√ - II. etapa),"90,507,594.27","63,300,000.00","58,167,567.55",29.07.11
CZ.1.13/2.2.00/09.00536,M_STO MIMO_,M_sto Mimo_ - Rekonstrukce Z_meckªho mostu v_etn_ _pravy n_toku vodn√ho toku Plou_nice,"13,494,210.89","12,482,145.06","11,470,079.24",31.05.11
CZ.1.13/2.2.00/09.00541,M_STO  HR∞DEK NAD NISOU,Revitalizace historickªho centra v Hr_dku nad Nisou,"67,649,120.00","62,575,436.00","57,501,752.00",30.09.10
CZ.1.13/2.3.00/10.00551,Obec Rohozn_,Rekonstrukce brownfieldu b_valª ZS pro rozvoj ob_anskª vybavenosti Rohoznª,"11,552,043.00","10,685,638.99","9,819,235.82",30.06.10
CZ.1.13/2.3.00/10.00552,Obec Ho_in_ves,Sportovn√ v√ce__elovª h_iàt_ a tenisovª h_iàt_ Ho_in_ves,"11,393,693.18","10,539,166.18","9,684,639.20",28.02.11
CZ.1.13/2.3.00/10.00557,M_STO CVI KOV,Rekonstrukce multifunk_n√ho centra SEVER ve Cvikov_,"56,557,267.00","52,315,471.14","48,073,676.18",31.12.12
CZ.1.13/2.3.00/10.00558,Obec Hroch_v T_nec,Multifunk_n√ h_iàt_ v are_lu z_kladn√ àkoly Hroch_v T_nec,"4,987,196.00","4,613,156.00","4,239,116.31",29.12.09
CZ.1.13/2.3.00/10.00559,"Masarykova z_kladn√ àkola Doln√ Roven, okres Pardubice",Modernizace vybaven√ Masarykovy z_kladn√ àkoly Doln√ Roven,"2,133,568.60","1,973,549.04","1,813,531.54",26.02.10
CZ.1.13/2.3.00/10.00562,Obec M_n√k,VıSTAVBA VíCE__ELOV÷HO H_IâT_ V OBCI M_NíK,"4,548,929.00","4,207,758.82","3,866,589.19",30.11.10
CZ.1.13/2.3.00/10.00565,OBEC JOSEF_V D_L,Rekonstrukce sportovn√ho are_lu Josef_v D_l,"16,644,716.00","15,388,945.99","14,141,193.62",30.09.10
CZ.1.13/2.3.00/10.00567,M_sto L_zn_ Bohdane_,Rozvoj infrastruktury m_sta L_zn_ Bohdane_ - R_j,"59,222,234.00","53,299,661.00","48,978,066.85",11.02.11
CZ.1.13/2.3.00/10.00568,M_stys Velkª Po_√_√,Rekonstrukce Obecn√ho domu ve Velkªm Po_√_√,"52,470,931.79","48,535,611.89","44,600,292.01",30.11.10
CZ.1.13/2.3.00/10.00576,DIAKONIE DUBA,NOVı DOMOV,"5,563,464.00","5,146,203.98","4,728,944.20",28.07.11
CZ.1.13/2.3.00/10.00577,Obec Smidary,Adaptace ve_ejnª budovy zdravotn√ho st_ediska ve Smidarech,"17,332,301.00","14,332,301.00","13,170,222.54",30.09.10
CZ.1.13/2.3.00/10.00579,Obec Horn√ Brann_,Regenerace historickªho centra Horn√ Brannª,"3,484,471.91","3,223,136.51","2,961,801.11",23.12.10
CZ.1.13/2.3.00/10.00580,M_sto Rokytnice nad Jizerou,M_stsk_ h_bitov v Rokytnici nad Jizerou - revitalizace ve_ejnªho prostranstv√ a obnova zelen_,"9,188,361.10","8,499,234.01","7,810,106.93",30.06.11
CZ.1.13/2.3.00/10.00583,M_sto Rtyn_ v Podkrkonoà√,V_stavba chodn√k_ a parkovac√ch ploch v centru m_sta Rtyn_ v Podkrkonoà√,"2,669,310.00","2,469,111.66","2,268,913.41",28.05.10
CZ.1.13/2.3.00/10.00584,Obec Proset√n,Sportovn√ are_l v obci Proset√n,"8,322,680.00","7,698,479.00","7,074,278.00",29.12.09
CZ.1.13/2.3.00/10.00591,OBEC KRAMOLNA,"_prava ve_ejnªho prostranstv√, Kramolna","3,932,266.82","3,637,346.73","3,342,426.70",09.08.10
CZ.1.13/2.3.00/10.00594,Obec Studnice,Mal_ n_ves Studnice,"4,478,922.03","4,143,002.87","3,807,083.70",31.12.09
CZ.1.13/2.3.00/10.00596,Obec Ji_√n_ves,Rekonstrukce kulturn√ho domu v obci Ji_√n_ves,"8,680,457.99","8,029,423.63","7,378,389.27",28.02.11
CZ.1.13/2.3.00/10.00597,Obec Holet√n,Kulturn_ - spole_enskª centrum Holet√n,"10,164,174.00","9,401,859.99","8,639,547.01",30.11.10
CZ.1.13/2.3.00/10.00601,Obec Valdice,Revitalizace n_m_st√ M√ru ve Valdic√ch,"8,776,398.00",8118168.15,"7,459,938.30",31.12.10
CZ.1.13/2.3.00/10.00602,M_sto Hostinnª,Frantiàk_nsk_ kl_àter Hostinnª,"49,999,388.97","46,249,434.00","42,499,479.89",30.06.11
CZ.1.13/2.3.00/10.00603,Obec Chot_vice,Rekonstrukce spole_enskªho s_lu v obci Chot_vice,"3,774,873.65","3,491,757.35","3,208,641.87",31.07.10
CZ.1.13/2.3.00/10.00607,Obec Mostek,Multifunk_n√ are_l - Mostek,"4,818,044.40","4,456,688.21","4,095,335.10",18.12.09
CZ.1.13/2.3.00/10.00611,Obec Kladruby nad Labem,P_estavba budovy _p. 110 v Kladrubech n/L na budovu obecn√ho __adu s vyu_it√m prostor pro ve_.,"13,711,833.00","11,655,058.05","10,710,053.34",29.06.10
CZ.1.13/2.3.00/10.00617,M_sto Kopidlno,Kulturn√ a vzd_l_vac√ centrum Kopidlno,"23,635,417.27","21,862,760.96","20,090,104.66",31.05.11
CZ.1.13/2.3.00/10.00619,Obec Chornice,Spole_enskª a kulturn√ centrum v Chornic√ch,"21,254,100.28","19,660,042.75","18,065,985.21",31.03.11
CZ.1.13/2.3.00/10.00620,Obec Jarom__ice,Spolkov_ a volno_asov_ are_l v Jarom__ic√ch,"6,747,854.54","6,241,765.43","5,735,676.34",28.02.11
CZ.1.13/2.3.00/10.00623,T_LOVıCHOVN∞ JEDNOTA SOKOL LI_NO,V√ce__elovª sportoviàt_ Sokol√k - Li_no,"5,381,693.00","4,978,066.02","4,574,439.04",29.07.10
CZ.1.13/2.3.00/10.00624,Obec _erven_ Voda,V√ce__elovª sportoviàt_ - _erven_ Voda,"10,491,901.66","9,705,009.02","8,918,116.39",31.07.10
CZ.1.13/2.3.00/10.00626,Obec Vraclav,Revitalizace centra obce Vraclav II,"8,162,305.22","7,550,132.32","6,937,959.42",31.07.11
CZ.1.13/2.3.00/10.00632,Obec Hluàice,Ve_ejnª prostranstv√ Hluàice,"2,718,529.00","2,514,639.27","2,310,749.60",30.04.10
CZ.1.13/2.3.00/10.00638,OBEC SLOUP V _ECH∞CH,Komunitn√ centrum obce Sloup v _ech_ch,"82,024,364.00","75,872,536.50","69,720,709.21",30.12.12
CZ.1.13/2.3.00/10.00641,T_locvi_n_ jednota SOKOL Nasavrky,Rekonstrukce objektu sokolovny v Nasavrkach a p_ilehlªho are_lu,"26,658,439.50","24,659,056.49","22,659,673.53",31.07.11
CZ.1.13/2.3.00/10.00642,OBEC P_N_íN,"""Revitalizace __st√ obce P_n_√n II - d_tsk_ a v√ce__elov_ h_iàt_, parkovª _pravy'","3,323,198.00","3,073,958.00","2,824,718.16",11.12.09
CZ.1.13/2.3.00/10.00648,Obec V_prachtice,Revitalizace centra obce V_prachtice,"13,492,218.00","12,480,300.99","11,468,384.70",15.12.10
CZ.1.13/2.3.00/10.00649,Obec Lukavice,Modernizace sokolovny - Lukavice,"23,784,555.00","19,027,644.00","17,484,862.05",28.02.11
CZ.1.13/2.3.00/10.00650,M_stys Kunvald,_prava centra m_styse Kunvald,"12,251,022.00","11,332,195.00","10,413,368.36",30.10.10
CZ.1.13/2.3.00/10.00651,_√mskokatolick_ farnost Doln√ Dobrou_,Multifunk_n√ centrum aktivn√ho _ivota Doln√ Dobrou_,"17,644,537.00","16,321,196.00","14,997,855.78",15.10.11
CZ.1.13/2.3.00/10.00655,M_STO  HODKOVICE NAD MOHELKOU,Sportovn√ are_l pro Zâ Hodkovice nad Mohelkou,"24,601,107.00","22,756,023.00","20,910,940.04",30.03.11
CZ.1.13/2.3.00/10.00657,PARDUBICKı KRAJ,Domov na hrad_ Rychmburk- Integra_n√ centrum,"25,506,215.06","23,593,248.86","21,680,282.72",28.01.11
CZ.1.13/2.3.00/10.00659,PARDUBICKı KRAJ,Integra_n√ za_√zen√ pro osoby se zdravotn√m posti_en√m OL_ Jev√_ko,"27,071,886.59","25,041,495.09","23,011,103.58",30.12.10
CZ.1.13/2.3.00/10.00661,M_sto Rokytnice v Orlick_ch hor_ch,Sportovn√ are_l pro vàechny generace,"3,865,077.06","3,575,196.28","3,285,315.50",30.10.10
CZ.1.13/2.3.00/10.00662,M_sto Daàice,Rekonstrukce kulturn√ho domu v Daàic√ch,"25,267,461.51","23,372,401.76","21,477,342.15",31.05.10
CZ.1.13/2.3.00/10.00663,Obec M_ste_ko Trn_vka,Obecn√ d_m v M_ste_ku Trn_vce,"41,742,831.00","38,612,118.00","35,481,405.72",15.04.11
CZ.1.13/2.3.00/10.00664,Obec Opatovec,Spolkovª centrum _ap√ hn√zdo v Opatovci,"8,079,381.33","7,473,427.72","6,867,474.12",31.03.11
CZ.1.13/2.3.00/10.00665,Obec Holovousy,Komplexn√ revitalizace ve_ejn_ch prostranstv√ a budov obce Holovousy,"23,244,371.50","21,501,042.76","19,757,714.96",30.11.11
CZ.1.13/2.3.00/10.00670,M_sto Borohr_dek,Revitalizace a regenerace centra âachov_,"3,346,771.90","3,095,763.90","2,844,756.01",31.12.10
CZ.1.13/2.3.00/10.00673,M_STO _ESKı DUB,Stavebn√ _pravy budovy _.p.10/IV na M_stskou knihovnu a M_stsk_ arch√v _esk_ Dub,"21,890,419.00","20,248,637.50","18,606,856.07",31.07.10
CZ.1.13/2.3.00/10.00682,M_sto Janskª L_zn_,Revitalizace ve_ejn_ch prostranstv√ m_sta Janskª L_zn_,"4,315,940.00","3,992,244.40","3,668,548.90",10.02.10
CZ.1.13/2.3.00/10.00685,M_STO JABLONN÷ V PODJEâT_Dí,Modernizace m_stskªho __adu,"22,912,182.65","21,193,768.94","19,475,355.25",27.06.11
