"""Ostróda Yacht"" Spółka z ograniczoną odpowiedzialnością"
"""TOPEX Sp. z o.o."" Spółka komandytowa",Company, 	4690 - Non-specialised wholesale trade
"""VALDI - CERAMIKA"" Spółka z ograniczoną odpowiedzialnością",Company,ceramic tiles
0000 - EIF,European Investment Fund?
00002801 - SIEA,Government Organisation,,,Slovak Innovation and Energy Agency
00039691 - ÚIP,Government Organisation,Education
00151742 - MF SR,Government Organisation,Finance,,,,Ministerstvo financií 
00151882 - Centrum ved.-tech. infor.SR,Government Organisation, Not found - Slovak Centre of Scientific and Technical Information - State library,,,,Centrum vedecko-technických informácií SR (CVTI SR) -  Slovak Centre of Scientific and Technical Information
00164348 - MPC BA,Government Organisation,teaching institute under the Education Ministry,,,,metodicko-pedagogicke centrum Bratislava
00165565 - Ministerstvo zdravotníctva SR,Government Organisation,Not found - in the name: Ministry of Health of Slovakia
00166260 - UGKK SR,Government Organisation,,,,,"Geodesy, Cartography and Cadastre of the Slovak Republic   / Úrad geodézie, kartografie a katastra Slovenskej republiky "
00304913 - Mesto Malacky,Government organisation
00305081 - Mesto Stupava,Government organisation
00305553 - Obec Lehnice,Government organisation
00305731 - Obec Štvrtok na Ostrove,Government organisation
00305936 - Mesto Galanta,Government organisation
00306185 - Mesto Šaľa,Government organisation
00306215 - Obec Tešedíkovo,Government organisation
00307513 - Mesto Šahy,Government organisation
00307785 - obec Cabaj-Čápor,Government organisation
00307891 - Dolné Obdokovce,Government organisation
00308307 - Mesto Nitra,Government organisation
00308382 - Obec Pohranice,Government organisation
00308641 - Mesto Vráble,Government organisation
00308692 - Obec Žikava,Government organisation
00309311 - Mesto Šurany,Government organisation
00309419 - obec Borský Mikuláš,Government organisation
00309524 - Mesto Gbely,Government organisation
00309745 - Mesto Myjava,Government organisation
00309974 - Mesto Senica,Government organisation
00309982 - Mesto Skalica,Government organisation
00311812 - Mesto Nemšová,Government organisation
00311863 - Mesto Nové Mesto nad Váhom,Government organisation
00312002 - Mesto Stará Turá,Government organisation
00313114 - Mesto Trnava,Government Organisation
00313424 - Obec Heľpa,Government organisation
00313696 - Obec Pohorelá,Government organisation
00313726 - obec Polomka,Government organisation
00313947 - Obec Závadka nad Hronom,Government organisation
00313980 - Obec Čierne,Government organisation
00314145 - Obec Nová Bystrica,Government organisation
00314544 - Obec Klin,Government organisation
00314676 - Mesto Námestovo,Government organisation
00314692 - Obec Novoť,Government organisation
00314897 - Mesto Trstená,Government organisation
00314901 - Mesto Tvrdošín,Government organisation
00315001 - Obec Zákamenné,Government organisation
00319651 - Mesto Veľký Krtíš,Government organisation
00319805 - Mesto Detva,Government organisation
00320439 - Mesto Zvolen,Government organisation
00320781 - Mesto Kremnica,Government organisation
00321575 - Mesto Rajec,Government organisation
00321699 - Obec Terchová,Government organisation
00321711 - obec Varín,Government organisation
00321737 - obec Veľké Rovné,Government organisation
00321796 - Mesto Žilina,Government organisation
00321842 - Bardejov,Government Organisation
00325813 - Mesto Strážske,Government organisation
00326321 - Obec Lendak,Government organisation
00326518 - Spišská Belá,Government organisation
00328693 - Mesto Revúca,Government organisation
00328758 - Mesto Rožňava,Government organisation
00329061 - Mesto Gelnica,Government organisation
00329282 - Mesto Krompachy,Government organisation
00365327 - Martinská fakultná nemocnica,Government organisation
00397563 - Žilinská univerzita,University
00397610 - TU v Košiciach,University,Technical university ,,,,Technická Univerzita v Košiciach
00397687 - STU Bratislava,University,Technical university 
00397768 - Univerzita Pavla Jozefa Šafárika v Košiciach,University
00397865 - UK BA,Confirm
00398144 - Výpočtové stredisko Slovenskej akadémie,Not found,,,,,Computing Centre of the Slovak Academy
00678678 - MŽP SR,Government organisation,Environment,Ministry of Environment,,,Ministerstvo životného prostredia
MPSVR SR,Government Organisation,Welfare,,,,"Ministry of Labour, Social Affairs and Family Ministerstve práce, sociálnych vecí a rodiny SR "
17058520 - ŠOP SR,Government organisation,Environment,,,,State Nature Conservancy of Slovak Republic
17070775 - Prešovská univerzita,University
17336007 - Fakultná nemocnica Nitra,Confirm,Teaching hospital,,,,Teaching Hospital Nitra
30794536 - UPSVaR - 101073,Government Organisation - Confirm,not found,Ustredie Prace Socialnych Veci a Rodiny - Confirm
30795362 - Centrum vzdelávania MPSVaR SR,Government Organisation,,,,,Centrum vzdelávania Ministerstva práce - Ministry of Labour Education Centre
30807484 - Sociálna poisťovňa,Government Organisation,Social Insurance,,,,Social Insurance
30807506 - ŠPÚ,Government Organisation - Confirm,,,,,"National institute for Education, Slovakia"
31751067 - MVRR SR,Government Organisation - Confirm,,,,,"Ministry of Agriculture, Environment and Regional Development ("
31819494 - Agentúra MŠ SR pre ŠF EÚ,Government organisation
35653001 - SACR,Government owned company ,Tourism,,,,Slovakian Tourist Board
35919001 - NDS a.s.,Government Organisation,5221 - Service activities incidental to land transportation
"36022047 - SVP, š.p.",Government Organisation,Water management,,,,Slovenského vodohospodárskeho podniku 
"36058645 - MILENIUM TRADING, a.s.",Company," 	4671 - Wholesale of solid, liquid and gaseous fuels and related products",,,,In Slovakia though Romanian company
36182508 - AGB ekoservis
"36513458 - Nemocnica Poprad, a.s.",Company,	8610 - Hospital activities
"36513458 - Nemocnica Poprad, a.s.",Company - confirm,8610 - Hospital activities,,"The company is a full service private firm, which is primarily engaged in the management and operation of community hospital providing a range of inpatient and outpatient healthcare services. It was incorporated in February 2006 and has a registered head office located in Poprad, Slovakia.
The company provides a variety of medical care and health services, including primary, emergency, diagnostic, surgical, rehabilitative, and behavioral health care. The hospital is home to centers of excellence in the treatment of sleep disorders, cancer, women's health issues, and cardiovascular ailments. The hospital provides community health and wellness education programs, and operates a regional community health clinic in Poprad.
 "
"36570460 - VVS,a.s. ",Confirm,water
"36672076 - PVS, a.s."
"36672076 - PVS, a.s. ",Confirm,water
36672271 - Vodár. spol. Ružomberok a.s.,Confirm,water?
"36672297 - SeVAK, a.s.",Government owned company,"3600 - Water collection, treatment and supply  - not found","Ing. Jozef Vražel - predseda DR Joseph Slayers - President DR
Ing. Ing. Peter Korec - člen DR Peter Korec - member DR
Ing. Ing. Ján Hartel - člen DR John Hart - member DR
Michal Horecký - člen DR Michal Horecký - member DR
Ing. Ing. Ján Rybárik - člen DR John Rybárik - member DR
JUDr. JUDr. Martin Valky - člen DR Martin Wars - member DR
UDr. Peter Šimko – predseda predstavenstva Peter Simko - Chairman
Ing. Ing. Viliam Mikuláš - podpredseda predstavenstva William Nicholas - Vice Chairman
Ján Dodek – člen predstavenstva John Dodek - Board Member
Jaroslav Fekula - člen predstavenstva Jaroslav Fekula - Board Member
Ing. Ing. Miroslav Kundrík - člen predstavenstva Miroslav Kundrík - Board Member

Výkonné vedenie : Executive Management:
Ing. Ing. Miroslav Kundrík – generálny riaditeľ Miroslav Kundrík - CEO
Ing. Ing. Marián Martinček – výrobný riaditeľ Marian Martinček - Production Manager
Ing. Ing. Jozef Lučivňák - investičný riaditeľ Joseph Lučivňák - Investment Director
Ing. Ing. Milan Psota - technický riaditeľ Milan Psota - Technical Director
Ing. Ing. Oľga Žieriková - obchodno - ekonomický riaditeľ Olga Žieriková - business - finance director
"
36672441 - LVS,Confirm
36767182 - J&M consulting s.r.o. ,Company - confirm ,Plastics?
37808427 - Žilinský samosprávny kraj,Government Organisation,,,,,Žilina Region
3SPARE Sp. z o.o.,Company, 	3832 - Recovery of sorted materials,DARIUSZ BIERYLO/MAREK CZARNIECKI/TOMASZ BARTLOMIEJCZUK
A4E Ltd,Company,9111 - Activities of business and employers organisations,A4E,,Welfare to work
Aalborg Universitet,University
ABAKUS Konsulting R.Żmuda Spółka Jawna,Company,7022 - Business and other management consultancy activities,"MONIKA SANEK ZMUDA 
RAFAL ZMUDA"
ACCENTURE SL ,Company,Consultancy
ADAM NORD GmbH,Company,C18120 - Drucken a. n. g.,"The company is a limited liability firm engaged in commercial printing and other related activities. The firm was incorporated in the year 2005 and conducts business operations from its head office located in Laage, Germany.
The company is principally involved in lithographic, gravure, screen, or flexographic printing) without publishing (except books, grey goods, and manifold business forms). Its processes include letterpress printing and engraving printing. In addition, it purchases stock materials, such as stationery, invitations, labels, and similar items, on a job order basis."
Adamed Sp. z o.o.,Company, 	2120 - Manufacture of pharmaceutical preparations,," 

The company is a privately held company engaged in the manufacture of pharmaceutical preparations. The company was incorporated in 1996. The registered head office of the company is located in Czosnow, Poland.
The company's research and development department has been established to search for effective and modern therapies in the selected therapeutic groups (it is searching the new molecule), and to elaborate and implement modern generic drugs. The company's products include Amlozek (amlodipinum); Areplex (clopidogrelum); Axtil (ramiprilum); Xartan (losartanum kalicum); Selofen (zaleplonum); Zolafren (olanzapinum); Colpexin (intravaginal device); Furaginum (furaginum); Luteina (progesteronum); Milukante (montelukastum); Zafiron (formeteroli fumaras); Anesteloc (pantoprazolum); and Rozalin (dorzolamidum).
The company is a leader on the market of new generation drugs in many therapeutic groups such as cardiology, psychiatry, pulmonology, gynecology and treatment of urinal tract infections. The company aims to invest in research and development. It intends to create the best, world quality products and to enable every patient - modern and safe therapy.
 "
Administração da Região Hidrográfica do Alentejo I.P.,Government organisation - confirm
Administração da Região Hidrográfica do Centro I.P.,Government organisation - confirm
Administração da Região Hidrográfica do Tejo I.P.,Government organisation - confirm
Administração de Região Hidrográfica do Norte I. P.,Government organisation - confirm
Administração dos Portos da Terceira e Graciosa S.A.,Government organisation - confirm
Administração dos Portos das Ilhas de São Miguel e Santa Maria S.A.,Government organisation - confirm
Administração dos Portos do Triângulo e do Grupo Ocidental S.A,Government organisation - confirm
Administração Regional de Saúde do Alentejo IP,Government organisation - confirm
"Administração Regional de Saúde do Centro, Instituto Público",Government Organisation,,,,,"Regional Health Center, Public Institution"
"Administração Regional de Saúde do Centro, Instituto Público",Government Organisation,Health
Administração Regional de Saúde do Norte,Government Organisation
Administrador de infraestructuras Ferroviarias,Government Organisation,4211 - Construction of roads and motorways  
ADMINISTRADOR DE INFRAESTRUCTURAS FERROVIARIAS(ADIF),Confirm,4211 - Construction of roads and motorways  ,,Traffic management and rail infrastructure 
Aero 2 Spółka z ograniczoną odpowiedzialnością,Company,	6120 - Wireless telecommunications activities,KRZYSZTOF ZYTO
AEROPUERTOS ESPAÑOLES Y NAVEGACIÓN AÉREA (MF),Government owned company,5223 - Service activities incidental to air transportation  ,Check
AFPAR,Confirm,,,,,Association pour la Formation Professionnelle des Adultes à la Réunion
AGEFOS PME,Association,9499Z - Other membership organisations based on voluntary membership
AGEFOS PME CHAMPAGNE ARDENNE,Association - confirm
AGEFOS PME Languedoc-Roussillon,Association - confirm
AGEFOS PME MIDI-PYRENEES,Association - confirm
AGEFOS PME PAYS DE LA LOIRE/ POITOU CHARENTES,Association - confirm
AGEFOS PME Pays de Loire Poitou-Charentes,Association - confirm
AGEFOS-PME Rhône-Alpes,Association - confirm
Agence Nationale pour l'Emploi,Government organisation - confirm
Agence nationale pour la cohésion sociale et l'égalité des chances (ACSE),Government Organisation,Employment,French Labour ministry
AGENCIA DE INNOVACION Y DESARROLLO DE ANDALUCIA (IDEA),Government Organisation,"6499 - Other financial service activities, except insurance and pension funding n.e.c.  ",Junta de Analucia
Agência para a Modernização Admnistrativa I.P.,Government organisation - confirm
Agência para a Modernização e Qualidade do Serviço ao Cidadão - RIAC I.P.,Government organisation - confirm
AGENCIA PARA EL EMPLEO ( AYTO. DE MADRID ),Government organisation - confirm
AGÊNCIA PARA O INVESTIMENTO E COMÉRCIO EX- TERNO DE PORTUGAL E P E,Government organisation - confirm
AGENCIA VALENCIANA DEL TURISMO,Confirm
Agencja Rozwoju Lokalnego Sp. z o.o.,Company - confirm,7022 - Business and other management consultancy activities
Agencja Rozwoju Przemysłu S.A.,Government owned company," 	6499 - Other financial service activities, except insurance and pension funding nec",GOVERNMENT OF POLAND,Services: credits; 
"Agencja Rozwoju Regionalnego ""MARR"" S.A.",Government Organisation,Regional development agency
Agency for Exploration and maintenance of Danube River,Not found,Not found
agens e. V.,Unclear
Agentia Nationala Antidrog,Government organisation - confirm
Agenţia Naţională pentru Calificările din Învăţământul Superior şi Parteneriat cu Mediul Economic şi Social,Government organisation - confirm
Agentia Nationala pentru Egalitate de Sanse intre Femei si Barbati (ANES),Government organisation - confirm
Agentia Nationala pentru Ocuparea Fortei de Munca,Government organisation - confirm
Agentia Nationala pentru Programe Comunitare in Domeniul Educatiei si Formarii Profesionale,Government organisation - confirm
Agenţia Naţională pentru Romi,Government Organisation,,,,,National Agency for Roma
Agentia Nationala pentru Sprijinirea Initiativelor Tinerilor,Government organisation - confirm
Agentura pro podporu podnikání a investic CzechInvest,Government Organisation, 	7022 - Business and other management consultancy activities,Ministry of Industry and Trade - Czech Republic,,,Business Development Agency CzechInvest 
Agenzia Nazionale per l’attrazione di investimenti e lo sviluppo d’impresa S.p.A.,Government organisation - confirm
AGENZIA REGIONALE PER L'ISTRUZIONE LA FORMAZIONE E IL LAVORO,Government organisation - confirm
Agenzia Regionale per la Protezione dell'Ambiente (ARPAC),Government organisation - confirm
AGROSTAR,Umbrella organisation for trade unions
AGUAS DE LA CUENCA DEL GUADALQUIVIR (MARM),Government Organisation,4291 - Construction of water projects  ,Ministry of Economy (Spain),,,Waters of the Guadalquivir basin
"AGUAS DE LA CUENCA DEL NORTE, S.A",Government Organisation,"3600 - Water collection, treatment and supply"
"AGUAS DE LA CUENCA DEL TAJO, S.A.",Government Organisation/Company Owned by Government,"3600 - Water collection, treatment and supply  ",,,Owned by minsitry of finance
Aguas de las Cuencas Mediterraneas,Government Organisation,"3600 - Water collection, treatment and supply  ",,Construction and civil engineering. 
AGUAS DE LAS CUENCAS MEDITERRANEAS(ACUAMED),Government Organisation,4291 - Construction of water projects,,"Construction and civil engineering. 
 "
AGUAS DEL DUERO (MARM),Government Organisation,7112 - Engineering activities and related technical consultancy  ,Government / Ministerio de la hacienda,Construction of hydraulic works and civil engineering. 
AIRON INVESTMENT Anna Niemczewska
Akademia Ekonomiczna im. K. Adamieckiego w Katowicach,University - confirm
Akademia Ekonomiczna im. Karola Adamieckiego w Katowicach,University - confirm
Akademia Ekonomiczna im. Oskara Langego we Wrocławiu,University - confirm
Akademia Górniczo Hutnicza,University, 	8542 - Tertiary education,,"	

Services: education; "
Akademia Medyczna im. Piastów Śląskich we Wrocławiu,University,,,,,Medical Academy in Wroclaw
Akademia Morska w Szczecinie,University - confirm
Akademia Muzyczna im. G. i K. Bacewiczów,University - confirm
Akademia Pedagogiczna im. Komisji Edukacji Narodowej w Krakowie,University - confirm
Akademia Pedagogiki Specjalnej im. M. Grzegorzewskiej,University - confirm
Akademia Podlaska,University - confirm
Akademia Sztuk Pięknych we Wrocławiu,University, 	8542 - Tertiary education,State Treasury of  Poland,,,Academy of Fine Arts
Akademia Szybkiej Nauki Tadeusz Buzarewicz,University - confirm
Akademia Techniczno-Humanistyczna w Bielsku-Białej,University - confirm
Akadémia vzdelávania,University - confirm
Akademia Wychowania Fizycznego im. Bronisława Czecha,University - Government Owned company,	8542 - Tertiary education
Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego,University - Government Owned company,	8542 - Tertiary education
Akademia Wychowania Fizycznego Józefa Piłsudskiego,University - Government Owned company,	8542 - Tertiary education,WLASNOSC PUBLICZNA / PUBLIC OWNERSHIP,,,Academy of Physical Education. Eugeniusz Piasecki in Poznan
Akademickie Centrum Komputerowe CYFRONET AGH,Government owned company,7230 - Data processing
Akademickie Inkubatory Przedsiębiorczości,Government Organisation,9499 - Activities of other membership organisations nec- business incubator,,,,Academic Incubators of Entrepreneurship
"Akcinė bendrovė ""KLAIPĖDOS VANDUO"""
"Akcinė bendrovė ""LIETUVOS ENERGIJA""",Government owned company, 	4911 - Electric services,,"The main activities of the company were as follows: transmission system operator, market operator and exporter of electricity. 
 "
"Akcinė bendrovė ""Lietuvos geležinkeliai""",Government owned company," 	4910 - Passenger rail transport, interurban",,,,Lithuanian Railways
alenia composite
Alexandra Instituttet A/S,Non profit company,,,"Alexandra Institute is a nonprofit company
der arbejder med anvendelsesorienteret it-forskning. working with application-oriented research in IT.

Vi har fokus på pervasive computing og vi aktiverer We focus on pervasive computing and we activate
vores medlemmers og kunders udviklingspotentiale our members and customers to develop potential
via forskningsbaseret innovation. through research-based innovation."
Alpla NDM Sp. z o.o.,Company,2222 - Manufacture of plastic packing goods,ALPLA PRIVATSTIFTUNG
Alsó-Tisza Vidéki Környezetvédelmi és Vízügyi Igazgatóság
ALSTOM Power Sp. z o.o.,Company,"2811 - Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",ALSTOM S.A.
Alytaus miesto savivaldybės administracija,Government Organisation,8411 - General public administration activities,,,,Alytus city municipality administration
ANAS spa,Government Organisation,Service activities incidental to land transportation,,Motorways
AQUA-Sopot Sp. z o.o.,Government owned company,4221 - Construction of utility projects for fluids,GMINA I MIASTO/ DISTRICT AND TOWN OF SOPOT
Arso Polański Sp. z o.o.,Company,	1712 - Manufacture of paper and paperboard,"GRAZYNA POLANSKA
-	ZDZISLAW POLANSKI"
ARTHUR D LITTLE SL,Company,Consultancy
ArvinMeritor LVS Liberec a.s.,Company,	2932 - Manufacture of other parts and accessories for motor vehicles
AS EVR Infra,Company,5221 - Service activities incidental to land transportation
AS Narva Vesi,Company,3700 - Sewerage
AS Rakvere Vesi,Company,3700 - Sewerage
Assarel Medet
Association nationale pour la formation professionnelle des adultes,Government owned company,Education
Athlone Institute of Technology Dundalk Institute of Technology Galway Mayo Institute of Technology National University of Galway Letterkenny Institute of Technology Sligo Institute of Technology Blanchardstown Institute of Technology UCC Cork Institute o,University
ATM S.A.,Company,"7379 - Computer related services, not elsewhere classified",," 	

The company's activities comprise the designing and integration of complex computer systems and data transmission networks. it has evolved from przedsiebiorstwo produkcyjne atm (atm production enterprise) - a polish company known for many years in the field of aviation electronics. the headquarters of the company is in warsaw, and its subsidiaries are in gdansk, katowice, krakow and wroclaw. ("
ATS Spółka Akcyjna,Many different companies,Check
Ausbildungsring Potsdam Brandenburg e.V.
AusbildungsringSüdwestsachsen Chemnitz-Plauen-Zwickau GmbH,Company - confirm,MA80422 - Professional training for adults
Ausbildungsverbund Teltow e.V.,Government owned company,Training agency,Potsdam Chamber of Commerce 
AUTO HIT Sp. z o. o.
AUTORIDAD PORTUARIA DE ALGECIRAS,Government Organisation, 5222 - Service activities incidental to water transportation  
AUTORIDAD PORTUARIA DE AVILES,Government Organisation
AUTORIDAD PORTUARIA DE CARTAGENA,Government Organisation, 5222 - Service activities incidental to water transportation  ,,,,CARTAGENA PORT AUTHORITY
AUTORIDAD PORTUARIA DE CASTELLON,Government Organisation
AUTORIDAD PORTUARIA DE FERROL-SAN CIPRIAN,Government Organisation
AUTORIDAD PORTUARIA DE HUELVA,Government Organisation, 	5222 - Service activities incidental to water transportation  ,SOCIEDAD DE ESTIBA Y DESESTIBA DEL PUERTO DE HUELVA A.P.I.E.
AUTORIDAD PORTUARIA DE LAS PALMAS,Government Organisation, 5222 - Service activities incidental to water transportation  - confirm
AUTORIDAD PORTUARIA DE MALAGA,Government Organisation
AUTORIDAD PORTUARIA DE MARIN-PONTEVEDRA,Government Organisation
AUTORIDAD PORTUARIA DE VALENCIA,Government Organisation,5222 - Service activities incidental to water transportation  
AUTORIDAD PORTUARIA DE VIGO,Government Organisation, 5222 - Service activities incidental to water transportation  
AUTORIDAD PORTUARIA DE VILAGARCIA DE AROUSA,Government Organisation
Autorita' portuale di Augusta,Government owned company,Commercial and industrial port - Not found
Autorita' portuale di Gioia Tauro,Government owned company,Commercial and industrial port - Not found,"GIOIA TAURO PORT SECURITY S.R.L.
"
Autorita' portuale di Salerno,Government owned company,Administrative management of port areas; promotion of commercial airports under its jurisdiction - Not found
Autorita' portuale di Taranto,Government owned company
Avian GmbH,Company,"Wholesale trade of fuels, ores, metals and industrial chemicals"
AWM,Government organisation - confirm,,,Advantage West Midlands is the regional development agency (RDA) for the West Midlands. 
Ayuntamiento de Alcalá de Henares,Government Organisation
AYUNTAMIENTO DE BARCELONA,Government Organisation,	8411 - General public administration activities  
Ayuntamiento de Bilbao,Government Organisation
AYUNTAMIENTO DE MADRID,Government Organisation,8411 - General public administration activities  
Ayuntamiento de Plasencia,Government Organisation
Ayuntamiento de Zaragoza,Government Organisation
Bács-Kiskun Megyei Önkormányzat,Government Organisation,,,,,Bacs-Kiskun County
Balex Metal Sp. z o.o.,Company, 	2599 - Manufacture of other fabricated metal products nec,,"The company is a private firm primarily engaged in the manufacture of fabricated metal products. The company specializes in producing steel roof tile, thermal insulation panels, trapezoidal profiles, flat sheet, windows, sandwich panels, construction beams, wall cassettes, wall panels, isolated panels, and non-isolated panels. The company was incorporated in 1996, and has its registered head office in Bolszewo, Poland."
Bangor University,University
Bank Gospodarstwa Krajowego,Government Organisation,6111 - Federal and federally-sponsored credit agencies
Baranya Megyei Önkormányzat,Government Organisation,,,,,Baranya County
bbw Berufsvorbereitungs- und Ausbildungsgesellschaft mbH
Békéscsaba Megyei Jogú Város Önkormányzata,Government Organisation ,,,,,Békéscsaba Municipality
Bełchatowsko Kleszczowski Park Przemysłowo Technologiczny Sp. z o.o.,Government owned company, 	2561 - Treatment and coating of metals,GMINA/DISTRICT OF BELCHATOW,,,Bełchatów Kleszczów Technology Industry Park
Berettyóújfalu Város Önkormányzata
BerufsbildungsvereinLeipzig e.V.
BEST Ltd,Company
Biblioteka Narodowa,Company - confirm,9101 - Library and archives activities
Biblioteka Raczyńskich,Not found,9101 - Library and archives activities,,,,"A public library in Poznan, Poland"
Bildungszentrum Saalfeld GmbH,Government owned company
Bioenergia Oil Sp. z o.o.,Company,	1091 - Manufacture of prepared feeds for farm animals,MER-INVEST SP. Z O.O.
BIOM Sp. z o.o.,Company - confirm
BN FACTORY SPÓŁKA AKCYJNA ,Company,3101 - Manufacture of office and shop furniture,NOWY STYL SP. Z O.O. (ultimate owner: Ronald Stern)
Bora Poland Sp. z o.o.,Company,2433 - Cold forming or folding,E. BORA - S.R.L.
Borsod-Abaúj-Zemplén Megyei Kórház és Egyetemi Oktató Kórház,Government Owned company,Teaching hospital,,,,Borsod-Abaúj-Zemplén County Hospital and University Teaching Hospital
Bruxelles Formation,Government Organisation,public service employment and training.
Budapest Főváros Ökormányzata,Not found,Not found
Budapest Főváros Önkormányzata,Government Organisation,"6311 - Data processing, hosting and related activities",Municipality of Budapest
Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,Company,4931 - Urban and suburban passenger land transport,City of Budapest
Budizol Spółka Akcyjna
Business & Enterprise North East,Not found
Aquanet S.A.,Company
Business and Enterprise North East Limited,Company,business development,,"The company, formerly known as Business Link North East Limited, is a United Kingdom based enterprise engaged in the provision of business and support services. The company was incorporated in the year 2006. Its registered business office is based in Seaham, United Kingdom.
The company operates as a subsidiary of North East Business Support Network For The Tees Valley Limited, a United Kingdom based company engaged in the provision of business services.
As of March 2007, the company operates under the supervision and management of Alastair Angus MacColl, who is the company's managing director. It is affiliated with UNW LLP, which serves as the company's auditor."
C.H. DEL GUADALQUIVIR (MARM),Government Organisation,8411 - General public administration activities  ,"Ministry of Natural Environment, Rural and Marine Environment (Spain) "
Calder Holdings,Company,Welfare to work,,,interesting - dutch owned
CALDERDALE COLLEGE,Company,Further Education
Calvia Sp. z o.o.,Company,4120 - Construction of residential and non-residential buildings 	
Câmara Municipal de Vila Nova de Gaia,Government Organisation
Capgemini,Company,Consultancy
Carbon Trust,Company,7487 - Other business activities not elsewhere classified,,"private company limited by guarantee - We provide specialist support to business and the public sector to help cut carbon emissions, save energy and commercialise low carbon technologies. "
Cardiff University,University
CAREERS ENTERPRISE LTD,Company
Carlow VEC Cavan VEC Clare VEC Cork City VEC Co. Cork VEC Donegal VEC Dublin City VEC Co. Dublin VEC Dun Laoghaire VEC Co. Galway VEC Galway City VEC Kerry VEC Kildare VEC Kilkenny VEC Laois VEC Leitrim VEC Limerick City VEC Co. Limerick VEC Longford VEC,Government Organisation 
Carmarthenshire County,Government Organisation
Cavan VEC Donegal VEC Galway City VEC Co. Galway VEC Laois VEC Leitrim VEC Longford VEC Louth VEC Mayo VEC Monaghan VEC Offaly VEC Roscommon VEC Sligo VEC Westmeath VEC
