beneficiary,normalized_beneficiary
PKP Polskie Linie Kolejowe S.A.,PKP Polskie Linie Kolejowe
PKP Polskie Linie Kolejowe S.A Oddział Regionalny w Szczecinie,PKP Polskie Linie Kolejowe
PKP Polskie Linie Kolejowe Spółka Akcyjna Oddział Regionalny w Poznaniu,PKP Polskie Linie Kolejowe
"""DAKRI- BIS"" Sp. z o.o. ",DAKRI- BIS Sp. z o.o.
DAKRI- BIS Spółka z ograniczoną odpowiedzialnością ,DAKRI- BIS Sp. z o.o.
Akademia Górniczo Hutnicza ,Akademia Górniczo Hutnicza 
Akademia Górniczo-Hutnicza ,Akademia Górniczo Hutnicza 
AGH-Akademia Górniczo Hutnicza im. Stanisława Staszica ,Akademia Górniczo Hutnicza 
Akademia Górniczo – Hutnicza im Stanisława Staszica ,Akademia Górniczo Hutnicza 
Akademia Górniczo Hutnicza im. Stanisława Staszica ,Akademia Górniczo Hutnicza 
Akademia Górniczo-Hutnicza im. Stanisława Staszica ,Akademia Górniczo Hutnicza 
Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ,Akademia Górniczo Hutnicza 
"Akademia Górniczo-Hutnicza, Wydział Fizyki i Informatyki Stosowanej ",Akademia Górniczo Hutnicza 
"Akademia Górniczo - Hutnicza im. Stanisława Staszica w Krakowie Wydział Geologii, Geofizyki i Ochrony Środowiska ",Akademia Górniczo Hutnicza 
Akademia Górniczo - Hutnicza im. Stanisława Staszica w Krakowie 
Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság
Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság.,Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság
