Ref. No,Organisation Name,Project Title,Year Approved,Total Grant Approved,Year Completed,Total Paid Amount,Currency
Sustainable Competitiveness Program,,,,,,,
3103,Spanboard Product...,23/05/2008 Spanbo...,2008,"85,809.00",,"25,172.46",STG
3105,Moore Concrete Pr...,07/05/2008 Moore ...,2008,"85,667.00",,"32,984.65",STG
3106,TIGI (Ireland) Lt...,10/03/2008 TIGI (...,2008,"83,589.00",,0,STG
3107,Donite Plastics L...,Loo 08/0433 Clam...,2008,"9,283.00",,0,STG
3109,A. Diamond & Son ...,19/11/2008 A. Dia...,2008,"82,326.00",,0,STG
3110,Seven Technologie...,Loo 08/0338 Seven...,2008,"7,983.00",,"7,893.00",STG
3113,Belfast Internati...,16/06/2008 Belfas...,2008,"82,848.00",,"5,023.20",STG
3115,Spa-Jet Limited,Loo 08/0218 Acryl...,2008,"5,901.00",,"5,901.00",STG
3117,Nifty Nosh Limite...,Loo 07/0240 Nifty...,2007,"35,000.00",,"34,840.00",STG
3119,Warner Chilcott U...,20/08/2008 Warner...,2008,"75,691.00",,"2,083.59",STG
3120,Web Design Soluti...,Loo 08/1044 Dotre...,2008,"35,000.00",,0,STG
3121,British Telecommu...,13/03/2008 Britis...,2007,"74,992.00",,"46,405.66",STG
3123,Integrated Servic...,02/092008 Integra...,2008,"73,895.00",,"5,912.24",STG
3125,Messrs Shane & Ca...,Loo 08/0534 Messr...,2008,"30,568.00",,"7,776.00",STG
3129,Mr William & Mrs ...,Loo 080236 Child ...,2008,"4,672.00",,0,STG
3130,William Clark & S...,25/02/2008 Willia...,2007,"66,113.00",,"27,606.57",STG
3133,Garage Door Syste...,30/04/2008 Garage...,2008,"64,825.00",,"38,663.91",STG
3134,Oakfield Cabinets...,Lo/BIA/09 Oakfiel...,2008,"25,000.00",,"8,437.50",STG
3135,Fir Trees Hotel S...,06/06/2008 Fir Tr...,2008,"59,847.00",,0,STG
3136,The Postcard Comp...,Loo 08/BIA/22 The...,2009,"40,000.00",,"10,000.00",STG
3137,Marlborough Engin...,18/09/2008 Marlbo...,2008,"59,146.00",,"15,551.00",STG
3138,The McAvoy Group ...,Loo 08/BIA/05 The...,2008,"40,000.00",,"29,000.00",STG
3139,Limavady Gear Com...,17/07/2008 Limava...,2008,"57,538.00",,"25,896.00",STG
3140,Forth & FOyle Lim...,Loo 08/BIA/20 For...,2009,"40,000.00",,0,STG
3141,Sean Nugent Engin...,11/09/2008 Sean N...,2008,"57,112.00",,"29,551.92",STG
3142,J A Graham T/a Re...,Loo 08/0283 Mr J ...,2008,"34,304.00",,"1,779.00",STG
3143,Langford Lodge En...,27/08/2008 Langfo...,2008,"54,690.00",,"11,425.59",STG
3144,"Messrs Vincent, J...",Loo 08/0512 Messr...,2008,"33,400.00",,0,STG
3145,Design By Front L...,11/11/2008 Design...,2008,"52,795.00",,0,STG
3148,C M Precision Com...,09/05/2008 C M Pr...,2008,"50,568.00",,"17,620.20",STG
3149,Belfast City Coun...,Advanced Industry...,2009,"51,866.00",,0,STG
3150,Fluent Technology...,Loo 08/1021 Fluen...,2008,"32,309.00",,"17,616.00",STG
3151,Porta-fill Intern...,Loo 08/0293 Port...,2008,"29,064.00",,"29,064.00",STG
3156,Precision Industr...,25/02/2008 Precis...,2008,"47,060.00",,"23,736.96",STG
3158,Wilson's Country ...,02/09/2008 Wilson...,2008,"42,023.00",,"17,694.58",STG
3159,I-Path Diagnostic...,Loo 80874 I-Path ...,2008,"54,000.00",,"17,788.00",STG
3160,Policy Detective ...,Loo 08/09920 Poli...,2008,"29,186.00",,"21,201.00",STG
3161,Abbey National PL...,02/07/2008 Abbey ...,2008,"41,558.00",,0,STG
3163,R W Pierce Group ...,22/09/2008 R W Pi...,2008,"40,280.00",,0,STG
3164,Taxi and Bus Conv...,lOO 08/1060 Appro...,2008,"18,130.00",,0,STG
3165,Fidessa PLC,04/02/2008 Fidess...,2008,"37,500.00",,"16,689.09",STG
3166,Freeza Meats Limi...,Loo 08/0135 Manuf...,2008,"18,819.00",,"18,819.00",STG
3169,John Mackle (Moy)...,09/12/2008 John M...,2008,"36,983.00",,0,STG
3170,Coyle Fabrication...,Loo 07/0392 Coyle...,2007,"17,890.00",,"11,203.00",STG
71,Vivomed Limited,Loo 07/0928 Vivom...,2007,"17,440.00",,0,STG
3172,Safety Solutions ...,15/12/2008 Safety...,2008,"35,802.00",,"3,282.32",STG
3174,Easability Shower...,Loo 08/1101 Devel...,2008,"10,100.00",,"5,168.00",STG
3179,Mr Sam and Mrs Lo...,13/03/2008 Clough...,2008,"33,940.00",,"27,579.96",STG
3185,Quality Fabricati...,Loo 08/0141 Quali...,2008,"12,414.00",,"9,131.00",STG
3191,BHB Fire & Specia...,Loo 07/0581 Devel...,2007,"12,516.00",,0,STG
3193,Drenagh Sawmills ...,02/06/2008 Drenag...,2008,"30,413.00",,0,STG
