organisation_name,project_title,indicative_award,fund,duration_recommended,project_reference,priority
 The Hydrogen Office Ltd,Hydrogen Office - Hydrogen Technology Optimisation,"486,338.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0459,Priority 1: Progressing Into Employment
 The Hydrogen Office Ltd,Hydrogen Office Wind Turbine Procurement,"275,375.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0425,Priority 1: Progressing Into Employment
 The Robert Gordon University, Developing the ICT Business Base,"285,976.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0312,Priority 1: Progressing Into Employment
 University of Strathclyde,SIPBS Knowledge Exchange Hub,"1,051,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0375,Priority 1: Progressing Into Employment
 University of Strathclyde,SIPBS Knowledge Exchange Hub - Revenue,"524,740.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0374,Priority 1: Progressing Into Employment
 University of the West of Scotland, Inovation in Sensors & Product Design (INSPIRED),"372,822.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0412,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/1/0424, Dundee University,CPGP-Centre for Population Genetics and Ph'cogenomics,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/1/0444, Glasgow Opportunities,Scotland's Innovation Support Marketplace,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/1/0485, Scottish Intellectual Asset Management Ltd, Valuing Intellectual Assets in Knowledge Based Service SMEs,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/1/0334, University of Abertay Dundee, FEAST,European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/1/0335, University of Abertay Dundee, FEAST (Revenue),European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/1/0421, University of Abertay Dundee, Platform Alpha (Revenue),European Regional Development Fund,,,Priority 1: Progressing Into Employment
LUPS/ERDF/2008/2/1/0420, University of Abertay Dundee, Platform Alpha,European Regional Development Fund,,,Priority 1: Progressing Into Employment
 BRAG Enterprises Ltd,Motivate to Innovate," 305,033.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0301,Priority 1: Progressing Into Employment
 Dundee City Council, Enterprising Tayside," 450,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0434,Priority 1: Progressing Into Employment
 East Dunbartonshire, Fit for Growth Programme," 602,250.00",European Regional Development Fund,,LUPS/ERDF/2008/2/2/0437,Priority 1: Progressing Into Employment
