"No of Agreements","Project Ref. No.","Name of Beneficiaries","Name of Operation","Year of Allocation","Amounts Committed","Co-financing Rate [European Social Fund]",,,,,,,,,,,
1,"TAF/076","Engineria Ltd","Assessors Course for Energy Performance ",2009,"€ 711.36",80.00%,,,,,,,,,,,
1,"TAF/077","Mediterranean Insurance Brokers Ltd","Customer Service Excellence",2009,"€ 965.59",70.00%,,,,,,,,,,,
1,"TAF/078","Consolidated Biscuit Co. Ltd","The Psychology of Motivation",2009,"€ 351.00",60.00%,,,,,,,,,,,
1,"TAF/079","Deco Group holdings Ltd","CIEH - Level 2 - Health & Safety at the Workplace",2009,"€ 139.95",80.00%,,,,,,,,,,,
1,"TAF/080","Actavis Ltd","Basic IT Intermediate Course",2009,"€ 324.00",60.00%,,,,,,,,,,,
1,"TAF/082","B & S Contractors Ltd.","Fork Lift Trucks - An Operator's Course",2009,"€ 332.00",70.00%,,,,,,,,,,,
1,"TAF/083","Actavis Ltd","GMP",2009,"€ 1,501.80",60.00%,,,,,,,,,,,
1,"TAF/084","Inspectra","Internal Management Systems Auditing in Laboratories",2009,"€ 340.00",70.00%,,,,,,,,,,,
1,"TAF/085","Baxter","Annual Refresher Course",2009,"€ 150.00",60.00%,,,,,,,,,,,
1,"TAF/086","Baxter","Annual Refresher Course",2009,"€ 150.00",60.00%,,,,,,,,,,,
1,"TAF/087","Baxter","New QA Engineer Training",2009,"€ 1,248.50",60.00%,,,,,,,,,,,
1,"TAF/088","Building and Design Consultants","Assessor's Course for Energy Performance of Buildings",2009,"€ 673.32",80.00%,,,,,,,,,,,
1,"TAF/089","Multivend Service Ltd","Accounting Training",2009,"€ 7,463.20",80.00%,,,,,,,,,,,
1,"TAF/090","Exigy Ltd","Team Development ",2009,"€ 2,184.00",70.00%,,,,,,,,,,,
1,"TAF/091","Malta Maritime Pilots Co-operative Society Limited ","POD and Emergency Course",2009,"€ 60,000.00",80.00%,,,,,,,,,,,
1,"TAF/092","Adpro - Instruments Ltd ","Management Principles",2009,"€ 1,058.40",80.00%,,,,,,,,,,,
1,"TAF/093","Adpro - Instruments Ltd ","Production Planning Technique",2009,"€ 1,191.40",80.00%,,,,,,,,,,,
1,"TAF/094","Adpro - Instruments Ltd ","Material Resource Planning & Management",2009,"€ 459.90",80.00%,,,,,,,,,,,
1,"TAF/095","Baxter Ltd","Annual Refresher Course",200,"€ 62.50",25.00%,,,,,,,,,,,
1,"TAF/096","Biodome (Malta) Ltd","Biodome Technician Training",2009,"€ 603.75",25.00%,,,,,,,,,,,
1,"TAF/097","Actavis Ltd","Basic Fire Awareness",2009,"€ 480.00",60.00%,,,,,,,,,,,
1,"TAF/098","Baxter Ltd","Annual Refresher Course",2009,"€ 150.00",60.00%,,,,,,,,,,,
1,"TAF/099","Baxter Ltd","Annual Refresher Course",2009,"€ 150.00",60.00%,,,,,,,,,,,
1,"TAF/100","Baxter Ltd","Annual Refresher Course",2009,"€ 150.00",60.00%,,,,,,,,,,,
1,"TAF/101","Architecture Project","Assessors Course for Energy Performance ",2009,"€ 730.33",80.00%,,,,,,,,,,,
1,"TAF/102","Joe Azzopardi","Train the Trainer ",2009,"€ 336.00",80.00%,,,,,,,,,,,
1,"TAF/103","Fenci Consulting Ltd","QMS Lead Auditor: ISO 9001",2009,"€ 800.00",80.00%,,,,,,,,,,,
1,"TAF/105","BMW Malta Ltd","MS Powerpoint Advanced",2009,"€ 132.80",60.00%,,,,,,,,,,,
1,"TAF/106","All Controls and More Ltd","Assessors Course for Energy Performance ",2009,"€ 652.70",80.00%,,,,,,,,,,,
1,"TAF/107","Methode Electronics Malta Ltd","PC on Altec & Atlas RCC technology",2009,"€ 364.79",60.00%,,,,,,,,,,,
1,"TAF/108","Seifert Ltd","Lean thinking ",2009,"€ 1,459.32",70.00%,,,,,,,,,,,
1,"TAF/109","Simonds Farsons Cisk Plc","Lean thinking ",2009,"€ 461.21",60.00%,,,,,,,,,,,
1,"TAF/110","Foster Clark Products Ltd","Fork Lift Trucks - A Operators Course",2009,"€ 528",60.00%,,,,,,,,,,,
1,"TAF/111","Foster Clark Products Ltd","Fork Lift Trucks - A Operators Course",2009,"€ 142.20",60.00%,,,,,,,,,,,
1,"TAF/112","Hotset Malta Ltd","E.C.D.L",2009,"€ 420.00",70.00%,,,,,,,,,,,
1,"TAF/113","Westin Dragonara Resort","First Aid Course",2009,"€ 594.00",60.00%,,,,,,,,,,,
1,"TAF/114","Abertax Quality Ltd","Basic First Aid Course",2009,"€ 462.00",70.00%,,,,,,,,,,,
1,"TAF/115","Anthony Fenech Vella","Assessor's Course for Energy Performance of Buildings",2009,"€ 1,082.40",80.00%,,,,,,,,,,,
1,"TAF/116","Metalform Malta Ltd","Quality and Hygiene to Clean Room Workers",2009,"€ 1,685.96",70.00%,,,,,,,,,,,
1,"TAF/117","Frank Salt Real Estate Ltd","Business and Customer Etiquette Workshops",2009,"€ 864.00",80.00%,,,,,,,,,,,
1,"TAF/118","Computime Ltd","Microsoft Exchange Server 2007",2009,"€ 519.79",70.00%,,,,,,,,,,,
1,"TAF/119","Foster Clark Products Ltd","Masters in Business Administration (MBA) Programme",2009,"€ 1,761.02",60.00%,,,,,,,,,,,
1,"TAF/120","Konnekt Talent Search and Selection Co. Ltd","MSc E-Commerce",2009,"€ 4,834.80",80.00%,,,,,,,,,,,
1,"TAF/121","APS Bank Ltd","EMV Training - Mastering EMV Implementation",2009,"€ 1,325.50",25.00%,,,,,,,,,,,
1,"TAF/122","MaltaPost p.l.c.","Custmer Care Course",2009,"€ 1,097.40",60.00%,,,,,,,,,,,
1,"TAF/123","Baxter Ltd.","Annual Refresher Training",2009,"€ 150.00",60.00%,,,,,,,,,,,
1,"TAF/124","Seifert - MTM Systems Malta Ltd","MSc Engineering Design",2009,"€ 6,409.20",70.00%,,,,,,,,,,,
1,"TAF/125","Baxter Ltd.","Lean Enterprise Training",2009,"€ 553.20",60.00%,,,,,,,,,,,
1,"TAF/126","Gutenberg Press Limited","W.S and Measurement System Projects Control",2009,"€ 1,769.60",35.00%,,,,,,,,,,,
1,"TAF/127","Consolidated Biscuit Co. Ltd","Working with Stiavelli Packaging Machines",2009,"€ 1,673.50",25.00%,,,,,,,,,,,
1,"TAF/128","Gutenberg Press Limited","Work Study and Measurement System",2009,"€ 1,769.60",35.00%,,,,,,,,,,,
1,"TAF/129","Gutenberg Press Limited","Process Control of Press Department",2009,"€ 2,292.50",35.00%,,,,,,,,,,,
1,"TAF/130","Actavis Limited","Basic Fire Awareness",2009,"€ 480.00",60.00%,,,,,,,,,,,
1,"TAF/131","Consolidated Biscuit Co. Ltd","Understanding the Rotary Moulder",2009,"€ 1,166.00",25.00%,,,,,,,,,,,
1,"TAF/132","Baxter Ltd.","Annual Refresher Training",2009,"€ 150.00",60.00%,,,,,,,,,,,
1,"TAF/133","Gutenberg Press Limited","Quality Management System (QMS) Lead Auditor Course",2009,"€ 1,190.84",70.00%,,,,,,,,,,,
1,"TAF/134","Hotset Malta Ltd","Preparation, Spot Welding and Checking a Bi Metal Heater",2009,"€ 1,306.34",35.00%,,,,,,,,,,,
1,"TAF/135","Insight Communications Agency Ltd","Adobe Master Classes",2009,"€ 1,254.58",45.00%,,,,,,,,,,,
1,"TAF/138","Grand Hotel Excelsior","Team Coaching Training",2009,"€ 457.62",60.00%,,,,,,,,,,,
1,"TAF/139","Projects in Motion Ltd","MSc Sustainable Environmental Resource Management",2009,"€ 10,000.00",80.00%,,,,,,,,,,,
1,"TAF/140","Attard Bros Co. Ltd","ACCA F9 - Financial Management",2009,"€ 258.30",70.00%,,,,,,,,,,,
1,"TAF/141","Bavarian Technology Systems","Electrical Licence A - Domestic",2009,"€ 912.00",80.00%,,,,,,,,,,,
1,"TAF/142","Methode Electronics Malta Ltd.","HOCC - Wire Preparation",2009,"€ 100.10",25.00%,,,,,,,,,,,
1,"TAF/143","Computime Ltd","Navision Financials and Development Intro",2009,"€ 1,532.70",70.00%,,,,,,,,,,,
1,"TAF/144","Methode Electronics Malta Ltd.","CNC Part Programming Milling",2009,"€ 131.61",25.00%,,,,,,,,,,,
1,"TAF/145","Methode Electronics Malta Ltd.","PC Scheduling Productivity & Organisation",2009,"€ 250.24",25.00%,,,,,,,,,,,
