Toetuse saaja,,Juriidilise isiku vorm,Projekti nim,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,RakendusŸksus,
VŠlisministeerium,70002526,RiiklikudŸksused,Pressiametnike tutvumine EL institutsioonide tššga,83 320,28.01.2010 ... ,†leriiklikud/maakondade vahelised projektid,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
VŠlisministeerium,1046263,RiiklikudŸksused,Muudatuste juhtimine VŠlisministeeriumis meeskondade koostšštreeningu kaudu,297 447,20.01.2010 ... ,†leriiklikud/maakondade vahelised projektid,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
VŠlisministeerium,1046263,RiiklikudŸksused,Juhtimistegevuste analŸŸs VŠlisministeeriumi juhtkonnale,84 864,20.01.2010 ... ,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
VŠikse-ViselŠ O†,11654584,OsaŸhing,Matkasid korraldava ettev›tte tegevuseks vajaliku p›hivara soetamine,50 000,15.09.2009 ... 05.11.2009,Valga maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
VŠike Pariis OŸ,11695347,OsaŸhing,Osalemine inglise suhtluskeele kursusel,4 089,01.02.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
VŠike Mette O†,11659305,OsaŸhing,Keraamikaateljee innovaatiline tŠiendamine,100 000,20.01.2010 ... ,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
V€IKE KARU O†,11670592,OsaŸhing,O† VŠike Karu lastehoiu avamine,50 000,18.08.2009 ... ,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
VŠga Hea O†,11470447,OsaŸhing,LPG massaazitoa avamine,50 000,22.04.2008 ... ,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
V›rumaa Teed AS,11537861,Aktsiaselts,ISO 9001:2008 ja ISO 14001:2004 kvaliteedi- ja keskkonnajuhtimise sŸsteemi loomise arenguprojekt,45 000,09.02.2010 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
V›rumaa Omavalitsuste Liit,80194583,MittetulundusŸhing,V›rumaa ametnike haldusv›imekuse t›stmise koolitusprojekt,680 068,09.05.2008 ... 19.02.2009,V›ru maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
V›rguvara AS,10257131,Aktsiaselts,Turvaseadmete tarkvara alane koolitus 2009,196 200,07.04.2009 ... 10.08.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
