Toetuse saaja,,Juriidilise isiku vorm,Projekti nim,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,RakendusŸksus,
Muinsuskaitseamet,70000958,RiiklikudŸksused,Muinsuskaitseameti keskastmejuhtide arenguprogramm,126 174,24.01.2010 ... ,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Muinasmššbel O†,11572573,OsaŸhing,Mššblitšškoja avamine,50 000,07.04.2009 ... ,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MT† Uus Sild,80145184,MittetulundusŸhing,Koos saame hakkama,9 443 775,15.06.2009 ... ,Ida-Viru maakond,1.3.1 Kvalifitseeritud tššj›u pakkumise suurendamine,ESF,Sihtasutus INNOVE,2007-2013
MT† Sotsiaalse Rehabilitatsiooni Keskus,80052301,MittetulundusŸhing,VŠikese konkurentsiv›imega inimeste abistamine tššturule sisenemisel,3 722 908,29.04.2009 ... ,Maakondade koostššprojekt,1.3.1 Kvalifitseeritud tššj›u pakkumise suurendamine,ESF,Sihtasutus INNOVE,2007-2013
MT† P›lvamaa Omavalitsuste Liit,80190931,MittetulundusŸhing,Majandusarengu juhtimine kohalikul ja regionaalsel tasandil,440 660,26.11.2008 ... ,†leriiklikud/maakondade vahelised projektid,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
MT† Partnerlus,80169397,MittetulundusŸhing,E-tšš tugiteenusega tšštust tššandjaks,1 710 000,18.05.2009 ... ,Maakondade koostššprojekt,1.3.1 Kvalifitseeritud tššj›u pakkumise suurendamine,ESF,Sihtasutus INNOVE,2007-2013
MT† LŠŠnemaa Omavalitsuste Liit,80191267,MittetulundusŸhing,LŠŠnemaa omavalitsuste juhtivtšštajate pŠdevuse t›stmine,260 649,09.05.2008 ... 05.03.2009,LŠŠne maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
MT† LOOVALT TULEVIKKU,80288305,MittetulundusŸhing,Kaasav ja kaasaegne kunsti›pe,1 649 971,23.10.2009 ... ,†leriiklikud/maakondade vahelised projektid,"1.1.7 Kooli poolelijŠtmise vŠhendamine, haridusele juurdepŠŠsu suurendamine ning ›ppe kvaliteedi parandamine",ESF,Sihtasutus INNOVE,2007-2013
MT† Johannes Mihkelsoni Keskus,80093754,MittetulundusŸhing,Tartu ja Tartumaa tšškeskus Ğ riskirŸhmade h›ivesse toomine lŠbi kombineeritud tššh›ivemeetmete ja tugiisikuteenuse,4 737 729,12.06.2009 ... ,Tartu maakond,1.3.1 Kvalifitseeritud tššj›u pakkumise suurendamine,ESF,Sihtasutus INNOVE,2007-2013
MT† Erivajadustega Laste Tugikeskus Sinilill,80012951,MittetulundusŸhing,Puudega inimeste tššturule sisenemine ja tšštamise toetamine lŠbi kaitstud ja toetatud tšš v›imalustega,4 479 627,27.04.2009 ... ,Valga maakond,1.3.1 Kvalifitseeritud tššj›u pakkumise suurendamine,ESF,Sihtasutus INNOVE,2007-2013
MS€risŸsteemid O†,10538261,OsaŸhing,MS€risŸsteemid O† SAP All-in-One konsultantide koolitus,139 515,16.04.2009 ... 17.08.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MSP Projekt O†,10967524,OsaŸhing,Koolitus tššs kasutatavate arvutiprogrammide tŠiend›ppeks,13 000,23.11.2009 ... ,PŠrnu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MS Music O†,11672659,OsaŸhing,O† MS Music,94 800,03.11.2009 ... ,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MS Balti Trafo O†,10153561,OsaŸhing,Ettev›tte arengu alane strateegiline n›ustamine,36 000,21.08.2008 ... 30.10.2008,PŠrnu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MS Balti Trafo O†,10153561,OsaŸhing,Koolitusprojekt 'MS Balti Trafo 2008',73 894,29.10.2008 ... 09.02.2010,PŠrnu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MP&Puitmeister O†,10843455,OsaŸhing,Tšštajate koolitus,5 800,06.10.2009 ... 08.02.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Morras O†,11693302,OsaŸhing,Teenuste ja ettev›tte p›hitegevuse arendus,15 000,28.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MootorReisi AS,10092807,Aktsiaselts,Bussijuhtide ja nende otseste juhtide arendamise programm,72 650,17.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Mooste Linakoda O†,11260299,OsaŸhing,Lauaetikett,1 200,08.12.2009 ... ,P›lva maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Mooring O†,11291704,OsaŸhing,Eesti Vabariigi Seadusandluse- ja RT juhendite muudatused,9 300,06.11.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Moonirull O†,11441144,OsaŸhing,KirsimŠe kohviku arendamine,163 300,15.07.2008 ... ,Viljandi maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Montessori Lastekeskus O†,11618128,OsaŸhing,Montessori Lastekeskus,99 743,09.11.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Monoliit O†,10715533,OsaŸhing,Integreeritud juhtimissŸsteemi arendusprojekt (standardid ISO 9001 ja ISO 14001),42 500,16.12.2008 ... 02.06.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Molemaster O†,11477917,OsaŸhing,PinnalŠbistustššd,50 000,01.04.2009 ... 28.09.2009,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Moku Puit O†,11886165,OsaŸhing,JŠrkamismasina ostmine,99 400,21.01.2010 ... ,J›geva maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Modulare Grupp O†,11491024,OsaŸhing,KvaliteedijuhtimissŸsteemi vŠljatšštamine ja juurutamine ISO 9001:2008 standardi baasil,35 000,19.03.2009 ... 30.07.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MMC&HC Selts,80115579,Aktsiaselts,Iseseisvalt ellu!,3 118 766,28.04.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.3.1 Kvalifitseeritud tššj›u pakkumise suurendamine,ESF,Sihtasutus INNOVE,2007-2013
MLXX Invest O†,11048139,OsaŸhing,firma kasvustrateegia koolitus,15 000,15.10.2009 ... 18.01.2010,LŠŠne-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MJB O†,10773772,OsaŸhing,Internet konsultatsioon ettevalmistamine,4 600,05.10.2009 ... 06.01.2010,LŠŠne-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
mittetulundusŸhing Saaremaa Íppekeskus,80083846,MittetulundusŸhing,Info- ja n›ustamisteenuse abiga aktiivsesse ellu ning tššle,1 233 000,11.11.2009 ... ,Saare maakond,1.3.3 Tššlesaamist toetavad hoolekandemeetmed,ESF,Sihtasutus INNOVE,2007-2013
mittetulundusŸhing Integratsiooni †hiskondlik Algatuskeskus,80035863,MittetulundusŸhing,SŸsteemsete meetmete kompleks erinevatesse riskirŸhmadesse kuuluvate isikute efektiivsemaks integreerimiseks tššturule,8 110 905,05.05.2009 ... ,Maakondade koostššprojekt,1.3.1 Kvalifitseeritud tššj›u pakkumise suurendamine,ESF,Sihtasutus INNOVE,2007-2013
MittetulundusŸhing EESTI VAIMSE TERVISE †HING,80010432,MittetulundusŸhing,"Eritasemeline psŸhholoogiline abi riskigruppi kuuluvatele inimestele,kellel on oht vŠlja langeda tššturult ja neile,kes sisenevad tššturule",1 765 566,02.11.2009 ... ,Harju maakond,1.3.3 Tššlesaamist toetavad hoolekandemeetmed,ESF,Sihtasutus INNOVE,2007-2013
MittetulundusŸhing Eesti MittetulundusŸhingute ja Sihtasutuste Liit,80005069,MittetulundusŸhing,Mittetulunduslikud esindusorganisatsioonid kui v›rdvŠŠrsed partnerid riiklike otsuste planeerimisel ja elluviimisel,1 393 920,20.10.2008 ... ,Harju maakond,1.5.1 Avaliku sektori asutuste ja mittetulundusŸhingute strateegilise juhtimise t›stmine,ESF,Riigikantselei,2007-2013
MittetulundusŸhing CARITAS EESTI,80005460,MittetulundusŸhing,Noored emad taas kooli ja/v›i tššle,2 708 645,11.11.2009 ... ,Maakondade koostššprojekt,1.3.3 Tššlesaamist toetavad hoolekandemeetmed,ESF,Sihtasutus INNOVE,2007-2013
mittetulundusŸhing AVITUS,80243366,MittetulundusŸhing,Uus Algus,1 123 574,21.10.2009 ... ,Harju maakond,1.3.3 Tššlesaamist toetavad hoolekandemeetmed,ESF,Sihtasutus INNOVE,2007-2013
MittetulundusŸhing ãLahedad Naised LahedaltÒ (LNL,80248719,MittetulundusŸhing,P›lva- ja V›rumaa ›pi-ja kŠitumisraskustega noortele suunatud turvaline ja motiveeriv v›rgustikutšš,1 970 850,21.10.2009 ... ,†leriiklikud/maakondade vahelised projektid,"1.1.7 Kooli poolelijŠtmise vŠhendamine, haridusele juurdepŠŠsu suurendamine ning ›ppe kvaliteedi parandamine",ESF,Sihtasutus INNOVE,2007-2013
Mira Ehitusmaterjalid O†,10346900,OsaŸhing,Tootmisjuhtide arenguprogrammi koolitustel osalemine ja ettev›tte tootmisohje sŸsteemi vŠljaarendamise alane n›ustamisprojekt,45 300,29.10.2008 ... 09.04.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Minikopp O†,11421101,OsaŸhing,O† Minikopp teenuste valiku laiendamine,48 735,20.05.2008 ... ,Saare maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Minikaevur O†,11497297,OsaŸhing,Miniekskavaatoriga kaevetššde tegemine,49 966,26.06.2008 ... 13.07.2009,V›ru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Mini-Maksi O†,10519795,OsaŸhing,Minimaksi koolitusprojekt,40 202,29.07.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Ming Men O†,11423011,OsaŸhing,T……ALASE KVALIFIKATSIOONI TÍSTMINE,14 260,08.12.2009 ... ,LŠŠne maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MindArt O†,11516646,OsaŸhing,Íppetarkvara tootmise litsentsi omandamine,78 000,18.11.2008 ... 12.03.2009,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Milectria Est O†,11310695,OsaŸhing,Kaabli ja juhtmeliini soetamine,500 000,08.12.2009 ... ,PŠrnu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Miidel Spongout O†,11479558,OsaŸhing,O† Miidel Spongout,50 000,02.09.2008 ... 09.03.2009,J›geva maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MicroLink Eesti AS,10111249,Aktsiaselts,MicroLinki tšštajate tššalase efektiivsuse t›stmine II,67 500,19.05.2009 ... 05.11.2009,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MicroLink Eesti AS,10111249,Aktsiaselts,MicroLinki tšštajate tššalase efektiivsuse t›stmine I,227 006,07.04.2009 ... 12.08.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MicroLink Eesti AS,10111249,Aktsiaselts,MicroLinki juhtide ja personalitšštajate tššalaste suhtluskompetentside arendamine,42 182,04.11.2008 ... 31.03.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MicroLink Eesti AS,10111249,Aktsiaselts,MicroLinki tšštajate tššalase efektiivsuse t›stmine III,129 859,03.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Micrafor O†,10504115,OsaŸhing,MŠrka ja usalda!,15 000,03.09.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MHV Elektrikontroll O†,11480339,OsaŸhing,Ettev›tte koolitusplaan 2010,14 985,11.02.2010 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Metus-Est AS,10195826,Aktsiaselts,Metus-Est organisatsioonikultuuri arendamine ja koostšš t›hustamine,35 850,12.08.2008 ... 18.03.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Metsaj›e puhkemaja O†,11464553,OsaŸhing,Turismitalu rajamine,47 663,08.07.2008 ... ,JŠrva maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MetEst Metall O†,11203338,OsaŸhing,Integreeritud juhtimissŸsteemi arendusprojekt,48 500,16.10.2008 ... 22.01.2009,Viljandi maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Metalboss O†,11614358,OsaŸhing,METALBOSS metallitšškoda,50 000,25.06.2009 ... 10.09.2009,PŠrnu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Meta-Profit O†,10116867,OsaŸhing,Tšštajate arendamine ja tŠiendamine tššalase edukuse t›stmiseks,15 000,06.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Mesimumm O†,11592239,OsaŸhing,Tikkimismasina soetamine,50 000,07.07.2009 ... 03.11.2009,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Merryday O†,11578802,OsaŸhing,Helen Doron Early English Viimsi Huvikool,49 267,02.06.2009 ... 29.12.2009,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Merit Tarkvara AS,10254977,Aktsiaselts,Tarkvarade Merit Aktiva ja Merit Palk versiooniuuenduste mŸŸk,15 000,22.10.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Merianto O†,11009091,OsaŸhing,JuhtimissŸsteemi juurutamine,49 500,17.11.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Meri ja PŠike O†,11369620,OsaŸhing,Massššri tŠiendkoolitus,14 900,30.10.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Melior Projekt O†,11709144,OsaŸhing,A-pŠdevus,12 232,23.10.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Meleco AS,10089662,Aktsiaselts,Uue brŠndi vŠljatšštamine,47 500,13.01.2009 ... 25.08.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Meleco AS,10089662,Aktsiaselts,Majandustarkvara MS Dynamics NAV koolitus Meleco AS tšštajatele,151 050,01.09.2009 ... 21.01.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Melbra O†,11108427,OsaŸhing,Tehniliste projektide koostamise koolitus,62 250,29.10.2009 ... 15.02.2010,Valga maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MEIVERI O†,10072710,OsaŸhing,ToiduhŸgieenikoolitus,6 000,10.12.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Meistri Auto O†,11664128,OsaŸhing,Meistri Auto,95 000,28.10.2009 ... ,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Meinson Konsultatsioonid O†,10890319,OsaŸhing,Holistiline psŸhhoteraapia,15 000,21.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Meiker M O†,10544439,OsaŸhing,Suhtlemine Euroopa lŠvepakul,2 100,10.11.2009 ... ,LŠŠne maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Megaram O†,11023694,OsaŸhing,O† Megaram kvaliteedijuhtimisŸsteemi alaste oskuste ja teadmiste integreerimine raamatupidamisteenusega,26 000,26.01.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Megaram O†,11023694,OsaŸhing,Megaram O† kvaliteedijuhtimise koolitused,15 000,15.09.2009 ... 21.01.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Megalux O†,11446733,OsaŸhing,Massaa_ialane tŠiendkoolitus,15 000,04.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Meelis Koppel FIE,11703590,FŸŸsilisest isikust ettev›tja,Veoautode rehvitššde kŠivitamine,100 000,29.09.2009 ... ,V›ru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Meedium Marketing O†,11578363,OsaŸhing,O† Meedium Marketing konkurentsiv›ime suurendamine,15 000,07.10.2009 ... 07.01.2010,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Meedium Marketing O†,11578363,OsaŸhing,O† Meedium Marketing Šritegevuse laiendamine,17 986,15.09.2009 ... 20.11.2009,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MeediaAbi O†,11309597,OsaŸhing,Moe ja trenditoodete turundusalaste teadmiste ja praktiliste oskuste tŠiendamine,15 000,11.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Medisoft AS,10047646,Aktsiaselts,Tarkvara rahvusvaheline testimisalane koolitus ISTQB (International Software Testing Qualifications Board) Foundation Level taseme sertifikaadi omandamiseks,61 825,29.09.2009 ... 10.11.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Medicenter O†,11055369,OsaŸhing,1. Eesti Vabariigi Seadusandluse - ja RT juhendite muudatused 2. IngliseŠrikeel,15 000,19.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Media House O†,10303291,OsaŸhing,Meeskonnakoolitus,35 000,14.07.2009 ... 12.10.2009,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Meconet AS,10679955,Aktsiaselts,AS Meconet integreeritud kvaliteedi- ja keskkonnajuhtimissŸsteemi puudutava juhtimissŸsteemi osa Ÿlesehitamine ning selle olemasolevaga kvaliteedisŸsteemiga integreerimine,30 000,10.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Mayeri Industries AS,10039055,Aktsiaselts,Tššalane tŠiendkoolitus tootmise planeerimise ja juhtimise ning laoarvestuse majandustarkvara ROOL kasutamiseks,35 200,28.01.2010 ... ,J›geva maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Mayeri Industries AS,10039055,Aktsiaselts,Koolitus vŠiksema ja keskmise mahuga bioetanooli tootmisŸksuse rajamiseks,33 250,21.01.2010 ... ,J›geva maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Mayeri Industries AS,10039055,Aktsiaselts,N›ustamisteenus teemal: pesupesemisgeeli pouchbag-pakendi disainilahenudse vŠljatšštamine ja juurutamine. N›ustamisteenus: Mayeri.ee internetilehekŸlje disainilahenuduse vŠljatšštamine ja juurutamine,90 000,29.01.2010 ... ,J›geva maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Mayeri Industries AS,10039055,Aktsiaselts,N›ustamisteenus teemal: pindaktiivsete ainete tootmise vŠljaarendamine kohaliku tooraine baasil,45 000,26.01.2010 ... ,J›geva maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Max Disain O†,11050691,OsaŸhing,juhtimiskoolitus,13 795,21.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Maves AS,10097377,Aktsiaselts,Tšštajate kvalifikatsiooni suurendamine lŠbi erinevate koolitusprogrammide,12 010,16.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Maurer&Mei O†,11582138,OsaŸhing,"TŠiend›pe Tartu Tervisekoolis 01.01.2010-30.12.2010, Tervisen›ustaja litsents 4925HTM",14 849,28.01.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Maurellis O†,10453978,OsaŸhing,Eesti FototurismieskuseŠristrateegia vŠljatšštamine,35 000,07.05.2009 ... 07.07.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MAUMAN EESTI O†,11553653,OsaŸhing,Soodapritstehnoloogia juurutamine Eestis,100 000,30.12.2009 ... ,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Matu Lastekeskus O†,11533024,OsaŸhing,Raamatupidaja-finantsist,15 000,04.02.2010 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Mattias Konsultatsioonid O†,10808594,OsaŸhing,PsŸhhoteraapia koolitus,15 000,17.12.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Mattar Arendus O†,11498167,OsaŸhing,O† Mattar Arendus,50 000,05.02.2009 ... 16.04.2009,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Matias WB O†,11151972,OsaŸhing,Eriline teenindus 2009/10 hooajal toitlustusettev›ttes tavalise teeninduse asemele,15 000,05.01.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Matadorfix O†,11448652,OsaŸhing,"Ettev›te, mis osutab teenuseid s›iduautode hoolduse ja remondi, tegevuse arendamine",199 973,26.02.2009 ... ,Ida-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
MasterLux O†,11415626,OsaŸhing,Vasalemma marmor,96 350,06.05.2008 ... ,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Massaa_is›ber O†,11539771,OsaŸhing,Oskused viivad edasi,15 000,19.02.2010 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Martvar Auto O†,11379528,OsaŸhing,Rehvitšškoja kŠivitamine,50 000,29.07.2008 ... 09.02.2009,V›ru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Mart Siilmann,11574589,FŸŸsilisest isikust ettev›tja,Keeleoskuse taseme t›stmine,12 144,17.02.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Marole O†,11006075,OsaŸhing,Marole O† Seedri puhketalu tšštajate turundusalaste teadmiste ja oskuste t›stmine,11 000,09.12.2009 ... ,V›ru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Marje Mitt FIE,11495529,FŸŸsilisest isikust ettev›tja,Kesklinna massaazisalong,40 650,04.11.2008 ... 08.10.2009,Saare maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
