Toetuse saaja,Registrikood,Juriidilise isiku vorm,Projekti nimi,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,Rakendusüksus,Programmperiood
KÜ Paimaja 14 ,80065700,Mittetulundusühing ,KÜ Paimaja 14 ,13 000 ,22.01.2010 ... 01.02.2010 ,Pärnu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Paide Vainu 6 ,80181783,Mittetulundusühing ,KÜ Paide Vainu 6 ,11 859 ,16.09.2008 ... 01.10.2008 ,Järva maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Paide Roheline 13 ,80177497,Mittetulundusühing ,KÜ Paide Roheline 13 ,1 750 ,04.12.2008 ... 06.01.2009 ,Järva maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Paide Ristiku 3 ,80167553,Mittetulundusühing ,KÜ Paide Ristiku 3 ,8 850 ,21.11.2008 ... 16.12.2008 ,Järva maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Paide Pikk 4 ,80254737,Mittetulundusühing ,KÜ Paide Pikk 4 ,2 655 ,17.11.2008 ... 10.12.2008 ,Järva maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Paide Kure 7 ,80143245,Mittetulundusühing ,KÜ Paide Kure 7 ,17 499 ,10.03.2009 ... 15.04.2009 ,Järva maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Paide Aasa 7 ,80177267,Mittetulundusühing ,KÜ Paide Aasa 7 ,5 320 ,27.07.2009 ... 14.10.2009 ,Järva maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Pagusoo ,80095090,Mittetulundusühing ,KÜ Pagusoo ,6 000 ,03.07.2009 ... 22.07.2009 ,Lääne-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Pagusoo ,80095090,Mittetulundusühing ,KÜ Pagusoo ,5 900 ,18.08.2008 ... 24.09.2008 ,Lääne-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Paekaare 8 ,80181470,Mittetulundusühing ,KÜ Paekaare 8 ,11 800 ,17.11.2008 ... 10.12.2008 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Paekaare 70 ,80022820,Mittetulundusühing ,KÜ Paekaare 70 ,5 000 ,16.12.2009 ... 29.12.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Paekaare 36 ,80173447,Mittetulundusühing ,KÜ Paekaare 36 ,7 500 ,18.11.2009 ... 29.12.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Paekaare 28 ,80184913,Mittetulundusühing ,KÜ Paekaare 28 ,7 500 ,14.04.2009 ... 12.05.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Paekaare 2 ,80160433,Mittetulundusühing ,KÜ Paekaare 2 ,6 000 ,29.04.2009 ... 03.06.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Pae 56 ,80022278,Mittetulundusühing ,KÜ Pae 56 ,7 000 ,29.04.2009 ... 03.06.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Pae 39 ,80066585,Mittetulundusühing ,KÜ Pae 41 ,6 333 ,10.11.2008 ... 01.12.2008 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Pae 39 ,80066585,Mittetulundusühing ,KÜ Pae 39 ,6 333 ,10.11.2008 ... 01.12.2008 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Pae 39 ,80066585,Mittetulundusühing ,KÜ Paekaare 4 ,6 333 ,10.11.2008 ... 01.12.2008 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Paasiku 9 ,80256788,Mittetulundusühing ,KÜ Paasiku 9 ,5 900 ,02.02.2010 ...  ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Paasik ,80075236,Mittetulundusühing ,KÜ Paasik ,7 249 ,16.12.2009 ... 29.12.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Paala Maja ,80251348,Mittetulundusühing ,KÜ Paala Maja ,4 750 ,08.02.2010 ...  ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Outokumpu 15 ,80189394,Mittetulundusühing ,KÜ Outokumpu 15 ,10 000 ,09.09.2008 ... 30.09.2008 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Oru-Kesk 4 ,80274852,Mittetulundusühing ,KÜ Oru-Kesk 4 ,6 000 ,25.09.2009 ... 09.11.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Oru-Kase 6 ,80274869,Mittetulundusühing ,KÜ Oru-Kase 6 ,6 500 ,17.09.2009 ... 09.11.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Oru- Kesk 2 ,80274970,Mittetulundusühing ,KÜ Oru- Kesk 2 ,6 000 ,12.10.2009 ... 11.11.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Oru Virmalise 11 ,80250610,Mittetulundusühing ,KÜ Oru Virmalise 11 ,6 500 ,17.12.2008 ... 06.01.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Oru Kesk 18 ,80274875,Mittetulundusühing ,KÜ Oru Kesk 18 ,5 500 ,01.10.2009 ... 11.11.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
"KÜ Olgina 3,9 ",80189075,Mittetulundusühing ,"KÜ Olgina 3,9 ",6 000 ,10.09.2008 ... 22.10.2008 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Olgina 3 ,80265729,Mittetulundusühing ,KÜ Olgina 3 ,2 700 ,09.11.2009 ... 24.11.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Olgina 3 ,80265729,Mittetulundusühing ,KÜ Olgina 3 ,10 620 ,10.12.2008 ... 06.01.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Olevi 30 ,80162515,Mittetulundusühing ,KÜ Olevi 30 ,8 000 ,19.06.2009 ... 22.07.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Olevi 13 ,80236366,Mittetulundusühing ,KÜ Olevi 13 ,8 000 ,05.09.2008 ... 24.09.2008 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Oja 35 ,80241901,Mittetulundusühing ,KÜ Oja 35 ,12 600 ,22.09.2009 ... 09.11.2009 ,Pärnu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Oja 34 ,80254588,Mittetulundusühing ,KÜ Oja 34 ,5 900 ,28.08.2008 ... 24.09.2008 ,Pärnu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Ogonjok ,80015984,Mittetulundusühing ,KÜ Ogonjok ,7 000 ,17.11.2008 ... 10.12.2008 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Näpi Pärnad ,80021625,Mittetulundusühing ,KÜ Näpi Pärnad ,7 200 ,10.08.2009 ... 28.10.2009 ,Lääne-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Näpi Pärnad ,80021625,Mittetulundusühing ,KÜ Näpi Pärnad ,3 400 ,03.07.2009 ... 22.07.2009 ,Lääne-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Näituse 23/1 ,80061530,Mittetulundusühing ,KÜ Näituse 23/1 ,4 189 ,03.07.2009 ... 22.07.2009 ,Lääne-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Näituse 19 ,80006531,Mittetulundusühing ,KÜ Näituse 19 ,4 950 ,16.10.2009 ... 11.11.2009 ,Tartu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Näituse 19 ,80006531,Mittetulundusühing ,KÜ Näituse 19 ,7 500 ,16.10.2009 ... 24.11.2009 ,Tartu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Nõo Kivi-4 ,80062377,Mittetulundusühing ,KÜ Nõo Kivi-4 ,6 450 ,09.09.2008 ... 24.09.2008 ,Tartu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Nõlvaku ,80066177,Mittetulundusühing ,KÜ Nõlvaku ,8 850 ,09.12.2009 ... 29.12.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Nurmelill ,80255079,Mittetulundusühing ,KÜ Nurmelill ,8 870 ,31.12.2009 ... 01.02.2010 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Nurme 2A ,80082742,Mittetulundusühing ,KÜ Nurme 2A ,6 000 ,29.08.2008 ... 24.09.2008 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Nord ,80122912,Mittetulundusühing ,KÜ Nord ,5 750 ,22.09.2009 ... 09.11.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Niinemaja 4 ,80172809,Mittetulundusühing ,KÜ Niinemaja 4 ,5 900 ,13.11.2008 ... 10.12.2008 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Niidi 40/42 ,80148679,Mittetulundusühing ,KÜ Niidi 40/42 ,9 440 ,11.09.2009 ... 02.11.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Niidi 40/42 ,80148679,Mittetulundusühing ,KÜ Niidi 40/42 ,4 855 ,14.08.2009 ... 28.10.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Neli Kaske ,80044738,Mittetulundusühing ,KÜ Neli Kaske ,6 450 ,17.09.2009 ... 09.11.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Nelgi 31 ,80022613,Mittetulundusühing ,KÜ Nelgi 31 ,5 550 ,31.12.2009 ... 01.02.2010 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Narva T_aika ,80050087,Mittetulundusühing ,KÜ Narva T_aika ,6 000 ,29.08.2008 ... 24.09.2008 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Narva Tallinna mnt. 11 ,80033692,Mittetulundusühing ,KÜ Narva Tallinna mnt. 11 ,13 500 ,18.03.2009 ... 06.05.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Narva mnt.3 Voka ,80250231,Mittetulundusühing ,KÜ Narva mnt.3 Voka ,7 890 ,15.01.2010 ... 01.02.2010 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Narva mnt.3 Voka ,80250231,Mittetulundusühing ,KÜ Narva mnt.3 Voka ,5 000 ,22.09.2009 ... 11.11.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Narva mnt . 78 ,80272971,Mittetulundusühing ,KÜ Narva mnt. 78 ,3 990 ,05.01.2010 ... 01.02.2010 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Narva Lootus ,80265468,Mittetulundusühing ,KÜ Narva Lootus ,7 000 ,30.03.2009 ... 06.05.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Narv-Keskring ,80180393,Mittetulundusühing ,KÜ Narv-Keskring ,10 797 ,14.09.2009 ... 03.11.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Narv-Keskring ,80180393,Mittetulundusühing ,KÜ Narva-Keskring 2 ,6 000 ,18.03.2009 ... 06.05.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Narv-Keskring ,80180393,Mittetulundusühing ,KÜ Narva-Keskring 3 ,6 000 ,18.03.2009 ... 06.05.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Narv-Keskring ,80180393,Mittetulundusühing ,KÜ Narv-Keskring ,10 620 ,05.03.2009 ... 14.04.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Narv-Keskring ,80180393,Mittetulundusühing ,KÜ Narva-Keskring 1 ,6 000 ,18.03.2009 ... 06.05.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Nartall-22 ,80198068,Mittetulundusühing ,KÜ Nartall-22 ,6 000 ,12.12.2008 ... 06.01.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Nartall-18 ,80204515,Mittetulundusühing ,KÜ Nartall-18 ,6 000 ,01.09.2008 ... 24.09.2008 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Nartall-18 ,80204515,Mittetulundusühing ,KÜ Nartall-18 ,12 500 ,11.11.2009 ... 24.11.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Nafta 12 ,80022180,Mittetulundusühing ,KÜ Nafta 12 ,4 130 ,12.02.2010 ...  ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Nade_da ,80025238,Mittetulundusühing ,KÜ Nade_da ,6 000 ,21.11.2008 ... 16.12.2008 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Märja 9 ,80120356,Mittetulundusühing ,KÜ Märja 9 ,8 450 ,21.10.2009 ... 24.11.2009 ,Tartu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Märja 12 ,80139350,Mittetulundusühing ,KÜ Märja 12 ,13 380 ,13.01.2010 ... 01.02.2010 ,Tartu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Märja 12 ,80139350,Mittetulundusühing ,KÜ Märja 12 ,5 900 ,10.08.2009 ... 28.10.2009 ,Tartu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Männiku tee 95 ,80167375,Mittetulundusühing ,KÜ Männiku tee 95 ,4 140 ,13.01.2010 ... 01.02.2010 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Mäekalda ,80016015,Mittetulundusühing ,KÜ Mäekalda ,13 275 ,21.07.2009 ... 14.10.2009 ,Lääne-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Mäe 29 Kunda ,80250834,Mittetulundusühing ,KÜ Mäe 29 Kunda ,2 419 ,17.09.2008 ... 22.10.2008 ,Lääne-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Mõnus Kodu ,80074308,Mittetulundusühing ,KÜ Mõnus Kodu ,7 000 ,09.09.2008 ... 24.09.2008 ,Järva maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Mõisavahe 9 ,80051750,Mittetulundusühing ,KÜ Mõisavahe 9 ,7 000 ,12.08.2009 ... 28.10.2009 ,Tartu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Mõisavahe 41 ,80019960,Mittetulundusühing ,KÜ Mõisavahe 41 ,7 000 ,05.09.2008 ... 24.09.2008 ,Tartu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Mõisavahe 37 ,80016920,Mittetulundusühing ,KÜ Mõisavahe 37 ,7 950 ,30.03.2009 ... 06.05.2009 ,Tartu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Mõisavahe 16 ,80026812,Mittetulundusühing ,KÜ Mõisavahe 16 ,6 450 ,14.09.2009 ... 02.11.2009 ,Tartu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Mõisa tee 9 ,80038784,Mittetulundusühing ,KÜ Mõisa tee 9 ,6 000 ,29.08.2008 ... 24.09.2008 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
KÜ Mõisa tee 5 ,80008398,Mittetulundusühing ,KÜ Mõisa tee 5 ,3 835 ,01.09.2008 ... 24.09.2008 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
