Koodi,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
S11091,ESR,Töihin -hanke (S11088) /työvoimapoliittiset toimenpiteet,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.8.2009,31.8.2011,Kainuun TE-keskus,34 744,0,19 256,0,1 109 000,0
S11095,ESR,KIVI - Kainuun lukioiden pedagoginen yhteistyöhanke,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.8.2009,31.7.2011,Kainuun maakunta-kuntayhtymä/koulutustoimiala,83 859,5 334,72 851,4 633,251 039,9 967
S11098,ESR,ISKE - Itä-Suomi kohtaa Euroopan,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.9.2009,31.8.2012,Savon koulutuskuntayhtymä,92 481,0,54 782,0,168 300,0
S11105,ESR,SuuPIRSSI,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.8.2009,31.7.2012,Savonia-ammattikorkeakoulun kuntayhtymä,89 853,0,52 770,0,391 060,0
S11112,ESR,Energiatekniikan teollisuusharjoittelu- ja täydennyskoulutushanke,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.4.2009,30.6.2011,Savonia-ammattikorkeakoulun kuntayhtymä,153 140,0,86 860,0,263 000,0
S11181,ESR,Nuorille töitä/työvoimapoliittiset toimet,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.12.2009,31.12.2011,Pohjois-Savon TE-keskus,461 723,0,207 441,0,2 458 000,0
S11184,ESR,Sähköisen liiketoiminnan osaamisen ja palvelujen kehittäminen Kajaanin ammattikorkeakoulussa,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.10.2009,30.6.2011,"Kajaanin kaupunki, Kajaanin ammattikorkeakoulu -liikelaitos",83 738,0,33 808,0,201 340,0
S11188,ESR,Keski- ja Itä-Euroopan metsätietopalvelu (KIEMET),Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.1.2010,31.12.2012,"Metsäntutkimuslaitos, Joensuun yksikkö",117 894,0,72 258,0,602 355,0
S11193,ESR,"MONIKKO - MONIKULTTUURISEN KASVATUSTYÖN, KOTOUTUMISEN JA OPETUKSEN KEHITTÄMINEN",Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.1.2010,31.3.2012,Joensuun yliopisto,116 225,0,83 475,0,451 050,0
S11194,ESR,"Osaamispalvelun kehittäminen soluviljely- sekä antimikrobiologiseen tutkimukseen, MIKROSOLU ESR",Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.12.2009,30.11.2012,"Oulun yliopisto, Kajaanin yliopistokeskus, Biotekniikan laboratorio",126 146,0,93 909,0,360 000,0
S11204,ESR,Työkykyvalmennus ja työllistymismallin kehittämis- ja pilotointihanke,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.12.2009,30.6.2011,"Savonlinnan Kylpylaitos Oy/Fontana Spahotel Casino, Savonlinnan Kuntoutumiskeskus",0,0,0,0,259 320,0
S11205,ESR,Vankikoulutuksen kehittämishanke,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2010,31.8.2011,Savon koulutusluntayhtymä,28 500,0,11 950,0,54 630,0
S11207,ESR,Nuorten tuki -hanke,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.12.2009,31.12.2013,Pohjois-Karjalan koulutuskuntayhtymä,540 990,0,254 587,0,3 226 220,0
S11208,ESR,Työllistymispalveluiden kehittäminen Pohjois-Karjalassa,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.1.2010,31.12.2012,Joensuun yliopisto,164 920,0,81 230,0,855 000,0
S11210,ESR,Vankikoulutuksen kehittämishanke/työvoimapoliittiset toimet,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.10.2009,30.9.2011,Pohjois-Savon TE-keskus,50 000,0,50 000,0,150 000,0
S11211,ESR,Työyhteisöliikunnan kehittämishanke Pohjois-Karjalassa,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.12.2009,31.12.2012,Pohjois-Karjalan Liikunta ry,95 448,0,47 012,0,434 775,0
S11212,ESR,Monimuotoisen röntgendiffraktiotutkimuksen käynnistämishanke Kuopion kampuksella 2010-2011 (Multi-XRPD),Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2010,31.12.2011,Kuopion yliopisto,50 901,0,38 399,0,197 600,0
S11215,ESR,"POVERI , voimaa logistiikka-alan koulutukseen Itä-Suomessa",Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.1.2010,31.12.2012,Etelä-Savon Koulutus Oy,370 212,0,219 297,0,937 100,0
S11219,ESR,Työkykyvalmennus ja työllistymismallin kehittämis- ja pilotointi; työvoimakoulutusosio,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.12.2009,30.6.2011,Etelä-Savon TE-keskus,0,0,0,0,287 680,0
S11222,ESR,PROMOOTTORI - Tapahtumatuotannon tulevaisuuden palvelumallit Mikkelin seudulla,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.11.2009,30.10.2011,Mikkelin Ammattikorkeakoulu Oy,63 350,0,32 634,0,199 968,0
S11225,ESR,e FORA,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2010,31.7.2012,Kuopion yliopisto,94 752,0,55 648,0,483 410,0
S11226,ESR,Muovikomposiittituotteiden ja valmistusmenetelmien kehittäminen,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.8.2009,31.12.2011,Savon koulutuskuntayhtymä,153 918,0,90 397,0,535 900,0
S11232,ESR,Puhevammaisen henkilön työhön paluun esteiden poistaminen,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.9.2009,31.7.2011,"Kajaanin kaupunki, Kajaanin ammattikorkeakoulu -liikelaitos",104 140,0,38 758,0,247 545,0
S11234,ESR,"MoSpa Moniammatillisuutta sparraamassa, Kainuu",Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.1.2010,30.4.2012,Suomen Humanistinen Ammattikorkeakoulu Oy/Humanistinen ammattikorkeakoulu,16 680,0,9 245,0,84 855,0
S11239,ESR,Teollisen pintakäsittelyn koulutustehdas,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.10.2009,31.12.2011,Savon koulutuskuntayhtymä,152 816,0,78 724,0,495 580,0
S11240,ESR,Laadukkaat kotityöpalvelut Itä-Suomessa,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.6.2009,31.12.2011,Savon koulutuskuntayhtymä,246 752,0,144 918,0,754 500,0
S11243,ESR,Kansainvälistymis- ja innovaatiopalvelujen toimintamalli,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.12.2009,31.12.2012,Pohjois-Savon TE-keskus,34 354,0,16 166,0,350 520,0
S11247,ESR,RFID-TEKNIIKAN SOVELTAMINEN TUOTANTOTEOLLISUUDESSA,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2010,31.12.2012,Savon koulutuskuntayhtymä,193 870,0,0,0,559 571,0
S11029,ESR,Vankilaopetuksen hyvät käytännöt ja kehittäminen; Vakes Kainuu,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.8.2009,31.7.2012,Siika-Pyhäjokialueen koulutuskuntayhtymä / Piippolan käsi- ja taideteollisuusopisto,57 834,0,43 170,0,224 548,0
S11031,ESR,Luovien alojen yrittäjyys Etelä-Savon vahvuudeksi,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.10.2009,31.12.2011,Helsingin kauppakorkeakoulu Pienyrityskeskus,62 437,0,48 463,0,218 100,0
S11035,ESR,Hyvinvointialan yritysten liiketoiminnan ja johtamisen valmennusohjelma,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.4.2009,30.6.2010,Kajaanin kaupunki / Kajaanin ammattikorkeakoulu,32 318,0,21 752,0,61 794,0
S11036,ESR,Creative Managers - Luovan talouden kansainvälinen erikoisosaaja- ja tuottajavalmennus,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.8.2009,31.12.2011,Pohjois-Karjalan ammattikorkeakoulu,187 454,0,123 673,0,599 402,0
S11045,ESR,YES-keskus - tukemaan Etelä-Savon oppilaitosten yrittäjyyskasvatusta -,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.8.2009,31.12.2011,Helsingin kauppakorkeakoulu Pienyrityskeskus,154 504,0,91 521,0,537 500,0
S11075,ESR,"Nature Craft Finland, Etelä-Savon osa-aluehanke",Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.6.2009,31.12.2011,Mikkelin seudun elinkeinoyhtiö Miset Oy,122 199,0,72 386,0,376 405,0
S11076,ESR,Pohjois-Karjala TL2 rinnakkaishankkeiden hallinto ja tukirakenne,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.9.2009,31.12.2010,Pohjois-Karjalan TE-keskus,375 200,79 184,184 800,11 688,560 000,90 872
S10989,ESR,Yksikään ei huku - tuki pk-yrittäjille taantuman vaikutusten torjunnassa,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.3.2009,31.3.2011,Savon Yrittäjät ry,357 952,13 807,168 448,6 497,541 400,20 304
S10991,ESR,"Runolaulun pottku (pedagogiikan, opetusmodulien, taiteellisten, tutkimus- ja koulutusmenetelmien ulottuvuuden kehittämishanke)",Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,3.7.2008,2.7.2011,Juminkeko-säätiö,152 181,62 136,117 909,48 142,379 199,120 917
S10993,ESR,Työhyvinvoiva Kainuu -esiselvitys,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.6.2009,28.2.2010,Lex Kainuu ry,19 768,219,10 832,120,30 600,339
S10996,ESR,Etelä-Savon teollisuuden osaajat,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.1.2009,31.12.2011,Itä-Savon koulutuskuntayhtymä/ Savonlinnan ammatti- ja aikuisopisto,240 813,0,142 647,0,685 000,0
S11000,ESR,ORDER,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,8.6.2009,30.6.2012,Kainuun Etu Oy,147 068,0,80 591,0,1 364 882,0
S11006,ESR,Sähköisen liiketoiminnan kehittämisohjelma,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.6.2009,30.9.2011,Joensuun Tiedepuisto Oy,278 800,8 886,131 200,4 181,441 800,13 067
S11009,ESR,Art Hub -hankekokonaisuus,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2009,31.12.2011,Pohjois-Savon taidetoimikunta,167 996,0,98 664,0,767 568,0
S11017,ESR,Kansainvälisten opiskelijoiden integrointi Kainuuseen,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.8.2009,31.12.2010,Kajaanin ammattikorkeakoulu -liikelaitos,50 243,0,27 533,0,91 500,0
S11018,ESR,Pohjois-Karjalan työllisyysfoorumi,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.4.2009,31.12.2010,Joensuun yliopisto,154 020,12 961,72 480,6 099,258 500,19 060
S11019,ESR,Kainuun Liikunnan kehittämishanke eli Kainuun LIKE-hanke,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,14.4.2009,13.6.2012,Pohjois-Savon Liikunta ry,120 876,0,110 314,0,369 696,0
S11021,ESR,Kestävyyttä Itä-Suomen ruokapalveluihin -KestITÄ,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2009,31.12.2011,Savon koulutuskuntayhtymä,253 449,10 521,148 851,6 179,699 815,16 700
S11025,ESR,Tehokas ja vaikuttava hyvinvointipalvelutuotanto,Programdelen för storområdet Östra Finland,3,Södra Savolax landskapsförbund,Verksamhet pågår,1.10.2009,31.7.2012,Diakonia-ammattikorkeakoulu,75 125,0,50 080,0,381 949,0
S10946,ESR,Työtä ja restaurointiosaamista Joensuun maaseudulle,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.4.2009,31.12.2011,"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus",382 160,30 798,179 840,14 493,652 000,52 112
S10948,ESR,Työtä ja restaurointiosaamista Joensuun maaseudulle / Työvoimapoliittiset toimet,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.4.2009,31.12.2011,Pohjois-Karjalan TE-keskus,701 022,121 799,300 438,22 447,1 001 460,144 246
S10949,ESR,Itä-Suomen Liikunnan kehittämishanke eli LIKE-hanke,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,22.1.2009,31.3.2012,Pohjois-Savon Liikunta ry,492 856,0,253 896,0,1 076 800,0
S10952,ESR,Helppi,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.5.2009,31.12.2011,Kiteen Evankelinen Kansanopisto,201 000,18 778,99 000,9 248,346 800,28 026
S10953,ESR,Helppi / Työvoimapoliittiset toimet,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.5.2009,31.12.2011,Pohjois-Karjalan TE-keskus,335 000,21 225,165 000,0,500 000,21 225
S10958,ESR,Korkeakouluista uutta osaamista Keski-Karjalaan (KUOKKA),Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.9.2009,31.12.2011,"Pohjois-Karjalan ammattikorkeakoulu, liikelaitos",105 817,4 499,67 653,2 876,342 600,8 422
S10959,ESR,Educa Learn,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,16.9.2008,30.6.2011,Ylä-Savon koulutuskuntayhtymä,368 267,0,216 284,0,793 201,0
S10961,ESR,Hammaslääketieteen koulutuksen käynnistäminen Itä-Suomen yliopistossa,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.4.2009,31.12.2011,Kuopion  yliopisto,236 250,10 048,26 250,1 116,300 000,11 164
S10962,ESR,Asumisen tuki työllistymisen edistäjänä (ATTE),Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.7.2009,30.6.2012,Kuopion Kaupunki,353 365,5 194,207 532,3 050,640 962,9 492
S10968,ESR,Kohti nousua,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.4.2009,31.3.2011,Koillis-Savon Kehitys Oy,259 239,0,163 961,0,460 000,0
S10976,ESR,Oppimisvaikeudet työelämässä,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.10.2009,30.9.2011,Joensuun yliopisto,126 108,0,77 292,0,343 240,0
S10884,ESR,Tonal Innovation Center - TONIC,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.3.2009,31.12.2011,Pohjois-Karjalan ammattikorkeakoulu,188 693,5 276,115 651,3 233,607 608,10 478
S10889,ESR,Aikuiskoulutuksen ohjauspalvelut - Kainuu-verkosto,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.5.2009,30.6.2011,Kainuun maakunta -kuntayhtymä/Kainuun ammattiopisto,122 328,18 208,83 815,12 476,293 318,35 068
S10897,ESR,Savon nuorisotiedotus,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2009,31.12.2011,Kuopion kaupunki,249 065,0,128 305,0,655 840,0
S10901,ESR,Nanokokoluokan läpäisyelektronimikroskopian kehittämishanke 2009-2011 (NANOTEM),Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2009,31.12.2011,Kuopion yliopisto,182 873,0,94 207,0,490 120,0
S10902,ESR,Osaamo  -  osallistumistalous ammattioppilaitoksissa,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2009,31.12.2011,Savon koulutuskuntayhtymä,196 531,7 728,101 244,3 981,676 003,11 709
S10905,ESR,IV-PUHTAAKSI -hanke,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2009,31.12.2011,Savon koulutuskuntayhtymä,207 900,24 571,23 100,2 730,408 581,27 301
S10908,ESR,Palvelujen kehittäminen ja prosessijohtamisen käyttöönotto,Programdelen för storområdet Östra Finland,3,Norra Savolax förbund,Verksamhet pågår,1.5.2009,31.12.2010,Kuopion kaupunki,93 130,22 661,37 252,3 336,186 260,37 139
S10909,ESR,JOUTUKE - Joensuun Urheiluakatemian oppilaitosyhteistyö- ja tukipalvelumallin kehittäminen,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.8.2009,31.7.2011,Joensuun kaupunki,126 874,0,77 762,0,253 370,0
S10920,ESR,Advanced Collaboration for Entrepreneurship - ACE (Korkeakoulupohjaisen yrittäjyyden aluemalli),Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.8.2009,31.8.2011,Pohjois-Karjalan ammattikorkeakoulu-liikelaitos,217 000,5 026,133 000,3 080,418 000,9 680
S10922,ESR,KAVERI verkko-oppijan tuki,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.1.2009,31.12.2010,Kajaanin kaupunki / Kajaanin ammattikorkeakoulu,70 554,22 318,50 094,15 846,141 250,40 871
S10169,ESR,AlueEnnakko  Aluellinen ennakointi työkaluksi Pohjois-Karjalassa,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.4.2008,31.12.2010,Pohjois-Karjalan TE-keskus,404 010,185 046,198 990,65 356,603 000,250 402
S10179,ESR,Kaira-projekti - Vaikuttavuutta Kainuun rakennetyöttömyyden purkamiseen,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.3.2008,31.12.2010,Kainuun maakunta -kuntayhtymä,240 598,146 943,123 272,72 286,645 040,250 547
S10181,ESR,Oppimistori-toiminta - avaimia Pohjois-Savon väestön hyvinvoinnin edistämiseen,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.3.2008,31.5.2010,Savonia-ammattikorkeakoulun kuntayhtymä,334 500,169 774,265 500,134 874,669 000,340 775
S10183,ESR,PROMIS-keskuksen toimintamallin ja -rakenteen sekä prototyyppipalveluiden kehittämishanke,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Savonia-ammattikorkeakoulun kuntayhtymä,246 539,66 768,127 005,34 395,644 000,106 896
S10192,ESR,Työyhteisöjen monimuotoisuus,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.6.2008,31.12.2010,Diakonia-ammattikorkeakoulu,152 802,62 201,78 717,32 044,246 731,94 245
S10193,ESR,Oppimalla uudistuvat PK-yritykset,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,2.5.2008,30.11.2008,Ylä-Savon Kehitys Oy,38 220,38 183,16 380,16 364,62 400,62 347
S10195,ESR,Infrarakentamisen ja kaivannaisalan työnjohdon koulutus,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,2.1.2008,31.5.2012,Savonia-ammattikorkeakoulun kuntayhtymä,341 250,40 818,187 750,21 027,679 000,63 676
